usr, nice, sys, iowait, irq, soft, steal, guest, idle
0.0, 0.03, 10.53, 0.0, 82.91, 2.5, 0.0, 4.03, 0.0
0.0, 0.04, 27.21, 0.0, 61.8, 6.3, 0.0, 4.64, 0.0
0.0, 0.01, 27.5, 0.0, 50.67, 6.53, 0.0, 15.29, 0.0
0.0, 0.06, 31.54, 0.0, 38.36, 7.61, 0.01, 22.43, 0.0
0.0, 0.07, 39.2, 0.0, 25.52, 9.43, 0.0, 25.78, 0.0
0.0, 0.01, 44.34, 0.0, 15.34, 11.29, 0.01, 29.02, 0.0
0.0, 0.0, 43.58, 0.0, 17.88, 11.24, 0.01, 27.29, 0.0
0.0, 0.03, 42.72, 0.0, 19.12, 11.01, 0.01, 27.13, 0.0
0.0, 0.01, 42.95, 0.0, 19.78, 10.96, 0.01, 26.29, 0.0
0.0, 0.04, 42.98, 0.0, 19.41, 11.13, 0.01, 26.44, 0.0
0.0, 0.01, 42.95, 0.0, 19.31, 11.19, 0.01, 26.54, 0.0
0.0, 0.05, 43.87, 0.0, 17.99, 11.65, 0.01, 26.42, 0.0
0.0, 0.0, 44.05, 0.0, 18.42, 11.68, 0.0, 25.85, 0.0
0.0, 0.05, 44.12, 0.0, 17.91, 11.36, 0.01, 26.54, 0.0
0.0, 0.01, 43.59, 0.0, 17.98, 11.25, 0.01, 27.16, 0.0
0.0, 0.04, 43.58, 0.0, 18.03, 11.24, 0.01, 27.09, 0.0
0.0, 0.0, 43.8, 0.0, 17.91, 10.99, 0.01, 27.29, 0.0
0.0, 0.05, 43.87, 0.0, 17.28, 10.91, 0.02, 27.88, 0.0
0.0, 0.01, 44.09, 0.0, 17.29, 10.67, 0.01, 27.94, 0.0
0.0, 0.04, 44.1, 0.0, 17.39, 11.1, 0.0, 27.37, 0.0
0.0, 0.01, 44.09, 0.0, 17.24, 11.01, 0.01, 27.64, 0.0
0.0, 0.02, 44.55, 0.0, 16.09, 11.17, 0.01, 28.16, 0.0
0.0, 0.01, 43.93, 0.0, 16.94, 11.17, 0.01, 27.94, 0.0
0.0, 0.05, 44.81, 0.0, 15.79, 11.0, 0.01, 28.34, 0.0
0.0, 0.01, 44.3, 0.0, 16.43, 11.23, 0.01, 28.04, 0.0
0.0, 0.05, 44.68, 0.0, 15.42, 11.33, 0.01, 28.51, 0.0
0.0, 0.01, 44.36, 0.0, 16.32, 10.91, 0.01, 28.4, 0.0
0.0, 0.06, 44.8, 0.0, 15.35, 10.92, 0.01, 28.86, 0.0
0.0, 0.0, 45.17, 0.0, 14.79, 10.68, 0.0, 29.35, 0.0
0.0, 0.05, 45.8, 0.0, 14.16, 10.44, 0.01, 29.55, 0.0
0.0, 0.01, 45.23, 0.0, 15.1, 11.44, 0.01, 28.22, 0.0
0.0, 0.06, 45.46, 0.0, 14.67, 11.09, 0.0, 28.73, 0.0
0.0, 0.01, 45.35, 0.0, 14.59, 10.6, 0.01, 29.46, 0.0
0.0, 0.05, 47.05, 0.0, 13.12, 10.84, 0.0, 28.93, 0.0
0.0, 0.0, 45.73, 0.0, 14.07, 10.69, 0.01, 29.5, 0.0
0.0, 0.05, 47.01, 0.0, 13.43, 10.54, 0.01, 28.96, 0.0
0.0, 0.01, 46.03, 0.0, 13.94, 11.16, 0.01, 28.86, 0.0
0.0, 0.04, 46.68, 0.0, 13.29, 10.66, 0.01, 29.32, 0.0
0.0, 0.03, 46.96, 0.0, 12.71, 10.53, 0.01, 29.77, 0.0
0.0, 0.05, 46.45, 0.0, 13.19, 11.06, 0.01, 29.24, 0.0
0.0, 0.0, 46.65, 0.0, 13.42, 11.01, 0.01, 28.92, 0.0
0.0, 0.02, 47.56, 0.0, 11.71, 11.01, 0.01, 29.69, 0.0
0.0, 0.06, 46.95, 0.0, 13.08, 10.98, 0.01, 28.93, 0.0
0.0, 0.01, 47.66, 0.0, 11.76, 10.64, 0.01, 29.93, 0.0
0.0, 0.02, 47.94, 0.0, 11.56, 10.94, 0.0, 29.54, 0.0
0.0, 0.03, 47.25, 0.0, 12.38, 11.39, 0.0, 28.96, 0.0
0.0, 0.01, 47.88, 0.0, 12.03, 10.5, 0.01, 29.58, 0.0
0.0, 0.01, 47.69, 0.0, 11.91, 10.54, 0.0, 29.85, 0.0
0.0, 0.01, 47.34, 0.0, 12.07, 10.63, 0.01, 29.94, 0.0
0.0, 0.0, 47.8, 0.0, 11.65, 10.74, 0.01, 29.8, 0.0
