[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  4 threads:       17061 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  4 threads:       43320 ops,   26255 (avg:   21663) ops/sec, 1014.79KB/sec (avg: 837.76KB/sec),  8.52 (avg:  7.37) msec latency[RUN #1 10%,   2 secs]  4 threads:       69840 ops,   26516 (avg:   23281) ops/sec, 1.00MB/sec (avg: 900.01KB/sec),  6.03 (avg:  6.86) msec latency[RUN #1 13%,   3 secs]  4 threads:       94118 ops,   24275 (avg:   23529) ops/sec, 937.29KB/sec (avg: 909.33KB/sec),  6.60 (avg:  6.79) msec latency[RUN #1 17%,   5 secs]  4 threads:      118320 ops,   24199 (avg:   23663) ops/sec, 935.12KB/sec (avg: 914.49KB/sec),  6.60 (avg:  6.75) msec latency[RUN #1 20%,   6 secs]  4 threads:      142766 ops,   24443 (avg:   23793) ops/sec, 944.30KB/sec (avg: 919.46KB/sec),  6.55 (avg:  6.72) msec latency[RUN #1 23%,   7 secs]  4 threads:      167280 ops,   24510 (avg:   23896) ops/sec, 946.73KB/sec (avg: 923.36KB/sec),  6.52 (avg:  6.69) msec latency[RUN #1 27%,   8 secs]  4 threads:      191760 ops,   24477 (avg:   23968) ops/sec, 945.40KB/sec (avg: 926.11KB/sec),  6.54 (avg:  6.67) msec latency[RUN #1 30%,   9 secs]  4 threads:      216200 ops,   24437 (avg:   24020) ops/sec, 943.83KB/sec (avg: 928.08KB/sec),  6.54 (avg:  6.66) msec latency[RUN #1 33%,  10 secs]  4 threads:      240859 ops,   24655 (avg:   24084) ops/sec, 952.25KB/sec (avg: 930.50KB/sec),  6.49 (avg:  6.64) msec latency[RUN #1 37%,  11 secs]  4 threads:      265520 ops,   24657 (avg:   24136) ops/sec, 951.96KB/sec (avg: 932.45KB/sec),  6.49 (avg:  6.63) msec latency[RUN #1 40%,  12 secs]  4 threads:      290160 ops,   24636 (avg:   24178) ops/sec, 951.06KB/sec (avg: 934.00KB/sec),  6.49 (avg:  6.61) msec latency[RUN #1 43%,  13 secs]  4 threads:      314800 ops,   24636 (avg:   24213) ops/sec, 951.24KB/sec (avg: 935.33KB/sec),  6.49 (avg:  6.60) msec latency[RUN #1 47%,  14 secs]  4 threads:      339440 ops,   24636 (avg:   24243) ops/sec, 951.30KB/sec (avg: 936.47KB/sec),  6.49 (avg:  6.60) msec latency[RUN #1 50%,  15 secs]  4 threads:      364080 ops,   24636 (avg:   24269) ops/sec, 951.48KB/sec (avg: 937.47KB/sec),  6.49 (avg:  6.59) msec latency[RUN #1 53%,  16 secs]  4 threads:      388720 ops,   24636 (avg:   24292) ops/sec, 951.29KB/sec (avg: 938.33KB/sec),  6.49 (avg:  6.58) msec latency[RUN #1 57%,  17 secs]  4 threads:      413372 ops,   24648 (avg:   24313) ops/sec, 951.79KB/sec (avg: 939.12KB/sec),  6.48 (avg:  6.58) msec latency[RUN #1 60%,  18 secs]  4 threads:      438043 ops,   24667 (avg:   24333) ops/sec, 952.30KB/sec (avg: 939.86KB/sec),  6.49 (avg:  6.57) msec latency[RUN #1 63%,  19 secs]  4 threads:      462775 ops,   24728 (avg:   24353) ops/sec, 954.57KB/sec (avg: 940.63KB/sec),  6.48 (avg:  6.57) msec latency[RUN #1 67%,  20 secs]  4 threads:      487440 ops,   24661 (avg:   24369) ops/sec, 952.01KB/sec (avg: 941.20KB/sec),  6.49 (avg:  6.56) msec latency[RUN #1 70%,  21 secs]  4 threads:      512080 ops,   24636 (avg:   24382) ops/sec, 950.91KB/sec (avg: 941.66KB/sec),  6.48 (avg:  6.56) msec latency[RUN #1 73%,  22 secs]  4 threads:      536720 ops,   24636 (avg:   24393) ops/sec, 951.21KB/sec (avg: 942.10KB/sec),  6.49 (avg:  6.56) msec latency[RUN #1 77%,  23 secs]  4 threads:      561360 ops,   24636 (avg:   24404) ops/sec, 951.32KB/sec (avg: 942.50KB/sec),  6.49 (avg:  6.55) msec latency[RUN #1 80%,  24 secs]  4 threads:      586081 ops,   24717 (avg:   24417) ops/sec, 954.66KB/sec (avg: 943.00KB/sec),  6.47 (avg:  6.55) msec latency[RUN #1 83%,  25 secs]  4 threads:      610676 ops,   24591 (avg:   24424) ops/sec, 949.61KB/sec (avg: 943.27KB/sec),  6.50 (avg:  6.55) msec latency[RUN #1 87%,  26 secs]  4 threads:      635296 ops,   24616 (avg:   24431) ops/sec, 950.84KB/sec (avg: 943.56KB/sec),  6.50 (avg:  6.55) msec latency[RUN #1 90%,  27 secs]  4 threads:      659987 ops,   24687 (avg:   24441) ops/sec, 953.44KB/sec (avg: 943.92KB/sec),  6.48 (avg:  6.54) msec latency[RUN #1 93%,  28 secs]  4 threads:      684591 ops,   24600 (avg:   24446) ops/sec, 950.08KB/sec (avg: 944.15KB/sec),  6.50 (avg:  6.54) msec latency[RUN #1 97%,  29 secs]  4 threads:      709360 ops,   24765 (avg:   24457) ops/sec, 956.34KB/sec (avg: 944.57KB/sec),  6.47 (avg:  6.54) msec latency[RUN #1 100%,  30 secs]  2 threads:      734351 ops,   24765 (avg:   24476) ops/sec, 956.34KB/sec (avg: 945.29KB/sec),  6.47 (avg:  6.53) msec latency[RUN #1 100%,  30 secs]  0 threads:      734371 ops,   24765 (avg:   24477) ops/sec, 956.34KB/sec (avg: 945.31KB/sec),  6.47 (avg:  6.53) msec latency

4         Threads
40        Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        2227.52          ---          ---      8.35600       165.12
Gets       22249.91       612.69     21637.22      6.35100       780.19
Totals     24477.43       612.69     21637.22      6.53400       945.31


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000      0.02544
SET       2.000      0.67185
SET       3.000      2.15322
SET       4.000      4.46805
SET       5.000      7.78543
SET       6.000     99.56307
SET       7.000     99.60646
SET       8.000     99.67829
SET      10.000     99.72467
SET      11.000     99.75310
SET      12.000     99.76059
SET      30.000     99.76208
SET      31.000     99.76358
SET      33.000     99.76508
SET      35.000     99.76657
SET      37.000     99.76807
SET      39.000     99.76956
SET      40.000     99.77106
SET      42.000     99.77256
SET      44.000     99.77405
SET      46.000     99.77555
SET      48.000     99.77705
SET      49.000     99.77854
SET      51.000     99.78004
SET      61.000     99.78154
SET      70.000     99.78303
SET      74.000     99.78453
SET      76.000     99.78602
SET      83.000     99.78752
SET      85.000     99.78902
SET      89.000     99.79051
SET      95.000     99.79201
SET      97.000     99.79351
SET     100.000     99.79500
SET     110.000     99.79949
SET     120.000     99.80099
SET     130.000     99.80398
SET     140.000     99.80697
SET     150.000     99.81146
SET     160.000     99.81445
SET     170.000     99.81745
SET     180.000     99.81894
SET     190.000     99.82044
SET     400.000     99.82343
SET     410.000     99.82942
SET     420.000     99.83391
SET     430.000     99.83989
SET     440.000     99.84288
SET     450.000     99.84438
SET     460.000     99.84737
SET     470.000     99.84887
SET     490.000     99.85336
SET     500.000     99.85486
SET     510.000     99.85635
SET     520.000     99.85785
SET     530.000     99.85934
SET     540.000     99.86383
SET     550.000     99.86533
SET     560.000     99.86683
SET     570.000     99.86982
SET     580.000     99.87132
SET     590.000     99.87431
SET     600.000     99.87580
SET     610.000     99.87880
SET     620.000     99.88029
SET     940.000     99.88329
SET     950.000     99.88628
SET     960.000     99.89077
SET     970.000     99.89526
SET     980.000     99.89825
SET     990.000     99.90274
SET    1000.000     99.92219
SET    1100.000     99.94015
SET    1700.000     99.97007
SET    1800.000     99.98803
SET    1900.000    100.00000
---
GET       1.700      0.00270
GET       1.800      0.01738
GET       1.900      0.03715
GET       2.000      0.05917
GET       2.100      0.10906
GET       2.200      0.16299
GET       2.300      0.21377
GET       2.400      0.25841
GET       2.500      0.32328
GET       2.600      0.37960
GET       2.700      0.47578
GET       2.800      0.57195
GET       2.900      0.66288
GET       3.000      0.74422
GET       3.100      0.88459
GET       3.200      1.05132
GET       3.300      1.18764
GET       3.400      1.28846
GET       3.500      1.42208
GET       3.600      1.55796
GET       3.700      1.82146
GET       3.800      2.02594
GET       3.900      2.15687
GET       4.000      2.31297
GET       4.100      2.54921
GET       4.200      2.69901
GET       4.300      2.98693
GET       4.400      3.23441
GET       4.500      3.40728
GET       4.600      3.74928
GET       4.700      4.02327
GET       4.800      4.19075
GET       4.900      4.50384
GET       5.000      4.64286
GET       5.100      4.97947
GET       5.200      5.23249
GET       5.300      5.57344
GET       5.400      6.07483
GET       5.500      6.32890
GET       5.600      6.48170
GET       5.700      6.82505
GET       5.800      7.18428
GET       5.900      7.66215
GET       6.000      8.01853
GET       6.100      8.24174
GET       6.200      8.55693
GET       6.300     10.90779
GET       6.400     36.25126
GET       6.500     76.88007
GET       6.600     93.54781
GET       6.700     98.62915
GET       6.800     99.60017
GET       6.900     99.78518
GET       7.000     99.81319
GET       7.100     99.82698
GET       7.200     99.82713
GET       7.700     99.82833
GET       7.800     99.83282
GET       7.900     99.83701
GET       8.000     99.84435
GET       8.100     99.85814
GET       8.200     99.87551
GET       8.300     99.89019
GET       8.400     99.89634
GET       8.500     99.90338
GET       8.600     99.90847
GET       8.700     99.91117
GET       8.800     99.91177
GET       8.900     99.91222
GET      10.000     99.92690
GET      11.000     99.97903
GET      12.000    100.00000
