[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  4 threads:       10467 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  4 threads:       35331 ops,   24860 (avg:   17667) ops/sec, 961.30KB/sec (avg: 683.36KB/sec),  7.71 (avg:  7.69) msec latency[RUN #1 10%,   2 secs]  4 threads:       65693 ops,   30357 (avg:   21898) ops/sec, 1.15MB/sec (avg: 846.63KB/sec),  6.84 (avg:  7.30) msec latency[RUN #1 13%,   4 secs]  4 threads:       96021 ops,   30323 (avg:   24004) ops/sec, 1.14MB/sec (avg: 927.73KB/sec),  5.27 (avg:  6.66) msec latency[RUN #1 17%,   5 secs]  4 threads:      126405 ops,   30379 (avg:   25279) ops/sec, 1.15MB/sec (avg: 976.91KB/sec),  5.26 (avg:  6.32) msec latency[RUN #1 20%,   6 secs]  4 threads:      157069 ops,   30659 (avg:   26176) ops/sec, 1.16MB/sec (avg: 1011.50KB/sec),  5.22 (avg:  6.11) msec latency[RUN #1 23%,   7 secs]  4 threads:      187758 ops,   30684 (avg:   26820) ops/sec, 1.16MB/sec (avg: 1.01MB/sec),  5.21 (avg:  5.96) msec latency[RUN #1 27%,   8 secs]  4 threads:      218534 ops,   30771 (avg:   27314) ops/sec, 1.16MB/sec (avg: 1.03MB/sec),  5.20 (avg:  5.85) msec latency[RUN #1 30%,   9 secs]  4 threads:      249444 ops,   30905 (avg:   27713) ops/sec, 1.17MB/sec (avg: 1.05MB/sec),  5.17 (avg:  5.77) msec latency[RUN #1 33%,  10 secs]  4 threads:      280517 ops,   31069 (avg:   28049) ops/sec, 1.17MB/sec (avg: 1.06MB/sec),  5.15 (avg:  5.70) msec latency[RUN #1 37%,  11 secs]  4 threads:      311711 ops,   31189 (avg:   28334) ops/sec, 1.18MB/sec (avg: 1.07MB/sec),  5.12 (avg:  5.64) msec latency[RUN #1 40%,  12 secs]  4 threads:      343085 ops,   31369 (avg:   28587) ops/sec, 1.18MB/sec (avg: 1.08MB/sec),  5.10 (avg:  5.59) msec latency[RUN #1 43%,  13 secs]  4 threads:      374468 ops,   31378 (avg:   28802) ops/sec, 1.18MB/sec (avg: 1.09MB/sec),  5.09 (avg:  5.55) msec latency[RUN #1 47%,  14 secs]  4 threads:      405334 ops,   30861 (avg:   28949) ops/sec, 1.16MB/sec (avg: 1.09MB/sec),  5.18 (avg:  5.52) msec latency[RUN #1 50%,  15 secs]  4 threads:      436362 ops,   31023 (avg:   29087) ops/sec, 1.17MB/sec (avg: 1.10MB/sec),  5.16 (avg:  5.50) msec latency[RUN #1 53%,  16 secs]  4 threads:      467459 ops,   31092 (avg:   29212) ops/sec, 1.17MB/sec (avg: 1.10MB/sec),  5.15 (avg:  5.47) msec latency[RUN #1 57%,  17 secs]  4 threads:      498647 ops,   31183 (avg:   29328) ops/sec, 1.18MB/sec (avg: 1.11MB/sec),  5.13 (avg:  5.45) msec latency[RUN #1 60%,  18 secs]  4 threads:      529859 ops,   31208 (avg:   29433) ops/sec, 1.18MB/sec (avg: 1.11MB/sec),  5.12 (avg:  5.43) msec latency[RUN #1 63%,  19 secs]  4 threads:      561024 ops,   31160 (avg:   29524) ops/sec, 1.18MB/sec (avg: 1.11MB/sec),  5.13 (avg:  5.42) msec latency[RUN #1 67%,  20 secs]  4 threads:      591695 ops,   30666 (avg:   29581) ops/sec, 1.16MB/sec (avg: 1.12MB/sec),  5.22 (avg:  5.41) msec latency[RUN #1 70%,  21 secs]  4 threads:      622389 ops,   30689 (avg:   29634) ops/sec, 1.16MB/sec (avg: 1.12MB/sec),  5.21 (avg:  5.40) msec latency[RUN #1 73%,  22 secs]  4 threads:      653318 ops,   30924 (avg:   29692) ops/sec, 1.17MB/sec (avg: 1.12MB/sec),  5.18 (avg:  5.39) msec latency[RUN #1 77%,  23 secs]  4 threads:      684142 ops,   30819 (avg:   29741) ops/sec, 1.16MB/sec (avg: 1.12MB/sec),  5.19 (avg:  5.38) msec latency[RUN #1 80%,  24 secs]  4 threads:      715060 ops,   30913 (avg:   29790) ops/sec, 1.17MB/sec (avg: 1.12MB/sec),  5.17 (avg:  5.37) msec latency[RUN #1 83%,  25 secs]  4 threads:      745948 ops,   30883 (avg:   29834) ops/sec, 1.16MB/sec (avg: 1.13MB/sec),  5.18 (avg:  5.36) msec latency[RUN #1 87%,  26 secs]  4 threads:      776973 ops,   31020 (avg:   29879) ops/sec, 1.17MB/sec (avg: 1.13MB/sec),  5.15 (avg:  5.35) msec latency[RUN #1 90%,  27 secs]  4 threads:      808005 ops,   31027 (avg:   29922) ops/sec, 1.17MB/sec (avg: 1.13MB/sec),  5.16 (avg:  5.34) msec latency[RUN #1 93%,  28 secs]  4 threads:      839337 ops,   31327 (avg:   29972) ops/sec, 1.18MB/sec (avg: 1.13MB/sec),  5.10 (avg:  5.34) msec latency[RUN #1 97%,  29 secs]  4 threads:      870520 ops,   31178 (avg:   30014) ops/sec, 1.18MB/sec (avg: 1.13MB/sec),  5.14 (avg:  5.33) msec latency[RUN #1 100%,  30 secs]  0 threads:      902889 ops,   31178 (avg:   30094) ops/sec, 1.18MB/sec (avg: 1.14MB/sec),  5.14 (avg:  5.31) msec latency

4         Threads
40        Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        2737.99          ---          ---      7.25800       202.96
Gets       27356.33       975.10     26381.23      5.11900       959.30
Totals     30094.32       975.10     26381.23      5.31400      1162.26


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.000      0.47964
SET       3.000      2.03664
SET       4.000     90.99397
SET       5.000     92.43898
SET       6.000     92.51811
SET       7.000     92.54367
SET       8.000     92.61428
SET       9.000     99.75166
SET      10.000     99.79548
SET      11.000     99.80035
SET      15.000     99.80522
SET     240.000     99.80887
SET     250.000     99.81253
SET     260.000     99.81374
SET     270.000     99.81496
SET     280.000     99.81861
SET     290.000     99.82227
SET     300.000     99.82470
SET     310.000     99.82957
SET     320.000     99.83322
SET     330.000     99.83809
SET     340.000     99.84296
SET     350.000     99.84783
SET     360.000     99.85270
SET     370.000     99.85392
SET     700.000     99.85635
SET     710.000     99.86000
SET     720.000     99.86487
SET     730.000     99.86853
SET     740.000     99.87218
SET     750.000     99.87583
SET     760.000     99.87948
SET     770.000     99.88435
SET     780.000     99.88800
SET     790.000     99.89166
SET     800.000     99.89531
SET     810.000     99.89896
SET     820.000     99.90261
SET    1200.000     99.90870
SET    1300.000     99.93183
SET    1400.000     99.95131
SET    1800.000     99.95252
SET    1900.000     99.96348
SET    2000.000     99.97930
SET    2100.000    100.00000
---
GET       2.100      0.00012
GET       2.200      0.00085
GET       2.300      0.01474
GET       2.400      0.05276
GET       2.500      0.19129
GET       2.600      0.26196
GET       2.700      0.30265
GET       2.800      0.36345
GET       2.900      0.43253
GET       3.000      0.56108
GET       3.100      0.66464
GET       3.200      0.86763
GET       3.300      0.95377
GET       3.400      1.10205
GET       3.500      1.27567
GET       3.600      1.40153
GET       3.700      1.54567
GET       3.800      1.73964
GET       3.900      1.97613
GET       4.000      2.21519
GET       4.100      2.35104
GET       4.200      2.52868
GET       4.300      2.82841
GET       4.400      3.09622
GET       4.500      3.34270
GET       4.600      3.86966
GET       4.700     20.04584
GET       4.800     72.45913
GET       4.900     89.43191
GET       5.000     92.00664
GET       5.100     92.52861
GET       5.200     92.55419
GET       5.300     92.56309
GET       5.400     92.57125
GET       5.500     92.58088
GET       5.600     92.58746
GET       5.700     92.59233
GET       5.800     92.59757
GET       5.900     92.60135
GET       6.000     92.60476
GET       6.100     92.60866
GET       6.200     92.61158
GET       6.300     92.62243
GET       6.400     92.64631
GET       6.500     92.65934
GET       6.600     92.67055
GET       6.700     92.67908
GET       6.800     92.68627
GET       6.900     92.69748
GET       7.000     92.70637
GET       7.100     92.71393
GET       7.200     92.71636
GET       7.300     92.71807
GET       7.400     92.71929
GET       7.500     92.71953
GET       7.900     92.72404
GET       8.000     92.73647
GET       8.100     92.74622
GET       8.200     92.75255
GET       8.300     92.75986
GET       8.400     92.76486
GET       8.500     92.77558
GET       8.600     92.78338
GET       8.700     92.79154
GET       8.800     92.80275
GET       8.900     92.80750
GET       9.000     92.80884
GET       9.100     92.80909
GET       9.200     92.81152
GET       9.300     92.82687
GET       9.400     93.16803
GET       9.500     95.41806
GET       9.600     97.79139
GET       9.700     99.00225
GET       9.800     99.76643
GET       9.900     99.94408
GET      10.000     99.99586
GET      11.000     99.99744
GET      15.000    100.00000
