[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  4 threads:       82472 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  4 threads:      161905 ops,   79419 (avg:   80962) ops/sec, 2.99MB/sec (avg: 3.05MB/sec),  2.01 (avg:  1.97) msec latency[RUN #1 10%,   2 secs]  4 threads:      241346 ops,   79430 (avg:   80451) ops/sec, 3.00MB/sec (avg: 3.04MB/sec),  2.01 (avg:  1.99) msec latency[RUN #1 13%,   4 secs]  4 threads:      320822 ops,   79463 (avg:   80204) ops/sec, 3.00MB/sec (avg: 3.03MB/sec),  2.01 (avg:  1.99) msec latency[RUN #1 17%,   5 secs]  4 threads:      400788 ops,   79955 (avg:   80154) ops/sec, 3.01MB/sec (avg: 3.02MB/sec),  2.00 (avg:  1.99) msec latency[RUN #1 20%,   6 secs]  4 threads:      481685 ops,   80887 (avg:   80276) ops/sec, 3.05MB/sec (avg: 3.03MB/sec),  1.97 (avg:  1.99) msec latency[RUN #1 23%,   7 secs]  4 threads:      562713 ops,   81018 (avg:   80382) ops/sec, 3.06MB/sec (avg: 3.03MB/sec),  1.97 (avg:  1.99) msec latency[RUN #1 27%,   8 secs]  4 threads:      643130 ops,   80407 (avg:   80386) ops/sec, 3.03MB/sec (avg: 3.03MB/sec),  1.99 (avg:  1.99) msec latency[RUN #1 30%,   9 secs]  4 threads:      723462 ops,   80321 (avg:   80378) ops/sec, 3.03MB/sec (avg: 3.03MB/sec),  1.99 (avg:  1.99) msec latency[RUN #1 33%,  10 secs]  4 threads:      804372 ops,   80900 (avg:   80431) ops/sec, 3.05MB/sec (avg: 3.03MB/sec),  1.97 (avg:  1.99) msec latency[RUN #1 37%,  11 secs]  4 threads:      884969 ops,   80586 (avg:   80445) ops/sec, 3.04MB/sec (avg: 3.03MB/sec),  1.98 (avg:  1.99) msec latency[RUN #1 40%,  12 secs]  4 threads:      965393 ops,   80413 (avg:   80442) ops/sec, 3.03MB/sec (avg: 3.03MB/sec),  1.99 (avg:  1.99) msec latency[RUN #1 43%,  13 secs]  4 threads:     1046035 ops,   80630 (avg:   80457) ops/sec, 3.04MB/sec (avg: 3.03MB/sec),  1.98 (avg:  1.99) msec latency[RUN #1 47%,  14 secs]  4 threads:     1127310 ops,   81262 (avg:   80514) ops/sec, 3.06MB/sec (avg: 3.04MB/sec),  1.96 (avg:  1.98) msec latency[RUN #1 50%,  15 secs]  4 threads:     1208025 ops,   80703 (avg:   80527) ops/sec, 3.04MB/sec (avg: 3.04MB/sec),  1.98 (avg:  1.98) msec latency[RUN #1 53%,  16 secs]  4 threads:     1288660 ops,   80623 (avg:   80533) ops/sec, 3.04MB/sec (avg: 3.04MB/sec),  1.98 (avg:  1.98) msec latency[RUN #1 57%,  17 secs]  4 threads:     1369188 ops,   80516 (avg:   80532) ops/sec, 3.03MB/sec (avg: 3.04MB/sec),  1.98 (avg:  1.98) msec latency[RUN #1 60%,  18 secs]  4 threads:     1450268 ops,   81068 (avg:   80561) ops/sec, 3.06MB/sec (avg: 3.04MB/sec),  1.97 (avg:  1.98) msec latency[RUN #1 63%,  19 secs]  4 threads:     1527355 ops,   77077 (avg:   80378) ops/sec, 2.91MB/sec (avg: 3.03MB/sec),  2.07 (avg:  1.99) msec latency[RUN #1 67%,  20 secs]  4 threads:     1604686 ops,   77322 (avg:   80225) ops/sec, 2.92MB/sec (avg: 3.03MB/sec),  2.07 (avg:  1.99) msec latency[RUN #1 70%,  21 secs]  4 threads:     1682576 ops,   77881 (avg:   80114) ops/sec, 2.94MB/sec (avg: 3.02MB/sec),  2.05 (avg:  1.99) msec latency[RUN #1 73%,  22 secs]  4 threads:     1762088 ops,   79498 (avg:   80086) ops/sec, 3.00MB/sec (avg: 3.02MB/sec),  2.01 (avg:  1.99) msec latency[RUN #1 77%,  23 secs]  4 threads:     1841190 ops,   79091 (avg:   80042) ops/sec, 2.98MB/sec (avg: 3.02MB/sec),  2.02 (avg:  2.00) msec latency[RUN #1 80%,  24 secs]  4 threads:     1920176 ops,   78975 (avg:   79998) ops/sec, 2.98MB/sec (avg: 3.02MB/sec),  2.02 (avg:  2.00) msec latency[RUN #1 83%,  25 secs]  4 threads:     1999166 ops,   78978 (avg:   79957) ops/sec, 2.98MB/sec (avg: 3.02MB/sec),  2.02 (avg:  2.00) msec latency[RUN #1 87%,  26 secs]  4 threads:     2078868 ops,   79690 (avg:   79947) ops/sec, 3.01MB/sec (avg: 3.02MB/sec),  2.01 (avg:  2.00) msec latency[RUN #1 90%,  27 secs]  4 threads:     2157400 ops,   78520 (avg:   79894) ops/sec, 2.96MB/sec (avg: 3.01MB/sec),  2.03 (avg:  2.00) msec latency[RUN #1 93%,  28 secs]  4 threads:     2236049 ops,   78637 (avg:   79849) ops/sec, 2.97MB/sec (avg: 3.01MB/sec),  2.03 (avg:  2.00) msec latency[RUN #1 97%,  29 secs]  4 threads:     2313982 ops,   77921 (avg:   79783) ops/sec, 2.94MB/sec (avg: 3.01MB/sec),  2.05 (avg:  2.00) msec latency[RUN #1 100%,  30 secs]  0 threads:     2392348 ops,   77921 (avg:   79742) ops/sec, 2.94MB/sec (avg: 3.01MB/sec),  2.05 (avg:  2.00) msec latency

4         Threads
40        Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        7251.48          ---          ---      2.02700       537.51
Gets       72490.70      8325.51     64165.19      2.00100      2541.94
Totals     79742.18      8325.51     64165.19      2.00300      3079.46


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     69.23448
SET       2.000     90.67349
SET       3.000     90.83897
SET       4.000     90.91941
SET       5.000     98.96898
SET       6.000     99.95495
SET       7.000     99.96139
SET       8.000     99.96828
SET       9.000     99.97840
SET      11.000     99.98345
SET      12.000     99.98483
SET      13.000     99.98621
SET      14.000     99.98897
SET      15.000     99.99035
SET      19.000     99.99081
SET      20.000     99.99127
SET      22.000     99.99173
SET      23.000     99.99219
SET      24.000     99.99265
SET      25.000     99.99311
SET      26.000     99.99356
SET      28.000     99.99402
SET      29.000     99.99448
SET      30.000     99.99494
SET      74.000     99.99540
SET      77.000     99.99586
SET      79.000     99.99632
SET      83.000     99.99678
SET      85.000     99.99724
SET      88.000     99.99770
SET      91.000     99.99816
SET      94.000     99.99862
SET      97.000     99.99908
SET     100.000    100.00000
---
GET       0.180      0.00005
GET       0.220      0.00014
GET       0.250      0.00060
GET       0.260      0.00087
GET       0.270      0.00115
GET       0.280      0.00143
GET       0.290      0.00189
GET       0.300      0.00262
GET       0.310      0.00313
GET       0.320      0.00363
GET       0.330      0.00432
GET       0.340      0.00529
GET       0.350      0.00653
GET       0.360      0.00754
GET       0.370      0.00851
GET       0.380      0.01016
GET       0.390      0.01136
GET       0.400      0.01320
GET       0.410      0.01453
GET       0.420      0.01674
GET       0.430      0.01835
GET       0.440      0.02028
GET       0.450      0.02189
GET       0.460      0.02313
GET       0.470      0.02451
GET       0.480      0.02589
GET       0.490      0.02731
GET       0.500      0.02869
GET       0.510      0.03007
GET       0.520      0.03168
GET       0.530      0.03334
GET       0.540      0.03504
GET       0.550      0.03706
GET       0.560      0.03862
GET       0.570      0.04060
GET       0.580      0.04318
GET       0.590      0.04552
GET       0.600      0.04787
GET       0.610      0.04984
GET       0.620      0.05214
GET       0.630      0.05430
GET       0.640      0.05647
GET       0.650      0.05881
GET       0.660      0.06134
GET       0.670      0.06345
GET       0.680      0.06598
GET       0.690      0.06819
GET       0.700      0.07113
GET       0.710      0.07329
GET       0.720      0.07523
GET       0.730      0.07752
GET       0.740      0.08042
GET       0.750      0.08332
GET       0.760      0.08621
GET       0.770      0.08879
GET       0.780      0.09210
GET       0.790      0.09518
GET       0.800      0.09780
GET       0.810      0.10120
GET       0.820      0.10594
GET       0.830      0.11146
GET       0.840      0.11748
GET       0.850      0.12378
GET       0.860      0.13063
GET       0.870      0.13882
GET       0.880      0.14898
GET       0.890      0.16231
GET       0.900      0.17583
GET       0.910      0.19363
GET       0.920      0.21492
GET       0.930      0.23855
GET       0.940      0.26632
GET       0.950      0.30122
GET       0.960      0.34748
GET       0.970      0.40376
GET       0.980      0.46850
GET       0.990      0.56097
GET       1.000      2.21708
GET       1.100     26.17055
GET       1.200     38.45483
GET       1.300     39.75030
GET       1.400     40.07530
GET       1.500     41.76520
GET       1.600     54.83038
GET       1.700     67.22460
GET       1.800     69.01047
GET       1.900     69.29284
GET       2.000     69.35152
GET       2.100     69.45718
GET       2.200     70.34067
GET       2.300     71.43534
GET       2.400     72.36647
GET       2.500     77.02042
GET       2.600     85.39624
GET       2.700     89.60914
GET       2.800     90.57387
GET       2.900     90.72382
GET       3.000     90.74667
GET       3.100     90.75831
GET       3.200     90.78410
GET       3.300     90.82824
GET       3.400     90.85298
GET       3.500     90.86484
GET       3.600     90.87142
GET       3.700     90.87694
GET       3.800     90.88425
GET       3.900     90.89050
GET       4.000     90.89873
GET       4.100     90.90646
GET       4.200     90.91377
GET       4.300     90.92241
GET       4.400     90.93101
GET       4.500     90.93947
GET       4.600     90.94756
GET       4.700     90.95607
GET       4.800     90.96269
GET       4.900     90.97580
GET       5.000     90.99608
GET       5.100     91.06863
GET       5.200     91.26755
GET       5.300     91.75881
GET       5.400     92.78544
GET       5.500     94.43240
GET       5.600     96.42656
GET       5.700     98.18079
GET       5.800     99.21928
GET       5.900     99.70347
GET       6.000     99.88753
GET       6.100     99.94657
GET       6.200     99.96795
GET       6.300     99.97669
GET       6.400     99.98096
GET       6.500     99.98598
GET       6.600     99.99232
GET       6.700     99.99692
GET       6.800     99.99853
GET       6.900     99.99954
GET       7.000    100.00000
