[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  4 threads:      125040 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  4 threads:      248246 ops,  123186 (avg:  124133) ops/sec, 4.65MB/sec (avg: 4.68MB/sec),  1.30 (avg:  1.28) msec latency[RUN #1 10%,   2 secs]  4 threads:      369659 ops,  121396 (avg:  123220) ops/sec, 4.58MB/sec (avg: 4.65MB/sec),  1.31 (avg:  1.29) msec latency[RUN #1 13%,   4 secs]  4 threads:      490738 ops,  121061 (avg:  122681) ops/sec, 4.57MB/sec (avg: 4.63MB/sec),  1.32 (avg:  1.30) msec latency[RUN #1 17%,   5 secs]  4 threads:      610720 ops,  119965 (avg:  122138) ops/sec, 4.52MB/sec (avg: 4.61MB/sec),  1.33 (avg:  1.31) msec latency[RUN #1 20%,   6 secs]  4 threads:      734142 ops,  123404 (avg:  122349) ops/sec, 4.65MB/sec (avg: 4.61MB/sec),  1.29 (avg:  1.30) msec latency[RUN #1 23%,   7 secs]  4 threads:      856231 ops,  122074 (avg:  122309) ops/sec, 4.60MB/sec (avg: 4.61MB/sec),  1.31 (avg:  1.30) msec latency[RUN #1 27%,   8 secs]  4 threads:      977764 ops,  121516 (avg:  122210) ops/sec, 4.58MB/sec (avg: 4.61MB/sec),  1.31 (avg:  1.31) msec latency[RUN #1 30%,   9 secs]  4 threads:     1102023 ops,  124243 (avg:  122436) ops/sec, 4.69MB/sec (avg: 4.62MB/sec),  1.29 (avg:  1.30) msec latency[RUN #1 33%,  10 secs]  4 threads:     1222855 ops,  120816 (avg:  122274) ops/sec, 4.56MB/sec (avg: 4.61MB/sec),  1.32 (avg:  1.31) msec latency[RUN #1 37%,  11 secs]  4 threads:     1346852 ops,  123983 (avg:  122429) ops/sec, 4.68MB/sec (avg: 4.62MB/sec),  1.29 (avg:  1.30) msec latency[RUN #1 40%,  12 secs]  4 threads:     1466856 ops,  119989 (avg:  122226) ops/sec, 4.53MB/sec (avg: 4.61MB/sec),  1.33 (avg:  1.31) msec latency[RUN #1 43%,  13 secs]  4 threads:     1588944 ops,  122056 (avg:  122213) ops/sec, 4.60MB/sec (avg: 4.61MB/sec),  1.31 (avg:  1.31) msec latency[RUN #1 47%,  14 secs]  4 threads:     1712226 ops,  123232 (avg:  122286) ops/sec, 4.65MB/sec (avg: 4.61MB/sec),  1.30 (avg:  1.31) msec latency[RUN #1 50%,  15 secs]  4 threads:     1833775 ops,  121533 (avg:  122236) ops/sec, 4.58MB/sec (avg: 4.61MB/sec),  1.31 (avg:  1.31) msec latency[RUN #1 53%,  16 secs]  4 threads:     1955276 ops,  121485 (avg:  122189) ops/sec, 4.58MB/sec (avg: 4.61MB/sec),  1.31 (avg:  1.31) msec latency[RUN #1 57%,  17 secs]  4 threads:     2076056 ops,  120764 (avg:  122105) ops/sec, 4.55MB/sec (avg: 4.60MB/sec),  1.32 (avg:  1.31) msec latency[RUN #1 60%,  18 secs]  4 threads:     2195852 ops,  119778 (avg:  121976) ops/sec, 4.52MB/sec (avg: 4.60MB/sec),  1.33 (avg:  1.31) msec latency[RUN #1 63%,  19 secs]  4 threads:     2319851 ops,  123981 (avg:  122081) ops/sec, 4.68MB/sec (avg: 4.60MB/sec),  1.29 (avg:  1.31) msec latency[RUN #1 67%,  20 secs]  4 threads:     2443703 ops,  123834 (avg:  122169) ops/sec, 4.67MB/sec (avg: 4.61MB/sec),  1.29 (avg:  1.31) msec latency[RUN #1 70%,  21 secs]  4 threads:     2564240 ops,  120520 (avg:  122090) ops/sec, 4.55MB/sec (avg: 4.60MB/sec),  1.32 (avg:  1.31) msec latency[RUN #1 73%,  22 secs]  4 threads:     2688138 ops,  123880 (avg:  122172) ops/sec, 4.67MB/sec (avg: 4.61MB/sec),  1.29 (avg:  1.31) msec latency[RUN #1 77%,  23 secs]  4 threads:     2808038 ops,  119882 (avg:  122072) ops/sec, 4.52MB/sec (avg: 4.60MB/sec),  1.33 (avg:  1.31) msec latency[RUN #1 80%,  24 secs]  4 threads:     2928807 ops,  120754 (avg:  122017) ops/sec, 4.55MB/sec (avg: 4.60MB/sec),  1.32 (avg:  1.31) msec latency[RUN #1 83%,  25 secs]  4 threads:     3049812 ops,  120990 (avg:  121976) ops/sec, 4.56MB/sec (avg: 4.60MB/sec),  1.32 (avg:  1.31) msec latency[RUN #1 87%,  26 secs]  4 threads:     3169146 ops,  119317 (avg:  121874) ops/sec, 4.50MB/sec (avg: 4.60MB/sec),  1.34 (avg:  1.31) msec latency[RUN #1 90%,  27 secs]  4 threads:     3288798 ops,  119638 (avg:  121791) ops/sec, 4.51MB/sec (avg: 4.59MB/sec),  1.33 (avg:  1.31) msec latency[RUN #1 93%,  28 secs]  4 threads:     3406747 ops,  117932 (avg:  121653) ops/sec, 4.45MB/sec (avg: 4.59MB/sec),  1.35 (avg:  1.31) msec latency[RUN #1 97%,  29 secs]  4 threads:     3525247 ops,  118483 (avg:  121544) ops/sec, 4.47MB/sec (avg: 4.58MB/sec),  1.35 (avg:  1.31) msec latency[RUN #1 100%,  30 secs]  4 threads:     3644168 ops,  118483 (avg:  121467) ops/sec, 4.47MB/sec (avg: 4.58MB/sec),  1.35 (avg:  1.31) msec latency[RUN #1 100%,  30 secs]  0 threads:     3644187 ops,  118483 (avg:  121464) ops/sec, 4.47MB/sec (avg: 4.58MB/sec),  1.35 (avg:  1.31) msec latency

4         Threads
40        Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets       11044.39          ---          ---      1.31800       818.67
Gets      110417.40     19342.00     91075.41      1.31300      3871.81
Totals    121461.79     19342.00     91075.41      1.31400      4690.49


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     96.65049
SET       2.000     96.83549
SET       3.000     97.39017
SET       4.000     99.61704
SET       5.000     99.77668
SET       6.000     99.78422
SET       7.000     99.78483
SET       8.000     99.78996
SET       9.000     99.79539
SET      10.000     99.79961
SET      11.000     99.80806
SET      12.000     99.81350
SET      13.000     99.82496
SET      14.000     99.83915
SET      15.000     99.85454
SET      16.000     99.87084
SET      17.000     99.88291
SET      18.000     99.89920
SET      19.000     99.91912
SET      20.000     99.93149
SET      21.000     99.94176
SET      22.000     99.95141
SET      23.000     99.96409
SET      24.000     99.97314
SET      25.000     99.97978
SET      26.000     99.98310
SET      27.000     99.98883
SET      28.000     99.99246
SET      29.000     99.99396
SET      30.000     99.99547
SET      31.000     99.99638
SET      32.000     99.99759
SET      33.000     99.99819
SET      34.000     99.99849
SET      35.000     99.99879
SET      36.000     99.99909
SET      39.000     99.99940
SET      41.000     99.99970
SET      57.000    100.00000
---
GET       0.130      0.00003
GET       0.140      0.00006
GET       0.150      0.00018
GET       0.160      0.00021
GET       0.170      0.00030
GET       0.180      0.00039
GET       0.190      0.00066
GET       0.200      0.00085
GET       0.210      0.00118
GET       0.220      0.00154
GET       0.230      0.00178
GET       0.240      0.00235
GET       0.250      0.00299
GET       0.260      0.00365
GET       0.270      0.00438
GET       0.280      0.00528
GET       0.290      0.00625
GET       0.300      0.00758
GET       0.310      0.00909
GET       0.320      0.01096
GET       0.330      0.01337
GET       0.340      0.01603
GET       0.350      0.01938
GET       0.360      0.02333
GET       0.370      0.02840
GET       0.380      0.03405
GET       0.390      0.04105
GET       0.400      0.04987
GET       0.410      0.05947
GET       0.420      0.07039
GET       0.430      0.08515
GET       0.440      0.10251
GET       0.450      0.12503
GET       0.460      0.15220
GET       0.470      0.18498
GET       0.480      0.22724
GET       0.490      0.28088
GET       0.500      0.34883
GET       0.510      0.43857
GET       0.520      0.54675
GET       0.530      0.69125
GET       0.540      0.89090
GET       0.550      1.15835
GET       0.560      1.50467
GET       0.570      1.98193
GET       0.580      2.66018
GET       0.590      3.59868
GET       0.600      4.80683
GET       0.610      6.38129
GET       0.620      8.45046
GET       0.630     11.20234
GET       0.640     14.61369
GET       0.650     18.45045
GET       0.660     22.68988
GET       0.670     27.24684
GET       0.680     32.18133
GET       0.690     37.06918
GET       0.700     41.41894
GET       0.710     45.05692
GET       0.720     48.06523
GET       0.730     50.54529
GET       0.740     52.51183
GET       0.750     53.99688
GET       0.760     55.10357
GET       0.770     55.94736
GET       0.780     56.62237
GET       0.790     57.15699
GET       0.800     57.61349
GET       0.810     58.00829
GET       0.820     58.36137
GET       0.830     58.68756
GET       0.840     58.98673
GET       0.850     59.26763
GET       0.860     59.51742
GET       0.870     59.74357
GET       0.880     59.94564
GET       0.890     60.13107
GET       0.900     60.29099
GET       0.910     60.43205
GET       0.920     60.55346
GET       0.930     60.65527
GET       0.940     60.74553
GET       0.950     60.82253
GET       0.960     60.89307
GET       0.970     60.95326
GET       0.980     61.00684
GET       0.990     61.05363
GET       1.000     61.26050
GET       1.100     61.69399
GET       1.200     64.37699
GET       1.300     76.82117
GET       1.400     88.59004
GET       1.500     91.42089
GET       1.600     92.22618
GET       1.700     92.48255
GET       1.800     92.57899
GET       1.900     92.60957
GET       2.000     92.62167
GET       2.100     92.62738
GET       2.200     92.63139
GET       2.300     92.63734
GET       2.400     92.66692
GET       2.500     92.80191
GET       2.600     93.13634
GET       2.700     93.51520
GET       2.800     93.71597
GET       2.900     93.78138
GET       3.000     93.80308
GET       3.100     93.81120
GET       3.200     93.81676
GET       3.300     93.82403
GET       3.400     93.83294
GET       3.500     93.84869
GET       3.600     93.88410
GET       3.700     93.94287
GET       3.800     94.02462
GET       3.900     94.12553
GET       4.000     94.33112
GET       4.100     94.72797
GET       4.200     95.27648
GET       4.300     95.80814
GET       4.400     96.24746
GET       4.500     96.69590
GET       4.600     97.25467
GET       4.700     97.85549
GET       4.800     98.31911
GET       4.900     98.58607
GET       5.000     98.72698
GET       5.100     98.81455
GET       5.200     98.87437
GET       5.300     98.90867
GET       5.400     98.92412
GET       5.500     98.92865
GET       5.600     98.92961
GET       5.700     98.92971
GET       5.800     98.92977
GET       5.900     98.92983
GET       6.000     98.92998
GET       6.100     98.93022
GET       6.200     98.93025
GET       6.300     98.93037
GET       6.400     98.93040
GET       6.600     98.93046
GET       6.700     98.93058
GET       6.800     98.93079
GET       6.900     98.93097
GET       7.000     98.93103
GET       7.100     98.93106
GET       7.200     98.93115
GET       7.300     98.93127
GET       7.400     98.93149
GET       7.500     98.93170
GET       7.600     98.93242
GET       7.700     98.93318
GET       7.800     98.93360
GET       7.900     98.93417
GET       8.000     98.93475
GET       8.100     98.93568
GET       8.200     98.93722
GET       8.300     98.93870
GET       8.400     98.94006
GET       8.500     98.94130
GET       8.600     98.94272
GET       8.700     98.94386
GET       8.800     98.94537
GET       8.900     98.94685
GET       9.000     98.94821
GET       9.100     98.94948
GET       9.200     98.95053
GET       9.300     98.95114
GET       9.400     98.95186
GET       9.500     98.95277
GET       9.600     98.95349
GET       9.700     98.95400
GET       9.800     98.95443
GET       9.900     98.95503
GET      10.000     98.95829
GET      11.000     98.96602
GET      12.000     98.98172
GET      13.000     99.01462
GET      14.000     99.06925
GET      15.000     99.14952
GET      16.000     99.24361
GET      17.000     99.34382
GET      18.000     99.44567
GET      19.000     99.54549
GET      20.000     99.63394
GET      21.000     99.70436
GET      22.000     99.76787
GET      23.000     99.81807
GET      24.000     99.85976
GET      25.000     99.89203
GET      26.000     99.91811
GET      27.000     99.93746
GET      28.000     99.95185
GET      29.000     99.96308
GET      30.000     99.97084
GET      31.000     99.97685
GET      32.000     99.98135
GET      33.000     99.98415
GET      34.000     99.98711
GET      35.000     99.98853
GET      36.000     99.99004
GET      37.000     99.99125
GET      38.000     99.99239
GET      39.000     99.99369
GET      40.000     99.99502
GET      41.000     99.99577
GET      42.000     99.99629
GET      43.000     99.99689
GET      44.000     99.99740
GET      45.000     99.99771
GET      46.000     99.99801
GET      47.000     99.99840
GET      48.000     99.99858
GET      49.000     99.99876
GET      50.000     99.99882
GET      51.000     99.99885
GET      52.000     99.99888
GET      55.000     99.99891
GET      56.000     99.99897
GET      57.000     99.99906
GET      58.000     99.99928
GET      59.000     99.99940
GET      60.000     99.99946
GET      64.000     99.99952
GET      65.000     99.99970
GET      66.000     99.99991
GET      68.000     99.99997
GET      69.000    100.00000
