[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  4 threads:       13783 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  4 threads:       27524 ops,   13739 (avg:   13761) ops/sec, 506.53KB/sec (avg: 505.62KB/sec),  5.82 (avg:  5.80) msec latency[RUN #1 10%,   3 secs]  4 threads:       41345 ops,   13819 (avg:   13780) ops/sec, 499.99KB/sec (avg: 503.75KB/sec),  5.78 (avg:  5.79) msec latency[RUN #1 13%,   4 secs]  4 threads:       55196 ops,   13849 (avg:   13798) ops/sec, 493.27KB/sec (avg: 501.13KB/sec),  5.77 (avg:  5.79) msec latency[RUN #1 17%,   5 secs]  4 threads:       69014 ops,   13816 (avg:   13801) ops/sec, 501.65KB/sec (avg: 501.23KB/sec),  5.78 (avg:  5.79) msec latency[RUN #1 20%,   6 secs]  4 threads:       82911 ops,   13895 (avg:   13817) ops/sec, 503.69KB/sec (avg: 501.64KB/sec),  5.75 (avg:  5.78) msec latency[RUN #1 23%,   7 secs]  4 threads:       96806 ops,   13893 (avg:   13828) ops/sec, 508.69KB/sec (avg: 502.65KB/sec),  5.76 (avg:  5.78) msec latency[RUN #1 27%,   8 secs]  4 threads:      110718 ops,   13910 (avg:   13838) ops/sec, 500.93KB/sec (avg: 502.43KB/sec),  5.75 (avg:  5.77) msec latency[RUN #1 30%,   9 secs]  4 threads:      124595 ops,   13875 (avg:   13842) ops/sec, 511.49KB/sec (avg: 503.44KB/sec),  5.76 (avg:  5.77) msec latency[RUN #1 33%,  10 secs]  4 threads:      138465 ops,   13868 (avg:   13845) ops/sec, 509.59KB/sec (avg: 504.06KB/sec),  5.76 (avg:  5.77) msec latency[RUN #1 37%,  11 secs]  4 threads:      152328 ops,   13861 (avg:   13846) ops/sec, 504.28KB/sec (avg: 504.08KB/sec),  5.77 (avg:  5.77) msec latency[RUN #1 40%,  12 secs]  4 threads:      166232 ops,   13902 (avg:   13851) ops/sec, 513.40KB/sec (avg: 504.85KB/sec),  5.75 (avg:  5.77) msec latency[RUN #1 43%,  13 secs]  4 threads:      180133 ops,   13899 (avg:   13854) ops/sec, 507.62KB/sec (avg: 505.07KB/sec),  5.75 (avg:  5.77) msec latency[RUN #1 47%,  14 secs]  4 threads:      194034 ops,   13899 (avg:   13858) ops/sec, 521.26KB/sec (avg: 506.22KB/sec),  5.75 (avg:  5.77) msec latency[RUN #1 50%,  15 secs]  4 threads:      207909 ops,   13873 (avg:   13859) ops/sec, 505.21KB/sec (avg: 506.15KB/sec),  5.76 (avg:  5.77) msec latency[RUN #1 53%,  16 secs]  4 threads:      221829 ops,   13918 (avg:   13862) ops/sec, 505.29KB/sec (avg: 506.10KB/sec),  5.75 (avg:  5.77) msec latency[RUN #1 57%,  17 secs]  4 threads:      235732 ops,   13901 (avg:   13865) ops/sec, 495.04KB/sec (avg: 505.45KB/sec),  5.75 (avg:  5.76) msec latency[RUN #1 60%,  18 secs]  4 threads:      249644 ops,   13910 (avg:   13867) ops/sec, 506.53KB/sec (avg: 505.51KB/sec),  5.75 (avg:  5.76) msec latency[RUN #1 63%,  19 secs]  4 threads:      263549 ops,   13903 (avg:   13869) ops/sec, 513.92KB/sec (avg: 505.95KB/sec),  5.75 (avg:  5.76) msec latency[RUN #1 67%,  20 secs]  4 threads:      277464 ops,   13913 (avg:   13871) ops/sec, 504.75KB/sec (avg: 505.89KB/sec),  5.75 (avg:  5.76) msec latency[RUN #1 70%,  21 secs]  4 threads:      291391 ops,   13925 (avg:   13874) ops/sec, 508.82KB/sec (avg: 506.03KB/sec),  5.74 (avg:  5.76) msec latency[RUN #1 73%,  22 secs]  4 threads:      305294 ops,   13901 (avg:   13875) ops/sec, 493.25KB/sec (avg: 505.45KB/sec),  5.75 (avg:  5.76) msec latency[RUN #1 77%,  23 secs]  4 threads:      319217 ops,   13921 (avg:   13877) ops/sec, 499.53KB/sec (avg: 505.19KB/sec),  5.74 (avg:  5.76) msec latency[RUN #1 80%,  24 secs]  4 threads:      333084 ops,   13865 (avg:   13876) ops/sec, 531.35KB/sec (avg: 506.28KB/sec),  5.77 (avg:  5.76) msec latency[RUN #1 83%,  25 secs]  4 threads:      346992 ops,   13906 (avg:   13878) ops/sec, 530.09KB/sec (avg: 507.24KB/sec),  5.75 (avg:  5.76) msec latency[RUN #1 87%,  26 secs]  4 threads:      360876 ops,   13882 (avg:   13878) ops/sec, 519.18KB/sec (avg: 507.70KB/sec),  5.76 (avg:  5.76) msec latency[RUN #1 90%,  27 secs]  4 threads:      374784 ops,   13906 (avg:   13879) ops/sec, 499.00KB/sec (avg: 507.37KB/sec),  5.75 (avg:  5.76) msec latency[RUN #1 93%,  28 secs]  4 threads:      388672 ops,   13886 (avg:   13879) ops/sec, 506.44KB/sec (avg: 507.34KB/sec),  5.76 (avg:  5.76) msec latency[RUN #1 97%,  29 secs]  4 threads:      402580 ops,   13906 (avg:   13880) ops/sec, 514.62KB/sec (avg: 507.59KB/sec),  5.75 (avg:  5.76) msec latency[RUN #1 100%,  30 secs]  0 threads:      416941 ops,   13906 (avg:   13897) ops/sec, 514.62KB/sec (avg: 508.27KB/sec),  5.75 (avg:  5.75) msec latency

4         Threads
20        Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1264.67          ---          ---      5.74900        93.74
Gets       12633.08       548.46     12084.62      5.75200       414.53
Totals     13897.75       548.46     12084.62      5.75100       508.28


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000      0.02372
SET       2.000      0.06062
SET       3.000      0.24775
SET       4.000      1.45753
SET       5.000     65.73100
SET       6.000    100.00000
---
GET       1.400      0.00079
GET       1.500      0.00237
GET       1.600      0.00580
GET       1.700      0.00844
GET       1.800      0.01266
GET       1.900      0.01768
GET       2.000      0.02032
GET       2.100      0.02427
GET       2.200      0.02480
GET       2.300      0.02691
GET       2.400      0.02823
GET       2.500      0.03034
GET       2.600      0.03219
GET       2.700      0.03298
GET       2.800      0.03509
GET       2.900      0.04142
GET       3.000      0.05594
GET       3.100      0.07309
GET       3.200      0.09129
GET       3.300      0.10712
GET       3.400      0.12876
GET       3.500      0.15145
GET       3.600      0.18206
GET       3.700      0.21082
GET       3.800      0.23483
GET       3.900      0.24644
GET       4.000      0.25673
GET       4.100      0.26385
GET       4.200      0.27388
GET       4.300      0.28628
GET       4.400      0.30343
GET       4.500      0.32137
GET       4.600      0.33430
GET       4.700      0.34934
GET       4.800      0.38997
GET       4.900      0.68918
GET       5.000      3.33087
GET       5.100     10.35224
GET       5.200     15.82454
GET       5.300     22.78654
GET       5.400     29.97942
GET       5.500     35.35277
GET       5.600     43.52955
GET       5.700     48.99499
GET       5.800     56.20765
GET       5.900     63.27520
GET       6.000     68.78391
GET       6.100     76.90290
GET       6.200     82.37230
GET       6.300     89.75303
GET       6.400     96.21583
GET       6.500     98.89235
GET       6.600     99.78074
GET       6.700     99.96148
GET       6.800     99.99657
GET       6.900    100.00000
