ops/s, hits/s, miss/s, latency, KB/s
17606.9367857, 15799.1928571, 207.046071429, 0.280607142857, 664.327142857
20570.4410714, 18700.2525, 0.0, 0.484464285714, 776.145357143
21704.41, 19731.0485714, 0.0, 0.690357142857, 818.935
22277.1060714, 20251.6139286, 0.0, 0.894571428571, 840.545714286
22783.1660714, 20711.5867857, 0.0, 1.10042857143, 859.641785714
23106.0453571, 21005.0464286, 0.0, 1.29896428571, 871.828214286
23320.2792857, 21199.7232143, 0.0, 1.51264285714, 879.913214286
23726.5532143, 21568.9925, 0.0, 1.72435714286, 895.245714286
23756.5746429, 21596.2007143, 0.0, 1.90817857143, 896.3825
23443.1546429, 21311.2092857, 0.0, 2.16710714286, 884.558928571
23539.9185714, 21399.0739286, 0.0, 2.33682142857, 888.214285714
23376.1971429, 21250.1746429, 0.0, 2.57278571429, 882.039642857
23538.1557143, 21397.3260714, 0.0, 2.84871428571, 888.153571429
23407.4817857, 21278.4814286, 0.0, 2.99664285714, 883.225
23966.5435714, 21786.6407143, 0.0, 3.14607142857, 904.320714286
23742.6510714, 21583.0346429, 0.0, 3.43217857143, 895.876785714
