[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       16726 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       33398 ops,   16670 (avg:   16698) ops/sec, 657.51KB/sec (avg: 634.44KB/sec),  0.36 (avg:  0.35) msec latency[RUN #1 10%,   3 secs]  2 threads:       48545 ops,   15145 (avg:   16180) ops/sec, 634.47KB/sec (avg: 634.45KB/sec),  0.39 (avg:  0.37) msec latency[RUN #1 13%,   4 secs]  2 threads:       63405 ops,   14858 (avg:   15850) ops/sec, 654.67KB/sec (avg: 639.50KB/sec),  0.40 (avg:  0.37) msec latency[RUN #1 17%,   5 secs]  2 threads:       78159 ops,   14752 (avg:   15630) ops/sec, 682.91KB/sec (avg: 648.19KB/sec),  0.40 (avg:  0.38) msec latency[RUN #1 20%,   6 secs]  2 threads:       93176 ops,   15015 (avg:   15527) ops/sec, 713.80KB/sec (avg: 659.12KB/sec),  0.39 (avg:  0.38) msec latency[RUN #1 23%,   7 secs]  2 threads:      107725 ops,   14547 (avg:   15387) ops/sec, 725.04KB/sec (avg: 668.54KB/sec),  0.41 (avg:  0.39) msec latency[RUN #1 27%,   8 secs]  2 threads:      122242 ops,   14515 (avg:   15278) ops/sec, 746.55KB/sec (avg: 678.29KB/sec),  0.41 (avg:  0.39) msec latency[RUN #1 30%,   9 secs]  2 threads:      137086 ops,   14842 (avg:   15230) ops/sec, 791.98KB/sec (avg: 690.92KB/sec),  0.40 (avg:  0.39) msec latency[RUN #1 33%,  10 secs]  2 threads:      151676 ops,   14588 (avg:   15166) ops/sec, 794.22KB/sec (avg: 701.25KB/sec),  0.41 (avg:  0.39) msec latency[RUN #1 37%,  11 secs]  2 threads:      166394 ops,   14716 (avg:   15125) ops/sec, 810.39KB/sec (avg: 711.17KB/sec),  0.40 (avg:  0.39) msec latency[RUN #1 40%,  12 secs]  2 threads:      181450 ops,   15054 (avg:   15119) ops/sec, 847.09KB/sec (avg: 722.50KB/sec),  0.39 (avg:  0.39) msec latency[RUN #1 43%,  13 secs]  2 threads:      195965 ops,   14513 (avg:   15072) ops/sec, 840.03KB/sec (avg: 731.54KB/sec),  0.41 (avg:  0.39) msec latency[RUN #1 47%,  14 secs]  2 threads:      210946 ops,   14979 (avg:   15066) ops/sec, 876.60KB/sec (avg: 741.90KB/sec),  0.40 (avg:  0.39) msec latency[RUN #1 50%,  15 secs]  2 threads:      225490 ops,   14542 (avg:   15031) ops/sec, 865.03KB/sec (avg: 750.11KB/sec),  0.41 (avg:  0.39) msec latency[RUN #1 53%,  16 secs]  2 threads:      240102 ops,   14610 (avg:   15004) ops/sec, 878.22KB/sec (avg: 758.12KB/sec),  0.41 (avg:  0.40) msec latency[RUN #1 57%,  17 secs]  2 threads:      254851 ops,   14747 (avg:   14989) ops/sec, 895.22KB/sec (avg: 766.18KB/sec),  0.40 (avg:  0.40) msec latency[RUN #1 60%,  18 secs]  2 threads:      269540 ops,   14687 (avg:   14973) ops/sec, 899.89KB/sec (avg: 773.61KB/sec),  0.40 (avg:  0.40) msec latency[RUN #1 63%,  19 secs]  2 threads:      284038 ops,   14496 (avg:   14947) ops/sec, 901.83KB/sec (avg: 780.36KB/sec),  0.41 (avg:  0.40) msec latency[RUN #1 67%,  20 secs]  2 threads:      298672 ops,   14632 (avg:   14932) ops/sec, 914.49KB/sec (avg: 787.07KB/sec),  0.41 (avg:  0.40) msec latency[RUN #1 70%,  21 secs]  2 threads:      313317 ops,   14643 (avg:   14918) ops/sec, 924.58KB/sec (avg: 793.61KB/sec),  0.40 (avg:  0.40) msec latency[RUN #1 73%,  22 secs]  2 threads:      327979 ops,   14660 (avg:   14906) ops/sec, 930.79KB/sec (avg: 799.85KB/sec),  0.40 (avg:  0.40) msec latency[RUN #1 77%,  23 secs]  2 threads:      342689 ops,   14708 (avg:   14898) ops/sec, 942.43KB/sec (avg: 806.05KB/sec),  0.40 (avg:  0.40) msec latency[RUN #1 80%,  24 secs]  2 threads:      357286 ops,   14595 (avg:   14885) ops/sec, 943.57KB/sec (avg: 811.78KB/sec),  0.41 (avg:  0.40) msec latency[RUN #1 83%,  25 secs]  2 threads:      371607 ops,   14319 (avg:   14862) ops/sec, 930.77KB/sec (avg: 816.54KB/sec),  0.41 (avg:  0.40) msec latency[RUN #1 87%,  26 secs]  2 threads:      385934 ops,   14325 (avg:   14842) ops/sec, 936.65KB/sec (avg: 821.16KB/sec),  0.41 (avg:  0.40) msec latency[RUN #1 90%,  27 secs]  2 threads:      400667 ops,   14731 (avg:   14838) ops/sec, 967.85KB/sec (avg: 826.59KB/sec),  0.40 (avg:  0.40) msec latency[RUN #1 93%,  28 secs]  2 threads:      415219 ops,   14550 (avg:   14827) ops/sec, 962.81KB/sec (avg: 831.46KB/sec),  0.41 (avg:  0.40) msec latency[RUN #1 97%,  29 secs]  2 threads:      429611 ops,   14390 (avg:   14812) ops/sec, 954.75KB/sec (avg: 835.71KB/sec),  0.41 (avg:  0.40) msec latency[RUN #1 100%,  30 secs]  0 threads:      444689 ops,   14390 (avg:   14822) ops/sec, 954.75KB/sec (avg: 841.36KB/sec),  0.41 (avg:  0.40) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1347.63          ---          ---      0.40200        99.65
Gets       13475.30      8514.51      4960.79      0.39900       741.72
Totals     14822.93      8514.51      4960.79      0.40000       841.36


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.074      0.00025
GET       0.075      0.00049
GET       0.081      0.00074
GET       0.086      0.00099
GET       0.089      0.00173
GET       0.090      0.00223
GET       0.091      0.00322
GET       0.092      0.00445
GET       0.093      0.00519
GET       0.094      0.00544
GET       0.095      0.00594
GET       0.096      0.00717
GET       0.097      0.00866
GET       0.098      0.00915
GET       0.099      0.00965
GET       0.100      0.01509
GET       0.110      0.02672
GET       0.120      0.03809
GET       0.130      0.05120
GET       0.140      0.07916
GET       0.150      0.10711
GET       0.160      0.12269
GET       0.170      0.14199
GET       0.180      0.15708
GET       0.190      0.16969
GET       0.200      0.18058
GET       0.210      0.20235
GET       0.220      0.24885
GET       0.230      0.36610
GET       0.240      0.65725
GET       0.250      1.24845
GET       0.260      2.22975
GET       0.270      3.84604
GET       0.280      6.44536
GET       0.290     10.57809
GET       0.300     15.72255
GET       0.310     21.13219
GET       0.320     26.57844
GET       0.330     31.54010
GET       0.340     35.43338
GET       0.350     38.06733
GET       0.360     39.95127
GET       0.370     41.45377
GET       0.380     42.80240
GET       0.390     44.14461
GET       0.400     45.86751
GET       0.410     48.20215
GET       0.420     51.45698
GET       0.430     55.94147
GET       0.440     61.50324
GET       0.450     67.48726
GET       0.460     73.58284
GET       0.470     79.42092
GET       0.480     84.75362
GET       0.490     89.13298
GET       0.500     92.50186
GET       0.510     94.97353
GET       0.520     96.72389
GET       0.530     97.93054
GET       0.540     98.69861
GET       0.550     99.12235
GET       0.560     99.39346
GET       0.570     99.54336
GET       0.580     99.63711
GET       0.590     99.69401
GET       0.600     99.73062
GET       0.610     99.76451
GET       0.620     99.79518
GET       0.630     99.81893
GET       0.640     99.84193
GET       0.650     99.86989
GET       0.660     99.89091
GET       0.670     99.91144
GET       0.680     99.93123
GET       0.690     99.94583
GET       0.700     99.95721
GET       0.710     99.96636
GET       0.720     99.97353
GET       0.730     99.97947
GET       0.740     99.98565
GET       0.750     99.98936
GET       0.760     99.99159
GET       0.770     99.99481
GET       0.780     99.99678
GET       0.790     99.99777
GET       0.800     99.99802
GET       0.810     99.99852
GET       0.820     99.99901
GET       0.840     99.99926
GET       1.200     99.99951
GET       1.300     99.99975
GET       1.400    100.00000
