[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       16066 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       30818 ops,   14750 (avg:   15408) ops/sec, 677.17KB/sec (avg: 655.36KB/sec),  0.20 (avg:  0.19) msec latency[RUN #1 10%,   3 secs]  1 threads:       44876 ops,   14056 (avg:   14958) ops/sec, 713.77KB/sec (avg: 674.83KB/sec),  0.21 (avg:  0.20) msec latency[RUN #1 13%,   4 secs]  1 threads:       57798 ops,   12920 (avg:   14448) ops/sec, 699.77KB/sec (avg: 681.07KB/sec),  0.23 (avg:  0.20) msec latency[RUN #1 17%,   5 secs]  1 threads:       70509 ops,   12709 (avg:   14100) ops/sec, 729.45KB/sec (avg: 690.74KB/sec),  0.23 (avg:  0.21) msec latency[RUN #1 20%,   6 secs]  1 threads:       83146 ops,   12635 (avg:   13856) ops/sec, 752.49KB/sec (avg: 701.04KB/sec),  0.23 (avg:  0.21) msec latency[RUN #1 23%,   7 secs]  1 threads:       95791 ops,   12643 (avg:   13683) ops/sec, 773.22KB/sec (avg: 711.35KB/sec),  0.23 (avg:  0.21) msec latency[RUN #1 27%,   8 secs]  1 threads:      108399 ops,   12606 (avg:   13548) ops/sec, 796.15KB/sec (avg: 721.95KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 30%,   9 secs]  1 threads:      121000 ops,   12599 (avg:   13443) ops/sec, 810.38KB/sec (avg: 731.77KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 33%,  10 secs]  1 threads:      133558 ops,   12556 (avg:   13354) ops/sec, 822.09KB/sec (avg: 740.81KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 37%,  11 secs]  1 threads:      146055 ops,   12495 (avg:   13276) ops/sec, 824.54KB/sec (avg: 748.42KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 40%,  12 secs]  1 threads:      158563 ops,   12506 (avg:   13212) ops/sec, 830.61KB/sec (avg: 755.27KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 43%,  13 secs]  1 threads:      171170 ops,   12605 (avg:   13165) ops/sec, 843.94KB/sec (avg: 762.09KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 47%,  14 secs]  1 threads:      183701 ops,   12529 (avg:   13120) ops/sec, 846.73KB/sec (avg: 768.13KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 50%,  15 secs]  1 threads:      196188 ops,   12485 (avg:   13078) ops/sec, 848.19KB/sec (avg: 773.47KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 53%,  16 secs]  1 threads:      208716 ops,   12526 (avg:   13043) ops/sec, 853.71KB/sec (avg: 778.49KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 57%,  17 secs]  1 threads:      221202 ops,   12484 (avg:   13010) ops/sec, 857.83KB/sec (avg: 783.15KB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 60%,  18 secs]  1 threads:      233700 ops,   12496 (avg:   12982) ops/sec, 857.52KB/sec (avg: 787.29KB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 63%,  19 secs]  1 threads:      246231 ops,   12529 (avg:   12958) ops/sec, 860.84KB/sec (avg: 791.16KB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 67%,  20 secs]  1 threads:      258847 ops,   12614 (avg:   12941) ops/sec, 869.59KB/sec (avg: 795.08KB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 70%,  21 secs]  1 threads:      271450 ops,   12601 (avg:   12925) ops/sec, 870.13KB/sec (avg: 798.65KB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 73%,  22 secs]  1 threads:      283983 ops,   12531 (avg:   12907) ops/sec, 866.16KB/sec (avg: 801.72KB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 77%,  23 secs]  1 threads:      296443 ops,   12458 (avg:   12887) ops/sec, 861.44KB/sec (avg: 804.32KB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 80%,  24 secs]  1 threads:      308996 ops,   12551 (avg:   12873) ops/sec, 867.64KB/sec (avg: 806.96KB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 83%,  25 secs]  1 threads:      321581 ops,   12583 (avg:   12862) ops/sec, 869.99KB/sec (avg: 809.48KB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 87%,  26 secs]  1 threads:      334060 ops,   12477 (avg:   12847) ops/sec, 862.55KB/sec (avg: 811.52KB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 90%,  27 secs]  1 threads:      346504 ops,   12442 (avg:   12832) ops/sec, 860.35KB/sec (avg: 813.33KB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 93%,  28 secs]  1 threads:      358999 ops,   12493 (avg:   12820) ops/sec, 864.19KB/sec (avg: 815.14KB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 97%,  29 secs]  1 threads:      371587 ops,   12586 (avg:   12812) ops/sec, 870.37KB/sec (avg: 817.05KB/sec),  0.23 (avg:  0.23) msec latency[RUN #1 100%,  30 secs]  0 threads:      384769 ops,   12586 (avg:   12825) ops/sec, 870.37KB/sec (avg: 820.28KB/sec),  0.23 (avg:  0.23) msec latency

1         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1166.03          ---          ---      0.22900        86.00
Gets       11659.57      9854.58      1805.00      0.22800       734.28
Totals     12825.60      9854.58      1805.00      0.22800       820.28


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.072      0.00029
GET       0.081      0.00057
GET       0.088      0.00086
GET       0.091      0.00143
GET       0.092      0.00200
GET       0.093      0.00229
GET       0.094      0.00314
GET       0.095      0.00400
GET       0.097      0.00429
GET       0.098      0.00457
GET       0.099      0.00543
GET       0.100      0.00686
GET       0.110      0.01601
GET       0.120      0.04974
GET       0.130      0.13608
GET       0.140      0.47943
GET       0.150      1.28678
GET       0.160      2.46892
GET       0.170      4.32919
GET       0.180      7.61861
GET       0.190     14.37528
GET       0.200     24.01169
GET       0.210     34.84053
GET       0.220     46.35265
GET       0.230     58.40395
GET       0.240     70.53758
GET       0.250     80.27291
GET       0.260     87.14078
GET       0.270     91.89595
GET       0.280     95.05329
GET       0.290     97.04564
GET       0.300     98.22607
GET       0.310     98.87646
GET       0.320     99.21410
GET       0.330     99.40307
GET       0.340     99.51056
GET       0.350     99.58518
GET       0.360     99.63978
GET       0.370     99.68238
GET       0.380     99.72012
GET       0.390     99.75042
GET       0.400     99.78730
GET       0.410     99.81932
GET       0.420     99.84734
GET       0.430     99.88422
GET       0.440     99.90937
GET       0.450     99.92939
GET       0.460     99.94425
GET       0.470     99.95826
GET       0.480     99.96627
GET       0.490     99.97427
GET       0.500     99.98170
GET       0.510     99.98628
GET       0.520     99.98942
GET       0.530     99.99142
GET       0.540     99.99285
GET       0.550     99.99314
GET       0.560     99.99400
GET       0.570     99.99428
GET       0.590     99.99514
GET       0.610     99.99543
GET       0.620     99.99600
GET       0.630     99.99686
GET       0.640     99.99714
GET       0.660     99.99771
GET       0.680     99.99800
GET       0.930     99.99857
GET       1.000     99.99886
GET       1.100     99.99914
GET       2.200    100.00000
