[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       15001 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       28940 ops,   13937 (avg:   14469) ops/sec, 630.87KB/sec (avg: 607.31KB/sec),  0.21 (avg:  0.20) msec latency[RUN #1 10%,   3 secs]  1 threads:       43014 ops,   14072 (avg:   14337) ops/sec, 707.82KB/sec (avg: 640.82KB/sec),  0.21 (avg:  0.20) msec latency[RUN #1 13%,   4 secs]  1 threads:       57092 ops,   14076 (avg:   14272) ops/sec, 755.89KB/sec (avg: 669.59KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 17%,   5 secs]  1 threads:       71146 ops,   14052 (avg:   14228) ops/sec, 802.60KB/sec (avg: 696.19KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 20%,   6 secs]  1 threads:       85122 ops,   13974 (avg:   14186) ops/sec, 833.54KB/sec (avg: 719.08KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 23%,   7 secs]  1 threads:       98985 ops,   13861 (avg:   14139) ops/sec, 853.43KB/sec (avg: 738.28KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 27%,   8 secs]  1 threads:      112878 ops,   13891 (avg:   14108) ops/sec, 879.87KB/sec (avg: 755.98KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 30%,   9 secs]  1 threads:      126693 ops,   13813 (avg:   14075) ops/sec, 895.57KB/sec (avg: 771.49KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 33%,  10 secs]  1 threads:      140529 ops,   13834 (avg:   14051) ops/sec, 908.88KB/sec (avg: 785.23KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 37%,  11 secs]  1 threads:      154337 ops,   13806 (avg:   14029) ops/sec, 914.23KB/sec (avg: 796.95KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 40%,  12 secs]  1 threads:      168225 ops,   13886 (avg:   14017) ops/sec, 927.52KB/sec (avg: 807.83KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 43%,  13 secs]  1 threads:      182013 ops,   13786 (avg:   13999) ops/sec, 929.98KB/sec (avg: 817.23KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 47%,  14 secs]  1 threads:      195755 ops,   13740 (avg:   13981) ops/sec, 932.18KB/sec (avg: 825.44KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 50%,  15 secs]  1 threads:      209626 ops,   13869 (avg:   13973) ops/sec, 946.15KB/sec (avg: 833.49KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 53%,  16 secs]  1 threads:      223446 ops,   13818 (avg:   13964) ops/sec, 948.95KB/sec (avg: 840.71KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 57%,  17 secs]  1 threads:      237182 ops,   13734 (avg:   13950) ops/sec, 942.52KB/sec (avg: 846.69KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 60%,  18 secs]  1 threads:      250967 ops,   13783 (avg:   13941) ops/sec, 948.54KB/sec (avg: 852.35KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 63%,  19 secs]  1 threads:      264787 ops,   13818 (avg:   13934) ops/sec, 953.12KB/sec (avg: 857.66KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 67%,  20 secs]  1 threads:      278586 ops,   13797 (avg:   13928) ops/sec, 953.76KB/sec (avg: 862.46KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 70%,  21 secs]  1 threads:      292326 ops,   13738 (avg:   13919) ops/sec, 949.73KB/sec (avg: 866.62KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 73%,  22 secs]  1 threads:      306142 ops,   13814 (avg:   13914) ops/sec, 954.94KB/sec (avg: 870.63KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 77%,  23 secs]  1 threads:      319992 ops,   13848 (avg:   13911) ops/sec, 957.53KB/sec (avg: 874.41KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 80%,  24 secs]  1 threads:      333758 ops,   13764 (avg:   13905) ops/sec, 951.50KB/sec (avg: 877.62KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 83%,  25 secs]  1 threads:      347479 ops,   13719 (avg:   13897) ops/sec, 948.64KB/sec (avg: 880.46KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 87%,  26 secs]  1 threads:      361228 ops,   13747 (avg:   13892) ops/sec, 950.77KB/sec (avg: 883.17KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 90%,  27 secs]  1 threads:      374962 ops,   13732 (avg:   13886) ops/sec, 949.57KB/sec (avg: 885.63KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 93%,  28 secs]  1 threads:      388781 ops,   13817 (avg:   13883) ops/sec, 955.84KB/sec (avg: 888.13KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 97%,  29 secs]  1 threads:      402624 ops,   13841 (avg:   13882) ops/sec, 958.05KB/sec (avg: 890.54KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 100%,  30 secs]  0 threads:      417605 ops,   13841 (avg:   13920) ops/sec, 958.05KB/sec (avg: 895.51KB/sec),  0.21 (avg:  0.21) msec latency

1         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1265.53          ---          ---      0.21100        93.34
Gets       12654.59     10832.70      1821.89      0.21000       802.17
Totals     13920.12     10832.70      1821.89      0.21000       895.51


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.086      0.00026
GET       0.089      0.00053
GET       0.090      0.00079
GET       0.091      0.00105
GET       0.094      0.00158
GET       0.095      0.00237
GET       0.096      0.00421
GET       0.098      0.00474
GET       0.099      0.00632
GET       0.100      0.01317
GET       0.110      0.03661
GET       0.120      0.09535
GET       0.130      0.23786
GET       0.140      0.88716
GET       0.150      2.27110
GET       0.160      4.55038
GET       0.170      8.49860
GET       0.180     15.73548
GET       0.190     29.80674
GET       0.200     45.63836
GET       0.210     59.56422
GET       0.220     71.20317
GET       0.230     80.85971
GET       0.240     88.44112
GET       0.250     93.45141
GET       0.260     96.32256
GET       0.270     97.89906
GET       0.280     98.73880
GET       0.290     99.17738
GET       0.300     99.41813
GET       0.310     99.54009
GET       0.320     99.61200
GET       0.330     99.66099
GET       0.340     99.69471
GET       0.350     99.72922
GET       0.360     99.76004
GET       0.370     99.79006
GET       0.380     99.82220
GET       0.390     99.85065
GET       0.400     99.87383
GET       0.410     99.90517
GET       0.420     99.92809
GET       0.430     99.94442
GET       0.440     99.95970
GET       0.450     99.96839
GET       0.460     99.97814
GET       0.470     99.98420
GET       0.480     99.98920
GET       0.490     99.99104
GET       0.500     99.99236
GET       0.510     99.99341
GET       0.520     99.99368
GET       0.530     99.99473
GET       0.540     99.99500
GET       0.560     99.99526
GET       0.570     99.99552
GET       0.670     99.99579
GET       0.680     99.99605
GET       0.710     99.99631
GET       1.100     99.99763
GET       1.200     99.99868
GET       1.300     99.99921
GET       1.400     99.99947
GET       2.600     99.99974
GET       2.700    100.00000
