[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       16455 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       30855 ops,   14398 (avg:   15426) ops/sec, 704.98KB/sec (avg: 690.21KB/sec),  0.20 (avg:  0.19) msec latency[RUN #1 10%,   3 secs]  1 threads:       41374 ops,   10517 (avg:   13790) ops/sec, 572.05KB/sec (avg: 650.83KB/sec),  0.28 (avg:  0.21) msec latency[RUN #1 13%,   4 secs]  1 threads:       50105 ops,    8730 (avg:   12525) ops/sec, 495.98KB/sec (avg: 612.11KB/sec),  0.34 (avg:  0.23) msec latency[RUN #1 17%,   5 secs]  1 threads:       56907 ops,    6801 (avg:   11380) ops/sec, 402.94KB/sec (avg: 570.28KB/sec),  0.43 (avg:  0.26) msec latency[RUN #1 20%,   6 secs]  1 threads:       62954 ops,    6046 (avg:   10491) ops/sec, 366.62KB/sec (avg: 536.33KB/sec),  0.49 (avg:  0.28) msec latency[RUN #1 23%,   7 secs]  1 threads:       71004 ops,    8049 (avg:   10142) ops/sec, 495.69KB/sec (avg: 530.53KB/sec),  0.37 (avg:  0.29) msec latency[RUN #1 27%,   8 secs]  1 threads:       84189 ops,   13183 (avg:   10522) ops/sec, 834.80KB/sec (avg: 568.56KB/sec),  0.22 (avg:  0.28) msec latency[RUN #1 30%,   9 secs]  1 threads:       95435 ops,   11244 (avg:   10602) ops/sec, 729.63KB/sec (avg: 586.46KB/sec),  0.26 (avg:  0.28) msec latency[RUN #1 33%,  10 secs]  1 threads:      103070 ops,    7634 (avg:   10306) ops/sec, 503.50KB/sec (avg: 578.16KB/sec),  0.39 (avg:  0.29) msec latency[RUN #1 37%,  11 secs]  1 threads:      113628 ops,   10557 (avg:   10328) ops/sec, 700.69KB/sec (avg: 589.30KB/sec),  0.28 (avg:  0.29) msec latency[RUN #1 40%,  12 secs]  1 threads:      119954 ops,    6325 (avg:    9995) ops/sec, 420.58KB/sec (avg: 575.24KB/sec),  0.47 (avg:  0.30) msec latency[RUN #1 43%,  13 secs]  1 threads:      126197 ops,    6242 (avg:    9706) ops/sec, 418.86KB/sec (avg: 563.21KB/sec),  0.47 (avg:  0.30) msec latency[RUN #1 47%,  14 secs]  1 threads:      132112 ops,    5914 (avg:    9435) ops/sec, 398.18KB/sec (avg: 551.42KB/sec),  0.50 (avg:  0.31) msec latency[RUN #1 50%,  15 secs]  1 threads:      137500 ops,    5387 (avg:    9165) ops/sec, 363.00KB/sec (avg: 538.86KB/sec),  0.55 (avg:  0.32) msec latency[RUN #1 53%,  16 secs]  1 threads:      143349 ops,    5848 (avg:    8958) ops/sec, 395.67KB/sec (avg: 529.91KB/sec),  0.51 (avg:  0.33) msec latency[RUN #1 57%,  17 secs]  1 threads:      149269 ops,    5918 (avg:    8779) ops/sec, 401.08KB/sec (avg: 522.33KB/sec),  0.50 (avg:  0.34) msec latency[RUN #1 60%,  18 secs]  1 threads:      155407 ops,    6137 (avg:    8632) ops/sec, 417.31KB/sec (avg: 516.50KB/sec),  0.48 (avg:  0.34) msec latency[RUN #1 63%,  19 secs]  1 threads:      161317 ops,    5909 (avg:    8489) ops/sec, 402.50KB/sec (avg: 510.50KB/sec),  0.50 (avg:  0.35) msec latency[RUN #1 67%,  20 secs]  1 threads:      167383 ops,    6065 (avg:    8368) ops/sec, 413.96KB/sec (avg: 505.67KB/sec),  0.49 (avg:  0.35) msec latency[RUN #1 70%,  21 secs]  1 threads:      174044 ops,    6660 (avg:    8286) ops/sec, 455.44KB/sec (avg: 503.28KB/sec),  0.44 (avg:  0.36) msec latency[RUN #1 73%,  22 secs]  1 threads:      185669 ops,   11624 (avg:    8438) ops/sec, 794.97KB/sec (avg: 516.54KB/sec),  0.25 (avg:  0.35) msec latency[RUN #1 77%,  23 secs]  1 threads:      195932 ops,   10262 (avg:    8517) ops/sec, 703.81KB/sec (avg: 524.68KB/sec),  0.29 (avg:  0.35) msec latency[RUN #1 80%,  24 secs]  1 threads:      204567 ops,    8634 (avg:    8522) ops/sec, 594.28KB/sec (avg: 527.58KB/sec),  0.34 (avg:  0.35) msec latency[RUN #1 83%,  25 secs]  1 threads:      210452 ops,    5884 (avg:    8417) ops/sec, 405.31KB/sec (avg: 522.69KB/sec),  0.50 (avg:  0.35) msec latency[RUN #1 87%,  26 secs]  1 threads:      216422 ops,    5969 (avg:    8323) ops/sec, 411.39KB/sec (avg: 518.41KB/sec),  0.50 (avg:  0.36) msec latency[RUN #1 90%,  27 secs]  1 threads:      222210 ops,    5787 (avg:    8229) ops/sec, 399.05KB/sec (avg: 513.99KB/sec),  0.51 (avg:  0.36) msec latency[RUN #1 93%,  28 secs]  1 threads:      227811 ops,    5600 (avg:    8135) ops/sec, 386.27KB/sec (avg: 509.43KB/sec),  0.53 (avg:  0.36) msec latency[RUN #1 97%,  29 secs]  1 threads:      233672 ops,    5860 (avg:    8056) ops/sec, 404.19KB/sec (avg: 505.80KB/sec),  0.51 (avg:  0.37) msec latency[RUN #1 100%,  30 secs]  0 threads:      239115 ops,    5860 (avg:    7970) ops/sec, 404.19KB/sec (avg: 501.51KB/sec),  0.51 (avg:  0.37) msec latency

1         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         724.63          ---          ---      0.37400        53.30
Gets        7245.83      5949.07      1296.76      0.37000       448.21
Totals      7970.46      5949.07      1296.76      0.37000       501.51


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.080      0.00092
GET       0.081      0.00138
GET       0.085      0.00276
GET       0.086      0.00414
GET       0.087      0.00552
GET       0.088      0.00966
GET       0.089      0.01380
GET       0.090      0.01702
GET       0.091      0.02070
GET       0.092      0.02714
GET       0.093      0.03128
GET       0.094      0.03772
GET       0.095      0.04416
GET       0.096      0.05428
GET       0.097      0.06210
GET       0.098      0.07177
GET       0.099      0.08097
GET       0.100      0.13663
GET       0.110      0.33720
GET       0.120      0.70891
GET       0.130      1.59677
GET       0.140      3.66968
GET       0.150      6.26932
GET       0.160      8.69093
GET       0.170     11.27493
GET       0.180     14.27112
GET       0.190     18.32815
GET       0.200     22.10778
GET       0.210     25.23646
GET       0.220     27.96445
GET       0.230     30.89485
GET       0.240     34.54751
GET       0.250     37.95543
GET       0.260     40.60016
GET       0.270     42.87042
GET       0.280     45.09099
GET       0.290     47.27615
GET       0.300     49.19264
GET       0.310     50.75951
GET       0.320     52.09223
GET       0.330     53.38814
GET       0.340     54.81608
GET       0.350     56.21550
GET       0.360     57.57995
GET       0.370     58.94579
GET       0.380     60.48414
GET       0.390     62.16188
GET       0.400     63.84651
GET       0.410     65.50355
GET       0.420     67.21073
GET       0.430     69.05868
GET       0.440     71.01336
GET       0.450     72.78034
GET       0.460     74.45808
GET       0.470     76.13996
GET       0.480     77.76755
GET       0.490     79.37997
GET       0.500     80.88335
GET       0.510     82.26391
GET       0.520     83.58144
GET       0.530     84.87828
GET       0.540     86.17373
GET       0.550     87.36981
GET       0.560     88.48447
GET       0.570     89.50344
GET       0.580     90.53851
GET       0.590     91.51378
GET       0.600     92.39842
GET       0.610     93.25593
GET       0.620     93.99244
GET       0.630     94.73861
GET       0.640     95.40106
GET       0.650     95.96368
GET       0.660     96.49133
GET       0.670     96.95183
GET       0.680     97.39760
GET       0.690     97.77620
GET       0.700     98.09271
GET       0.710     98.34986
GET       0.720     98.58218
GET       0.730     98.78229
GET       0.740     98.93549
GET       0.750     99.06015
GET       0.760     99.16964
GET       0.770     99.25475
GET       0.780     99.32973
GET       0.790     99.38770
GET       0.800     99.43554
GET       0.810     99.47464
GET       0.820     99.50132
GET       0.830     99.52617
GET       0.840     99.54687
GET       0.850     99.56665
GET       0.860     99.57999
GET       0.870     99.59149
GET       0.880     99.60069
GET       0.890     99.60759
GET       0.900     99.61219
GET       0.910     99.61587
GET       0.920     99.62093
GET       0.930     99.62461
GET       0.940     99.62783
GET       0.950     99.63013
GET       0.960     99.63197
GET       0.970     99.63381
GET       0.980     99.63565
GET       0.990     99.63657
GET       1.000     99.64209
GET       1.100     99.64716
GET       1.200     99.65314
GET       1.300     99.65590
GET       1.400     99.65682
GET       1.500     99.65774
GET       1.800     99.66050
GET       1.900     99.66372
GET       2.000     99.66418
GET       2.100     99.66602
GET       2.200     99.66648
GET       2.300     99.66694
GET       2.400     99.66924
GET       2.600     99.67108
GET       2.700     99.67246
GET       2.800     99.67430
GET       2.900     99.67568
GET       3.100     99.67660
GET       3.300     99.67798
GET       3.400     99.67936
GET       3.500     99.68212
GET       3.600     99.68258
GET       3.700     99.68534
GET       3.800     99.68672
GET       3.900     99.68718
GET       4.000     99.68948
GET       4.100     99.68994
GET       4.200     99.69408
GET       4.300     99.71340
GET       4.400     99.73778
GET       4.500     99.76722
GET       4.600     99.79805
GET       4.700     99.81645
GET       4.800     99.82335
GET       4.900     99.82749
GET       5.100     99.82795
GET       5.200     99.82841
GET       5.300     99.82887
GET       6.000     99.82979
GET       6.100     99.83025
GET       6.300     99.83117
GET       6.600     99.83163
GET       6.700     99.83301
GET       6.900     99.83439
GET       7.000     99.83577
GET       7.100     99.83623
GET       7.500     99.83761
GET       7.900     99.84037
GET       8.000     99.84175
GET       8.200     99.86245
GET       8.300     99.89557
GET       8.400     99.91305
GET       8.500     99.92225
GET       8.600     99.93422
GET       8.700     99.94250
GET       8.800     99.94756
GET       8.900     99.94986
GET       9.000     99.95032
GET       9.100     99.95170
GET       9.200     99.95308
GET      10.000     99.95354
GET      11.000     99.95446
GET      12.000     99.98942
GET      13.000     99.99080
GET      16.000     99.99862
GET      20.000    100.00000
