[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       14105 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       26708 ops,   12601 (avg:   13353) ops/sec, 694.04KB/sec (avg: 651.86KB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 10%,   3 secs]  1 threads:       39085 ops,   12375 (avg:   13027) ops/sec, 759.45KB/sec (avg: 687.72KB/sec),  0.16 (avg:  0.15) msec latency[RUN #1 13%,   4 secs]  1 threads:       50972 ops,   11885 (avg:   12742) ops/sec, 767.71KB/sec (avg: 707.72KB/sec),  0.16 (avg:  0.15) msec latency[RUN #1 17%,   5 secs]  1 threads:       62121 ops,   11147 (avg:   12423) ops/sec, 737.51KB/sec (avg: 713.68KB/sec),  0.18 (avg:  0.16) msec latency[RUN #1 20%,   6 secs]  1 threads:       74731 ops,   12608 (avg:   12454) ops/sec, 845.90KB/sec (avg: 735.72KB/sec),  0.15 (avg:  0.16) msec latency[RUN #1 23%,   7 secs]  1 threads:       86812 ops,   12079 (avg:   12400) ops/sec, 821.37KB/sec (avg: 747.95KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 27%,   8 secs]  1 threads:       96838 ops,   10025 (avg:   12103) ops/sec, 683.88KB/sec (avg: 739.95KB/sec),  0.19 (avg:  0.16) msec latency[RUN #1 30%,   9 secs]  1 threads:      105186 ops,    8347 (avg:   11686) ops/sec, 570.40KB/sec (avg: 721.11KB/sec),  0.23 (avg:  0.17) msec latency[RUN #1 33%,  10 secs]  1 threads:      113041 ops,    7854 (avg:   11303) ops/sec, 538.89KB/sec (avg: 702.88KB/sec),  0.25 (avg:  0.17) msec latency[RUN #1 37%,  11 secs]  1 threads:      120722 ops,    7680 (avg:   10973) ops/sec, 527.43KB/sec (avg: 686.93KB/sec),  0.25 (avg:  0.18) msec latency[RUN #1 40%,  12 secs]  1 threads:      127762 ops,    7039 (avg:   10645) ops/sec, 484.10KB/sec (avg: 670.03KB/sec),  0.28 (avg:  0.18) msec latency[RUN #1 43%,  13 secs]  1 threads:      135232 ops,    7469 (avg:   10401) ops/sec, 513.40KB/sec (avg: 657.98KB/sec),  0.26 (avg:  0.19) msec latency[RUN #1 47%,  14 secs]  1 threads:      142711 ops,    7478 (avg:   10192) ops/sec, 514.60KB/sec (avg: 647.74KB/sec),  0.26 (avg:  0.19) msec latency[RUN #1 50%,  15 secs]  1 threads:      149775 ops,    7063 (avg:    9984) ops/sec, 486.08KB/sec (avg: 636.96KB/sec),  0.28 (avg:  0.20) msec latency[RUN #1 53%,  16 secs]  1 threads:      157599 ops,    7822 (avg:    9848) ops/sec, 538.62KB/sec (avg: 630.82KB/sec),  0.25 (avg:  0.20) msec latency[RUN #1 57%,  17 secs]  1 threads:      165030 ops,    7430 (avg:    9706) ops/sec, 511.89KB/sec (avg: 623.82KB/sec),  0.26 (avg:  0.20) msec latency[RUN #1 60%,  18 secs]  1 threads:      172422 ops,    7391 (avg:    9578) ops/sec, 509.03KB/sec (avg: 617.44KB/sec),  0.26 (avg:  0.20) msec latency[RUN #1 63%,  19 secs]  1 threads:      180066 ops,    7643 (avg:    9476) ops/sec, 526.58KB/sec (avg: 612.66KB/sec),  0.26 (avg:  0.21) msec latency[RUN #1 67%,  20 secs]  1 threads:      187602 ops,    7535 (avg:    9379) ops/sec, 519.00KB/sec (avg: 607.98KB/sec),  0.26 (avg:  0.21) msec latency[RUN #1 70%,  21 secs]  1 threads:      195583 ops,    7980 (avg:    9312) ops/sec, 549.45KB/sec (avg: 605.19KB/sec),  0.25 (avg:  0.21) msec latency[RUN #1 73%,  22 secs]  1 threads:      203146 ops,    7562 (avg:    9233) ops/sec, 520.84KB/sec (avg: 601.36KB/sec),  0.26 (avg:  0.21) msec latency[RUN #1 77%,  23 secs]  1 threads:      211403 ops,    8256 (avg:    9190) ops/sec, 568.63KB/sec (avg: 599.93KB/sec),  0.24 (avg:  0.21) msec latency[RUN #1 80%,  24 secs]  1 threads:      219206 ops,    7802 (avg:    9132) ops/sec, 537.48KB/sec (avg: 597.33KB/sec),  0.25 (avg:  0.21) msec latency[RUN #1 83%,  25 secs]  1 threads:      227153 ops,    7946 (avg:    9085) ops/sec, 547.19KB/sec (avg: 595.33KB/sec),  0.25 (avg:  0.22) msec latency[RUN #1 87%,  26 secs]  1 threads:      234522 ops,    7368 (avg:    9019) ops/sec, 507.43KB/sec (avg: 591.95KB/sec),  0.27 (avg:  0.22) msec latency[RUN #1 90%,  27 secs]  1 threads:      242582 ops,    8059 (avg:    8983) ops/sec, 555.46KB/sec (avg: 590.59KB/sec),  0.24 (avg:  0.22) msec latency[RUN #1 93%,  28 secs]  1 threads:      250628 ops,    8045 (avg:    8950) ops/sec, 554.42KB/sec (avg: 589.30KB/sec),  0.24 (avg:  0.22) msec latency[RUN #1 97%,  29 secs]  1 threads:      258194 ops,    7565 (avg:    8902) ops/sec, 521.29KB/sec (avg: 586.96KB/sec),  0.26 (avg:  0.22) msec latency[RUN #1 100%,  30 secs]  0 threads:      265239 ops,    7565 (avg:    8840) ops/sec, 521.29KB/sec (avg: 583.60KB/sec),  0.26 (avg:  0.22) msec latency

1         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         803.76          ---          ---      0.21800        58.96
Gets        8037.08      7364.15       672.93      0.22100       524.64
Totals      8840.84      7364.15       672.93      0.22100       583.60


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.061      0.00041
GET       0.062      0.00124
GET       0.063      0.00207
GET       0.064      0.00332
GET       0.065      0.00581
GET       0.066      0.00705
GET       0.067      0.01037
GET       0.068      0.01244
GET       0.069      0.01617
GET       0.070      0.01991
GET       0.071      0.02654
GET       0.072      0.03484
GET       0.073      0.04562
GET       0.074      0.05972
GET       0.075      0.07175
GET       0.076      0.09165
GET       0.077      0.11115
GET       0.078      0.13188
GET       0.079      0.15345
GET       0.080      0.18248
GET       0.081      0.21483
GET       0.082      0.26169
GET       0.083      0.30524
GET       0.084      0.35293
GET       0.085      0.40975
GET       0.086      0.47652
GET       0.087      0.55780
GET       0.088      0.65319
GET       0.089      0.75853
GET       0.090      0.87133
GET       0.091      1.02188
GET       0.092      1.18362
GET       0.093      1.37149
GET       0.094      1.58051
GET       0.095      1.79948
GET       0.096      2.01846
GET       0.097      2.23784
GET       0.098      2.44313
GET       0.099      2.66210
GET       0.100      3.85029
GET       0.110      6.80145
GET       0.120     10.79067
GET       0.130     16.76475
GET       0.140     27.00218
GET       0.150     37.52494
GET       0.160     45.41296
GET       0.170     51.84489
GET       0.180     57.92265
GET       0.190     64.13354
GET       0.200     69.67465
GET       0.210     74.07942
GET       0.220     77.53738
GET       0.230     80.32846
GET       0.240     82.46760
GET       0.250     83.95977
GET       0.260     84.89829
GET       0.270     85.55562
GET       0.280     86.13872
GET       0.290     86.80518
GET       0.300     87.63297
GET       0.310     88.56693
GET       0.320     89.67963
GET       0.330     90.86864
GET       0.340     92.09953
GET       0.350     93.27237
GET       0.360     94.31581
GET       0.370     95.13406
GET       0.380     95.82748
GET       0.390     96.37823
GET       0.400     96.75977
GET       0.410     97.04054
GET       0.420     97.26034
GET       0.430     97.41213
GET       0.440     97.52742
GET       0.450     97.62405
GET       0.460     97.69373
GET       0.470     97.76050
GET       0.480     97.82022
GET       0.490     97.86750
GET       0.500     97.90316
GET       0.510     97.94256
GET       0.520     97.98279
GET       0.530     98.01265
GET       0.540     98.04126
GET       0.550     98.07444
GET       0.560     98.10098
GET       0.570     98.13292
GET       0.580     98.16693
GET       0.590     98.20093
GET       0.600     98.22706
GET       0.610     98.25402
GET       0.620     98.27849
GET       0.630     98.30213
GET       0.640     98.32535
GET       0.650     98.35106
GET       0.660     98.37595
GET       0.670     98.39959
GET       0.680     98.42032
GET       0.690     98.43940
GET       0.700     98.45433
GET       0.710     98.46967
GET       0.720     98.48170
GET       0.730     98.49497
GET       0.740     98.51529
GET       0.750     98.53230
GET       0.760     98.54764
GET       0.770     98.56133
GET       0.780     98.57543
GET       0.790     98.58745
GET       0.800     98.59865
GET       0.810     98.60985
GET       0.820     98.61897
GET       0.830     98.63017
GET       0.840     98.64261
GET       0.850     98.65630
GET       0.860     98.66916
GET       0.870     98.67994
GET       0.880     98.69031
GET       0.890     98.69902
GET       0.900     98.71187
GET       0.910     98.72100
GET       0.920     98.73012
GET       0.930     98.74215
GET       0.940     98.75168
GET       0.950     98.76247
GET       0.960     98.77325
GET       0.970     98.77947
GET       0.980     98.78569
GET       0.990     98.79565
GET       1.000     98.84541
GET       1.100     98.93084
GET       1.200     99.00964
GET       1.300     99.08263
GET       1.400     99.13613
GET       1.500     99.19668
GET       1.600     99.24686
GET       1.700     99.29331
GET       1.800     99.32898
GET       1.900     99.37170
GET       2.000     99.40695
GET       2.100     99.44012
GET       2.200     99.46833
GET       2.300     99.50150
GET       2.400     99.53344
GET       2.500     99.56164
GET       2.600     99.58777
GET       2.700     99.61099
GET       2.800     99.63421
GET       2.900     99.66034
GET       3.000     99.67818
GET       3.100     99.70016
GET       3.200     99.73126
GET       3.300     99.74826
GET       3.400     99.76195
GET       3.500     99.77978
GET       3.600     99.80093
GET       3.700     99.81379
GET       3.800     99.82374
GET       3.900     99.84075
GET       4.000     99.86439
GET       4.100     99.87392
GET       4.200     99.88512
GET       4.300     99.89425
GET       4.400     99.90461
GET       4.500     99.91374
GET       4.600     99.91788
GET       4.700     99.92079
GET       4.800     99.92245
GET       4.900     99.92659
GET       5.000     99.92991
GET       5.100     99.93447
GET       5.200     99.93904
GET       5.300     99.94111
GET       5.400     99.94443
GET       5.500     99.94899
GET       5.600     99.95355
GET       5.700     99.95521
GET       5.800     99.95853
GET       5.900     99.95977
GET       6.000     99.96267
GET       6.100     99.96558
GET       6.200     99.96724
GET       6.400     99.96890
GET       6.500     99.97221
GET       6.600     99.97387
GET       6.800     99.97470
GET       6.900     99.97636
GET       7.000     99.97926
GET       7.100     99.97968
GET       7.200     99.98009
GET       7.300     99.98258
GET       7.400     99.98466
GET       7.500     99.98507
GET       7.600     99.98548
GET       7.700     99.98631
GET       7.900     99.98756
GET       8.100     99.98880
GET       8.200     99.99212
GET       8.300     99.99295
GET       8.400     99.99336
GET       8.800     99.99419
GET       9.000     99.99502
GET       9.100     99.99585
GET      12.000     99.99834
GET      13.000     99.99917
GET      16.000     99.99959
GET      17.000    100.00000
