[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       12143 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       22444 ops,   10299 (avg:   11221) ops/sec, 566.01KB/sec (avg: 554.22KB/sec),  0.19 (avg:  0.17) msec latency[RUN #1 10%,   3 secs]  1 threads:       31437 ops,    8991 (avg:   10478) ops/sec, 542.90KB/sec (avg: 550.45KB/sec),  0.22 (avg:  0.19) msec latency[RUN #1 13%,   4 secs]  1 threads:       39526 ops,    8088 (avg:    9880) ops/sec, 516.04KB/sec (avg: 541.85KB/sec),  0.24 (avg:  0.20) msec latency[RUN #1 17%,   5 secs]  1 threads:       47010 ops,    7483 (avg:    9401) ops/sec, 487.52KB/sec (avg: 530.98KB/sec),  0.26 (avg:  0.21) msec latency[RUN #1 20%,   6 secs]  1 threads:       55178 ops,    8167 (avg:    9195) ops/sec, 539.64KB/sec (avg: 532.42KB/sec),  0.24 (avg:  0.21) msec latency[RUN #1 23%,   7 secs]  1 threads:       63076 ops,    7897 (avg:    9010) ops/sec, 526.12KB/sec (avg: 531.52KB/sec),  0.25 (avg:  0.22) msec latency[RUN #1 27%,   8 secs]  1 threads:       71140 ops,    8063 (avg:    8891) ops/sec, 544.39KB/sec (avg: 533.13KB/sec),  0.24 (avg:  0.22) msec latency[RUN #1 30%,   9 secs]  1 threads:       79212 ops,    8071 (avg:    8800) ops/sec, 549.11KB/sec (avg: 534.91KB/sec),  0.24 (avg:  0.22) msec latency[RUN #1 33%,  10 secs]  1 threads:       87417 ops,    8204 (avg:    8740) ops/sec, 559.16KB/sec (avg: 537.33KB/sec),  0.24 (avg:  0.22) msec latency[RUN #1 37%,  11 secs]  1 threads:       95174 ops,    7756 (avg:    8651) ops/sec, 530.03KB/sec (avg: 536.67KB/sec),  0.25 (avg:  0.23) msec latency[RUN #1 40%,  12 secs]  1 threads:      102975 ops,    7800 (avg:    8580) ops/sec, 534.27KB/sec (avg: 536.47KB/sec),  0.25 (avg:  0.23) msec latency[RUN #1 43%,  13 secs]  1 threads:      111012 ops,    8035 (avg:    8538) ops/sec, 551.78KB/sec (avg: 537.65KB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 47%,  14 secs]  1 threads:      119015 ops,    8002 (avg:    8500) ops/sec, 549.97KB/sec (avg: 538.53KB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 50%,  15 secs]  1 threads:      126278 ops,    7262 (avg:    8417) ops/sec, 499.32KB/sec (avg: 535.91KB/sec),  0.27 (avg:  0.23) msec latency[RUN #1 53%,  16 secs]  1 threads:      133421 ops,    7142 (avg:    8338) ops/sec, 491.43KB/sec (avg: 533.13KB/sec),  0.27 (avg:  0.23) msec latency[RUN #1 57%,  17 secs]  1 threads:      141171 ops,    7749 (avg:    8303) ops/sec, 533.26KB/sec (avg: 533.14KB/sec),  0.25 (avg:  0.23) msec latency[RUN #1 60%,  18 secs]  1 threads:      149417 ops,    8245 (avg:    8300) ops/sec, 567.71KB/sec (avg: 535.06KB/sec),  0.24 (avg:  0.24) msec latency[RUN #1 63%,  19 secs]  1 threads:      157100 ops,    7682 (avg:    8267) ops/sec, 528.95KB/sec (avg: 534.74KB/sec),  0.25 (avg:  0.24) msec latency[RUN #1 67%,  20 secs]  1 threads:      165049 ops,    7948 (avg:    8251) ops/sec, 547.60KB/sec (avg: 535.38KB/sec),  0.25 (avg:  0.24) msec latency[RUN #1 70%,  21 secs]  1 threads:      172634 ops,    7584 (avg:    8219) ops/sec, 522.35KB/sec (avg: 534.76KB/sec),  0.26 (avg:  0.24) msec latency[RUN #1 73%,  22 secs]  1 threads:      180171 ops,    7536 (avg:    8188) ops/sec, 519.22KB/sec (avg: 534.06KB/sec),  0.26 (avg:  0.24) msec latency[RUN #1 77%,  23 secs]  1 threads:      187810 ops,    7638 (avg:    8164) ops/sec, 526.01KB/sec (avg: 533.71KB/sec),  0.26 (avg:  0.24) msec latency[RUN #1 80%,  24 secs]  1 threads:      195687 ops,    7876 (avg:    8152) ops/sec, 542.29KB/sec (avg: 534.06KB/sec),  0.25 (avg:  0.24) msec latency[RUN #1 83%,  25 secs]  1 threads:      204571 ops,    8883 (avg:    8182) ops/sec, 611.82KB/sec (avg: 537.17KB/sec),  0.22 (avg:  0.24) msec latency[RUN #1 87%,  26 secs]  1 threads:      214493 ops,    9920 (avg:    8248) ops/sec, 683.38KB/sec (avg: 542.80KB/sec),  0.20 (avg:  0.24) msec latency[RUN #1 90%,  27 secs]  1 threads:      225734 ops,   11240 (avg:    8359) ops/sec, 774.30KB/sec (avg: 551.37KB/sec),  0.17 (avg:  0.23) msec latency[RUN #1 93%,  28 secs]  1 threads:      237964 ops,   12228 (avg:    8497) ops/sec, 842.76KB/sec (avg: 561.78KB/sec),  0.16 (avg:  0.23) msec latency[RUN #1 97%,  29 secs]  1 threads:      250304 ops,   12338 (avg:    8630) ops/sec, 850.35KB/sec (avg: 571.73KB/sec),  0.16 (avg:  0.23) msec latency[RUN #1 100%,  30 secs]  0 threads:      261839 ops,   12338 (avg:    8727) ops/sec, 850.35KB/sec (avg: 579.22KB/sec),  0.16 (avg:  0.22) msec latency

1         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         793.46          ---          ---      0.22100        58.20
Gets        7934.47      7350.81       583.66      0.22300       521.02
Totals      8727.94      7350.81       583.66      0.22300       579.22


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.062      0.00042
GET       0.065      0.00084
GET       0.067      0.00210
GET       0.068      0.00378
GET       0.069      0.00588
GET       0.070      0.00798
GET       0.071      0.00966
GET       0.072      0.01176
GET       0.073      0.01596
GET       0.074      0.01890
GET       0.075      0.02143
GET       0.076      0.02773
GET       0.077      0.03319
GET       0.078      0.03823
GET       0.079      0.05167
GET       0.080      0.06092
GET       0.081      0.07688
GET       0.082      0.09494
GET       0.083      0.12015
GET       0.084      0.14956
GET       0.085      0.18191
GET       0.086      0.22854
GET       0.087      0.27643
GET       0.088      0.33861
GET       0.089      0.40120
GET       0.090      0.48312
GET       0.091      0.58605
GET       0.092      0.69192
GET       0.093      0.81459
GET       0.094      0.96498
GET       0.095      1.11790
GET       0.096      1.27208
GET       0.097      1.43844
GET       0.098      1.61993
GET       0.099      1.77999
GET       0.100      2.65801
GET       0.110      4.29601
GET       0.120      6.32806
GET       0.130     10.64339
GET       0.140     20.46632
GET       0.150     30.68666
GET       0.160     38.03600
GET       0.170     44.20022
GET       0.180     52.02806
GET       0.190     61.94971
GET       0.200     70.01869
GET       0.210     75.15029
GET       0.220     78.75018
GET       0.230     81.94131
GET       0.240     84.63545
GET       0.250     86.36755
GET       0.260     87.27792
GET       0.270     87.79969
GET       0.280     88.20089
GET       0.290     88.69368
GET       0.300     89.20915
GET       0.310     89.80990
GET       0.320     90.48837
GET       0.330     91.46470
GET       0.340     92.64352
GET       0.350     93.66732
GET       0.360     94.51425
GET       0.370     95.23768
GET       0.380     95.92959
GET       0.390     96.54673
GET       0.400     96.98028
GET       0.410     97.28023
GET       0.420     97.49785
GET       0.430     97.66715
GET       0.440     97.80242
GET       0.450     97.89443
GET       0.460     97.96543
GET       0.470     98.01752
GET       0.480     98.06961
GET       0.490     98.12002
GET       0.500     98.15741
GET       0.510     98.19144
GET       0.520     98.22253
GET       0.530     98.26286
GET       0.540     98.29479
GET       0.550     98.31621
GET       0.560     98.34016
GET       0.570     98.36537
GET       0.580     98.38595
GET       0.590     98.41200
GET       0.600     98.43174
GET       0.610     98.44813
GET       0.620     98.46031
GET       0.630     98.47627
GET       0.640     98.49392
GET       0.650     98.50736
GET       0.660     98.52711
GET       0.670     98.53887
GET       0.680     98.55105
GET       0.690     98.56660
GET       0.700     98.58172
GET       0.710     98.59558
GET       0.720     98.61029
GET       0.730     98.62289
GET       0.740     98.63507
GET       0.750     98.64642
GET       0.760     98.65566
GET       0.770     98.66574
GET       0.780     98.67625
GET       0.790     98.68213
GET       0.800     98.69053
GET       0.810     98.70397
GET       0.820     98.71195
GET       0.830     98.72246
GET       0.840     98.72960
GET       0.850     98.73674
GET       0.860     98.74514
GET       0.870     98.75312
GET       0.880     98.76447
GET       0.890     98.77623
GET       0.900     98.78211
GET       0.910     98.78673
GET       0.920     98.79093
GET       0.930     98.79514
GET       0.940     98.80564
GET       0.950     98.81320
GET       0.960     98.82076
GET       0.970     98.83084
GET       0.980     98.83967
GET       0.990     98.85185
GET       1.000     98.89386
GET       1.100     98.97452
GET       1.200     99.04174
GET       1.300     99.11148
GET       1.400     99.16861
GET       1.500     99.21104
GET       1.600     99.26019
GET       1.700     99.30010
GET       1.800     99.34379
GET       1.900     99.38370
GET       2.000     99.41353
GET       2.100     99.44462
GET       2.200     99.48033
GET       2.300     99.51142
GET       2.400     99.53872
GET       2.500     99.56561
GET       2.600     99.58998
GET       2.700     99.61728
GET       2.800     99.63913
GET       2.900     99.66307
GET       3.000     99.68114
GET       3.100     99.69836
GET       3.200     99.71769
GET       3.300     99.73701
GET       3.400     99.75172
GET       3.500     99.76684
GET       3.600     99.77902
GET       3.700     99.78995
GET       3.800     99.80255
GET       3.900     99.81725
GET       4.000     99.83784
GET       4.100     99.84666
GET       4.200     99.85464
GET       4.300     99.86599
GET       4.400     99.87733
GET       4.500     99.88447
GET       4.600     99.89329
GET       4.700     99.89833
GET       4.800     99.90548
GET       4.900     99.91262
GET       5.000     99.91808
GET       5.100     99.92396
GET       5.200     99.92648
GET       5.300     99.93068
GET       5.400     99.93530
GET       5.500     99.93908
GET       5.600     99.94455
GET       5.700     99.95043
GET       5.800     99.95337
GET       5.900     99.95673
GET       6.000     99.95925
GET       6.100     99.96051
GET       6.200     99.96387
GET       6.300     99.96513
GET       6.400     99.96597
GET       6.500     99.96807
GET       6.600     99.96975
GET       6.700     99.97059
GET       6.800     99.97185
GET       6.900     99.97479
GET       7.000     99.97731
GET       7.200     99.97815
GET       7.300     99.97857
GET       7.400     99.98068
GET       7.500     99.98152
GET       7.700     99.98278
GET       7.800     99.98362
GET       7.900     99.98572
GET       8.000     99.98740
GET       8.100     99.98824
GET       8.200     99.98992
GET       8.300     99.99202
GET       8.400     99.99286
GET       8.500     99.99412
GET       8.600     99.99496
GET       8.700     99.99580
GET       8.900     99.99664
GET       9.500     99.99706
GET      10.000     99.99832
GET      11.000     99.99916
GET      20.000    100.00000
