[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       11868 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       23522 ops,   11652 (avg:   11760) ops/sec, 629.04KB/sec (avg: 566.67KB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 10%,   3 secs]  1 threads:       34731 ops,   11207 (avg:   11576) ops/sec, 677.30KB/sec (avg: 603.55KB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 13%,   4 secs]  1 threads:       45666 ops,   10933 (avg:   11415) ops/sec, 701.33KB/sec (avg: 627.99KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 17%,   5 secs]  1 threads:       55420 ops,    9753 (avg:   11083) ops/sec, 640.28KB/sec (avg: 630.45KB/sec),  0.20 (avg:  0.18) msec latency[RUN #1 20%,   6 secs]  1 threads:       64602 ops,    9181 (avg:   10766) ops/sec, 610.86KB/sec (avg: 627.19KB/sec),  0.21 (avg:  0.18) msec latency[RUN #1 23%,   7 secs]  1 threads:       73278 ops,    8675 (avg:   10467) ops/sec, 585.50KB/sec (avg: 621.23KB/sec),  0.22 (avg:  0.19) msec latency[RUN #1 27%,   8 secs]  1 threads:       80941 ops,    7662 (avg:   10116) ops/sec, 520.68KB/sec (avg: 608.66KB/sec),  0.26 (avg:  0.19) msec latency[RUN #1 30%,   9 secs]  1 threads:       89321 ops,    8379 (avg:    9923) ops/sec, 570.91KB/sec (avg: 604.47KB/sec),  0.23 (avg:  0.20) msec latency[RUN #1 33%,  10 secs]  1 threads:       96874 ops,    7552 (avg:    9686) ops/sec, 516.18KB/sec (avg: 595.64KB/sec),  0.26 (avg:  0.20) msec latency[RUN #1 37%,  11 secs]  1 threads:      105449 ops,    8574 (avg:    9585) ops/sec, 586.80KB/sec (avg: 594.84KB/sec),  0.23 (avg:  0.20) msec latency[RUN #1 40%,  12 secs]  1 threads:      113171 ops,    7721 (avg:    9430) ops/sec, 529.85KB/sec (avg: 589.42KB/sec),  0.25 (avg:  0.21) msec latency[RUN #1 43%,  13 secs]  1 threads:      121261 ops,    8089 (avg:    9326) ops/sec, 555.85KB/sec (avg: 586.84KB/sec),  0.24 (avg:  0.21) msec latency[RUN #1 47%,  14 secs]  1 threads:      129155 ops,    7893 (avg:    9224) ops/sec, 542.79KB/sec (avg: 583.69KB/sec),  0.25 (avg:  0.21) msec latency[RUN #1 50%,  15 secs]  1 threads:      136542 ops,    7386 (avg:    9101) ops/sec, 508.16KB/sec (avg: 578.66KB/sec),  0.26 (avg:  0.21) msec latency[RUN #1 53%,  16 secs]  1 threads:      145184 ops,    8641 (avg:    9073) ops/sec, 594.73KB/sec (avg: 579.66KB/sec),  0.23 (avg:  0.21) msec latency[RUN #1 57%,  17 secs]  1 threads:      153362 ops,    8177 (avg:    9020) ops/sec, 562.96KB/sec (avg: 578.68KB/sec),  0.24 (avg:  0.22) msec latency[RUN #1 60%,  18 secs]  1 threads:      161651 ops,    8288 (avg:    8979) ops/sec, 570.86KB/sec (avg: 578.24KB/sec),  0.24 (avg:  0.22) msec latency[RUN #1 63%,  19 secs]  1 threads:      169739 ops,    8087 (avg:    8932) ops/sec, 557.08KB/sec (avg: 577.13KB/sec),  0.24 (avg:  0.22) msec latency[RUN #1 67%,  20 secs]  1 threads:      176281 ops,    6541 (avg:    8813) ops/sec, 450.58KB/sec (avg: 570.80KB/sec),  0.30 (avg:  0.22) msec latency[RUN #1 70%,  21 secs]  1 threads:      182809 ops,    6527 (avg:    8704) ops/sec, 449.63KB/sec (avg: 565.03KB/sec),  0.30 (avg:  0.22) msec latency[RUN #1 73%,  22 secs]  1 threads:      189290 ops,    6480 (avg:    8603) ops/sec, 446.34KB/sec (avg: 559.64KB/sec),  0.30 (avg:  0.23) msec latency[RUN #1 77%,  23 secs]  1 threads:      195653 ops,    6362 (avg:    8505) ops/sec, 438.10KB/sec (avg: 554.35KB/sec),  0.31 (avg:  0.23) msec latency[RUN #1 80%,  24 secs]  1 threads:      202185 ops,    6531 (avg:    8423) ops/sec, 449.77KB/sec (avg: 550.00KB/sec),  0.30 (avg:  0.23) msec latency[RUN #1 83%,  25 secs]  1 threads:      208666 ops,    6480 (avg:    8345) ops/sec, 446.33KB/sec (avg: 545.85KB/sec),  0.30 (avg:  0.23) msec latency[RUN #1 87%,  26 secs]  1 threads:      215192 ops,    6525 (avg:    8275) ops/sec, 449.47KB/sec (avg: 542.14KB/sec),  0.30 (avg:  0.24) msec latency[RUN #1 90%,  27 secs]  1 threads:      221600 ops,    6407 (avg:    8206) ops/sec, 441.37KB/sec (avg: 538.41KB/sec),  0.31 (avg:  0.24) msec latency[RUN #1 93%,  28 secs]  1 threads:      230880 ops,    9279 (avg:    8244) ops/sec, 639.29KB/sec (avg: 542.01KB/sec),  0.21 (avg:  0.24) msec latency[RUN #1 97%,  29 secs]  1 threads:      241275 ops,   10394 (avg:    8319) ops/sec, 716.34KB/sec (avg: 548.02KB/sec),  0.19 (avg:  0.23) msec latency[RUN #1 100%,  30 secs]  0 threads:      253202 ops,   10394 (avg:    8440) ops/sec, 716.34KB/sec (avg: 557.20KB/sec),  0.19 (avg:  0.23) msec latency

1         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         767.30          ---          ---      0.23400        56.28
Gets        7672.74      7031.88       640.86      0.23000       500.92
Totals      8440.04      7031.88       640.86      0.23100       557.20


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.065      0.00043
GET       0.068      0.00174
GET       0.069      0.00217
GET       0.070      0.00348
GET       0.071      0.00521
GET       0.072      0.00652
GET       0.073      0.01043
GET       0.074      0.01347
GET       0.075      0.01521
GET       0.076      0.01998
GET       0.077      0.02476
GET       0.078      0.03128
GET       0.079      0.03519
GET       0.080      0.04648
GET       0.081      0.06126
GET       0.082      0.07907
GET       0.083      0.10166
GET       0.084      0.12772
GET       0.085      0.15727
GET       0.086      0.19115
GET       0.087      0.23286
GET       0.088      0.27891
GET       0.089      0.33712
GET       0.090      0.40533
GET       0.091      0.48657
GET       0.092      0.57650
GET       0.093      0.69032
GET       0.094      0.81240
GET       0.095      0.94012
GET       0.096      1.07002
GET       0.097      1.20773
GET       0.098      1.35892
GET       0.099      1.48751
GET       0.100      2.27862
GET       0.110      3.78699
GET       0.120      5.66593
GET       0.130      9.30651
GET       0.140     17.80323
GET       0.150     27.46119
GET       0.160     34.25275
GET       0.170     39.77661
GET       0.180     45.84179
GET       0.190     53.52741
GET       0.200     59.97923
GET       0.210     64.43873
GET       0.220     67.56277
GET       0.230     70.31101
GET       0.240     73.09966
GET       0.250     75.39132
GET       0.260     77.23203
GET       0.270     78.79079
GET       0.280     80.50638
GET       0.290     82.51695
GET       0.300     84.51710
GET       0.310     86.32827
GET       0.320     88.04864
GET       0.330     89.78074
GET       0.340     91.47939
GET       0.350     92.96342
GET       0.360     94.12815
GET       0.370     95.11563
GET       0.380     95.89457
GET       0.390     96.57360
GET       0.400     97.08015
GET       0.410     97.40945
GET       0.420     97.68228
GET       0.430     97.88951
GET       0.440     98.06676
GET       0.450     98.19274
GET       0.460     98.28919
GET       0.470     98.36391
GET       0.480     98.43125
GET       0.490     98.49554
GET       0.500     98.54768
GET       0.510     98.59373
GET       0.520     98.63152
GET       0.530     98.67019
GET       0.540     98.70929
GET       0.550     98.73796
GET       0.560     98.76316
GET       0.570     98.78836
GET       0.580     98.81051
GET       0.590     98.82963
GET       0.600     98.85569
GET       0.610     98.87437
GET       0.620     98.89436
GET       0.630     98.91434
GET       0.640     98.93476
GET       0.650     98.94953
GET       0.660     98.96430
GET       0.670     98.97473
GET       0.680     98.98993
GET       0.690     99.00557
GET       0.700     99.01817
GET       0.710     99.02903
GET       0.720     99.03381
GET       0.730     99.04815
GET       0.740     99.05727
GET       0.750     99.06813
GET       0.760     99.07682
GET       0.770     99.08508
GET       0.780     99.09420
GET       0.790     99.10115
GET       0.800     99.11114
GET       0.810     99.11896
GET       0.820     99.12591
GET       0.830     99.13156
GET       0.840     99.13808
GET       0.850     99.14416
GET       0.860     99.15154
GET       0.870     99.15719
GET       0.880     99.16632
GET       0.890     99.17153
GET       0.900     99.17805
GET       0.910     99.18065
GET       0.920     99.18543
GET       0.930     99.19238
GET       0.940     99.19759
GET       0.950     99.20324
GET       0.960     99.20802
GET       0.970     99.21497
GET       0.980     99.22192
GET       0.990     99.22714
GET       1.000     99.25233
GET       1.100     99.30056
GET       1.200     99.35747
GET       1.300     99.39830
GET       1.400     99.43132
GET       1.500     99.46564
GET       1.600     99.49692
GET       1.700     99.52342
GET       1.800     99.54428
GET       1.900     99.57121
GET       2.000     99.59380
GET       2.100     99.62117
GET       2.200     99.64593
GET       2.300     99.66679
GET       2.400     99.68112
GET       2.500     99.69372
GET       2.600     99.71023
GET       2.700     99.73543
GET       2.800     99.74803
GET       2.900     99.76540
GET       3.000     99.77540
GET       3.100     99.79147
GET       3.200     99.80363
GET       3.300     99.81189
GET       3.400     99.82014
GET       3.500     99.82449
GET       3.600     99.83448
GET       3.700     99.84100
GET       3.800     99.84795
GET       3.900     99.85794
GET       4.000     99.87097
GET       4.100     99.87619
GET       4.200     99.88618
GET       4.300     99.89660
GET       4.400     99.91442
GET       4.500     99.92310
GET       4.600     99.92701
GET       4.700     99.93006
GET       4.800     99.93397
GET       4.900     99.94092
GET       5.000     99.94526
GET       5.100     99.94700
GET       5.200     99.94830
GET       5.300     99.95178
GET       5.400     99.95395
GET       5.500     99.95743
GET       5.600     99.95960
GET       5.700     99.96003
GET       5.800     99.96568
GET       5.900     99.96698
GET       6.000     99.96959
GET       6.100     99.97089
GET       6.200     99.97220
GET       6.300     99.97350
GET       6.400     99.97437
GET       6.500     99.97697
GET       6.600     99.97741
GET       6.700     99.97828
GET       6.800     99.98002
GET       6.900     99.98219
GET       7.000     99.98436
GET       7.100     99.98479
GET       7.400     99.98566
GET       7.500     99.98653
GET       7.600     99.98697
GET       7.800     99.98784
GET       8.200     99.99001
GET       8.300     99.99088
GET       8.400     99.99218
GET       8.700     99.99261
GET       9.200     99.99392
GET       9.300     99.99479
GET       9.700     99.99566
GET      12.000     99.99739
GET      13.000     99.99783
GET      16.000     99.99957
GET      24.000    100.00000
