[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   1 secs]  1 threads:        5915 ops,    5914 (avg:    5914) ops/sec, 247.27KB/sec (avg: 247.27KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 7%,   2 secs]  1 threads:       11376 ops,    5460 (avg:    5687) ops/sec, 290.05KB/sec (avg: 268.66KB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 10%,   3 secs]  1 threads:       16594 ops,    5217 (avg:    5530) ops/sec, 304.18KB/sec (avg: 280.50KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 13%,   4 secs]  1 threads:       21789 ops,    5194 (avg:    5446) ops/sec, 322.40KB/sec (avg: 290.98KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 17%,   5 secs]  1 threads:       26939 ops,    5149 (avg:    5387) ops/sec, 331.78KB/sec (avg: 299.14KB/sec),  0.19 (avg:  0.18) msec latency[RUN #1 20%,   6 secs]  1 threads:       32144 ops,    5204 (avg:    5356) ops/sec, 343.43KB/sec (avg: 306.52KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 23%,   7 secs]  1 threads:       37347 ops,    5202 (avg:    5334) ops/sec, 348.22KB/sec (avg: 312.48KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 27%,   8 secs]  1 threads:       42634 ops,    5286 (avg:    5328) ops/sec, 357.99KB/sec (avg: 318.17KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 30%,   9 secs]  1 threads:       47782 ops,    5147 (avg:    5308) ops/sec, 351.49KB/sec (avg: 321.87KB/sec),  0.19 (avg:  0.18) msec latency[RUN #1 33%,  10 secs]  1 threads:       53067 ops,    5284 (avg:    5306) ops/sec, 361.11KB/sec (avg: 325.79KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 37%,  11 secs]  1 threads:       58223 ops,    5155 (avg:    5292) ops/sec, 353.40KB/sec (avg: 328.30KB/sec),  0.19 (avg:  0.18) msec latency[RUN #1 40%,  12 secs]  1 threads:       63481 ops,    5257 (avg:    5289) ops/sec, 361.12KB/sec (avg: 331.04KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 43%,  13 secs]  1 threads:       68718 ops,    5236 (avg:    5285) ops/sec, 359.35KB/sec (avg: 333.22KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 47%,  14 secs]  1 threads:       73922 ops,    5203 (avg:    5279) ops/sec, 357.58KB/sec (avg: 334.96KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 50%,  15 secs]  1 threads:       79169 ops,    5246 (avg:    5277) ops/sec, 360.74KB/sec (avg: 336.67KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 53%,  16 secs]  1 threads:       84366 ops,    5196 (avg:    5272) ops/sec, 357.38KB/sec (avg: 337.97KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 57%,  17 secs]  1 threads:       89546 ops,    5179 (avg:    5266) ops/sec, 356.45KB/sec (avg: 339.06KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 60%,  18 secs]  1 threads:       94789 ops,    5242 (avg:    5265) ops/sec, 360.80KB/sec (avg: 340.26KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 63%,  19 secs]  1 threads:      100066 ops,    5276 (avg:    5266) ops/sec, 363.16KB/sec (avg: 341.47KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 67%,  20 secs]  1 threads:      105219 ops,    5152 (avg:    5260) ops/sec, 354.64KB/sec (avg: 342.13KB/sec),  0.19 (avg:  0.18) msec latency[RUN #1 70%,  21 secs]  1 threads:      110487 ops,    5267 (avg:    5260) ops/sec, 362.49KB/sec (avg: 343.10KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 73%,  22 secs]  1 threads:      115702 ops,    5214 (avg:    5258) ops/sec, 358.90KB/sec (avg: 343.82KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 77%,  23 secs]  1 threads:      121247 ops,    5544 (avg:    5271) ops/sec, 381.58KB/sec (avg: 345.46KB/sec),  0.17 (avg:  0.18) msec latency[RUN #1 80%,  24 secs]  1 threads:      127269 ops,    6021 (avg:    5302) ops/sec, 414.41KB/sec (avg: 348.33KB/sec),  0.16 (avg:  0.18) msec latency[RUN #1 83%,  25 secs]  1 threads:      133758 ops,    6488 (avg:    5349) ops/sec, 446.53KB/sec (avg: 352.26KB/sec),  0.15 (avg:  0.18) msec latency[RUN #1 87%,  26 secs]  1 threads:      140657 ops,    6898 (avg:    5409) ops/sec, 474.72KB/sec (avg: 356.97KB/sec),  0.14 (avg:  0.18) msec latency[RUN #1 90%,  27 secs]  1 threads:      148487 ops,    7829 (avg:    5498) ops/sec, 538.73KB/sec (avg: 363.70KB/sec),  0.12 (avg:  0.17) msec latency[RUN #1 93%,  28 secs]  1 threads:      155912 ops,    7424 (avg:    5567) ops/sec, 510.92KB/sec (avg: 368.96KB/sec),  0.13 (avg:  0.17) msec latency[RUN #1 97%,  29 secs]  1 threads:      163274 ops,    7361 (avg:    5629) ops/sec, 506.57KB/sec (avg: 373.71KB/sec),  0.13 (avg:  0.17) msec latency[RUN #1 100%,  30 secs]  0 threads:      171571 ops,    7361 (avg:    5719) ops/sec, 506.57KB/sec (avg: 380.32KB/sec),  0.13 (avg:  0.17) msec latency

1         Threads
1         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         519.93          ---          ---      0.16700        38.09
Gets        5199.09      4850.96       348.13      0.16600       342.23
Totals      5719.02      4850.96       348.13      0.16600       380.32


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.059      0.00064
GET       0.062      0.00128
GET       0.063      0.00192
GET       0.064      0.00385
GET       0.065      0.00833
GET       0.066      0.01923
GET       0.067      0.03783
GET       0.068      0.06219
GET       0.069      0.08719
GET       0.070      0.12502
GET       0.071      0.16605
GET       0.072      0.21542
GET       0.073      0.28659
GET       0.074      0.35840
GET       0.075      0.44303
GET       0.076      0.55394
GET       0.077      0.68922
GET       0.078      0.83220
GET       0.079      0.99312
GET       0.080      1.17584
GET       0.081      1.38486
GET       0.082      1.61438
GET       0.083      1.86571
GET       0.084      2.12986
GET       0.085      2.43119
GET       0.086      2.76458
GET       0.087      3.12234
GET       0.088      3.52625
GET       0.089      3.97056
GET       0.090      4.46744
GET       0.091      4.99958
GET       0.092      5.58430
GET       0.093      6.16966
GET       0.094      6.79284
GET       0.095      7.42564
GET       0.096      8.04178
GET       0.097      8.69445
GET       0.098      9.34649
GET       0.099      9.97544
GET       0.100     13.30038
GET       0.110     20.39968
GET       0.120     28.13179
GET       0.130     37.15002
GET       0.140     47.51079
GET       0.150     56.28538
GET       0.160     62.83139
GET       0.170     67.90727
GET       0.180     72.50999
GET       0.190     77.24991
GET       0.200     81.29805
GET       0.210     84.44987
GET       0.220     86.84708
GET       0.230     88.79998
GET       0.240     90.53875
GET       0.250     91.96784
GET       0.260     93.07060
GET       0.270     93.97332
GET       0.280     94.69908
GET       0.290     95.30752
GET       0.300     95.80184
GET       0.310     96.19229
GET       0.320     96.54748
GET       0.330     96.84945
GET       0.340     97.14310
GET       0.350     97.38096
GET       0.360     97.56689
GET       0.370     97.75025
GET       0.380     97.92272
GET       0.390     98.05094
GET       0.400     98.16571
GET       0.410     98.26829
GET       0.420     98.36061
GET       0.430     98.44717
GET       0.440     98.52346
GET       0.450     98.59912
GET       0.460     98.66644
GET       0.470     98.72798
GET       0.480     98.78825
GET       0.490     98.84724
GET       0.500     98.89147
GET       0.510     98.94020
GET       0.520     98.98765
GET       0.530     99.02996
GET       0.540     99.06843
GET       0.550     99.10754
GET       0.560     99.14793
GET       0.570     99.18255
GET       0.580     99.21974
GET       0.590     99.26141
GET       0.600     99.29475
GET       0.610     99.32937
GET       0.620     99.36399
GET       0.630     99.39669
GET       0.640     99.42426
GET       0.650     99.44542
GET       0.660     99.47299
GET       0.670     99.49799
GET       0.680     99.51787
GET       0.690     99.54864
GET       0.700     99.56787
GET       0.710     99.58326
GET       0.720     99.59993
GET       0.730     99.62173
GET       0.740     99.64225
GET       0.750     99.66148
GET       0.760     99.68071
GET       0.770     99.69290
GET       0.780     99.70700
GET       0.790     99.72495
GET       0.800     99.74803
GET       0.810     99.76406
GET       0.820     99.77753
GET       0.830     99.79227
GET       0.840     99.80574
GET       0.850     99.81471
GET       0.860     99.81984
GET       0.870     99.83138
GET       0.880     99.84164
GET       0.890     99.85574
GET       0.900     99.86472
GET       0.910     99.87049
GET       0.920     99.88075
GET       0.930     99.88780
GET       0.940     99.89549
GET       0.950     99.90255
GET       0.960     99.90832
GET       0.970     99.91409
GET       0.980     99.91922
GET       0.990     99.92242
GET       1.000     99.94166
GET       1.100     99.96217
GET       1.200     99.97435
GET       1.300     99.97948
GET       1.400     99.98397
GET       1.500     99.98782
GET       1.600     99.99102
GET       1.700     99.99295
GET       1.800     99.99423
GET       1.900     99.99551
GET       2.000     99.99679
GET       2.200     99.99744
GET       2.300     99.99808
GET       2.500     99.99872
GET       4.400     99.99936
GET      12.000    100.00000
