[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       15454 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       29677 ops,   14221 (avg:   14838) ops/sec, 549.80KB/sec (avg: 573.81KB/sec),  0.35 (avg:  0.33) msec latency[RUN #1 10%,   3 secs]  1 threads:       43899 ops,   14220 (avg:   14632) ops/sec, 550.09KB/sec (avg: 565.91KB/sec),  0.35 (avg:  0.34) msec latency[RUN #1 13%,   4 secs]  1 threads:       57761 ops,   13860 (avg:   14439) ops/sec, 535.90KB/sec (avg: 558.40KB/sec),  0.36 (avg:  0.34) msec latency[RUN #1 17%,   5 secs]  1 threads:       71726 ops,   13963 (avg:   14344) ops/sec, 540.09KB/sec (avg: 554.74KB/sec),  0.35 (avg:  0.34) msec latency[RUN #1 20%,   6 secs]  1 threads:       85516 ops,   13788 (avg:   14251) ops/sec, 533.25KB/sec (avg: 551.16KB/sec),  0.36 (avg:  0.35) msec latency[RUN #1 23%,   7 secs]  1 threads:       99273 ops,   13755 (avg:   14180) ops/sec, 531.99KB/sec (avg: 548.42KB/sec),  0.36 (avg:  0.35) msec latency[RUN #1 27%,   8 secs]  1 threads:      113195 ops,   13920 (avg:   14148) ops/sec, 538.20KB/sec (avg: 547.14KB/sec),  0.36 (avg:  0.35) msec latency[RUN #1 30%,   9 secs]  1 threads:      126957 ops,   13760 (avg:   14105) ops/sec, 532.07KB/sec (avg: 545.47KB/sec),  0.36 (avg:  0.35) msec latency[RUN #1 33%,  10 secs]  1 threads:      140918 ops,   13959 (avg:   14090) ops/sec, 540.07KB/sec (avg: 544.93KB/sec),  0.35 (avg:  0.35) msec latency[RUN #1 37%,  11 secs]  1 threads:      154862 ops,   13942 (avg:   14077) ops/sec, 539.05KB/sec (avg: 544.39KB/sec),  0.35 (avg:  0.35) msec latency[RUN #1 40%,  12 secs]  1 threads:      168802 ops,   13938 (avg:   14065) ops/sec, 539.28KB/sec (avg: 543.97KB/sec),  0.35 (avg:  0.35) msec latency[RUN #1 43%,  13 secs]  1 threads:      182883 ops,   14079 (avg:   14066) ops/sec, 544.68KB/sec (avg: 544.02KB/sec),  0.35 (avg:  0.35) msec latency[RUN #1 47%,  14 secs]  1 threads:      196806 ops,   13921 (avg:   14056) ops/sec, 538.38KB/sec (avg: 543.62KB/sec),  0.36 (avg:  0.35) msec latency[RUN #1 50%,  15 secs]  1 threads:      210661 ops,   13853 (avg:   14042) ops/sec, 536.07KB/sec (avg: 543.12KB/sec),  0.36 (avg:  0.35) msec latency[RUN #1 53%,  16 secs]  1 threads:      224381 ops,   13718 (avg:   14022) ops/sec, 530.95KB/sec (avg: 542.36KB/sec),  0.36 (avg:  0.35) msec latency[RUN #1 57%,  17 secs]  1 threads:      238148 ops,   13765 (avg:   14007) ops/sec, 532.40KB/sec (avg: 541.77KB/sec),  0.36 (avg:  0.35) msec latency[RUN #1 60%,  18 secs]  1 threads:      252170 ops,   14020 (avg:   14008) ops/sec, 542.51KB/sec (avg: 541.81KB/sec),  0.35 (avg:  0.35) msec latency[RUN #1 63%,  19 secs]  1 threads:      265984 ops,   13812 (avg:   13997) ops/sec, 534.44KB/sec (avg: 541.42KB/sec),  0.36 (avg:  0.35) msec latency[RUN #1 67%,  20 secs]  1 threads:      279999 ops,   14013 (avg:   13998) ops/sec, 542.88KB/sec (avg: 541.50KB/sec),  0.35 (avg:  0.35) msec latency[RUN #1 70%,  21 secs]  1 threads:      294228 ops,   14227 (avg:   14009) ops/sec, 550.56KB/sec (avg: 541.93KB/sec),  0.35 (avg:  0.35) msec latency[RUN #1 73%,  22 secs]  1 threads:      307619 ops,   13389 (avg:   13981) ops/sec, 517.90KB/sec (avg: 540.83KB/sec),  0.37 (avg:  0.35) msec latency[RUN #1 77%,  23 secs]  1 threads:      320455 ops,   12834 (avg:   13931) ops/sec, 496.58KB/sec (avg: 538.91KB/sec),  0.39 (avg:  0.35) msec latency[RUN #1 80%,  24 secs]  1 threads:      333244 ops,   12787 (avg:   13883) ops/sec, 494.68KB/sec (avg: 537.07KB/sec),  0.39 (avg:  0.36) msec latency[RUN #1 83%,  25 secs]  1 threads:      346591 ops,   13345 (avg:   13862) ops/sec, 516.17KB/sec (avg: 536.23KB/sec),  0.37 (avg:  0.36) msec latency[RUN #1 87%,  26 secs]  1 threads:      359485 ops,   12892 (avg:   13824) ops/sec, 498.64KB/sec (avg: 534.79KB/sec),  0.38 (avg:  0.36) msec latency[RUN #1 90%,  27 secs]  1 threads:      373127 ops,   13640 (avg:   13818) ops/sec, 527.77KB/sec (avg: 534.53KB/sec),  0.36 (avg:  0.36) msec latency[RUN #1 93%,  28 secs]  1 threads:      386194 ops,   13065 (avg:   13791) ops/sec, 505.80KB/sec (avg: 533.50KB/sec),  0.38 (avg:  0.36) msec latency[RUN #1 97%,  29 secs]  1 threads:      399228 ops,   13032 (avg:   13765) ops/sec, 504.23KB/sec (avg: 532.49KB/sec),  0.38 (avg:  0.36) msec latency[RUN #1 100%,  30 secs]  0 threads:      415092 ops,   13032 (avg:   13836) ops/sec, 504.23KB/sec (avg: 535.25KB/sec),  0.38 (avg:  0.36) msec latency

1         Threads
5         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1257.96          ---          ---      0.36000        97.79
Gets       12578.41         2.43     12575.97      0.35700       437.45
Totals     13836.37         2.43     12575.97      0.35700       535.25


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.130      0.00027
GET       0.140      0.00133
GET       0.150      0.00159
GET       0.160      0.00398
GET       0.170      0.01034
GET       0.180      0.03101
GET       0.190      0.10044
GET       0.200      0.27878
GET       0.210      0.65615
GET       0.220      1.39313
GET       0.230      2.78705
GET       0.240      5.30485
GET       0.250      8.63754
GET       0.260     12.39582
GET       0.270     16.46548
GET       0.280     20.91834
GET       0.290     25.29647
GET       0.300     28.79108
GET       0.310     31.53360
GET       0.320     33.92155
GET       0.330     36.41497
GET       0.340     39.34327
GET       0.350     43.06472
GET       0.360     47.51069
GET       0.370     52.85979
GET       0.380     59.11574
GET       0.390     65.89586
GET       0.400     72.33943
GET       0.410     78.13930
GET       0.420     83.26183
GET       0.430     87.73112
GET       0.440     91.21459
GET       0.450     93.86649
GET       0.460     95.77902
GET       0.470     97.16022
GET       0.480     98.07846
GET       0.490     98.68346
GET       0.500     99.07222
GET       0.510     99.31258
GET       0.520     99.46708
GET       0.530     99.56592
GET       0.540     99.64224
GET       0.550     99.69631
GET       0.560     99.74745
GET       0.570     99.78561
GET       0.580     99.82430
GET       0.590     99.85133
GET       0.600     99.88048
GET       0.610     99.90168
GET       0.620     99.92129
GET       0.630     99.94064
GET       0.640     99.95256
GET       0.650     99.96422
GET       0.660     99.97217
GET       0.670     99.98065
GET       0.680     99.98807
GET       0.690     99.99258
GET       0.700     99.99523
GET       0.710     99.99708
GET       0.720     99.99735
GET       0.740     99.99841
GET       0.750     99.99867
GET       0.760     99.99894
GET       0.780     99.99920
GET       0.800     99.99973
GET       0.820    100.00000
