[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   1 secs]  1 threads:        8008 ops,    8007 (avg:    8007) ops/sec, 310.74KB/sec (avg: 310.74KB/sec),  0.12 (avg:  0.12) msec latency[RUN #1 7%,   2 secs]  1 threads:       15349 ops,    7340 (avg:    7674) ops/sec, 284.91KB/sec (avg: 297.83KB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 10%,   3 secs]  1 threads:       22375 ops,    7025 (avg:    7457) ops/sec, 272.61KB/sec (avg: 289.42KB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 13%,   4 secs]  1 threads:       29244 ops,    6868 (avg:    7310) ops/sec, 266.57KB/sec (avg: 283.71KB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 17%,   5 secs]  1 threads:       35786 ops,    6541 (avg:    7156) ops/sec, 253.92KB/sec (avg: 277.75KB/sec),  0.15 (avg:  0.13) msec latency[RUN #1 20%,   6 secs]  1 threads:       41858 ops,    6071 (avg:    6975) ops/sec, 235.60KB/sec (avg: 270.73KB/sec),  0.16 (avg:  0.14) msec latency[RUN #1 23%,   7 secs]  1 threads:       47553 ops,    5694 (avg:    6792) ops/sec, 220.92KB/sec (avg: 263.61KB/sec),  0.17 (avg:  0.14) msec latency[RUN #1 27%,   8 secs]  1 threads:       53071 ops,    5517 (avg:    6633) ops/sec, 214.08KB/sec (avg: 257.42KB/sec),  0.17 (avg:  0.15) msec latency[RUN #1 30%,   9 secs]  1 threads:       58624 ops,    5552 (avg:    6513) ops/sec, 215.56KB/sec (avg: 252.77KB/sec),  0.17 (avg:  0.15) msec latency[RUN #1 33%,  10 secs]  1 threads:       64034 ops,    5409 (avg:    6402) ops/sec, 210.03KB/sec (avg: 248.49KB/sec),  0.18 (avg:  0.15) msec latency[RUN #1 37%,  11 secs]  1 threads:       69462 ops,    5427 (avg:    6314) ops/sec, 210.59KB/sec (avg: 245.05KB/sec),  0.18 (avg:  0.15) msec latency[RUN #1 40%,  12 secs]  1 threads:       74948 ops,    5485 (avg:    6245) ops/sec, 212.97KB/sec (avg: 242.38KB/sec),  0.18 (avg:  0.15) msec latency[RUN #1 43%,  13 secs]  1 threads:       80497 ops,    5548 (avg:    6191) ops/sec, 215.40KB/sec (avg: 240.30KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 47%,  14 secs]  1 threads:       85945 ops,    5447 (avg:    6138) ops/sec, 211.39KB/sec (avg: 238.24KB/sec),  0.18 (avg:  0.16) msec latency[RUN #1 50%,  15 secs]  1 threads:       91383 ops,    5437 (avg:    6091) ops/sec, 211.07KB/sec (avg: 236.42KB/sec),  0.18 (avg:  0.16) msec latency[RUN #1 53%,  16 secs]  1 threads:       96836 ops,    5452 (avg:    6051) ops/sec, 211.67KB/sec (avg: 234.88KB/sec),  0.18 (avg:  0.16) msec latency[RUN #1 57%,  17 secs]  1 threads:      102265 ops,    5428 (avg:    6015) ops/sec, 210.72KB/sec (avg: 233.46KB/sec),  0.18 (avg:  0.16) msec latency[RUN #1 60%,  18 secs]  1 threads:      107776 ops,    5510 (avg:    5986) ops/sec, 213.87KB/sec (avg: 232.37KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 63%,  19 secs]  1 threads:      113357 ops,    5580 (avg:    5965) ops/sec, 216.73KB/sec (avg: 231.54KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 67%,  20 secs]  1 threads:      118870 ops,    5512 (avg:    5942) ops/sec, 213.91KB/sec (avg: 230.66KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 70%,  21 secs]  1 threads:      124403 ops,    5532 (avg:    5923) ops/sec, 214.72KB/sec (avg: 229.90KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 73%,  22 secs]  1 threads:      129913 ops,    5509 (avg:    5904) ops/sec, 213.84KB/sec (avg: 229.17KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 77%,  23 secs]  1 threads:      135405 ops,    5491 (avg:    5886) ops/sec, 213.19KB/sec (avg: 228.48KB/sec),  0.18 (avg:  0.16) msec latency[RUN #1 80%,  24 secs]  1 threads:      140917 ops,    5511 (avg:    5870) ops/sec, 213.94KB/sec (avg: 227.87KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 83%,  25 secs]  1 threads:      146435 ops,    5517 (avg:    5856) ops/sec, 214.29KB/sec (avg: 227.33KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 87%,  26 secs]  1 threads:      151961 ops,    5525 (avg:    5844) ops/sec, 214.46KB/sec (avg: 226.83KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 90%,  27 secs]  1 threads:      157418 ops,    5456 (avg:    5829) ops/sec, 211.86KB/sec (avg: 226.28KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 93%,  28 secs]  1 threads:      162958 ops,    5539 (avg:    5819) ops/sec, 214.97KB/sec (avg: 225.88KB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 97%,  29 secs]  1 threads:      168841 ops,    5882 (avg:    5821) ops/sec, 228.27KB/sec (avg: 225.96KB/sec),  0.16 (avg:  0.17) msec latency[RUN #1 100%,  30 secs]  0 threads:      175266 ops,    5882 (avg:    5842) ops/sec, 228.27KB/sec (avg: 226.76KB/sec),  0.16 (avg:  0.16) msec latency

1         Threads
1         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         531.13          ---          ---      0.16900        41.36
Gets        5311.03         1.10      5309.93      0.16400       185.40
Totals      5842.16         1.10      5309.93      0.16400       226.76


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.060      0.00063
GET       0.061      0.00126
GET       0.062      0.00188
GET       0.064      0.00251
GET       0.065      0.00753
GET       0.066      0.01381
GET       0.067      0.02134
GET       0.068      0.02762
GET       0.069      0.04017
GET       0.070      0.04833
GET       0.071      0.06716
GET       0.072      0.08849
GET       0.073      0.10921
GET       0.074      0.12678
GET       0.075      0.15565
GET       0.076      0.18703
GET       0.077      0.22594
GET       0.078      0.26611
GET       0.079      0.32197
GET       0.080      0.39289
GET       0.081      0.48578
GET       0.082      0.59498
GET       0.083      0.72804
GET       0.084      0.88934
GET       0.085      1.10273
GET       0.086      1.38830
GET       0.087      1.73725
GET       0.088      2.16780
GET       0.089      2.63977
GET       0.090      3.14438
GET       0.091      3.74250
GET       0.092      4.47305
GET       0.093      5.47034
GET       0.094      6.79399
GET       0.095      7.97831
GET       0.096      8.90217
GET       0.097      9.70678
GET       0.098     10.46933
GET       0.099     11.30344
GET       0.100     15.32084
GET       0.110     20.34620
GET       0.120     24.57510
GET       0.130     31.65403
GET       0.140     49.59330
GET       0.150     61.00344
GET       0.160     66.25599
GET       0.170     69.78510
GET       0.180     73.71401
GET       0.190     79.48309
GET       0.200     83.47225
GET       0.210     85.66641
GET       0.220     87.29759
GET       0.230     88.90618
GET       0.240     90.83235
GET       0.250     92.29784
GET       0.260     93.22860
GET       0.270     93.96292
GET       0.280     94.69096
GET       0.290     95.49996
GET       0.300     96.06984
GET       0.310     96.49223
GET       0.320     96.81483
GET       0.330     97.09788
GET       0.340     97.41483
GET       0.350     97.64642
GET       0.360     97.85856
GET       0.370     98.00793
GET       0.380     98.13534
GET       0.390     98.28095
GET       0.400     98.40835
GET       0.410     98.51191
GET       0.420     98.59664
GET       0.430     98.68514
GET       0.440     98.76422
GET       0.450     98.82886
GET       0.460     98.88723
GET       0.470     98.93995
GET       0.480     98.98953
GET       0.490     99.04539
GET       0.500     99.08430
GET       0.510     99.12824
GET       0.520     99.17531
GET       0.530     99.22740
GET       0.540     99.27510
GET       0.550     99.31840
GET       0.560     99.35104
GET       0.570     99.38054
GET       0.580     99.41945
GET       0.590     99.44832
GET       0.600     99.47280
GET       0.610     99.49351
GET       0.620     99.51673
GET       0.630     99.54121
GET       0.640     99.56569
GET       0.650     99.59016
GET       0.660     99.61213
GET       0.670     99.63535
GET       0.680     99.65920
GET       0.690     99.67929
GET       0.700     99.70125
GET       0.710     99.71757
GET       0.720     99.73389
GET       0.730     99.75397
GET       0.740     99.76464
GET       0.750     99.78033
GET       0.760     99.79414
GET       0.770     99.80418
GET       0.780     99.81171
GET       0.790     99.82050
GET       0.800     99.83117
GET       0.810     99.83933
GET       0.820     99.84749
GET       0.830     99.86130
GET       0.840     99.86883
GET       0.850     99.87573
GET       0.860     99.88577
GET       0.870     99.88954
GET       0.880     99.89456
GET       0.890     99.90335
GET       0.900     99.91213
GET       0.910     99.91841
GET       0.920     99.92406
GET       0.930     99.93096
GET       0.940     99.93410
GET       0.950     99.93975
GET       0.960     99.94414
GET       0.970     99.94979
GET       0.980     99.95544
GET       0.990     99.95795
GET       1.000     99.97615
GET       1.100     99.98870
GET       1.200     99.99435
GET       1.300     99.99623
GET       1.500     99.99686
GET       1.600     99.99749
GET       2.000     99.99812
GET       2.600     99.99874
GET       3.300     99.99937
GET       3.400    100.00000
