[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:        9930 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:       18862 ops,    8930 (avg:    9431) ops/sec, 2.21MB/sec (avg: 2.20MB/sec),  0.66 (avg:  0.63) msec latency[RUN #1 10%,   3 secs]  2 threads:       28790 ops,    9926 (avg:    9596) ops/sec, 2.65MB/sec (avg: 2.35MB/sec),  0.60 (avg:  0.62) msec latency[RUN #1 13%,   4 secs]  2 threads:       38113 ops,    9322 (avg:    9527) ops/sec, 2.77MB/sec (avg: 2.45MB/sec),  0.63 (avg:  0.62) msec latency[RUN #1 17%,   5 secs]  2 threads:       47109 ops,    8995 (avg:    9421) ops/sec, 2.96MB/sec (avg: 2.55MB/sec),  0.66 (avg:  0.63) msec latency[RUN #1 20%,   6 secs]  2 threads:       55291 ops,    8181 (avg:    9214) ops/sec, 2.93MB/sec (avg: 2.62MB/sec),  0.73 (avg:  0.64) msec latency[RUN #1 23%,   7 secs]  2 threads:       62723 ops,    7431 (avg:    8959) ops/sec, 3.07MB/sec (avg: 2.68MB/sec),  0.80 (avg:  0.66) msec latency[RUN #1 27%,   8 secs]  2 threads:       70061 ops,    7337 (avg:    8756) ops/sec, 3.05MB/sec (avg: 2.73MB/sec),  0.81 (avg:  0.68) msec latency[RUN #1 30%,   9 secs]  2 threads:       77287 ops,    7225 (avg:    8586) ops/sec, 3.13MB/sec (avg: 2.77MB/sec),  0.82 (avg:  0.69) msec latency[RUN #1 33%,  10 secs]  2 threads:       83801 ops,    6513 (avg:    8379) ops/sec, 3.11MB/sec (avg: 2.81MB/sec),  0.91 (avg:  0.71) msec latency[RUN #1 37%,  11 secs]  2 threads:       90193 ops,    6391 (avg:    8198) ops/sec, 3.10MB/sec (avg: 2.83MB/sec),  0.93 (avg:  0.72) msec latency[RUN #1 40%,  12 secs]  2 threads:       96269 ops,    6075 (avg:    8021) ops/sec, 3.08MB/sec (avg: 2.85MB/sec),  0.98 (avg:  0.74) msec latency[RUN #1 43%,  13 secs]  2 threads:      102172 ops,    5902 (avg:    7858) ops/sec, 3.05MB/sec (avg: 2.87MB/sec),  1.01 (avg:  0.76) msec latency[RUN #1 47%,  14 secs]  2 threads:      107875 ops,    5702 (avg:    7704) ops/sec, 2.88MB/sec (avg: 2.87MB/sec),  1.04 (avg:  0.77) msec latency[RUN #1 50%,  15 secs]  2 threads:      113247 ops,    5371 (avg:    7549) ops/sec, 2.80MB/sec (avg: 2.87MB/sec),  1.11 (avg:  0.79) msec latency[RUN #1 53%,  16 secs]  2 threads:      118542 ops,    5294 (avg:    7408) ops/sec, 2.91MB/sec (avg: 2.87MB/sec),  1.13 (avg:  0.80) msec latency[RUN #1 57%,  17 secs]  2 threads:      123742 ops,    5199 (avg:    7278) ops/sec, 3.02MB/sec (avg: 2.88MB/sec),  1.15 (avg:  0.82) msec latency[RUN #1 60%,  18 secs]  2 threads:      128880 ops,    5137 (avg:    7159) ops/sec, 2.90MB/sec (avg: 2.88MB/sec),  1.16 (avg:  0.83) msec latency[RUN #1 63%,  19 secs]  2 threads:      133750 ops,    4869 (avg:    7038) ops/sec, 2.84MB/sec (avg: 2.88MB/sec),  1.22 (avg:  0.85) msec latency[RUN #1 67%,  20 secs]  2 threads:      138482 ops,    4731 (avg:    6923) ops/sec, 2.88MB/sec (avg: 2.88MB/sec),  1.26 (avg:  0.86) msec latency[RUN #1 70%,  21 secs]  2 threads:      143097 ops,    4614 (avg:    6813) ops/sec, 2.85MB/sec (avg: 2.87MB/sec),  1.29 (avg:  0.87) msec latency[RUN #1 73%,  22 secs]  2 threads:      147619 ops,    4521 (avg:    6709) ops/sec, 2.77MB/sec (avg: 2.87MB/sec),  1.32 (avg:  0.89) msec latency[RUN #1 77%,  23 secs]  2 threads:      152085 ops,    4465 (avg:    6611) ops/sec, 2.83MB/sec (avg: 2.87MB/sec),  1.34 (avg:  0.90) msec latency[RUN #1 80%,  24 secs]  2 threads:      156466 ops,    4380 (avg:    6518) ops/sec, 2.76MB/sec (avg: 2.86MB/sec),  1.36 (avg:  0.91) msec latency[RUN #1 83%,  25 secs]  2 threads:      161559 ops,    5092 (avg:    6461) ops/sec, 3.38MB/sec (avg: 2.89MB/sec),  1.17 (avg:  0.92) msec latency[RUN #1 87%,  26 secs]  2 threads:      167471 ops,    5911 (avg:    6440) ops/sec, 4.00MB/sec (avg: 2.93MB/sec),  1.01 (avg:  0.92) msec latency[RUN #1 90%,  27 secs]  2 threads:      174667 ops,    7195 (avg:    6468) ops/sec, 5.21MB/sec (avg: 3.01MB/sec),  0.83 (avg:  0.92) msec latency[RUN #1 93%,  28 secs]  2 threads:      184117 ops,    9449 (avg:    6575) ops/sec, 6.96MB/sec (avg: 3.15MB/sec),  0.63 (avg:  0.91) msec latency[RUN #1 97%,  29 secs]  2 threads:      195122 ops,   11003 (avg:    6727) ops/sec, 8.28MB/sec (avg: 3.33MB/sec),  0.54 (avg:  0.88) msec latency[RUN #1 100%,  30 secs]  0 threads:      207906 ops,   11003 (avg:    6930) ops/sec, 8.28MB/sec (avg: 3.56MB/sec),  0.54 (avg:  0.86) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         630.13          ---          ---      0.89900      1288.49
Gets        6300.05      1075.63      5224.42      0.85400      2356.92
Totals      6930.18      1075.63      5224.42      0.85800      3645.41


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.120      0.00053
GET       0.130      0.00106
GET       0.140      0.00317
GET       0.150      0.00423
GET       0.160      0.00529
GET       0.170      0.00582
GET       0.180      0.01058
GET       0.190      0.01481
GET       0.200      0.02328
GET       0.210      0.03492
GET       0.220      0.04868
GET       0.230      0.07143
GET       0.240      0.11005
GET       0.250      0.17989
GET       0.260      0.25238
GET       0.270      0.36455
GET       0.280      0.50899
GET       0.290      0.68359
GET       0.300      0.92645
GET       0.310      1.20105
GET       0.320      1.52538
GET       0.330      1.91162
GET       0.340      2.31796
GET       0.350      2.75024
GET       0.360      3.22166
GET       0.370      3.76980
GET       0.380      4.36080
GET       0.390      5.01899
GET       0.400      5.76184
GET       0.410      6.60628
GET       0.420      7.47082
GET       0.430      8.48245
GET       0.440      9.52953
GET       0.450     10.65756
GET       0.460     11.89882
GET       0.470     13.15647
GET       0.480     14.52471
GET       0.490     15.96650
GET       0.500     17.39664
GET       0.510     18.79927
GET       0.520     20.20508
GET       0.530     21.61723
GET       0.540     22.99817
GET       0.550     24.34048
GET       0.560     25.70184
GET       0.570     27.03358
GET       0.580     28.32457
GET       0.590     29.58064
GET       0.600     30.79015
GET       0.610     31.94940
GET       0.620     33.04039
GET       0.630     34.12027
GET       0.640     35.18323
GET       0.650     36.24829
GET       0.660     37.29379
GET       0.670     38.28425
GET       0.680     39.25514
GET       0.690     40.20328
GET       0.700     41.12919
GET       0.710     42.08633
GET       0.720     42.98843
GET       0.730     43.87414
GET       0.740     44.74397
GET       0.750     45.62650
GET       0.760     46.54501
GET       0.770     47.43072
GET       0.780     48.32118
GET       0.790     49.20477
GET       0.800     50.07936
GET       0.810     50.94867
GET       0.820     51.80792
GET       0.830     52.66770
GET       0.840     53.52430
GET       0.850     54.37879
GET       0.860     55.25127
GET       0.870     56.12692
GET       0.880     56.97400
GET       0.890     57.86394
GET       0.900     58.73694
GET       0.910     59.59461
GET       0.920     60.45386
GET       0.930     61.30940
GET       0.940     62.17977
GET       0.950     63.06759
GET       0.960     63.92737
GET       0.970     64.77233
GET       0.980     65.61782
GET       0.990     66.47760
GET       1.000     71.06539
GET       1.100     78.71557
GET       1.200     85.29751
GET       1.300     90.62338
GET       1.400     94.53022
GET       1.500     97.07252
GET       1.600     98.42753
GET       1.700     99.09207
GET       1.800     99.41958
GET       1.900     99.59471
GET       2.000     99.68995
GET       2.100     99.74180
GET       2.200     99.77196
GET       2.300     99.79841
GET       2.400     99.81323
GET       2.500     99.82963
GET       2.600     99.84127
GET       2.700     99.85662
GET       2.800     99.87249
GET       2.900     99.88572
GET       3.000     99.89736
GET       3.100     99.90529
GET       3.200     99.91217
GET       3.300     99.92328
GET       3.400     99.93439
GET       3.500     99.93810
GET       3.600     99.94286
GET       3.700     99.94709
GET       3.800     99.95185
GET       3.900     99.95344
GET       4.000     99.95503
GET       4.100     99.95926
GET       4.200     99.96138
GET       4.300     99.96508
GET       4.400     99.96878
GET       4.500     99.97249
GET       4.600     99.97778
GET       4.700     99.98254
GET       4.800     99.98519
GET       4.900     99.98730
GET       5.000     99.98942
GET       5.100     99.99101
GET       5.200     99.99206
GET       5.300     99.99365
GET       6.400     99.99418
GET       6.500     99.99524
GET       6.600     99.99577
GET       6.700     99.99735
GET       6.900     99.99788
GET       7.000     99.99894
GET       7.100    100.00000
