[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       17333 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:       32683 ops,   15348 (avg:   16341) ops/sec, 4.35MB/sec (avg: 4.33MB/sec),  0.39 (avg:  0.36) msec latency[RUN #1 10%,   3 secs]  2 threads:       47180 ops,   14495 (avg:   15726) ops/sec, 4.85MB/sec (avg: 4.51MB/sec),  0.41 (avg:  0.38) msec latency[RUN #1 13%,   4 secs]  2 threads:       60498 ops,   13316 (avg:   15123) ops/sec, 5.21MB/sec (avg: 4.68MB/sec),  0.44 (avg:  0.39) msec latency[RUN #1 17%,   5 secs]  2 threads:       73155 ops,   12655 (avg:   14630) ops/sec, 5.16MB/sec (avg: 4.78MB/sec),  0.47 (avg:  0.41) msec latency[RUN #1 20%,   6 secs]  2 threads:       84672 ops,   11515 (avg:   14110) ops/sec, 5.28MB/sec (avg: 4.86MB/sec),  0.51 (avg:  0.42) msec latency[RUN #1 23%,   7 secs]  2 threads:       93537 ops,    8864 (avg:   13361) ops/sec, 4.47MB/sec (avg: 4.80MB/sec),  0.67 (avg:  0.44) msec latency[RUN #1 27%,   8 secs]  2 threads:      103294 ops,    9756 (avg:   12910) ops/sec, 4.51MB/sec (avg: 4.77MB/sec),  0.61 (avg:  0.46) msec latency[RUN #1 30%,   9 secs]  2 threads:      113018 ops,    9722 (avg:   12556) ops/sec, 4.73MB/sec (avg: 4.76MB/sec),  0.61 (avg:  0.47) msec latency[RUN #1 33%,  10 secs]  2 threads:      121122 ops,    8103 (avg:   12111) ops/sec, 4.32MB/sec (avg: 4.72MB/sec),  0.73 (avg:  0.49) msec latency[RUN #1 37%,  11 secs]  2 threads:      129475 ops,    8352 (avg:   11769) ops/sec, 4.39MB/sec (avg: 4.69MB/sec),  0.71 (avg:  0.50) msec latency[RUN #1 40%,  12 secs]  2 threads:      137358 ops,    7882 (avg:   11445) ops/sec, 4.22MB/sec (avg: 4.65MB/sec),  0.75 (avg:  0.52) msec latency[RUN #1 43%,  13 secs]  2 threads:      144892 ops,    7533 (avg:   11144) ops/sec, 4.29MB/sec (avg: 4.62MB/sec),  0.79 (avg:  0.53) msec latency[RUN #1 47%,  14 secs]  2 threads:      152306 ops,    7413 (avg:   10878) ops/sec, 4.09MB/sec (avg: 4.58MB/sec),  0.80 (avg:  0.55) msec latency[RUN #1 50%,  15 secs]  2 threads:      159394 ops,    7087 (avg:   10625) ops/sec, 4.24MB/sec (avg: 4.56MB/sec),  0.84 (avg:  0.56) msec latency[RUN #1 53%,  16 secs]  2 threads:      166081 ops,    6686 (avg:   10379) ops/sec, 4.41MB/sec (avg: 4.55MB/sec),  0.89 (avg:  0.57) msec latency[RUN #1 57%,  17 secs]  2 threads:      172568 ops,    6486 (avg:   10150) ops/sec, 4.30MB/sec (avg: 4.54MB/sec),  0.92 (avg:  0.59) msec latency[RUN #1 60%,  18 secs]  2 threads:      178713 ops,    6144 (avg:    9927) ops/sec, 3.99MB/sec (avg: 4.51MB/sec),  0.97 (avg:  0.60) msec latency[RUN #1 63%,  19 secs]  2 threads:      184860 ops,    6146 (avg:    9728) ops/sec, 4.11MB/sec (avg: 4.49MB/sec),  0.97 (avg:  0.61) msec latency[RUN #1 67%,  20 secs]  2 threads:      190693 ops,    5832 (avg:    9533) ops/sec, 4.08MB/sec (avg: 4.47MB/sec),  1.02 (avg:  0.62) msec latency[RUN #1 70%,  21 secs]  2 threads:      196279 ops,    5585 (avg:    9345) ops/sec, 4.11MB/sec (avg: 4.45MB/sec),  1.07 (avg:  0.64) msec latency[RUN #1 73%,  22 secs]  2 threads:      201752 ops,    5472 (avg:    9169) ops/sec, 4.12MB/sec (avg: 4.43MB/sec),  1.09 (avg:  0.65) msec latency[RUN #1 77%,  23 secs]  2 threads:      207049 ops,    5296 (avg:    9001) ops/sec, 4.03MB/sec (avg: 4.42MB/sec),  1.13 (avg:  0.66) msec latency[RUN #1 80%,  24 secs]  2 threads:      212259 ops,    5209 (avg:    8843) ops/sec, 3.99MB/sec (avg: 4.40MB/sec),  1.14 (avg:  0.67) msec latency[RUN #1 83%,  25 secs]  2 threads:      217210 ops,    4950 (avg:    8687) ops/sec, 3.89MB/sec (avg: 4.38MB/sec),  1.20 (avg:  0.68) msec latency[RUN #1 87%,  26 secs]  2 threads:      222061 ops,    4850 (avg:    8540) ops/sec, 3.74MB/sec (avg: 4.35MB/sec),  1.23 (avg:  0.70) msec latency[RUN #1 90%,  27 secs]  2 threads:      226841 ops,    4779 (avg:    8400) ops/sec, 3.90MB/sec (avg: 4.34MB/sec),  1.25 (avg:  0.71) msec latency[RUN #1 93%,  28 secs]  2 threads:      231536 ops,    4694 (avg:    8268) ops/sec, 3.88MB/sec (avg: 4.32MB/sec),  1.27 (avg:  0.72) msec latency[RUN #1 97%,  29 secs]  2 threads:      236136 ops,    4599 (avg:    8141) ops/sec, 3.71MB/sec (avg: 4.30MB/sec),  1.30 (avg:  0.73) msec latency[RUN #1 100%,  30 secs]  0 threads:      240675 ops,    4599 (avg:    8022) ops/sec, 3.71MB/sec (avg: 4.28MB/sec),  1.30 (avg:  0.74) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         729.42          ---          ---      0.77600      1491.51
Gets        7292.90      1324.37      5968.53      0.73800      2887.51
Totals      8022.32      1324.37      5968.53      0.74100      4379.02


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.160      0.00091
GET       0.170      0.00320
GET       0.180      0.01508
GET       0.190      0.03611
GET       0.200      0.08090
GET       0.210      0.16545
GET       0.220      0.35330
GET       0.230      0.67918
GET       0.240      1.15178
GET       0.250      1.81177
GET       0.260      2.48318
GET       0.270      3.18385
GET       0.280      3.89502
GET       0.290      4.55821
GET       0.300      5.20814
GET       0.310      5.89601
GET       0.320      6.61222
GET       0.330      7.45183
GET       0.340      8.41393
GET       0.350      9.52320
GET       0.360     10.82078
GET       0.370     12.26690
GET       0.380     13.84191
GET       0.390     15.56775
GET       0.400     17.30319
GET       0.410     19.09759
GET       0.420     20.93998
GET       0.430     22.80888
GET       0.440     24.72257
GET       0.450     26.60609
GET       0.460     28.36073
GET       0.470     30.13776
GET       0.480     31.82612
GET       0.490     33.44409
GET       0.500     35.07532
GET       0.510     36.55344
GET       0.520     38.00413
GET       0.530     39.42694
GET       0.540     40.79080
GET       0.550     42.07329
GET       0.560     43.26849
GET       0.570     44.38051
GET       0.580     45.44042
GET       0.590     46.45280
GET       0.600     47.45146
GET       0.610     48.37060
GET       0.620     49.30208
GET       0.630     50.21527
GET       0.640     51.04940
GET       0.650     51.86616
GET       0.660     52.66006
GET       0.670     53.44939
GET       0.680     54.21176
GET       0.690     54.95493
GET       0.700     55.69948
GET       0.710     56.42665
GET       0.720     57.13783
GET       0.730     57.82250
GET       0.740     58.51676
GET       0.750     59.19549
GET       0.760     59.89433
GET       0.770     60.58357
GET       0.780     61.24767
GET       0.790     61.92960
GET       0.800     62.64580
GET       0.810     63.30716
GET       0.820     64.00280
GET       0.830     64.68381
GET       0.840     65.33786
GET       0.850     66.04172
GET       0.860     66.73096
GET       0.870     67.40969
GET       0.880     68.06602
GET       0.890     68.72600
GET       0.900     69.39011
GET       0.910     70.08392
GET       0.920     70.73979
GET       0.930     71.40983
GET       0.940     72.10547
GET       0.950     72.76820
GET       0.960     73.47481
GET       0.970     74.13617
GET       0.980     74.82221
GET       0.990     75.46711
GET       1.000     79.09567
GET       1.100     84.98163
GET       1.200     89.81773
GET       1.300     93.61585
GET       1.400     96.25078
GET       1.500     97.90532
GET       1.600     98.80480
GET       1.700     99.26140
GET       1.800     99.49998
GET       1.900     99.63298
GET       2.000     99.70063
GET       2.100     99.74222
GET       2.200     99.77604
GET       2.300     99.80027
GET       2.400     99.81855
GET       2.500     99.83500
GET       2.600     99.85420
GET       2.700     99.87431
GET       2.800     99.88117
GET       2.900     99.89076
GET       3.000     99.89488
GET       3.100     99.89762
GET       3.200     99.90219
GET       3.300     99.90950
GET       3.400     99.91270
GET       3.500     99.91544
GET       3.600     99.92002
GET       3.700     99.92641
GET       3.800     99.93007
GET       3.900     99.93281
GET       4.000     99.93418
GET       4.100     99.93647
GET       4.200     99.93875
GET       4.300     99.93921
GET       4.400     99.94013
GET       4.500     99.94652
GET       4.600     99.95292
GET       4.700     99.96344
GET       4.800     99.96755
GET       4.900     99.97303
GET       5.000     99.97623
GET       5.100     99.97943
GET       5.200     99.98446
GET       5.300     99.98583
GET       5.500     99.98629
GET       5.600     99.98675
GET       5.700     99.98720
GET       6.400     99.98812
GET       6.500     99.98903
GET       6.600     99.99040
GET       6.700     99.99132
GET       6.800     99.99177
GET       6.900     99.99223
GET       7.000     99.99314
GET       7.100     99.99634
GET       7.200     99.99680
GET       7.300     99.99726
GET       9.400     99.99771
GET       9.500     99.99909
GET       9.600    100.00000
