[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:        8954 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       16575 ops,    7620 (avg:    8287) ops/sec, 3.42MB/sec (avg: 3.53MB/sec),  0.78 (avg:  0.72) msec latency[RUN #1 10%,   3 secs]  2 threads:       23288 ops,    6712 (avg:    7762) ops/sec, 3.30MB/sec (avg: 3.45MB/sec),  0.89 (avg:  0.77) msec latency[RUN #1 13%,   4 secs]  2 threads:       29234 ops,    5945 (avg:    7308) ops/sec, 3.04MB/sec (avg: 3.35MB/sec),  1.00 (avg:  0.81) msec latency[RUN #1 17%,   5 secs]  2 threads:       35172 ops,    5937 (avg:    7033) ops/sec, 3.28MB/sec (avg: 3.34MB/sec),  1.00 (avg:  0.85) msec latency[RUN #1 20%,   6 secs]  2 threads:       41102 ops,    5929 (avg:    6849) ops/sec, 3.39MB/sec (avg: 3.35MB/sec),  1.00 (avg:  0.87) msec latency[RUN #1 23%,   7 secs]  2 threads:       47098 ops,    5995 (avg:    6727) ops/sec, 3.88MB/sec (avg: 3.42MB/sec),  0.99 (avg:  0.89) msec latency[RUN #1 27%,   8 secs]  2 threads:       53125 ops,    6026 (avg:    6640) ops/sec, 3.93MB/sec (avg: 3.49MB/sec),  0.99 (avg:  0.90) msec latency[RUN #1 30%,   9 secs]  2 threads:       59095 ops,    5969 (avg:    6565) ops/sec, 4.50MB/sec (avg: 3.60MB/sec),  1.00 (avg:  0.91) msec latency[RUN #1 33%,  10 secs]  2 threads:       65135 ops,    6039 (avg:    6512) ops/sec, 4.53MB/sec (avg: 3.69MB/sec),  0.99 (avg:  0.91) msec latency[RUN #1 37%,  11 secs]  2 threads:       70817 ops,    5681 (avg:    6437) ops/sec, 4.47MB/sec (avg: 3.76MB/sec),  1.05 (avg:  0.93) msec latency[RUN #1 40%,  12 secs]  2 threads:       76335 ops,    5517 (avg:    6360) ops/sec, 4.55MB/sec (avg: 3.83MB/sec),  1.08 (avg:  0.94) msec latency[RUN #1 43%,  13 secs]  2 threads:       81428 ops,    5092 (avg:    6263) ops/sec, 4.35MB/sec (avg: 3.87MB/sec),  1.17 (avg:  0.95) msec latency[RUN #1 47%,  14 secs]  2 threads:       86343 ops,    4914 (avg:    6166) ops/sec, 4.56MB/sec (avg: 3.92MB/sec),  1.21 (avg:  0.97) msec latency[RUN #1 50%,  15 secs]  2 threads:       91085 ops,    4741 (avg:    6071) ops/sec, 4.42MB/sec (avg: 3.95MB/sec),  1.26 (avg:  0.98) msec latency[RUN #1 53%,  16 secs]  2 threads:       95722 ops,    4636 (avg:    5982) ops/sec, 4.34MB/sec (avg: 3.97MB/sec),  1.29 (avg:  1.00) msec latency[RUN #1 57%,  17 secs]  2 threads:      100134 ops,    4411 (avg:    5889) ops/sec, 4.11MB/sec (avg: 3.98MB/sec),  1.35 (avg:  1.01) msec latency[RUN #1 60%,  18 secs]  2 threads:      104405 ops,    4270 (avg:    5799) ops/sec, 4.04MB/sec (avg: 3.99MB/sec),  1.40 (avg:  1.03) msec latency[RUN #1 63%,  19 secs]  2 threads:      108599 ops,    4193 (avg:    5715) ops/sec, 4.12MB/sec (avg: 3.99MB/sec),  1.42 (avg:  1.04) msec latency[RUN #1 67%,  20 secs]  2 threads:      112642 ops,    4042 (avg:    5631) ops/sec, 4.04MB/sec (avg: 4.00MB/sec),  1.48 (avg:  1.06) msec latency[RUN #1 70%,  21 secs]  2 threads:      116638 ops,    3995 (avg:    5553) ops/sec, 4.12MB/sec (avg: 4.00MB/sec),  1.49 (avg:  1.07) msec latency[RUN #1 73%,  22 secs]  2 threads:      120510 ops,    3871 (avg:    5477) ops/sec, 3.98MB/sec (avg: 4.00MB/sec),  1.54 (avg:  1.09) msec latency[RUN #1 77%,  23 secs]  2 threads:      124246 ops,    3735 (avg:    5401) ops/sec, 4.14MB/sec (avg: 4.01MB/sec),  1.60 (avg:  1.10) msec latency[RUN #1 80%,  24 secs]  2 threads:      127942 ops,    3695 (avg:    5330) ops/sec, 3.82MB/sec (avg: 4.00MB/sec),  1.62 (avg:  1.12) msec latency[RUN #1 83%,  25 secs]  2 threads:      131552 ops,    3609 (avg:    5261) ops/sec, 4.01MB/sec (avg: 4.00MB/sec),  1.66 (avg:  1.13) msec latency[RUN #1 87%,  26 secs]  2 threads:      135043 ops,    3490 (avg:    5193) ops/sec, 3.92MB/sec (avg: 4.00MB/sec),  1.71 (avg:  1.15) msec latency[RUN #1 90%,  27 secs]  2 threads:      138634 ops,    3590 (avg:    5134) ops/sec, 4.23MB/sec (avg: 4.00MB/sec),  1.66 (avg:  1.16) msec latency[RUN #1 93%,  28 secs]  2 threads:      143048 ops,    4413 (avg:    5108) ops/sec, 5.10MB/sec (avg: 4.04MB/sec),  1.35 (avg:  1.17) msec latency[RUN #1 97%,  29 secs]  2 threads:      148483 ops,    5434 (avg:    5119) ops/sec, 6.26MB/sec (avg: 4.12MB/sec),  1.10 (avg:  1.17) msec latency[RUN #1 100%,  30 secs]  0 threads:      155050 ops,    5434 (avg:    5168) ops/sec, 6.26MB/sec (avg: 4.25MB/sec),  1.10 (avg:  1.15) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         469.93          ---          ---      1.21500      1900.76
Gets        4698.32       573.76      4124.57      1.14800      2446.39
Totals      5168.25       573.76      4124.57      1.15400      4347.15


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.190      0.00071
GET       0.210      0.00213
GET       0.220      0.00426
GET       0.230      0.00568
GET       0.240      0.01135
GET       0.250      0.01490
GET       0.260      0.02128
GET       0.270      0.02980
GET       0.280      0.04115
GET       0.290      0.05463
GET       0.300      0.07662
GET       0.310      0.09649
GET       0.320      0.12345
GET       0.330      0.15892
GET       0.340      0.19510
GET       0.350      0.23412
GET       0.360      0.28449
GET       0.370      0.34551
GET       0.380      0.40936
GET       0.390      0.49237
GET       0.400      0.57466
GET       0.410      0.68108
GET       0.420      0.77970
GET       0.430      0.89534
GET       0.440      1.02091
GET       0.450      1.17132
GET       0.460      1.31676
GET       0.470      1.50548
GET       0.480      1.71902
GET       0.490      1.93825
GET       0.500      2.19011
GET       0.510      2.45190
GET       0.520      2.72717
GET       0.530      3.03579
GET       0.540      3.35221
GET       0.550      3.68920
GET       0.560      4.08437
GET       0.570      4.47032
GET       0.580      4.89599
GET       0.590      5.36211
GET       0.600      5.80623
GET       0.610      6.29363
GET       0.620      6.80090
GET       0.630      7.35499
GET       0.640      7.94171
GET       0.650      8.50786
GET       0.660      9.09671
GET       0.670      9.67351
GET       0.680     10.29499
GET       0.690     10.93848
GET       0.700     11.63304
GET       0.710     12.34818
GET       0.720     13.12078
GET       0.730     13.86075
GET       0.740     14.66740
GET       0.750     15.44639
GET       0.760     16.29278
GET       0.770     17.16400
GET       0.780     18.04657
GET       0.790     18.95752
GET       0.800     19.88549
GET       0.810     20.80637
GET       0.820     21.78046
GET       0.830     22.76307
GET       0.840     23.79959
GET       0.850     24.80703
GET       0.860     25.85916
GET       0.870     26.91200
GET       0.880     28.00741
GET       0.890     29.08863
GET       0.900     30.21596
GET       0.910     31.36245
GET       0.920     32.42380
GET       0.930     33.51779
GET       0.940     34.64797
GET       0.950     35.79020
GET       0.960     36.93385
GET       0.970     38.12007
GET       0.980     39.23747
GET       0.990     40.36481
GET       1.000     46.54918
GET       1.100     56.52704
GET       1.200     65.27896
GET       1.300     72.51972
GET       1.400     78.62180
GET       1.500     83.72708
GET       1.600     87.84480
GET       1.700     91.14876
GET       1.800     93.70637
GET       1.900     95.65739
GET       2.000     97.06780
GET       2.100     98.13412
GET       2.200     98.82584
GET       2.300     99.24655
GET       2.400     99.53814
GET       2.500     99.73395
GET       2.600     99.84888
GET       2.700     99.90706
GET       2.800     99.93686
GET       2.900     99.95034
GET       3.000     99.96311
GET       3.100     99.97233
GET       3.200     99.97801
GET       3.300     99.98723
GET       3.400     99.99432
GET       3.500     99.99787
GET       3.600     99.99858
GET       3.700     99.99929
GET       3.800    100.00000
