[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       13235 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       24343 ops,   11106 (avg:   12171) ops/sec, 5.53MB/sec (avg: 5.52MB/sec),  0.53 (avg:  0.49) msec latency[RUN #1 10%,   3 secs]  2 threads:       33652 ops,    9307 (avg:   11216) ops/sec, 4.95MB/sec (avg: 5.33MB/sec),  0.64 (avg:  0.53) msec latency[RUN #1 13%,   4 secs]  2 threads:       41518 ops,    7865 (avg:   10378) ops/sec, 4.63MB/sec (avg: 5.15MB/sec),  0.76 (avg:  0.57) msec latency[RUN #1 17%,   5 secs]  2 threads:       48448 ops,    6929 (avg:    9688) ops/sec, 4.47MB/sec (avg: 5.02MB/sec),  0.86 (avg:  0.61) msec latency[RUN #1 20%,   6 secs]  2 threads:       54311 ops,    5862 (avg:    9051) ops/sec, 4.03MB/sec (avg: 4.85MB/sec),  1.02 (avg:  0.66) msec latency[RUN #1 23%,   7 secs]  2 threads:       60211 ops,    5899 (avg:    8600) ops/sec, 4.59MB/sec (avg: 4.81MB/sec),  1.01 (avg:  0.69) msec latency[RUN #1 27%,   8 secs]  2 threads:       66097 ops,    5885 (avg:    8261) ops/sec, 4.34MB/sec (avg: 4.75MB/sec),  1.01 (avg:  0.72) msec latency[RUN #1 30%,   9 secs]  2 threads:       72100 ops,    6002 (avg:    8010) ops/sec, 4.75MB/sec (avg: 4.75MB/sec),  0.99 (avg:  0.74) msec latency[RUN #1 33%,  10 secs]  2 threads:       78259 ops,    6158 (avg:    7825) ops/sec, 5.11MB/sec (avg: 4.79MB/sec),  0.97 (avg:  0.76) msec latency[RUN #1 37%,  11 secs]  2 threads:       84416 ops,    6156 (avg:    7673) ops/sec, 5.26MB/sec (avg: 4.83MB/sec),  0.97 (avg:  0.78) msec latency[RUN #1 40%,  12 secs]  2 threads:       90788 ops,    6371 (avg:    7564) ops/sec, 5.87MB/sec (avg: 4.92MB/sec),  0.93 (avg:  0.79) msec latency[RUN #1 43%,  13 secs]  2 threads:       97039 ops,    6250 (avg:    7463) ops/sec, 5.84MB/sec (avg: 4.99MB/sec),  0.95 (avg:  0.80) msec latency[RUN #1 47%,  14 secs]  2 threads:      103165 ops,    6125 (avg:    7368) ops/sec, 5.39MB/sec (avg: 5.02MB/sec),  0.97 (avg:  0.81) msec latency[RUN #1 50%,  15 secs]  2 threads:      108974 ops,    5808 (avg:    7264) ops/sec, 5.30MB/sec (avg: 5.04MB/sec),  1.03 (avg:  0.82) msec latency[RUN #1 53%,  16 secs]  2 threads:      114461 ops,    5486 (avg:    7153) ops/sec, 5.43MB/sec (avg: 5.06MB/sec),  1.09 (avg:  0.83) msec latency[RUN #1 57%,  17 secs]  2 threads:      119770 ops,    5308 (avg:    7044) ops/sec, 5.29MB/sec (avg: 5.07MB/sec),  1.12 (avg:  0.84) msec latency[RUN #1 60%,  18 secs]  2 threads:      124979 ops,    5208 (avg:    6942) ops/sec, 5.29MB/sec (avg: 5.09MB/sec),  1.14 (avg:  0.86) msec latency[RUN #1 63%,  19 secs]  2 threads:      129987 ops,    5007 (avg:    6840) ops/sec, 5.19MB/sec (avg: 5.09MB/sec),  1.19 (avg:  0.87) msec latency[RUN #1 67%,  20 secs]  2 threads:      134766 ops,    4778 (avg:    6737) ops/sec, 5.10MB/sec (avg: 5.09MB/sec),  1.25 (avg:  0.88) msec latency[RUN #1 70%,  21 secs]  2 threads:      139473 ops,    4706 (avg:    6640) ops/sec, 5.07MB/sec (avg: 5.09MB/sec),  1.27 (avg:  0.90) msec latency[RUN #1 73%,  22 secs]  2 threads:      144027 ops,    4553 (avg:    6546) ops/sec, 4.88MB/sec (avg: 5.08MB/sec),  1.31 (avg:  0.91) msec latency[RUN #1 77%,  23 secs]  2 threads:      148493 ops,    4465 (avg:    6455) ops/sec, 5.04MB/sec (avg: 5.08MB/sec),  1.34 (avg:  0.92) msec latency[RUN #1 80%,  24 secs]  2 threads:      152882 ops,    4388 (avg:    6369) ops/sec, 5.10MB/sec (avg: 5.08MB/sec),  1.36 (avg:  0.94) msec latency[RUN #1 83%,  25 secs]  2 threads:      157054 ops,    4171 (avg:    6281) ops/sec, 5.15MB/sec (avg: 5.08MB/sec),  1.43 (avg:  0.95) msec latency[RUN #1 87%,  26 secs]  2 threads:      161195 ops,    4140 (avg:    6199) ops/sec, 5.00MB/sec (avg: 5.08MB/sec),  1.44 (avg:  0.96) msec latency[RUN #1 90%,  27 secs]  2 threads:      165241 ops,    4045 (avg:    6119) ops/sec, 4.86MB/sec (avg: 5.07MB/sec),  1.48 (avg:  0.97) msec latency[RUN #1 93%,  28 secs]  2 threads:      169157 ops,    3915 (avg:    6040) ops/sec, 4.89MB/sec (avg: 5.07MB/sec),  1.53 (avg:  0.99) msec latency[RUN #1 97%,  29 secs]  2 threads:      172976 ops,    3818 (avg:    5964) ops/sec, 5.09MB/sec (avg: 5.07MB/sec),  1.56 (avg:  1.00) msec latency[RUN #1 100%,  30 secs]  0 threads:      177391 ops,    3818 (avg:    5912) ops/sec, 5.09MB/sec (avg: 5.09MB/sec),  1.56 (avg:  1.01) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         537.63          ---          ---      1.06200      2174.59
Gets        5375.33       716.46      4658.87      1.00200      3039.53
Totals      5912.96       716.46      4658.87      1.00700      5214.12


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.170      0.00186
GET       0.180      0.00496
GET       0.190      0.01240
GET       0.200      0.02170
GET       0.210      0.04341
GET       0.220      0.07503
GET       0.230      0.11286
GET       0.240      0.17177
GET       0.250      0.24928
GET       0.260      0.35718
GET       0.270      0.47438
GET       0.280      0.61825
GET       0.290      0.78134
GET       0.300      0.99403
GET       0.310      1.22472
GET       0.320      1.51183
GET       0.330      1.85351
GET       0.340      2.24231
GET       0.350      2.68321
GET       0.360      3.14085
GET       0.370      3.65430
GET       0.380      4.18325
GET       0.390      4.73019
GET       0.400      5.33418
GET       0.410      5.94126
GET       0.420      6.49502
GET       0.430      7.07916
GET       0.440      7.66765
GET       0.450      8.24807
GET       0.460      8.85143
GET       0.470      9.47402
GET       0.480     10.05569
GET       0.490     10.64603
GET       0.500     11.24505
GET       0.510     11.89245
GET       0.520     12.53302
GET       0.530     13.17359
GET       0.540     13.80052
GET       0.550     14.45102
GET       0.560     15.09779
GET       0.570     15.73030
GET       0.580     16.36157
GET       0.590     16.96990
GET       0.600     17.59621
GET       0.610     18.24608
GET       0.620     18.89224
GET       0.630     19.55885
GET       0.640     20.22919
GET       0.650     20.94480
GET       0.660     21.68459
GET       0.670     22.40639
GET       0.680     23.14060
GET       0.690     23.88535
GET       0.700     24.63321
GET       0.710     25.39656
GET       0.720     26.19278
GET       0.730     26.99954
GET       0.740     27.80878
GET       0.750     28.64469
GET       0.760     29.44649
GET       0.770     30.34255
GET       0.780     31.27023
GET       0.790     32.19667
GET       0.800     33.12064
GET       0.810     34.09731
GET       0.820     35.01631
GET       0.830     36.00104
GET       0.840     36.97461
GET       0.850     37.98291
GET       0.860     38.98749
GET       0.870     40.02307
GET       0.880     41.06051
GET       0.890     42.09113
GET       0.900     43.10811
GET       0.910     44.12447
GET       0.920     45.14889
GET       0.930     46.20555
GET       0.940     47.24052
GET       0.950     48.32943
GET       0.960     49.42144
GET       0.970     50.50043
GET       0.980     51.61228
GET       0.990     52.70491
GET       1.000     58.51410
GET       1.100     67.92239
GET       1.200     75.69049
GET       1.300     81.89468
GET       1.400     86.63231
GET       1.500     90.44722
GET       1.600     93.15338
GET       1.700     95.07758
GET       1.800     96.51499
GET       1.900     97.54623
GET       2.000     98.31454
GET       2.100     98.85652
GET       2.200     99.24409
GET       2.300     99.51756
GET       2.400     99.69801
GET       2.500     99.81211
GET       2.600     99.88838
GET       2.700     99.93179
GET       2.800     99.95597
GET       2.900     99.97520
GET       3.000     99.98388
GET       3.100     99.98822
GET       3.200     99.98946
GET       3.300     99.99194
GET       3.500     99.99318
GET       3.700     99.99380
GET       3.900     99.99504
GET       4.100     99.99566
GET       4.200     99.99628
GET       4.300     99.99690
GET       4.400     99.99752
GET       4.500     99.99814
GET       4.600     99.99938
GET       4.700    100.00000
