[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:        3356 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:        6705 ops,    3348 (avg:    3353) ops/sec, 2.58MB/sec (avg: 2.57MB/sec),  1.78 (avg:  1.78) msec latency[RUN #1 10%,   2 secs]  2 threads:       10039 ops,    3333 (avg:    3347) ops/sec, 2.75MB/sec (avg: 2.63MB/sec),  1.79 (avg:  1.78) msec latency[RUN #1 13%,   3 secs]  2 threads:       13389 ops,    3349 (avg:    3347) ops/sec, 2.72MB/sec (avg: 2.65MB/sec),  1.79 (avg:  1.79) msec latency[RUN #1 17%,   4 secs]  2 threads:       16721 ops,    3331 (avg:    3344) ops/sec, 3.18MB/sec (avg: 2.76MB/sec),  1.79 (avg:  1.79) msec latency[RUN #1 20%,   5 secs]  2 threads:       20074 ops,    3352 (avg:    3345) ops/sec, 3.04MB/sec (avg: 2.80MB/sec),  1.78 (avg:  1.79) msec latency[RUN #1 23%,   6 secs]  2 threads:       23396 ops,    3321 (avg:    3342) ops/sec, 3.25MB/sec (avg: 2.87MB/sec),  1.80 (avg:  1.79) msec latency[RUN #1 27%,   7 secs]  2 threads:       26713 ops,    3316 (avg:    3339) ops/sec, 3.04MB/sec (avg: 2.89MB/sec),  1.80 (avg:  1.79) msec latency[RUN #1 30%,   8 secs]  2 threads:       30035 ops,    3321 (avg:    3337) ops/sec, 3.47MB/sec (avg: 2.95MB/sec),  1.80 (avg:  1.79) msec latency[RUN #1 33%,  10 secs]  2 threads:       33335 ops,    3299 (avg:    3333) ops/sec, 3.61MB/sec (avg: 3.02MB/sec),  1.81 (avg:  1.79) msec latency[RUN #1 37%,  11 secs]  2 threads:       36626 ops,    3290 (avg:    3329) ops/sec, 3.60MB/sec (avg: 3.07MB/sec),  1.82 (avg:  1.80) msec latency[RUN #1 40%,  12 secs]  2 threads:       39888 ops,    3261 (avg:    3323) ops/sec, 3.78MB/sec (avg: 3.13MB/sec),  1.83 (avg:  1.80) msec latency[RUN #1 43%,  13 secs]  2 threads:       43104 ops,    3215 (avg:    3315) ops/sec, 3.82MB/sec (avg: 3.18MB/sec),  1.86 (avg:  1.80) msec latency[RUN #1 47%,  14 secs]  2 threads:       46287 ops,    3182 (avg:    3306) ops/sec, 4.09MB/sec (avg: 3.25MB/sec),  1.88 (avg:  1.81) msec latency[RUN #1 50%,  15 secs]  2 threads:       49092 ops,    2804 (avg:    3272) ops/sec, 3.43MB/sec (avg: 3.26MB/sec),  2.13 (avg:  1.83) msec latency[RUN #1 53%,  16 secs]  2 threads:       52146 ops,    3053 (avg:    3258) ops/sec, 3.91MB/sec (avg: 3.30MB/sec),  1.96 (avg:  1.83) msec latency[RUN #1 57%,  17 secs]  2 threads:       55041 ops,    2894 (avg:    3237) ops/sec, 4.17MB/sec (avg: 3.35MB/sec),  2.06 (avg:  1.85) msec latency[RUN #1 60%,  18 secs]  2 threads:       57791 ops,    2749 (avg:    3210) ops/sec, 4.11MB/sec (avg: 3.40MB/sec),  2.18 (avg:  1.86) msec latency[RUN #1 63%,  19 secs]  2 threads:       60396 ops,    2604 (avg:    3178) ops/sec, 4.26MB/sec (avg: 3.44MB/sec),  2.30 (avg:  1.88) msec latency[RUN #1 67%,  20 secs]  2 threads:       63004 ops,    2607 (avg:    3150) ops/sec, 3.74MB/sec (avg: 3.46MB/sec),  2.29 (avg:  1.90) msec latency[RUN #1 70%,  21 secs]  2 threads:       65546 ops,    2541 (avg:    3121) ops/sec, 3.79MB/sec (avg: 3.47MB/sec),  2.35 (avg:  1.92) msec latency[RUN #1 73%,  22 secs]  2 threads:       67992 ops,    2445 (avg:    3090) ops/sec, 3.91MB/sec (avg: 3.49MB/sec),  2.45 (avg:  1.93) msec latency[RUN #1 77%,  23 secs]  2 threads:       70431 ops,    2438 (avg:    3062) ops/sec, 3.87MB/sec (avg: 3.51MB/sec),  2.45 (avg:  1.95) msec latency[RUN #1 80%,  24 secs]  2 threads:       72743 ops,    2311 (avg:    3030) ops/sec, 3.57MB/sec (avg: 3.51MB/sec),  2.59 (avg:  1.97) msec latency[RUN #1 83%,  25 secs]  2 threads:       75523 ops,    2779 (avg:    3020) ops/sec, 4.57MB/sec (avg: 3.55MB/sec),  2.15 (avg:  1.98) msec latency[RUN #1 87%,  26 secs]  2 threads:       78826 ops,    3302 (avg:    3031) ops/sec, 5.73MB/sec (avg: 3.64MB/sec),  1.81 (avg:  1.97) msec latency[RUN #1 90%,  27 secs]  2 threads:       82901 ops,    4074 (avg:    3070) ops/sec, 7.23MB/sec (avg: 3.77MB/sec),  1.47 (avg:  1.95) msec latency[RUN #1 93%,  28 secs]  2 threads:       88616 ops,    5714 (avg:    3164) ops/sec, 10.24MB/sec (avg: 4.00MB/sec),  1.04 (avg:  1.89) msec latency[RUN #1 97%,  29 secs]  2 threads:       96716 ops,    8099 (avg:    3334) ops/sec, 15.40MB/sec (avg: 4.39MB/sec),  0.74 (avg:  1.79) msec latency[RUN #1 100%,  30 secs]  0 threads:      108169 ops,    8099 (avg:    3605) ops/sec, 15.40MB/sec (avg: 4.98MB/sec),  0.74 (avg:  1.66) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         327.87          ---          ---      1.78700      2637.61
Gets        3277.75       294.27      2983.49      1.64400      2458.78
Totals      3605.62       294.27      2983.49      1.65700      5096.40


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     58.58072
SET       2.000     95.78081
SET       3.000     99.90850
SET       4.000    100.00000
---
GET       0.070      0.00102
GET       0.084      0.00305
GET       0.088      0.00407
GET       0.090      0.00712
GET       0.091      0.00814
GET       0.092      0.01220
GET       0.093      0.01627
GET       0.094      0.01729
GET       0.095      0.01932
GET       0.096      0.02034
GET       0.097      0.02542
GET       0.098      0.02949
GET       0.100      0.03661
GET       0.110      0.06000
GET       0.120      0.08441
GET       0.130      0.10373
GET       0.140      0.13932
GET       0.150      0.17695
GET       0.160      0.21864
GET       0.170      0.26848
GET       0.180      0.33966
GET       0.190      0.42000
GET       0.200      0.49627
GET       0.210      0.58882
GET       0.220      0.69356
GET       0.230      0.80848
GET       0.240      0.92644
GET       0.250      1.05966
GET       0.260      1.21831
GET       0.270      1.36068
GET       0.280      1.52645
GET       0.290      1.71051
GET       0.300      1.91085
GET       0.310      2.13560
GET       0.320      2.34306
GET       0.330      2.62374
GET       0.340      2.89425
GET       0.350      3.18306
GET       0.360      3.54306
GET       0.370      3.91832
GET       0.380      4.35154
GET       0.390      4.71561
GET       0.400      5.04002
GET       0.410      5.40205
GET       0.420      5.77019
GET       0.430      6.15765
GET       0.440      6.48612
GET       0.450      6.88274
GET       0.460      7.24884
GET       0.470      7.63325
GET       0.480      7.98511
GET       0.490      8.33291
GET       0.500      8.70715
GET       0.510      9.10579
GET       0.520      9.48207
GET       0.530      9.88275
GET       0.540     10.30173
GET       0.550     10.70851
GET       0.560     11.07868
GET       0.570     11.43767
GET       0.580     11.75089
GET       0.590     12.12919
GET       0.600     12.46072
GET       0.610     12.80750
GET       0.620     13.12581
GET       0.630     13.40954
GET       0.640     13.68513
GET       0.650     13.96073
GET       0.660     14.24852
GET       0.670     14.51395
GET       0.680     14.79869
GET       0.690     15.03666
GET       0.700     15.30005
GET       0.710     15.54107
GET       0.720     15.80853
GET       0.730     16.01904
GET       0.740     16.27328
GET       0.750     16.49192
GET       0.760     16.69734
GET       0.770     16.92107
GET       0.780     17.11633
GET       0.790     17.31667
GET       0.800     17.52209
GET       0.810     17.71837
GET       0.820     17.90345
GET       0.830     18.09260
GET       0.840     18.30616
GET       0.850     18.48820
GET       0.860     18.67023
GET       0.870     18.84108
GET       0.880     19.02922
GET       0.890     19.19295
GET       0.900     19.37193
GET       0.910     19.55396
GET       0.920     19.74210
GET       0.930     19.91397
GET       0.940     20.08685
GET       0.950     20.22515
GET       0.960     20.40007
GET       0.970     20.56075
GET       0.980     20.74380
GET       0.990     20.92177
GET       1.000     21.94889
GET       1.100     24.02449
GET       1.200     26.54145
GET       1.300     29.83230
GET       1.400     34.13300
GET       1.500     39.56454
GET       1.600     45.68253
GET       1.700     52.18391
GET       1.800     58.89376
GET       1.900     65.52022
GET       2.000     71.46838
GET       2.100     76.68941
GET       2.200     81.22807
GET       2.300     85.08436
GET       2.400     88.21555
GET       2.500     90.79658
GET       2.600     92.97896
GET       2.700     94.65286
GET       2.800     95.95253
GET       2.900     96.95321
GET       3.000     97.73118
GET       3.100     98.36677
GET       3.200     98.84576
GET       3.300     99.20373
GET       3.400     99.43966
GET       3.500     99.61864
GET       3.600     99.72949
GET       3.700     99.82102
GET       3.800     99.88610
GET       3.900     99.93492
GET       4.000     99.95627
GET       4.100     99.97254
GET       4.200     99.97864
GET       4.300     99.98373
GET       4.400     99.98881
GET       4.500     99.99390
GET       4.600     99.99695
GET       4.700     99.99797
GET       4.900    100.00000
