[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 2%,   0 secs]  2 threads:        1192 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 6%,   1 secs]  2 threads:        2643 ops,       0 (avg:    1586) ops/sec, 0.00KB/sec (avg: 4.74MB/sec),  0.00 (avg:  3.77) msec latency[RUN #1 9%,   2 secs]  2 threads:        3781 ops,    1137 (avg:    1418) ops/sec, 3.50MB/sec (avg: 4.28MB/sec),  5.26 (avg:  4.22) msec latency[RUN #1 12%,   3 secs]  2 threads:        4830 ops,    1048 (avg:    1317) ops/sec, 3.03MB/sec (avg: 3.94MB/sec),  5.42 (avg:  4.48) msec latency[RUN #1 16%,   4 secs]  2 threads:        5663 ops,     832 (avg:    1213) ops/sec, 2.56MB/sec (avg: 3.64MB/sec),  7.55 (avg:  4.93) msec latency[RUN #1 19%,   5 secs]  2 threads:        6621 ops,     957 (avg:    1168) ops/sec, 2.94MB/sec (avg: 3.52MB/sec),  5.96 (avg:  5.08) msec latency[RUN #1 22%,   6 secs]  2 threads:        7567 ops,     945 (avg:    1135) ops/sec, 2.94MB/sec (avg: 3.43MB/sec),  6.43 (avg:  5.25) msec latency[RUN #1 26%,   7 secs]  2 threads:        8367 ops,     799 (avg:    1091) ops/sec, 2.56MB/sec (avg: 3.32MB/sec),  7.33 (avg:  5.45) msec latency[RUN #1 29%,   8 secs]  2 threads:        9212 ops,     844 (avg:    1062) ops/sec, 2.84MB/sec (avg: 3.26MB/sec),  7.46 (avg:  5.63) msec latency[RUN #1 32%,   9 secs]  2 threads:       10031 ops,     818 (avg:    1037) ops/sec, 2.62MB/sec (avg: 3.19MB/sec),  7.28 (avg:  5.77) msec latency[RUN #1 36%,  10 secs]  2 threads:       11030 ops,     998 (avg:    1034) ops/sec, 3.19MB/sec (avg: 3.19MB/sec),  6.00 (avg:  5.79) msec latency[RUN #1 39%,  11 secs]  2 threads:       11971 ops,     940 (avg:    1026) ops/sec, 3.00MB/sec (avg: 3.18MB/sec),  6.39 (avg:  5.84) msec latency[RUN #1 42%,  12 secs]  2 threads:       12867 ops,     895 (avg:    1015) ops/sec, 2.97MB/sec (avg: 3.16MB/sec),  6.35 (avg:  5.87) msec latency[RUN #1 46%,  13 secs]  2 threads:       13830 ops,     962 (avg:    1011) ops/sec, 3.31MB/sec (avg: 3.17MB/sec),  6.54 (avg:  5.92) msec latency[RUN #1 49%,  14 secs]  2 threads:       14806 ops,     975 (avg:    1009) ops/sec, 3.47MB/sec (avg: 3.19MB/sec),  6.10 (avg:  5.93) msec latency[RUN #1 52%,  15 secs]  2 threads:       15765 ops,     958 (avg:    1006) ops/sec, 3.69MB/sec (avg: 3.22MB/sec),  6.11 (avg:  5.94) msec latency[RUN #1 56%,  16 secs]  2 threads:       16558 ops,     792 (avg:     993) ops/sec, 2.90MB/sec (avg: 3.20MB/sec),  6.96 (avg:  5.99) msec latency[RUN #1 59%,  17 secs]  2 threads:       17376 ops,     817 (avg:     983) ops/sec, 3.03MB/sec (avg: 3.19MB/sec),  7.90 (avg:  6.08) msec latency[RUN #1 62%,  18 secs]  2 threads:       18237 ops,     860 (avg:     976) ops/sec, 3.37MB/sec (avg: 3.20MB/sec),  7.00 (avg:  6.12) msec latency[RUN #1 66%,  19 secs]  2 threads:       19205 ops,     967 (avg:     976) ops/sec, 3.56MB/sec (avg: 3.22MB/sec),  6.22 (avg:  6.13) msec latency[RUN #1 69%,  20 secs]  2 threads:       20087 ops,     881 (avg:     971) ops/sec, 3.53MB/sec (avg: 3.24MB/sec),  6.72 (avg:  6.15) msec latency[RUN #1 72%,  21 secs]  2 threads:       20954 ops,     866 (avg:     967) ops/sec, 3.06MB/sec (avg: 3.23MB/sec),  6.91 (avg:  6.19) msec latency[RUN #1 76%,  22 secs]  2 threads:       21933 ops,     978 (avg:     967) ops/sec, 3.87MB/sec (avg: 3.26MB/sec),  6.31 (avg:  6.19) msec latency[RUN #1 79%,  23 secs]  2 threads:       22892 ops,     958 (avg:     967) ops/sec, 3.81MB/sec (avg: 3.28MB/sec),  6.22 (avg:  6.19) msec latency[RUN #1 82%,  24 secs]  2 threads:       23883 ops,     990 (avg:     968) ops/sec, 3.72MB/sec (avg: 3.30MB/sec),  5.89 (avg:  6.18) msec latency[RUN #1 86%,  25 secs]  2 threads:       24904 ops,    1020 (avg:     970) ops/sec, 3.53MB/sec (avg: 3.31MB/sec),  6.04 (avg:  6.17) msec latency[RUN #1 89%,  26 secs]  2 threads:       25805 ops,     900 (avg:     967) ops/sec, 3.37MB/sec (avg: 3.31MB/sec),  6.43 (avg:  6.18) msec latency[RUN #1 92%,  27 secs]  2 threads:       26634 ops,     828 (avg:     962) ops/sec, 3.37MB/sec (avg: 3.31MB/sec),  7.47 (avg:  6.22) msec latency[RUN #1 96%,  28 secs]  2 threads:       27663 ops,    1028 (avg:     964) ops/sec, 4.03MB/sec (avg: 3.34MB/sec),  5.82 (avg:  6.21) msec latency[RUN #1 99%,  29 secs]  2 threads:       29042 ops,    1378 (avg:     978) ops/sec, 5.54MB/sec (avg: 3.41MB/sec),  4.33 (avg:  6.12) msec latency[RUN #1 100%,  30 secs]  0 threads:       29617 ops,    1378 (avg:     987) ops/sec, 5.54MB/sec (avg: 3.46MB/sec),  4.33 (avg:  6.07) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets          90.90          ---          ---     27.64500      2913.09
Gets         907.36        19.95       887.40      3.90700       666.97
Totals       998.26        19.95       887.40      6.06900      3580.06


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000      0.03708
SET       2.000      0.37078
SET       3.000      1.14943
SET       4.000      1.59436
SET       5.000      2.07638
SET       6.000      3.63367
SET       7.000      5.74713
SET       8.000      7.23026
SET       9.000      8.86170
SET      10.000     11.82796
SET      11.000     15.83241
SET      12.000     19.24360
SET      13.000     20.02225
SET      14.000     21.57953
SET      15.000     30.88617
SET      16.000     43.19614
SET      17.000     43.71524
SET      18.000     44.82759
SET      19.000     52.24323
SET      20.000     60.02966
SET      21.000     60.84538
SET      22.000     62.81053
SET      23.000     71.89470
SET      24.000     81.86874
SET      25.000     82.79570
SET      26.000     83.24064
SET      27.000     85.72488
SET      28.000     88.72822
SET      29.000     89.02484
SET      30.000     89.43270
SET      31.000     91.21246
SET      32.000     92.47312
SET      33.000     92.62143
SET      34.000     92.73267
SET      35.000     93.43715
SET      36.000     94.36411
SET      37.000     94.58658
SET      38.000     94.77197
SET      39.000     95.10567
SET      40.000     95.47646
SET      41.000     95.55061
SET      42.000     95.62477
SET      43.000     95.81016
SET      44.000     95.99555
SET      45.000     96.06971
SET      46.000     96.10679
SET      47.000     96.18094
SET      50.000     96.21802
SET      52.000     96.25510
SET      53.000     96.32925
SET      54.000     96.44049
SET      55.000     96.58880
SET      56.000     96.62588
SET      57.000     96.66296
SET      63.000     96.70004
SET      64.000     96.77419
SET      65.000     96.84835
SET      68.000     96.88543
SET      69.000     96.92251
SET      71.000     97.03374
SET      72.000     97.07082
SET      73.000     97.14498
SET     220.000     97.33037
SET     230.000     97.77531
SET     240.000     98.70226
SET     250.000     99.07304
SET     260.000     99.22136
SET     270.000     99.44383
SET     280.000     99.55506
SET     450.000     99.62922
SET     470.000     99.70337
SET     480.000     99.77753
SET     640.000     99.81461
SET     650.000     99.88877
SET     660.000     99.92584
SET     670.000     99.96292
SET     690.000    100.00000
---
GET       1.000      0.00743
GET       1.100      0.01486
GET       1.200      0.02229
GET       1.300      0.03343
GET       1.400      0.05944
GET       1.500      0.10773
GET       1.600      0.15230
GET       1.700      0.26374
GET       1.800      0.35661
GET       1.900      0.43091
GET       2.000      0.57207
GET       2.100      0.74666
GET       2.200      0.96954
GET       2.300      1.22957
GET       2.400      1.55275
GET       2.500      1.97994
GET       2.600      2.38484
GET       2.700      3.03492
GET       2.800      3.72585
GET       2.900      4.58767
GET       3.000      5.41233
GET       3.100      6.56018
GET       3.200      7.79718
GET       3.300      9.33135
GET       3.400     11.30015
GET       3.500     14.04160
GET       3.600     18.09064
GET       3.700     24.03789
GET       3.800     32.54458
GET       3.900     44.57652
GET       4.000     59.76597
GET       4.100     76.89079
GET       4.200     89.48737
GET       4.300     95.47920
GET       4.400     97.44056
GET       4.500     98.37296
GET       4.600     98.80758
GET       4.700     99.02303
GET       4.800     99.21620
GET       4.900     99.30535
GET       5.000     99.37221
GET       5.100     99.42051
GET       5.200     99.45394
GET       5.300     99.46137
GET       5.500     99.46880
GET       5.700     99.47251
GET       5.800     99.47623
GET       5.900     99.47994
GET       6.000     99.48366
GET       6.100     99.48737
GET       6.200     99.49480
GET       6.300     99.49851
GET       6.400     99.50223
GET       6.800     99.50594
GET       6.900     99.51337
GET       7.100     99.51709
GET       7.200     99.52452
GET       7.300     99.52823
GET       7.500     99.53195
GET       7.600     99.54309
GET       7.700     99.56166
GET       7.800     99.58395
GET       7.900     99.61367
GET       8.000     99.63967
GET       8.100     99.71397
GET       8.200     99.77340
GET       8.300     99.84398
GET       8.400     99.88856
GET       8.500     99.91456
GET       8.600     99.93314
GET       8.700     99.94799
GET       8.800     99.95914
GET      11.000     99.98143
GET      12.000     99.99629
GET      13.000    100.00000
