[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:        5363 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:        8250 ops,    2886 (avg:    4125) ops/sec, 8.84MB/sec (avg: 12.41MB/sec),  2.07 (avg:  1.45) msec latency[RUN #1 10%,   3 secs]  2 threads:       10352 ops,    2101 (avg:    3450) ops/sec, 6.88MB/sec (avg: 10.57MB/sec),  2.85 (avg:  1.73) msec latency[RUN #1 13%,   4 secs]  2 threads:       11972 ops,    1619 (avg:    2992) ops/sec, 5.27MB/sec (avg: 9.24MB/sec),  3.69 (avg:  2.00) msec latency[RUN #1 17%,   5 secs]  2 threads:       13242 ops,    1269 (avg:    2648) ops/sec, 3.73MB/sec (avg: 8.14MB/sec),  4.72 (avg:  2.26) msec latency[RUN #1 20%,   6 secs]  2 threads:       14187 ops,     944 (avg:    2364) ops/sec, 3.34MB/sec (avg: 7.34MB/sec),  5.51 (avg:  2.47) msec latency[RUN #1 23%,   7 secs]  2 threads:       14931 ops,     743 (avg:    2132) ops/sec, 2.59MB/sec (avg: 6.66MB/sec),  8.85 (avg:  2.79) msec latency[RUN #1 27%,   8 secs]  2 threads:       15818 ops,     886 (avg:    1977) ops/sec, 3.37MB/sec (avg: 6.25MB/sec),  6.34 (avg:  2.99) msec latency[RUN #1 30%,   9 secs]  2 threads:       16674 ops,     855 (avg:    1852) ops/sec, 3.62MB/sec (avg: 5.96MB/sec),  7.12 (avg:  3.20) msec latency[RUN #1 33%,  10 secs]  2 threads:       17483 ops,     808 (avg:    1748) ops/sec, 3.18MB/sec (avg: 5.68MB/sec),  7.97 (avg:  3.42) msec latency[RUN #1 37%,  11 secs]  2 threads:       18536 ops,    1052 (avg:    1684) ops/sec, 3.66MB/sec (avg: 5.50MB/sec),  5.71 (avg:  3.55) msec latency[RUN #1 40%,  12 secs]  2 threads:       19451 ops,     914 (avg:    1620) ops/sec, 3.09MB/sec (avg: 5.30MB/sec),  6.52 (avg:  3.69) msec latency[RUN #1 43%,  13 secs]  2 threads:       20470 ops,    1018 (avg:    1574) ops/sec, 3.94MB/sec (avg: 5.19MB/sec),  5.91 (avg:  3.80) msec latency[RUN #1 47%,  14 secs]  2 threads:       21482 ops,    1011 (avg:    1534) ops/sec, 3.94MB/sec (avg: 5.10MB/sec),  5.92 (avg:  3.90) msec latency[RUN #1 50%,  15 secs]  2 threads:       22385 ops,     902 (avg:    1492) ops/sec, 3.34MB/sec (avg: 4.98MB/sec),  6.38 (avg:  4.00) msec latency[RUN #1 53%,  16 secs]  2 threads:       23279 ops,     893 (avg:    1454) ops/sec, 3.31MB/sec (avg: 4.88MB/sec),  6.96 (avg:  4.12) msec latency[RUN #1 57%,  17 secs]  2 threads:       24262 ops,     982 (avg:    1427) ops/sec, 4.00MB/sec (avg: 4.83MB/sec),  6.11 (avg:  4.20) msec latency[RUN #1 60%,  18 secs]  2 threads:       25286 ops,    1023 (avg:    1404) ops/sec, 3.50MB/sec (avg: 4.75MB/sec),  5.73 (avg:  4.26) msec latency[RUN #1 63%,  19 secs]  2 threads:       26274 ops,     987 (avg:    1382) ops/sec, 3.25MB/sec (avg: 4.68MB/sec),  6.02 (avg:  4.32) msec latency[RUN #1 67%,  20 secs]  2 threads:       27118 ops,     843 (avg:    1355) ops/sec, 3.03MB/sec (avg: 4.59MB/sec),  6.30 (avg:  4.39) msec latency[RUN #1 70%,  21 secs]  2 threads:       28014 ops,     895 (avg:    1333) ops/sec, 3.97MB/sec (avg: 4.56MB/sec),  7.08 (avg:  4.47) msec latency[RUN #1 73%,  22 secs]  2 threads:       28850 ops,     835 (avg:    1311) ops/sec, 3.62MB/sec (avg: 4.52MB/sec),  7.31 (avg:  4.55) msec latency[RUN #1 77%,  23 secs]  2 threads:       29697 ops,     846 (avg:    1291) ops/sec, 3.34MB/sec (avg: 4.47MB/sec),  7.50 (avg:  4.64) msec latency[RUN #1 80%,  24 secs]  2 threads:       30666 ops,     968 (avg:    1277) ops/sec, 3.87MB/sec (avg: 4.44MB/sec),  5.93 (avg:  4.68) msec latency[RUN #1 83%,  25 secs]  2 threads:       31632 ops,     965 (avg:    1265) ops/sec, 3.87MB/sec (avg: 4.42MB/sec),  6.45 (avg:  4.73) msec latency[RUN #1 87%,  26 secs]  2 threads:       32539 ops,     906 (avg:    1251) ops/sec, 4.09MB/sec (avg: 4.41MB/sec),  6.59 (avg:  4.78) msec latency[RUN #1 90%,  27 secs]  2 threads:       33494 ops,     954 (avg:    1240) ops/sec, 3.81MB/sec (avg: 4.39MB/sec),  6.31 (avg:  4.83) msec latency[RUN #1 93%,  28 secs]  2 threads:       34424 ops,     929 (avg:    1229) ops/sec, 4.62MB/sec (avg: 4.39MB/sec),  6.40 (avg:  4.87) msec latency[RUN #1 97%,  29 secs]  2 threads:       35299 ops,     874 (avg:    1217) ops/sec, 3.28MB/sec (avg: 4.36MB/sec),  6.89 (avg:  4.92) msec latency[RUN #1 100%,  30 secs]  1 threads:       36307 ops,     874 (avg:    1210) ops/sec, 3.28MB/sec (avg: 4.37MB/sec),  6.89 (avg:  4.95) msec latency[RUN #1 100%,  30 secs]  0 threads:       36308 ops,     874 (avg:    1210) ops/sec, 3.28MB/sec (avg: 4.37MB/sec),  6.89 (avg:  4.95) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         110.12          ---          ---     21.29600      3528.73
Gets        1099.95        28.56      1071.39      3.31200       948.51
Totals      1210.07        28.56      1071.39      4.94900      4477.25


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     11.25908
SET       2.000     19.91525
SET       3.000     25.99879
SET       4.000     28.60169
SET       5.000     29.29782
SET       6.000     30.75061
SET       7.000     33.02058
SET       8.000     33.68644
SET       9.000     33.77724
SET      10.000     34.38257
SET      11.000     35.74455
SET      12.000     37.65133
SET      13.000     37.80266
SET      14.000     38.43826
SET      15.000     45.27845
SET      16.000     55.87167
SET      17.000     56.41646
SET      18.000     57.11259
SET      19.000     62.80266
SET      20.000     70.03632
SET      21.000     70.58111
SET      22.000     71.79177
SET      23.000     78.87409
SET      24.000     85.92615
SET      25.000     86.38015
SET      26.000     86.80387
SET      27.000     88.71065
SET      28.000     91.07143
SET      29.000     91.28329
SET      30.000     91.55569
SET      31.000     92.91768
SET      32.000     93.91646
SET      33.000     94.03753
SET      34.000     94.27966
SET      35.000     94.85472
SET      36.000     95.24818
SET      37.000     95.33898
SET      38.000     95.49031
SET      39.000     95.88378
SET      40.000     96.15617
SET      41.000     96.24697
SET      42.000     96.33777
SET      43.000     96.54964
SET      44.000     96.67070
SET      46.000     96.82203
SET      47.000     96.91283
SET      48.000     96.94310
SET      49.000     97.03390
SET      50.000     97.12470
SET      51.000     97.18523
SET      52.000     97.30630
SET      53.000     97.33656
SET      54.000     97.42736
SET      55.000     97.54843
SET      57.000     97.57869
SET      58.000     97.63923
SET      61.000     97.66949
SET      63.000     97.73002
SET      64.000     97.76029
SET      65.000     97.85109
SET      68.000     97.88136
SET      69.000     97.91162
SET      70.000     97.97215
SET      71.000     98.00242
SET      72.000     98.03269
SET      81.000     98.06295
SET     220.000     98.21429
SET     230.000     98.57748
SET     240.000     98.91041
SET     250.000     99.09201
SET     260.000     99.24334
SET     270.000     99.45521
SET     280.000     99.66707
SET     300.000     99.69734
SET     440.000     99.72760
SET     640.000     99.75787
SET     650.000     99.84867
SET     660.000     99.87893
SET     680.000     99.90920
SET     690.000     99.93947
SET     730.000     99.96973
SET     850.000    100.00000
---
GET       0.200      0.00303
GET       0.220      0.00606
GET       0.230      0.00909
GET       0.240      0.01212
GET       0.250      0.02424
GET       0.260      0.03636
GET       0.270      0.06363
GET       0.280      0.08787
GET       0.290      0.09999
GET       0.300      0.12120
GET       0.310      0.16059
GET       0.320      0.20604
GET       0.330      0.22725
GET       0.340      0.30602
GET       0.350      0.38783
GET       0.360      0.43934
GET       0.370      0.53327
GET       0.380      0.61811
GET       0.390      0.74233
GET       0.400      0.84232
GET       0.410      0.96958
GET       0.420      1.07260
GET       0.430      1.18773
GET       0.440      1.34832
GET       0.450      1.50285
GET       0.460      1.64223
GET       0.470      1.79675
GET       0.480      1.94825
GET       0.490      2.11490
GET       0.500      2.26336
GET       0.510      2.45728
GET       0.520      2.64816
GET       0.530      2.82087
GET       0.540      2.98752
GET       0.550      3.13901
GET       0.560      3.33293
GET       0.570      3.51473
GET       0.580      3.71470
GET       0.590      3.92680
GET       0.600      4.11162
GET       0.610      4.31463
GET       0.620      4.44189
GET       0.630      4.59944
GET       0.640      4.72064
GET       0.650      4.83275
GET       0.660      4.96909
GET       0.670      5.09029
GET       0.680      5.21149
GET       0.690      5.35996
GET       0.700      5.46903
GET       0.710      5.62659
GET       0.720      5.74779
GET       0.730      5.89323
GET       0.740      6.00533
GET       0.750      6.13865
GET       0.760      6.25682
GET       0.770      6.36590
GET       0.780      6.46588
GET       0.790      6.57496
GET       0.800      6.71131
GET       0.810      6.84765
GET       0.820      6.99006
GET       0.830      7.13550
GET       0.840      7.26276
GET       0.850      7.36577
GET       0.860      7.52939
GET       0.870      7.67483
GET       0.880      7.81117
GET       0.890      7.91116
GET       0.900      8.06872
GET       0.910      8.19598
GET       0.920      8.29899
GET       0.930      8.44746
GET       0.940      8.55654
GET       0.950      8.72622
GET       0.960      8.87165
GET       0.970      8.98376
GET       0.980      9.07466
GET       0.990      9.24433
GET       1.000      9.87153
GET       1.100     11.08048
GET       1.200     12.20761
GET       1.300     13.27718
GET       1.400     14.37705
GET       1.500     15.36177
GET       1.600     16.29196
GET       1.700     17.14944
GET       1.800     17.98267
GET       1.900     18.89165
GET       2.000     19.74003
GET       2.100     20.62477
GET       2.200     21.34893
GET       2.300     22.08823
GET       2.400     22.80330
GET       2.500     23.51836
GET       2.600     24.22434
GET       2.700     25.01212
GET       2.800     25.68174
GET       2.900     26.46952
GET       3.000     27.16943
GET       3.100     28.12386
GET       3.200     28.99649
GET       3.300     30.04484
GET       3.400     31.30530
GET       3.500     33.25355
GET       3.600     35.99867
GET       3.700     40.40419
GET       3.800     46.91553
GET       3.900     56.05684
GET       4.000     67.83117
GET       4.100     80.73870
GET       4.200     90.87686
GET       4.300     95.85505
GET       4.400     97.70634
GET       4.500     98.53654
GET       4.600     99.01527
GET       4.700     99.29705
GET       4.800     99.43037
GET       4.900     99.50915
GET       5.000     99.54551
GET       5.100     99.58793
GET       5.200     99.62732
GET       5.300     99.63338
GET       5.400     99.65762
GET       5.500     99.66671
GET       5.600     99.67277
GET       5.700     99.67580
GET       6.000     99.67883
GET       6.100     99.68186
GET       6.200     99.68489
GET       6.300     99.69095
GET       6.500     99.69398
GET       6.600     99.69701
GET       6.700     99.70004
GET       7.200     99.70610
GET       7.300     99.71216
GET       7.400     99.71822
GET       7.500     99.72731
GET       7.600     99.74549
GET       7.700     99.75761
GET       7.800     99.77275
GET       7.900     99.79396
GET       8.000     99.79699
GET       8.100     99.81820
GET       8.200     99.84850
GET       8.300     99.91213
GET       8.400     99.93637
GET       8.500     99.95455
GET       8.600     99.96970
GET       8.700     99.98182
GET       8.800     99.99091
GET       9.200     99.99394
GET       9.300     99.99697
GET       9.700    100.00000
