[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:        1251 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:        2465 ops,    1213 (avg:    1234) ops/sec, 3.54MB/sec (avg: 3.69MB/sec),  4.93 (avg:  4.85) msec latency[RUN #1 10%,   2 secs]  2 threads:        3494 ops,    1028 (avg:    1165) ops/sec, 2.94MB/sec (avg: 3.44MB/sec),  5.72 (avg:  5.10) msec latency[RUN #1 13%,   3 secs]  2 threads:        4537 ops,    1042 (avg:    1135) ops/sec, 3.19MB/sec (avg: 3.37MB/sec),  5.81 (avg:  5.27) msec latency[RUN #1 17%,   4 secs]  2 threads:        5520 ops,     982 (avg:    1104) ops/sec, 2.94MB/sec (avg: 3.29MB/sec),  5.97 (avg:  5.39) msec latency[RUN #1 20%,   5 secs]  2 threads:        6524 ops,    1003 (avg:    1087) ops/sec, 2.94MB/sec (avg: 3.23MB/sec),  6.10 (avg:  5.50) msec latency[RUN #1 23%,   6 secs]  2 threads:        7383 ops,     858 (avg:    1055) ops/sec, 2.59MB/sec (avg: 3.14MB/sec),  6.75 (avg:  5.65) msec latency[RUN #1 27%,   7 secs]  2 threads:        8244 ops,     860 (avg:    1030) ops/sec, 2.81MB/sec (avg: 3.10MB/sec),  6.94 (avg:  5.78) msec latency[RUN #1 30%,   8 secs]  2 threads:        9068 ops,     823 (avg:    1007) ops/sec, 2.71MB/sec (avg: 3.05MB/sec),  7.34 (avg:  5.92) msec latency[RUN #1 33%,   9 secs]  2 threads:       10052 ops,     983 (avg:    1005) ops/sec, 3.19MB/sec (avg: 3.07MB/sec),  6.25 (avg:  5.96) msec latency[RUN #1 37%,  10 secs]  2 threads:       10990 ops,     937 (avg:     999) ops/sec, 3.15MB/sec (avg: 3.07MB/sec),  6.38 (avg:  5.99) msec latency[RUN #1 40%,  11 secs]  2 threads:       11930 ops,     939 (avg:     994) ops/sec, 2.94MB/sec (avg: 3.06MB/sec),  6.13 (avg:  6.00) msec latency[RUN #1 43%,  12 secs]  2 threads:       12918 ops,     987 (avg:     993) ops/sec, 3.00MB/sec (avg: 3.06MB/sec),  6.01 (avg:  6.00) msec latency[RUN #1 47%,  13 secs]  2 threads:       13811 ops,     892 (avg:     986) ops/sec, 3.00MB/sec (avg: 3.05MB/sec),  6.72 (avg:  6.05) msec latency[RUN #1 50%,  14 secs]  2 threads:       14863 ops,    1051 (avg:     990) ops/sec, 3.66MB/sec (avg: 3.09MB/sec),  5.98 (avg:  6.04) msec latency[RUN #1 53%,  15 secs]  2 threads:       15811 ops,     947 (avg:     988) ops/sec, 3.72MB/sec (avg: 3.13MB/sec),  6.32 (avg:  6.06) msec latency[RUN #1 57%,  16 secs]  2 threads:       16677 ops,     865 (avg:     981) ops/sec, 3.31MB/sec (avg: 3.14MB/sec),  6.82 (avg:  6.10) msec latency[RUN #1 60%,  17 secs]  2 threads:       17667 ops,     989 (avg:     981) ops/sec, 3.69MB/sec (avg: 3.17MB/sec),  6.11 (avg:  6.10) msec latency[RUN #1 63%,  18 secs]  2 threads:       18557 ops,     889 (avg:     976) ops/sec, 3.31MB/sec (avg: 3.18MB/sec),  6.73 (avg:  6.13) msec latency[RUN #1 67%,  19 secs]  2 threads:       19502 ops,     944 (avg:     975) ops/sec, 3.47MB/sec (avg: 3.20MB/sec),  6.10 (avg:  6.13) msec latency[RUN #1 70%,  20 secs]  2 threads:       20427 ops,     924 (avg:     972) ops/sec, 3.50MB/sec (avg: 3.21MB/sec),  6.71 (avg:  6.16) msec latency[RUN #1 73%,  21 secs]  2 threads:       21390 ops,     962 (avg:     972) ops/sec, 3.47MB/sec (avg: 3.22MB/sec),  6.22 (avg:  6.16) msec latency[RUN #1 77%,  22 secs]  2 threads:       22285 ops,     894 (avg:     968) ops/sec, 3.56MB/sec (avg: 3.24MB/sec),  6.47 (avg:  6.17) msec latency[RUN #1 80%,  23 secs]  2 threads:       23234 ops,     948 (avg:     968) ops/sec, 3.50MB/sec (avg: 3.25MB/sec),  6.54 (avg:  6.19) msec latency[RUN #1 83%,  24 secs]  2 threads:       24114 ops,     879 (avg:     964) ops/sec, 3.25MB/sec (avg: 3.25MB/sec),  6.46 (avg:  6.20) msec latency[RUN #1 87%,  25 secs]  2 threads:       25077 ops,     962 (avg:     964) ops/sec, 3.50MB/sec (avg: 3.26MB/sec),  6.57 (avg:  6.21) msec latency[RUN #1 90%,  26 secs]  2 threads:       26145 ops,    1067 (avg:     968) ops/sec, 3.81MB/sec (avg: 3.28MB/sec),  5.61 (avg:  6.19) msec latency[RUN #1 93%,  27 secs]  2 threads:       27366 ops,    1220 (avg:     977) ops/sec, 4.82MB/sec (avg: 3.33MB/sec),  4.90 (avg:  6.13) msec latency[RUN #1 97%,  28 secs]  2 threads:       28746 ops,    1379 (avg:     991) ops/sec, 5.48MB/sec (avg: 3.41MB/sec),  4.34 (avg:  6.04) msec latency[RUN #1 100%,  30 secs]  2 threads:       30544 ops,    1797 (avg:    1018) ops/sec, 7.62MB/sec (avg: 3.55MB/sec),  3.33 (avg:  5.88) msec latency[RUN #1 100%,  30 secs]  0 threads:       30550 ops,    1797 (avg:    1018) ops/sec, 7.62MB/sec (avg: 3.55MB/sec),  3.33 (avg:  5.88) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets          92.66          ---          ---     25.62800      2969.49
Gets         925.64        19.80       905.84      3.90600       662.60
Totals      1018.30        19.80       905.84      5.88200      3632.08


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       3.000      0.03597
SET       4.000      0.50360
SET       5.000      1.25899
SET       6.000      2.76978
SET       7.000      4.20863
SET       8.000      5.53957
SET       9.000      7.05036
SET      10.000     10.10791
SET      11.000     15.00000
SET      12.000     19.60432
SET      13.000     20.10791
SET      14.000     22.05036
SET      15.000     33.41727
SET      16.000     46.11511
SET      17.000     46.65468
SET      18.000     47.51799
SET      19.000     55.89928
SET      20.000     63.88489
SET      21.000     64.85612
SET      22.000     66.40288
SET      23.000     74.92806
SET      24.000     83.45324
SET      25.000     83.99281
SET      26.000     84.42446
SET      27.000     86.54676
SET      28.000     89.60432
SET      29.000     90.32374
SET      30.000     90.68345
SET      31.000     91.65468
SET      32.000     92.66187
SET      33.000     92.80576
SET      34.000     92.91367
SET      35.000     93.34532
SET      36.000     94.42446
SET      37.000     94.67626
SET      38.000     94.85612
SET      39.000     95.14388
SET      40.000     95.61151
SET      41.000     95.71942
SET      42.000     95.75540
SET      43.000     95.79137
SET      44.000     95.89928
SET      45.000     95.93525
SET      46.000     95.97122
SET      47.000     96.07914
SET      48.000     96.15108
SET      49.000     96.25899
SET      50.000     96.36691
SET      51.000     96.43885
SET      52.000     96.51079
SET      53.000     96.58273
SET      54.000     96.69065
SET      55.000     96.79856
SET      56.000     96.87050
SET      63.000     96.90647
SET      64.000     96.94245
SET      65.000     96.97842
SET      67.000     97.05036
SET      68.000     97.15827
SET      69.000     97.26619
SET      70.000     97.33813
SET      71.000     97.44604
SET      72.000     97.48201
SET      73.000     97.51799
SET      82.000     97.55396
SET     220.000     97.69784
SET     230.000     98.20144
SET     240.000     98.95683
SET     250.000     99.17266
SET     260.000     99.38849
SET     270.000     99.71223
SET     280.000     99.89209
SET     470.000     99.92806
SET     650.000     99.96403
SET     680.000    100.00000
---
GET       1.400      0.00360
GET       1.500      0.01080
GET       1.600      0.02161
GET       1.700      0.11163
GET       1.800      0.18365
GET       1.900      0.27008
GET       2.000      0.46093
GET       2.100      0.63018
GET       2.200      0.88225
GET       2.300      1.16673
GET       2.400      1.48001
GET       2.500      1.91214
GET       2.600      2.42708
GET       2.700      2.98884
GET       2.800      3.71264
GET       2.900      4.57688
GET       3.000      5.54195
GET       3.100      6.63666
GET       3.200      8.01945
GET       3.300      9.49226
GET       3.400     11.33237
GET       3.500     13.96111
GET       3.600     17.81779
GET       3.700     23.56500
GET       3.800     31.96255
GET       3.900     43.43536
GET       4.000     58.74685
GET       4.100     76.30537
GET       4.200     89.13936
GET       4.300     95.48073
GET       4.400     97.70616
GET       4.500     98.53079
GET       4.600     99.00612
GET       4.700     99.24379
GET       4.800     99.36622
GET       4.900     99.45625
GET       5.000     99.52467
GET       5.100     99.56788
GET       5.200     99.58949
GET       5.300     99.60029
GET       5.400     99.60749
GET       5.500     99.61469
GET       5.600     99.61829
GET       5.800     99.62189
GET       5.900     99.62910
GET       6.000     99.63270
GET       7.100     99.63630
GET       7.200     99.64350
GET       7.400     99.65070
GET       7.500     99.66151
GET       7.700     99.66511
GET       7.800     99.71192
GET       7.900     99.73713
GET       8.000     99.75513
GET       8.100     99.79474
GET       8.200     99.82715
GET       8.300     99.85596
GET       8.400     99.89197
GET       8.500     99.93878
GET       8.600     99.97119
GET       8.700     99.98199
GET       8.800     99.99280
GET       8.900     99.99640
GET      12.000    100.00000
