[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:         666 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:        1133 ops,     466 (avg:     567) ops/sec, 2.76MB/sec (avg: 3.43MB/sec), 12.76 (avg:  9.83) msec latency[RUN #1 10%,   2 secs]  2 threads:        1604 ops,     470 (avg:     535) ops/sec, 2.83MB/sec (avg: 3.23MB/sec), 11.04 (avg: 10.18) msec latency[RUN #1 13%,   3 secs]  2 threads:        1941 ops,     336 (avg:     485) ops/sec, 1.95MB/sec (avg: 2.91MB/sec), 21.79 (avg: 12.20) msec latency[RUN #1 17%,   4 secs]  2 threads:        2332 ops,     390 (avg:     466) ops/sec, 2.20MB/sec (avg: 2.77MB/sec), 14.89 (avg: 12.65) msec latency[RUN #1 20%,   5 secs]  2 threads:        2897 ops,     564 (avg:     483) ops/sec, 3.27MB/sec (avg: 2.85MB/sec), 11.18 (avg: 12.36) msec latency[RUN #1 23%,   6 secs]  2 threads:        3388 ops,     490 (avg:     484) ops/sec, 3.08MB/sec (avg: 2.88MB/sec), 10.75 (avg: 12.13) msec latency[RUN #1 27%,   7 secs]  2 threads:        3975 ops,     586 (avg:     497) ops/sec, 3.52MB/sec (avg: 2.96MB/sec), 11.47 (avg: 12.03) msec latency[RUN #1 30%,   8 secs]  2 threads:        4472 ops,     496 (avg:     497) ops/sec, 2.95MB/sec (avg: 2.96MB/sec), 11.97 (avg: 12.02) msec latency[RUN #1 33%,   9 secs]  2 threads:        4895 ops,     422 (avg:     489) ops/sec, 2.39MB/sec (avg: 2.90MB/sec), 13.49 (avg: 12.15) msec latency[RUN #1 37%,  10 secs]  2 threads:        5326 ops,     430 (avg:     484) ops/sec, 2.64MB/sec (avg: 2.88MB/sec), 13.29 (avg: 12.24) msec latency[RUN #1 40%,  11 secs]  2 threads:        5784 ops,     457 (avg:     482) ops/sec, 2.70MB/sec (avg: 2.86MB/sec), 13.36 (avg: 12.33) msec latency[RUN #1 43%,  12 secs]  2 threads:        6266 ops,     481 (avg:     482) ops/sec, 2.95MB/sec (avg: 2.87MB/sec), 13.26 (avg: 12.40) msec latency[RUN #1 47%,  13 secs]  2 threads:        6773 ops,     506 (avg:     483) ops/sec, 3.20MB/sec (avg: 2.90MB/sec), 10.74 (avg: 12.28) msec latency[RUN #1 50%,  14 secs]  2 threads:        7316 ops,     542 (avg:     487) ops/sec, 3.20MB/sec (avg: 2.92MB/sec), 12.18 (avg: 12.27) msec latency[RUN #1 53%,  15 secs]  2 threads:        7847 ops,     530 (avg:     490) ops/sec, 3.39MB/sec (avg: 2.95MB/sec), 10.11 (avg: 12.12) msec latency[RUN #1 57%,  16 secs]  2 threads:        8439 ops,     591 (avg:     496) ops/sec, 3.89MB/sec (avg: 3.00MB/sec), 10.88 (avg: 12.04) msec latency[RUN #1 60%,  17 secs]  2 threads:        8855 ops,     415 (avg:     491) ops/sec, 2.76MB/sec (avg: 2.99MB/sec), 13.57 (avg: 12.11) msec latency[RUN #1 63%,  18 secs]  2 threads:        9258 ops,     402 (avg:     487) ops/sec, 2.70MB/sec (avg: 2.97MB/sec), 14.90 (avg: 12.23) msec latency[RUN #1 67%,  19 secs]  2 threads:        9928 ops,     669 (avg:     496) ops/sec, 4.21MB/sec (avg: 3.03MB/sec),  9.76 (avg: 12.06) msec latency[RUN #1 70%,  20 secs]  2 threads:       10398 ops,     469 (avg:     495) ops/sec, 3.20MB/sec (avg: 3.04MB/sec), 11.69 (avg: 12.05) msec latency[RUN #1 73%,  21 secs]  2 threads:       10726 ops,     327 (avg:     487) ops/sec, 2.14MB/sec (avg: 3.00MB/sec), 17.63 (avg: 12.22) msec latency[RUN #1 77%,  22 secs]  2 threads:       11305 ops,     578 (avg:     491) ops/sec, 3.77MB/sec (avg: 3.03MB/sec), 11.03 (avg: 12.16) msec latency[RUN #1 80%,  23 secs]  2 threads:       11759 ops,     453 (avg:     489) ops/sec, 2.83MB/sec (avg: 3.03MB/sec), 13.74 (avg: 12.22) msec latency[RUN #1 83%,  24 secs]  2 threads:       12252 ops,     492 (avg:     490) ops/sec, 2.95MB/sec (avg: 3.02MB/sec), 10.66 (avg: 12.16) msec latency[RUN #1 87%,  25 secs]  2 threads:       12877 ops,     624 (avg:     495) ops/sec, 3.89MB/sec (avg: 3.06MB/sec), 10.70 (avg: 12.08) msec latency[RUN #1 90%,  26 secs]  2 threads:       13455 ops,     577 (avg:     498) ops/sec, 3.83MB/sec (avg: 3.09MB/sec),  9.80 (avg: 11.99) msec latency[RUN #1 93%,  27 secs]  2 threads:       14175 ops,     719 (avg:     506) ops/sec, 5.21MB/sec (avg: 3.16MB/sec),  9.03 (avg: 11.84) msec latency[RUN #1 97%,  28 secs]  2 threads:       15166 ops,     990 (avg:     522) ops/sec, 7.41MB/sec (avg: 3.31MB/sec),  6.11 (avg: 11.46) msec latency[RUN #1 100%,  29 secs]  2 threads:       16622 ops,    1455 (avg:     554) ops/sec, 10.86MB/sec (avg: 3.56MB/sec),  4.11 (avg: 10.82) msec latency[RUN #1 100%,  30 secs]  0 threads:       16628 ops,    1455 (avg:     554) ops/sec, 10.86MB/sec (avg: 3.56MB/sec),  4.11 (avg: 10.82) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets          50.47          ---          ---     77.61000      3232.12
Gets         503.79         6.27       497.52      4.12400       416.81
Totals       554.26         6.27       497.52     10.81500      3648.92


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       5.000      0.06605
SET       6.000      0.66050
SET       7.000      0.99075
SET       8.000      1.51915
SET       9.000      2.17966
SET      10.000      2.84016
SET      11.000      3.96301
SET      12.000      5.61427
SET      13.000      6.60502
SET      14.000      7.79392
SET      15.000      8.65258
SET      16.000      9.18098
SET      17.000      9.84148
SET      18.000     10.23778
SET      19.000     10.83223
SET      20.000     10.96433
SET      21.000     11.36063
SET      22.000     11.88904
SET      23.000     12.54954
SET      24.000     13.80449
SET      25.000     14.53104
SET      26.000     15.05945
SET      27.000     15.45575
SET      28.000     16.24835
SET      29.000     16.97490
SET      30.000     17.23910
SET      31.000     18.09775
SET      32.000     20.60766
SET      33.000     26.02378
SET      34.000     26.88243
SET      35.000     27.34478
SET      36.000     29.52444
SET      37.000     35.93131
SET      38.000     37.51651
SET      39.000     37.84676
SET      40.000     38.77147
SET      41.000     43.46103
SET      42.000     46.30119
SET      43.000     46.56539
SET      44.000     47.95244
SET      45.000     52.64201
SET      46.000     57.26552
SET      47.000     57.92602
SET      48.000     58.45443
SET      49.000     61.75694
SET      50.000     66.64465
SET      51.000     67.43725
SET      52.000     67.76750
SET      53.000     69.02246
SET      54.000     72.72127
SET      55.000     73.51387
SET      56.000     73.71202
SET      57.000     74.50462
SET      58.000     76.68428
SET      59.000     77.47688
SET      60.000     77.67503
SET      61.000     78.13738
SET      62.000     79.72259
SET      63.000     80.25099
SET      64.000     80.44914
SET      65.000     80.51519
SET      66.000     81.83620
SET      67.000     82.23250
SET      68.000     82.43065
SET      69.000     82.69485
SET      70.000     83.42140
SET      71.000     84.21400
SET      72.000     84.47820
SET      73.000     84.67635
SET      74.000     84.94055
SET      75.000     85.40291
SET      76.000     85.73316
SET      77.000     85.86526
SET      78.000     86.06341
SET      79.000     86.65786
SET      80.000     86.85601
SET      81.000     86.92206
SET      82.000     87.05416
SET      83.000     87.31836
SET      85.000     87.38441
SET      86.000     87.64861
SET      87.000     87.84676
SET      88.000     87.97886
SET      89.000     88.04491
SET      90.000     88.11096
SET      91.000     88.17701
SET      92.000     88.37517
SET      93.000     88.44122
SET      94.000     88.57332
SET      95.000     88.63937
SET      97.000     88.77147
SET      99.000     88.90357
SET     100.000     88.96962
SET     110.000     89.23382
SET     120.000     89.49802
SET     240.000     89.76222
SET     250.000     90.15852
SET     260.000     91.80978
SET     270.000     93.79128
SET     280.000     94.71598
SET     290.000     96.23514
SET     300.000     96.76354
SET     310.000     97.15984
SET     320.000     97.22589
SET     330.000     97.35799
SET     350.000     97.42404
SET     460.000     97.49009
SET     470.000     97.95244
SET     480.000     98.01849
SET     490.000     98.15059
SET     500.000     98.34875
SET     510.000     98.61295
SET     520.000     98.67900
SET     650.000     98.74505
SET     660.000     98.87715
SET     670.000     99.07530
SET     680.000     99.27345
SET     690.000     99.33950
SET     710.000     99.53765
SET     870.000     99.60370
SET     900.000     99.73580
SET     910.000     99.80185
SET    1100.000     99.86790
SET    1500.000    100.00000
---
GET       1.500      0.01323
GET       1.700      0.05955
GET       1.800      0.09925
GET       1.900      0.21834
GET       2.000      0.30435
GET       2.100      0.46976
GET       2.200      0.66825
GET       2.300      0.99907
GET       2.400      1.25050
GET       2.500      1.64086
GET       2.600      1.98491
GET       2.700      2.46129
GET       2.800      3.02369
GET       2.900      3.66548
GET       3.000      4.52561
GET       3.100      5.43205
GET       3.200      6.35834
GET       3.300      7.37065
GET       3.400      8.35649
GET       3.500      9.56067
GET       3.600     11.16845
GET       3.700     12.82255
GET       3.800     15.36986
GET       3.900     19.53156
GET       4.000     27.62340
GET       4.100     43.81368
GET       4.200     69.63081
GET       4.300     89.07635
GET       4.400     96.59918
GET       4.500     98.26651
GET       4.600     98.70319
GET       4.700     98.88845
GET       4.800     99.00093
GET       4.900     99.09356
GET       5.000     99.13987
GET       5.100     99.16634
GET       5.200     99.18618
GET       5.300     99.21927
GET       5.600     99.22588
GET       5.700     99.23250
GET       5.800     99.25235
GET       5.900     99.25897
GET       6.300     99.27220
GET       6.500     99.27881
GET       6.600     99.28543
GET       6.800     99.29205
GET       7.000     99.31190
GET       7.400     99.31851
GET       7.500     99.32513
GET       7.600     99.33175
GET       7.700     99.33836
GET       8.000     99.34498
GET       8.100     99.36483
GET       8.200     99.37806
GET       8.300     99.40453
GET       8.400     99.44422
GET       8.500     99.47731
GET       8.600     99.49715
GET       8.700     99.50377
GET       8.800     99.52362
GET       8.900     99.53685
GET       9.000     99.55670
GET       9.100     99.56332
GET       9.300     99.57655
GET      11.000     99.58317
GET      12.000     99.63610
GET      13.000     99.92722
GET      14.000     99.93384
GET      16.000     99.94045
GET      17.000     99.98015
GET      18.000     99.98677
GET      61.000     99.99338
GET     230.000    100.00000
