[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:         653 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:        1098 ops,     444 (avg:     549) ops/sec, 2.70MB/sec (avg: 3.33MB/sec), 14.69 (avg: 10.20) msec latency[RUN #1 10%,   2 secs]  2 threads:        1481 ops,     382 (avg:     494) ops/sec, 2.20MB/sec (avg: 2.96MB/sec), 15.19 (avg: 11.49) msec latency[RUN #1 13%,   3 secs]  2 threads:        2006 ops,     524 (avg:     501) ops/sec, 3.08MB/sec (avg: 2.99MB/sec), 12.98 (avg: 11.88) msec latency[RUN #1 17%,   4 secs]  2 threads:        2568 ops,     561 (avg:     513) ops/sec, 3.14MB/sec (avg: 3.02MB/sec), 10.03 (avg: 11.48) msec latency[RUN #1 20%,   5 secs]  2 threads:        3107 ops,     538 (avg:     518) ops/sec, 3.33MB/sec (avg: 3.07MB/sec), 10.83 (avg: 11.36) msec latency[RUN #1 23%,   6 secs]  2 threads:        3633 ops,     525 (avg:     519) ops/sec, 3.20MB/sec (avg: 3.09MB/sec), 12.54 (avg: 11.53) msec latency[RUN #1 27%,   7 secs]  2 threads:        4099 ops,     465 (avg:     512) ops/sec, 2.70MB/sec (avg: 3.04MB/sec), 12.09 (avg: 11.60) msec latency[RUN #1 30%,   8 secs]  2 threads:        4631 ops,     531 (avg:     514) ops/sec, 3.14MB/sec (avg: 3.05MB/sec), 11.93 (avg: 11.64) msec latency[RUN #1 33%,   9 secs]  2 threads:        5164 ops,     532 (avg:     516) ops/sec, 3.27MB/sec (avg: 3.07MB/sec), 10.01 (avg: 11.47) msec latency[RUN #1 37%,  10 secs]  2 threads:        5684 ops,     519 (avg:     516) ops/sec, 3.02MB/sec (avg: 3.07MB/sec), 10.92 (avg: 11.42) msec latency[RUN #1 40%,  11 secs]  2 threads:        6126 ops,     441 (avg:     510) ops/sec, 2.64MB/sec (avg: 3.03MB/sec), 13.18 (avg: 11.54) msec latency[RUN #1 43%,  12 secs]  2 threads:        6535 ops,     408 (avg:     502) ops/sec, 2.45MB/sec (avg: 2.99MB/sec), 16.28 (avg: 11.84) msec latency[RUN #1 47%,  13 secs]  2 threads:        7039 ops,     503 (avg:     502) ops/sec, 3.20MB/sec (avg: 3.00MB/sec), 11.28 (avg: 11.80) msec latency[RUN #1 50%,  14 secs]  2 threads:        7566 ops,     526 (avg:     504) ops/sec, 3.27MB/sec (avg: 3.02MB/sec), 12.85 (avg: 11.87) msec latency[RUN #1 53%,  15 secs]  2 threads:        8122 ops,     555 (avg:     507) ops/sec, 3.64MB/sec (avg: 3.06MB/sec), 10.41 (avg: 11.77) msec latency[RUN #1 57%,  16 secs]  2 threads:        8569 ops,     446 (avg:     504) ops/sec, 2.83MB/sec (avg: 3.05MB/sec), 10.53 (avg: 11.71) msec latency[RUN #1 60%,  17 secs]  2 threads:        9045 ops,     475 (avg:     502) ops/sec, 3.26MB/sec (avg: 3.06MB/sec), 14.80 (avg: 11.87) msec latency[RUN #1 63%,  18 secs]  2 threads:        9478 ops,     432 (avg:     498) ops/sec, 2.51MB/sec (avg: 3.03MB/sec), 13.51 (avg: 11.95) msec latency[RUN #1 67%,  19 secs]  2 threads:        9981 ops,     502 (avg:     499) ops/sec, 3.45MB/sec (avg: 3.05MB/sec), 13.12 (avg: 12.01) msec latency[RUN #1 70%,  20 secs]  2 threads:       10516 ops,     534 (avg:     500) ops/sec, 3.45MB/sec (avg: 3.07MB/sec),  9.49 (avg: 11.88) msec latency[RUN #1 73%,  21 secs]  2 threads:       10926 ops,     409 (avg:     496) ops/sec, 2.95MB/sec (avg: 3.06MB/sec), 15.65 (avg: 12.02) msec latency[RUN #1 77%,  23 secs]  2 threads:       11267 ops,     340 (avg:     489) ops/sec, 2.20MB/sec (avg: 3.03MB/sec), 15.37 (avg: 12.12) msec latency[RUN #1 80%,  24 secs]  2 threads:       11710 ops,     442 (avg:     487) ops/sec, 2.70MB/sec (avg: 3.01MB/sec), 15.82 (avg: 12.26) msec latency[RUN #1 83%,  25 secs]  2 threads:       12181 ops,     470 (avg:     487) ops/sec, 2.76MB/sec (avg: 3.00MB/sec), 12.08 (avg: 12.25) msec latency[RUN #1 87%,  26 secs]  2 threads:       12757 ops,     575 (avg:     490) ops/sec, 3.46MB/sec (avg: 3.02MB/sec), 11.01 (avg: 12.20) msec latency[RUN #1 90%,  27 secs]  2 threads:       13357 ops,     599 (avg:     494) ops/sec, 3.83MB/sec (avg: 3.05MB/sec), 10.17 (avg: 12.11) msec latency[RUN #1 93%,  28 secs]  2 threads:       14009 ops,     651 (avg:     500) ops/sec, 4.65MB/sec (avg: 3.11MB/sec),  8.99 (avg: 11.96) msec latency[RUN #1 97%,  29 secs]  2 threads:       14842 ops,     832 (avg:     511) ops/sec, 5.71MB/sec (avg: 3.20MB/sec),  7.45 (avg: 11.71) msec latency[RUN #1 100%,  30 secs]  2 threads:       15878 ops,    1035 (avg:     529) ops/sec, 7.84MB/sec (avg: 3.35MB/sec),  5.80 (avg: 11.32) msec latency[RUN #1 100%,  30 secs]  0 threads:       15884 ops,    1035 (avg:     529) ops/sec, 7.84MB/sec (avg: 3.36MB/sec),  5.80 (avg: 11.32) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets          48.26          ---          ---     82.55500      3090.63
Gets         481.10         5.23       475.87      4.17900       349.89
Totals       529.36         5.23       475.87     11.32400      3440.52


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET      11.000      0.27624
SET      12.000      0.55249
SET      13.000      0.69061
SET      14.000      0.75967
SET      15.000      1.17403
SET      16.000      1.79558
SET      17.000      2.00276
SET      18.000      2.14088
SET      19.000      2.55525
SET      20.000      3.17680
SET      21.000      3.93646
SET      22.000      4.21271
SET      23.000      4.90331
SET      24.000      6.49171
SET      25.000      7.94199
SET      26.000      8.42541
SET      27.000      8.70166
SET      28.000      9.80663
SET      29.000     10.70442
SET      30.000     11.53315
SET      31.000     12.29282
SET      32.000     15.33149
SET      33.000     20.85635
SET      34.000     22.23757
SET      35.000     22.65193
SET      36.000     24.72376
SET      37.000     30.52486
SET      38.000     31.83702
SET      39.000     32.04420
SET      40.000     32.80387
SET      41.000     37.29282
SET      42.000     40.88398
SET      43.000     41.29834
SET      44.000     42.33425
SET      45.000     49.10221
SET      46.000     53.10773
SET      47.000     53.45304
SET      48.000     54.07459
SET      49.000     57.04420
SET      50.000     61.94751
SET      51.000     62.22376
SET      52.000     62.56906
SET      53.000     65.26243
SET      54.000     69.40608
SET      55.000     70.09669
SET      56.000     70.64917
SET      57.000     71.68508
SET      58.000     74.79282
SET      59.000     75.55249
SET      60.000     75.75967
SET      61.000     76.51934
SET      62.000     78.31492
SET      63.000     79.35083
SET      64.000     79.62707
SET      65.000     79.90331
SET      66.000     80.87017
SET      67.000     81.62983
SET      68.000     81.69890
SET      69.000     81.97514
SET      70.000     82.45856
SET      71.000     83.35635
SET      72.000     83.49448
SET      73.000     83.70166
SET      74.000     84.04696
SET      75.000     84.59945
SET      76.000     84.80663
SET      77.000     84.94475
SET      78.000     85.15193
SET      79.000     85.77348
SET      80.000     85.84254
SET      81.000     85.91160
SET      82.000     86.04972
SET      83.000     86.32597
SET      85.000     86.46409
SET      86.000     86.67127
SET      87.000     86.80939
SET      88.000     86.87845
SET      89.000     86.94751
SET      91.000     87.08564
SET      92.000     87.43094
SET      93.000     87.56906
SET      94.000     87.63812
SET      95.000     87.77624
SET      96.000     88.05249
SET      97.000     88.19061
SET      98.000     88.39779
SET     100.000     88.46685
SET     110.000     88.88122
SET     120.000     88.95028
SET     130.000     89.01934
SET     240.000     89.22652
SET     250.000     89.64088
SET     260.000     91.29834
SET     270.000     93.16298
SET     280.000     94.33702
SET     290.000     95.44199
SET     300.000     96.47790
SET     310.000     96.89227
SET     320.000     97.03039
SET     340.000     97.09945
SET     350.000     97.16851
SET     360.000     97.23757
SET     450.000     97.30663
SET     470.000     97.44475
SET     480.000     97.51381
SET     490.000     97.72099
SET     500.000     97.85912
SET     510.000     97.92818
SET     530.000     97.99724
SET     640.000     98.13536
SET     650.000     98.20442
SET     660.000     98.48066
SET     670.000     98.75691
SET     680.000     98.89503
SET     690.000     99.03315
SET     700.000     99.24033
SET     710.000     99.30939
SET     720.000     99.44751
SET     730.000     99.51657
SET     740.000     99.58564
SET     890.000     99.72376
SET     900.000     99.86188
SET     920.000     99.93094
SET    1000.000    100.00000
---
GET       1.700      0.00693
GET       1.800      0.01385
GET       1.900      0.02771
GET       2.000      0.06234
GET       2.100      0.09698
GET       2.200      0.14547
GET       2.300      0.21474
GET       2.400      0.29787
GET       2.500      0.35328
GET       2.600      0.45719
GET       2.700      0.58188
GET       2.800      0.74813
GET       2.900      0.85896
GET       3.000      1.09449
GET       3.100      1.26766
GET       3.200      1.55168
GET       3.300      1.97423
GET       3.400      2.56304
GET       3.500      3.39429
GET       3.600      4.48878
GET       3.700      6.01275
GET       3.800      8.51344
GET       3.900     13.02993
GET       4.000     22.62400
GET       4.100     41.34109
GET       4.200     69.40981
GET       4.300     89.58160
GET       4.400     97.03519
GET       4.500     98.53145
GET       4.600     98.78775
GET       4.700     98.94708
GET       4.800     99.07869
GET       4.900     99.14796
GET       5.000     99.23109
GET       5.100     99.27958
GET       5.200     99.30729
GET       5.300     99.31421
GET       5.400     99.32807
GET       7.500     99.33500
GET       7.700     99.34192
GET       8.200     99.36963
GET       8.300     99.40427
GET       8.400     99.41812
GET       8.500     99.48739
GET       8.600     99.49432
GET       8.700     99.54281
GET       8.800     99.59130
GET       8.900     99.61901
GET       9.000     99.63286
GET       9.100     99.63979
GET       9.200     99.64672
GET       9.400     99.65364
GET      11.000     99.66057
GET      12.000     99.69521
GET      13.000     99.98615
GET      14.000     99.99307
GET      64.000    100.00000
