[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:         473 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 6%,   1 secs]  2 threads:         913 ops,       0 (avg:     498) ops/sec, 0.00KB/sec (avg: 6.16MB/sec),  0.00 (avg: 11.37) msec latency[RUN #1 9%,   2 secs]  2 threads:        1160 ops,     246 (avg:     409) ops/sec, 2.88MB/sec (avg: 5.00MB/sec), 21.17 (avg: 13.46) msec latency[RUN #1 13%,   3 secs]  2 threads:        1415 ops,     254 (avg:     369) ops/sec, 2.76MB/sec (avg: 4.42MB/sec), 21.39 (avg: 14.89) msec latency[RUN #1 16%,   4 secs]  2 threads:        1617 ops,     201 (avg:     334) ops/sec, 2.26MB/sec (avg: 3.97MB/sec), 31.73 (avg: 16.99) msec latency[RUN #1 19%,   5 secs]  2 threads:        1925 ops,     307 (avg:     330) ops/sec, 3.51MB/sec (avg: 3.89MB/sec), 21.12 (avg: 17.65) msec latency[RUN #1 23%,   6 secs]  2 threads:        2222 ops,     296 (avg:     325) ops/sec, 3.38MB/sec (avg: 3.82MB/sec), 19.90 (avg: 17.95) msec latency[RUN #1 26%,   7 secs]  2 threads:        2496 ops,     273 (avg:     318) ops/sec, 3.13MB/sec (avg: 3.73MB/sec), 20.59 (avg: 18.24) msec latency[RUN #1 29%,   8 secs]  2 threads:        2751 ops,     254 (avg:     311) ops/sec, 3.01MB/sec (avg: 3.65MB/sec), 26.17 (avg: 18.98) msec latency[RUN #1 33%,   9 secs]  2 threads:        2938 ops,     186 (avg:     298) ops/sec, 2.13MB/sec (avg: 3.49MB/sec), 29.15 (avg: 19.62) msec latency[RUN #1 36%,  10 secs]  2 threads:        3174 ops,     235 (avg:     293) ops/sec, 2.76MB/sec (avg: 3.43MB/sec), 19.50 (avg: 19.61) msec latency[RUN #1 39%,  11 secs]  2 threads:        3398 ops,     223 (avg:     287) ops/sec, 2.63MB/sec (avg: 3.36MB/sec), 33.75 (avg: 20.55) msec latency[RUN #1 43%,  12 secs]  2 threads:        3692 ops,     293 (avg:     287) ops/sec, 3.63MB/sec (avg: 3.38MB/sec), 20.14 (avg: 20.51) msec latency[RUN #1 46%,  13 secs]  2 threads:        3894 ops,     201 (avg:     281) ops/sec, 2.38MB/sec (avg: 3.31MB/sec), 29.46 (avg: 20.98) msec latency[RUN #1 49%,  14 secs]  2 threads:        4056 ops,     161 (avg:     273) ops/sec, 1.88MB/sec (avg: 3.21MB/sec), 33.23 (avg: 21.47) msec latency[RUN #1 53%,  15 secs]  2 threads:        4279 ops,     222 (avg:     270) ops/sec, 2.63MB/sec (avg: 3.17MB/sec), 28.44 (avg: 21.83) msec latency[RUN #1 56%,  16 secs]  2 threads:        4571 ops,     291 (avg:     271) ops/sec, 3.51MB/sec (avg: 3.19MB/sec), 24.66 (avg: 22.01) msec latency[RUN #1 59%,  17 secs]  2 threads:        4730 ops,     158 (avg:     265) ops/sec, 1.75MB/sec (avg: 3.11MB/sec), 23.62 (avg: 22.06) msec latency[RUN #1 63%,  18 secs]  2 threads:        5001 ops,     270 (avg:     265) ops/sec, 3.38MB/sec (avg: 3.13MB/sec), 27.74 (avg: 22.37) msec latency[RUN #1 66%,  19 secs]  2 threads:        5221 ops,     219 (avg:     263) ops/sec, 2.51MB/sec (avg: 3.10MB/sec), 25.88 (avg: 22.52) msec latency[RUN #1 69%,  20 secs]  2 threads:        5456 ops,     234 (avg:     261) ops/sec, 2.63MB/sec (avg: 3.07MB/sec), 22.03 (avg: 22.50) msec latency[RUN #1 73%,  21 secs]  2 threads:        5709 ops,     252 (avg:     261) ops/sec, 3.26MB/sec (avg: 3.08MB/sec), 26.25 (avg: 22.67) msec latency[RUN #1 76%,  22 secs]  2 threads:        5874 ops,     164 (avg:     257) ops/sec, 1.88MB/sec (avg: 3.03MB/sec), 30.97 (avg: 22.90) msec latency[RUN #1 79%,  23 secs]  2 threads:        6143 ops,     268 (avg:     257) ops/sec, 3.26MB/sec (avg: 3.04MB/sec), 28.19 (avg: 23.13) msec latency[RUN #1 83%,  24 secs]  2 threads:        6432 ops,     288 (avg:     259) ops/sec, 3.38MB/sec (avg: 3.05MB/sec), 20.05 (avg: 22.99) msec latency[RUN #1 86%,  25 secs]  2 threads:        6616 ops,     183 (avg:     256) ops/sec, 2.13MB/sec (avg: 3.02MB/sec), 32.22 (avg: 23.25) msec latency[RUN #1 89%,  26 secs]  2 threads:        6816 ops,     199 (avg:     254) ops/sec, 2.63MB/sec (avg: 3.00MB/sec), 23.74 (avg: 23.26) msec latency[RUN #1 93%,  27 secs]  2 threads:        7009 ops,     192 (avg:     251) ops/sec, 2.63MB/sec (avg: 2.99MB/sec), 38.67 (avg: 23.69) msec latency[RUN #1 96%,  28 secs]  2 threads:        7218 ops,     208 (avg:     250) ops/sec, 2.38MB/sec (avg: 2.97MB/sec), 22.47 (avg: 23.65) msec latency[RUN #1 99%,  29 secs]  2 threads:        7533 ops,     314 (avg:     252) ops/sec, 3.76MB/sec (avg: 3.00MB/sec), 24.12 (avg: 23.67) msec latency[RUN #1 100%,  30 secs]  1 threads:        7619 ops,     314 (avg:     253) ops/sec, 3.76MB/sec (avg: 3.02MB/sec), 24.12 (avg: 23.64) msec latency[RUN #1 100%,  30 secs]  0 threads:        7620 ops,     314 (avg:     253) ops/sec, 3.76MB/sec (avg: 3.02MB/sec), 24.12 (avg: 23.67) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets          23.16          ---          ---    215.99200      2965.52
Gets         230.04         0.93       229.10      4.30900       126.26
Totals       253.19         0.93       229.10     23.67100      3091.78


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET      25.000      0.28694
SET      26.000      0.43042
SET      29.000      0.71736
SET      33.000      1.00430
SET      34.000      1.14778
SET      41.000      1.29125
SET      42.000      1.43472
SET      44.000      1.57819
SET      45.000      1.72166
SET      50.000      1.86514
SET      52.000      2.00861
SET      54.000      2.15208
SET      55.000      2.43902
SET      56.000      2.58250
SET      60.000      2.86944
SET      61.000      3.15638
SET      62.000      3.58680
SET      63.000      4.16069
SET      64.000      4.44763
SET      67.000      5.59541
SET      68.000      6.31277
SET      69.000      6.59971
SET      70.000      6.88666
SET      71.000      7.60402
SET      72.000      9.61263
SET      73.000      9.89957
SET      74.000     10.32999
SET      75.000     11.76471
SET      76.000     13.62984
SET      77.000     14.20373
SET      79.000     14.77762
SET      80.000     17.79053
SET      81.000     18.07747
SET      82.000     18.22095
SET      83.000     18.50789
SET      84.000     21.23386
SET      85.000     22.95552
SET      86.000     23.52941
SET      87.000     24.10330
SET      88.000     25.10760
SET      89.000     26.68580
SET      90.000     27.11621
SET      91.000     27.40316
SET      92.000     27.83357
SET      93.000     29.69871
SET      94.000     30.41607
SET      96.000     31.42037
SET      97.000     34.57676
SET      98.000     35.43759
SET     100.000     39.45481
SET     110.000     51.07604
SET     120.000     59.82783
SET     130.000     65.13630
SET     140.000     67.43185
SET     150.000     70.15782
SET     160.000     71.59254
SET     170.000     72.16643
SET     180.000     72.30990
SET     190.000     73.02726
SET     200.000     73.17073
SET     210.000     73.31420
SET     290.000     73.88809
SET     300.000     74.31851
SET     310.000     74.89240
SET     320.000     76.75753
SET     330.000     78.90961
SET     340.000     81.77905
SET     350.000     83.93113
SET     360.000     85.36585
SET     370.000     86.65710
SET     380.000     88.09182
SET     390.000     88.80918
SET     400.000     89.23960
SET     510.000     89.38307
SET     530.000     89.81349
SET     540.000     90.10043
SET     550.000     90.67432
SET     560.000     91.10473
SET     570.000     91.53515
SET     580.000     92.10904
SET     590.000     92.53945
SET     600.000     92.68293
SET     610.000     92.82640
SET     620.000     92.96987
SET     700.000     93.11334
SET     710.000     93.25681
SET     720.000     93.54376
SET     730.000     93.97418
SET     740.000     94.40459
SET     750.000     95.55237
SET     760.000     96.12626
SET     770.000     96.26973
SET     780.000     96.70014
SET     790.000     96.98709
SET     830.000     97.13056
SET     880.000     97.27403
SET     940.000     97.41750
SET     950.000     97.56098
SET     960.000     97.70445
SET     980.000     97.84792
SET     990.000     98.27834
SET    1000.000     98.56528
SET    1100.000     98.85222
SET    1200.000     99.13917
SET    1300.000     99.28264
SET    1400.000     99.56958
SET    1600.000     99.85653
SET    1800.000    100.00000
---
GET       2.900      0.02889
GET       3.000      0.07222
GET       3.100      0.08667
GET       3.200      0.10111
GET       3.300      0.17334
GET       3.400      0.24556
GET       3.500      0.46223
GET       3.600      0.70779
GET       3.700      1.09779
GET       3.800      1.60335
GET       3.900      2.38336
GET       4.000      4.40560
GET       4.100     13.52015
GET       4.200     45.32717
GET       4.300     80.73090
GET       4.400     96.02773
GET       4.500     98.93110
GET       4.600     99.34999
GET       4.700     99.46555
GET       4.800     99.56666
GET       4.900     99.59555
GET       8.700     99.61000
GET       9.300     99.62444
GET      13.000     99.63888
GET      16.000     99.65333
GET      17.000     99.88444
GET      18.000     99.98556
GET      68.000    100.00000
