[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:         110 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 6%,   1 secs]  2 threads:         198 ops,       0 (avg:     108) ops/sec, 0.00KB/sec (avg: 2.46MB/sec),  0.00 (avg: 36.15) msec latency[RUN #1 9%,   2 secs]  2 threads:         319 ops,     120 (avg:     112) ops/sec, 2.75MB/sec (avg: 2.56MB/sec), 52.48 (avg: 42.34) msec latency[RUN #1 13%,   3 secs]  2 threads:         396 ops,      76 (avg:     103) ops/sec, 1.75MB/sec (avg: 2.35MB/sec), 79.38 (avg: 49.54) msec latency[RUN #1 16%,   4 secs]  2 threads:         550 ops,     153 (avg:     113) ops/sec, 4.50MB/sec (avg: 2.80MB/sec), 47.58 (avg: 49.00) msec latency[RUN #1 19%,   5 secs]  2 threads:         616 ops,      65 (avg:     105) ops/sec, 1.50MB/sec (avg: 2.58MB/sec), 50.67 (avg: 49.18) msec latency[RUN #1 23%,   6 secs]  2 threads:         779 ops,     162 (avg:     114) ops/sec, 4.25MB/sec (avg: 2.82MB/sec), 57.93 (avg: 51.01) msec latency[RUN #1 26%,   7 secs]  2 threads:         913 ops,     133 (avg:     116) ops/sec, 3.00MB/sec (avg: 2.84MB/sec), 36.60 (avg: 48.89) msec latency[RUN #1 29%,   8 secs]  2 threads:        1023 ops,     109 (avg:     115) ops/sec, 2.50MB/sec (avg: 2.81MB/sec), 56.44 (avg: 49.70) msec latency[RUN #1 33%,   9 secs]  2 threads:        1170 ops,     146 (avg:     119) ops/sec, 3.50MB/sec (avg: 2.88MB/sec), 41.78 (avg: 48.71) msec latency[RUN #1 36%,  10 secs]  2 threads:        1275 ops,     104 (avg:     117) ops/sec, 2.25MB/sec (avg: 2.82MB/sec), 59.04 (avg: 49.56) msec latency[RUN #1 39%,  11 secs]  2 threads:        1404 ops,     128 (avg:     118) ops/sec, 3.00MB/sec (avg: 2.84MB/sec), 39.97 (avg: 48.68) msec latency[RUN #1 43%,  12 secs]  2 threads:        1540 ops,     135 (avg:     120) ops/sec, 3.00MB/sec (avg: 2.85MB/sec), 54.42 (avg: 49.19) msec latency[RUN #1 46%,  13 secs]  2 threads:        1676 ops,     135 (avg:     121) ops/sec, 3.25MB/sec (avg: 2.88MB/sec), 42.68 (avg: 48.66) msec latency[RUN #1 49%,  14 secs]  2 threads:        1802 ops,     125 (avg:     121) ops/sec, 2.75MB/sec (avg: 2.87MB/sec), 45.09 (avg: 48.41) msec latency[RUN #1 53%,  15 secs]  2 threads:        1934 ops,     131 (avg:     122) ops/sec, 3.00MB/sec (avg: 2.88MB/sec), 47.00 (avg: 48.31) msec latency[RUN #1 56%,  16 secs]  2 threads:        1969 ops,      34 (avg:     116) ops/sec, 769.06KB/sec (avg: 2.75MB/sec), 82.03 (avg: 48.91) msec latency[RUN #1 59%,  17 secs]  2 threads:        2101 ops,     131 (avg:     117) ops/sec, 3.00MB/sec (avg: 2.77MB/sec), 66.32 (avg: 50.00) msec latency[RUN #1 63%,  18 secs]  2 threads:        2190 ops,      88 (avg:     116) ops/sec, 2.25MB/sec (avg: 2.74MB/sec), 55.46 (avg: 50.23) msec latency[RUN #1 66%,  19 secs]  2 threads:        2277 ops,      86 (avg:     114) ops/sec, 1.75MB/sec (avg: 2.69MB/sec), 67.27 (avg: 50.88) msec latency[RUN #1 69%,  20 secs]  2 threads:        2434 ops,     156 (avg:     116) ops/sec, 3.75MB/sec (avg: 2.74MB/sec), 35.57 (avg: 49.89) msec latency[RUN #1 73%,  21 secs]  2 threads:        2530 ops,      95 (avg:     115) ops/sec, 2.00MB/sec (avg: 2.71MB/sec), 38.49 (avg: 49.46) msec latency[RUN #1 76%,  22 secs]  2 threads:        2640 ops,     109 (avg:     115) ops/sec, 2.50MB/sec (avg: 2.70MB/sec), 84.84 (avg: 50.93) msec latency[RUN #1 79%,  23 secs]  2 threads:        2761 ops,     120 (avg:     115) ops/sec, 2.75MB/sec (avg: 2.70MB/sec), 46.96 (avg: 50.76) msec latency[RUN #1 83%,  24 secs]  2 threads:        2872 ops,     110 (avg:     115) ops/sec, 2.75MB/sec (avg: 2.70MB/sec), 57.34 (avg: 51.01) msec latency[RUN #1 86%,  25 secs]  2 threads:        2959 ops,      86 (avg:     114) ops/sec, 1.75MB/sec (avg: 2.66MB/sec), 82.62 (avg: 51.94) msec latency[RUN #1 89%,  26 secs]  2 threads:        3126 ops,     166 (avg:     116) ops/sec, 4.00MB/sec (avg: 2.71MB/sec), 38.00 (avg: 51.20) msec latency[RUN #1 93%,  27 secs]  2 threads:        3253 ops,     126 (avg:     116) ops/sec, 3.00MB/sec (avg: 2.73MB/sec), 26.92 (avg: 50.25) msec latency[RUN #1 96%,  28 secs]  2 threads:        3494 ops,     240 (avg:     121) ops/sec, 6.01MB/sec (avg: 2.84MB/sec), 37.56 (avg: 49.37) msec latency[RUN #1 99%,  29 secs]  2 threads:        3826 ops,     331 (avg:     128) ops/sec, 8.26MB/sec (avg: 3.02MB/sec), 18.57 (avg: 46.70) msec latency[RUN #1 100%,  30 secs]  0 threads:        3924 ops,     331 (avg:     130) ops/sec, 8.26MB/sec (avg: 3.10MB/sec), 18.57 (avg: 45.94) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets          12.00          ---          ---    457.84300      3072.49
Gets         118.80         0.40       118.40      4.32900       106.10
Totals       130.80         0.40       118.40     45.93600      3178.59


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET      65.000      0.27778
SET      66.000      0.55556
SET      69.000      0.83333
SET      77.000      1.38889
SET      81.000      1.66667
SET      84.000      2.22222
SET      85.000      2.50000
SET      86.000      2.77778
SET      88.000      3.33333
SET      89.000      3.61111
SET      91.000      3.88889
SET      92.000      4.16667
SET      96.000      4.44444
SET     100.000      5.27778
SET     110.000      7.22222
SET     120.000      8.61111
SET     130.000     10.27778
SET     140.000     12.50000
SET     150.000     15.55556
SET     160.000     16.94444
SET     170.000     21.11111
SET     180.000     23.88889
SET     190.000     25.83333
SET     200.000     29.44444
SET     210.000     33.05556
SET     220.000     35.27778
SET     230.000     38.61111
SET     240.000     41.11111
SET     250.000     43.61111
SET     260.000     45.83333
SET     270.000     48.88889
SET     280.000     49.44444
SET     290.000     50.00000
SET     300.000     50.83333
SET     310.000     52.77778
SET     330.000     53.61111
SET     340.000     53.88889
SET     380.000     54.16667
SET     390.000     56.11111
SET     400.000     57.50000
SET     410.000     58.88889
SET     420.000     59.44444
SET     430.000     60.55556
SET     440.000     63.33333
SET     450.000     65.27778
SET     460.000     66.66667
SET     470.000     67.77778
SET     480.000     70.27778
SET     490.000     71.94444
SET     500.000     73.05556
SET     510.000     73.61111
SET     530.000     74.44444
SET     540.000     75.00000
SET     550.000     75.27778
SET     560.000     75.55556
SET     600.000     75.83333
SET     630.000     76.66667
SET     640.000     76.94444
SET     660.000     77.50000
SET     670.000     78.33333
SET     680.000     78.61111
SET     690.000     80.55556
SET     700.000     81.66667
SET     710.000     82.50000
SET     720.000     82.77778
SET     730.000     83.33333
SET     750.000     84.16667
SET     760.000     84.44444
SET     770.000     85.00000
SET     800.000     85.27778
SET     810.000     85.83333
SET     840.000     86.38889
SET     850.000     87.22222
SET     890.000     88.05556
SET     900.000     88.61111
SET     910.000     89.16667
SET     920.000     89.72222
SET     940.000     90.27778
SET     950.000     90.83333
SET     960.000     91.11111
SET     990.000     91.38889
SET    1000.000     92.22222
SET    1100.000     94.16667
SET    1200.000     94.44444
SET    1300.000     96.11111
SET    1500.000     96.66667
SET    1600.000     97.50000
SET    1800.000     98.05556
SET    1900.000     98.61111
SET    2000.000     99.16667
SET    2200.000     99.44444
SET    2300.000     99.72222
SET    3600.000    100.00000
---
GET       2.100      0.02806
GET       2.300      0.05612
GET       2.500      0.11223
GET       2.600      0.16835
GET       2.700      0.22447
GET       2.800      0.25253
GET       2.900      0.36476
GET       3.000      0.42088
GET       3.100      0.47699
GET       3.200      0.61728
GET       3.300      0.95398
GET       3.400      1.12233
GET       3.500      1.23457
GET       3.600      1.59933
GET       3.700      2.04826
GET       3.800      2.63749
GET       3.900      3.25477
GET       4.000      4.12458
GET       4.100      8.83838
GET       4.200     33.10887
GET       4.300     72.05387
GET       4.400     94.50056
GET       4.500     98.62514
GET       4.600     99.29854
GET       4.700     99.46689
GET       4.800     99.52301
GET       4.900     99.57912
GET       5.000     99.66330
GET      16.000     99.69136
GET      21.000     99.77553
GET      22.000    100.00000
