[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:         666 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:        1099 ops,     432 (avg:     550) ops/sec, 9.76MB/sec (avg: 13.29MB/sec), 13.50 (avg: 10.64) msec latency[RUN #1 10%,   2 secs]  2 threads:        1298 ops,     198 (avg:     433) ops/sec, 4.51MB/sec (avg: 10.36MB/sec), 23.85 (avg: 12.66) msec latency[RUN #1 13%,   3 secs]  2 threads:        1466 ops,     167 (avg:     366) ops/sec, 4.00MB/sec (avg: 8.77MB/sec), 41.55 (avg: 15.97) msec latency[RUN #1 17%,   4 secs]  2 threads:        1645 ops,     178 (avg:     329) ops/sec, 4.01MB/sec (avg: 7.82MB/sec), 32.29 (avg: 17.75) msec latency[RUN #1 20%,   5 secs]  2 threads:        1760 ops,     114 (avg:     293) ops/sec, 2.50MB/sec (avg: 6.93MB/sec), 42.72 (avg: 19.38) msec latency[RUN #1 23%,   6 secs]  2 threads:        1882 ops,     121 (avg:     268) ops/sec, 3.00MB/sec (avg: 6.37MB/sec), 53.73 (avg: 21.61) msec latency[RUN #1 27%,   7 secs]  2 threads:        2025 ops,     142 (avg:     253) ops/sec, 3.25MB/sec (avg: 5.98MB/sec), 35.49 (avg: 22.59) msec latency[RUN #1 30%,   8 secs]  2 threads:        2150 ops,     124 (avg:     238) ops/sec, 2.75MB/sec (avg: 5.62MB/sec), 53.18 (avg: 24.36) msec latency[RUN #1 33%,   9 secs]  2 threads:        2288 ops,     137 (avg:     228) ops/sec, 3.00MB/sec (avg: 5.36MB/sec), 41.85 (avg: 25.42) msec latency[RUN #1 37%,  10 secs]  2 threads:        2400 ops,     111 (avg:     218) ops/sec, 2.75MB/sec (avg: 5.12MB/sec), 54.68 (avg: 26.79) msec latency[RUN #1 40%,  11 secs]  2 threads:        2497 ops,      96 (avg:     208) ops/sec, 2.00MB/sec (avg: 4.86MB/sec), 54.12 (avg: 27.85) msec latency[RUN #1 43%,  12 secs]  2 threads:        2618 ops,     120 (avg:     201) ops/sec, 2.75MB/sec (avg: 4.70MB/sec), 49.19 (avg: 28.83) msec latency[RUN #1 47%,  13 secs]  2 threads:        2728 ops,     109 (avg:     194) ops/sec, 2.50MB/sec (avg: 4.54MB/sec), 67.22 (avg: 30.38) msec latency[RUN #1 50%,  14 secs]  2 threads:        2871 ops,     142 (avg:     191) ops/sec, 3.25MB/sec (avg: 4.46MB/sec), 32.84 (avg: 30.50) msec latency[RUN #1 53%,  15 secs]  2 threads:        2992 ops,     120 (avg:     187) ops/sec, 2.75MB/sec (avg: 4.35MB/sec), 51.11 (avg: 31.34) msec latency[RUN #1 57%,  16 secs]  2 threads:        3113 ops,     120 (avg:     183) ops/sec, 2.75MB/sec (avg: 4.26MB/sec), 54.64 (avg: 32.24) msec latency[RUN #1 60%,  17 secs]  2 threads:        3229 ops,     115 (avg:     179) ops/sec, 2.75MB/sec (avg: 4.17MB/sec), 49.19 (avg: 32.85) msec latency[RUN #1 63%,  18 secs]  2 threads:        3311 ops,      81 (avg:     174) ops/sec, 1.75MB/sec (avg: 4.05MB/sec), 57.81 (avg: 33.47) msec latency[RUN #1 67%,  19 secs]  2 threads:        3446 ops,     134 (avg:     172) ops/sec, 3.25MB/sec (avg: 4.01MB/sec), 53.23 (avg: 34.24) msec latency[RUN #1 70%,  20 secs]  2 threads:        3575 ops,     128 (avg:     170) ops/sec, 3.00MB/sec (avg: 3.96MB/sec), 44.39 (avg: 34.61) msec latency[RUN #1 73%,  21 secs]  2 threads:        3675 ops,      99 (avg:     167) ops/sec, 2.75MB/sec (avg: 3.90MB/sec), 54.85 (avg: 35.16) msec latency[RUN #1 77%,  22 secs]  2 threads:        3751 ops,      75 (avg:     163) ops/sec, 1.75MB/sec (avg: 3.81MB/sec), 74.08 (avg: 35.95) msec latency[RUN #1 80%,  23 secs]  2 threads:        3849 ops,      97 (avg:     160) ops/sec, 2.25MB/sec (avg: 3.74MB/sec), 69.97 (avg: 36.82) msec latency[RUN #1 83%,  24 secs]  2 threads:        3949 ops,      99 (avg:     157) ops/sec, 2.50MB/sec (avg: 3.70MB/sec), 55.32 (avg: 37.28) msec latency[RUN #1 87%,  25 secs]  2 threads:        4110 ops,     160 (avg:     158) ops/sec, 4.00MB/sec (avg: 3.71MB/sec), 46.49 (avg: 37.64) msec latency[RUN #1 90%,  27 secs]  2 threads:        4202 ops,      91 (avg:     155) ops/sec, 2.25MB/sec (avg: 3.65MB/sec), 56.86 (avg: 38.07) msec latency[RUN #1 93%,  28 secs]  2 threads:        4268 ops,      65 (avg:     152) ops/sec, 1.50MB/sec (avg: 3.58MB/sec), 65.69 (avg: 38.49) msec latency[RUN #1 97%,  29 secs]  2 threads:        4407 ops,     138 (avg:     151) ops/sec, 3.25MB/sec (avg: 3.57MB/sec), 60.57 (avg: 39.19) msec latency[RUN #1 100%,  30 secs]  2 threads:        4549 ops,     141 (avg:     151) ops/sec, 3.25MB/sec (avg: 3.55MB/sec), 38.70 (avg: 39.17) msec latency[RUN #1 101%,  30 secs]  0 threads:        4555 ops,     141 (avg:     149) ops/sec, 3.25MB/sec (avg: 3.55MB/sec), 38.70 (avg: 40.06) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets          14.08          ---          ---    393.34500      3605.14
Gets         138.99         0.40       138.58      4.26800       107.56
Totals       153.07         0.40       138.58     40.05800      3712.71


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET      28.000      0.23866
SET      35.000      0.47733
SET      36.000      0.71599
SET      38.000      0.95465
SET      40.000      1.43198
SET      41.000      2.14797
SET      42.000      2.62530
SET      44.000      3.10263
SET      45.000      3.57995
SET      46.000      3.81862
SET      47.000      4.53461
SET      48.000      4.77327
SET      49.000      5.48926
SET      50.000      5.72792
SET      51.000      6.44391
SET      52.000      6.68258
SET      53.000      7.39857
SET      54.000      7.63723
SET      55.000      8.83055
SET      56.000      9.78520
SET      57.000     10.50119
SET      58.000     10.97852
SET      59.000     11.21718
SET      60.000     11.45585
SET      61.000     11.69451
SET      62.000     12.17184
SET      63.000     12.64916
SET      64.000     12.88783
SET      65.000     13.36516
SET      66.000     14.08115
SET      68.000     14.55847
SET      71.000     14.79714
SET      73.000     15.03580
SET      74.000     15.27446
SET      77.000     15.51313
SET      78.000     15.75179
SET      82.000     16.22912
SET      84.000     16.70644
SET      88.000     16.94511
SET      89.000     17.18377
SET      91.000     17.42243
SET      92.000     17.89976
SET      96.000     18.13842
SET      97.000     18.37709
SET     100.000     19.33174
SET     110.000     20.76372
SET     120.000     21.95704
SET     130.000     23.62768
SET     140.000     24.34368
SET     150.000     28.16229
SET     160.000     29.83294
SET     170.000     31.26492
SET     180.000     31.98091
SET     190.000     33.41289
SET     200.000     36.99284
SET     210.000     39.37947
SET     220.000     42.00477
SET     230.000     44.63007
SET     240.000     47.01671
SET     250.000     48.44869
SET     260.000     49.64200
SET     270.000     50.83532
SET     280.000     52.74463
SET     290.000     52.98329
SET     300.000     54.17661
SET     310.000     54.41527
SET     330.000     54.65394
SET     340.000     54.89260
SET     350.000     55.13126
SET     360.000     55.36993
SET     370.000     55.84726
SET     390.000     56.32458
SET     400.000     57.04057
SET     410.000     57.99523
SET     420.000     58.47255
SET     430.000     60.38186
SET     440.000     60.85919
SET     450.000     62.29117
SET     460.000     64.20048
SET     470.000     65.63246
SET     480.000     67.06444
SET     490.000     68.73508
SET     500.000     71.59905
SET     510.000     73.03103
SET     520.000     74.46301
SET     530.000     76.37232
SET     540.000     76.84964
SET     550.000     77.08831
SET     560.000     77.56563
SET     570.000     78.04296
SET     580.000     78.52029
SET     630.000     78.75895
SET     640.000     78.99761
SET     650.000     79.71360
SET     660.000     80.19093
SET     670.000     80.66826
SET     680.000     81.62291
SET     690.000     82.57757
SET     700.000     83.29356
SET     710.000     84.24821
SET     720.000     85.20286
SET     730.000     87.11217
SET     740.000     87.35084
SET     750.000     87.82816
SET     760.000     88.30549
SET     780.000     88.54415
SET     800.000     88.78282
SET     810.000     89.02148
SET     830.000     89.26014
SET     850.000     89.73747
SET     860.000     90.45346
SET     870.000     90.93079
SET     880.000     91.16945
SET     890.000     91.88544
SET     910.000     92.36277
SET     920.000     92.84010
SET     930.000     93.07876
SET     940.000     93.31742
SET     950.000     93.79475
SET     970.000     94.03341
SET    1000.000     94.51074
SET    1100.000     96.89737
SET    1200.000     97.85203
SET    1300.000     98.09069
SET    1400.000     98.56802
SET    1500.000     98.80668
SET    1600.000     99.28401
SET    1700.000     99.52267
SET    1900.000    100.00000
---
GET       2.300      0.09671
GET       2.400      0.21760
GET       2.500      0.38685
GET       2.600      0.65280
GET       2.700      0.84623
GET       2.800      1.28143
GET       2.900      1.76499
GET       3.000      2.46615
GET       3.100      3.14313
GET       3.200      4.11025
GET       3.300      5.34333
GET       3.400      6.74565
GET       3.500      8.05126
GET       3.600      9.62282
GET       3.700     10.85590
GET       3.800     12.62089
GET       3.900     14.09574
GET       4.000     16.12669
GET       4.100     21.27660
GET       4.200     43.47195
GET       4.300     77.68375
GET       4.400     95.52708
GET       4.500     98.64603
GET       4.600     99.34720
GET       4.700     99.51644
GET       4.800     99.56480
GET       4.900     99.61315
GET       5.000     99.66151
GET       5.100     99.68569
GET       5.500     99.70986
GET      15.000     99.73404
GET      19.000     99.75822
GET      20.000     99.78240
GET      22.000     99.92747
GET      26.000     99.97582
GET     240.000    100.00000
