[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:         140 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 6%,   1 secs]  2 threads:         264 ops,     123 (avg:     144) ops/sec, 2.50MB/sec (avg: 3.28MB/sec), 30.40 (avg: 32.80) msec latency[RUN #1 9%,   2 secs]  2 threads:         370 ops,     105 (avg:     130) ops/sec, 2.75MB/sec (avg: 3.10MB/sec), 43.77 (avg: 35.94) msec latency[RUN #1 13%,   3 secs]  2 threads:         462 ops,      91 (avg:     120) ops/sec, 2.00MB/sec (avg: 2.81MB/sec), 65.38 (avg: 41.80) msec latency[RUN #1 16%,   4 secs]  2 threads:         570 ops,     107 (avg:     117) ops/sec, 3.00MB/sec (avg: 2.85MB/sec), 71.26 (avg: 47.38) msec latency[RUN #1 19%,   5 secs]  2 threads:         694 ops,     123 (avg:     119) ops/sec, 3.25MB/sec (avg: 2.92MB/sec), 54.13 (avg: 48.59) msec latency[RUN #1 23%,   6 secs]  2 threads:         802 ops,     107 (avg:     117) ops/sec, 2.50MB/sec (avg: 2.86MB/sec), 48.01 (avg: 48.51) msec latency[RUN #1 26%,   7 secs]  2 threads:         921 ops,     118 (avg:     117) ops/sec, 2.75MB/sec (avg: 2.84MB/sec), 46.92 (avg: 48.31) msec latency[RUN #1 29%,   8 secs]  2 threads:        1094 ops,     172 (avg:     123) ops/sec, 4.01MB/sec (avg: 2.98MB/sec), 44.89 (avg: 47.77) msec latency[RUN #1 33%,   9 secs]  2 threads:        1210 ops,     115 (avg:     123) ops/sec, 2.75MB/sec (avg: 2.95MB/sec), 40.63 (avg: 47.08) msec latency[RUN #1 36%,  10 secs]  2 threads:        1373 ops,     162 (avg:     126) ops/sec, 3.75MB/sec (avg: 3.03MB/sec), 44.55 (avg: 46.78) msec latency[RUN #1 39%,  11 secs]  2 threads:        1485 ops,     111 (avg:     125) ops/sec, 2.50MB/sec (avg: 2.98MB/sec), 38.78 (avg: 46.18) msec latency[RUN #1 43%,  12 secs]  2 threads:        1617 ops,     131 (avg:     126) ops/sec, 3.00MB/sec (avg: 2.98MB/sec), 50.48 (avg: 46.53) msec latency[RUN #1 46%,  13 secs]  2 threads:        1727 ops,     109 (avg:     124) ops/sec, 2.50MB/sec (avg: 2.95MB/sec), 46.71 (avg: 46.54) msec latency[RUN #1 49%,  14 secs]  2 threads:        1869 ops,     141 (avg:     126) ops/sec, 3.50MB/sec (avg: 2.99MB/sec), 54.26 (avg: 47.13) msec latency[RUN #1 53%,  15 secs]  2 threads:        2024 ops,     154 (avg:     127) ops/sec, 3.25MB/sec (avg: 3.00MB/sec), 33.94 (avg: 46.12) msec latency[RUN #1 56%,  16 secs]  2 threads:        2134 ops,     109 (avg:     126) ops/sec, 2.50MB/sec (avg: 2.97MB/sec), 39.07 (avg: 45.75) msec latency[RUN #1 59%,  17 secs]  2 threads:        2320 ops,     185 (avg:     130) ops/sec, 4.26MB/sec (avg: 3.05MB/sec), 45.57 (avg: 45.74) msec latency[RUN #1 63%,  18 secs]  2 threads:        2409 ops,      88 (avg:     127) ops/sec, 2.00MB/sec (avg: 2.99MB/sec), 46.01 (avg: 45.75) msec latency[RUN #1 66%,  19 secs]  2 threads:        2475 ops,      65 (avg:     124) ops/sec, 1.50MB/sec (avg: 2.92MB/sec), 76.38 (avg: 46.57) msec latency[RUN #1 69%,  20 secs]  2 threads:        2598 ops,     122 (avg:     124) ops/sec, 3.00MB/sec (avg: 2.92MB/sec), 62.34 (avg: 47.31) msec latency[RUN #1 73%,  21 secs]  2 threads:        2723 ops,     124 (avg:     124) ops/sec, 2.75MB/sec (avg: 2.91MB/sec), 57.22 (avg: 47.77) msec latency[RUN #1 76%,  22 secs]  2 threads:        2816 ops,      92 (avg:     123) ops/sec, 2.00MB/sec (avg: 2.87MB/sec), 45.71 (avg: 47.70) msec latency[RUN #1 79%,  23 secs]  2 threads:        2893 ops,      76 (avg:     121) ops/sec, 1.75MB/sec (avg: 2.83MB/sec), 63.91 (avg: 48.13) msec latency[RUN #1 83%,  24 secs]  2 threads:        3003 ops,     109 (avg:     120) ops/sec, 2.50MB/sec (avg: 2.81MB/sec), 73.47 (avg: 49.06) msec latency[RUN #1 86%,  25 secs]  2 threads:        3168 ops,     164 (avg:     122) ops/sec, 3.75MB/sec (avg: 2.85MB/sec), 39.14 (avg: 48.54) msec latency[RUN #1 89%,  26 secs]  2 threads:        3289 ops,     120 (avg:     122) ops/sec, 2.75MB/sec (avg: 2.85MB/sec), 46.02 (avg: 48.45) msec latency[RUN #1 93%,  27 secs]  2 threads:        3443 ops,     153 (avg:     123) ops/sec, 4.00MB/sec (avg: 2.89MB/sec), 29.64 (avg: 47.61) msec latency[RUN #1 96%,  28 secs]  2 threads:        3740 ops,     296 (avg:     129) ops/sec, 7.01MB/sec (avg: 3.03MB/sec), 28.43 (avg: 46.09) msec latency[RUN #1 99%,  29 secs]  2 threads:        4073 ops,     332 (avg:     136) ops/sec, 8.51MB/sec (avg: 3.21MB/sec), 17.81 (avg: 43.77) msec latency[RUN #1 100%,  30 secs]  1 threads:        4177 ops,     332 (avg:     139) ops/sec, 8.51MB/sec (avg: 3.30MB/sec), 17.81 (avg: 43.10) msec latency[RUN #1 100%,  30 secs]  0 threads:        4178 ops,     332 (avg:     139) ops/sec, 8.51MB/sec (avg: 3.31MB/sec), 17.81 (avg: 43.11) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets          12.82          ---          ---    424.26800      3282.12
Gets         126.29         0.40       125.89      4.41700       106.22
Totals       139.11         0.40       125.89     43.10600      3388.34


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET      59.000      0.25974
SET      61.000      0.51948
SET      65.000      0.77922
SET      67.000      1.03896
SET      73.000      1.29870
SET      75.000      1.81818
SET      76.000      2.07792
SET      77.000      2.59740
SET      78.000      2.85714
SET      83.000      3.11688
SET      86.000      3.63636
SET      88.000      3.89610
SET      91.000      4.15584
SET      93.000      4.67532
SET      94.000      4.93506
SET      95.000      5.19481
SET     100.000      5.45455
SET     110.000      5.97403
SET     120.000      7.53247
SET     130.000      9.09091
SET     140.000     10.64935
SET     150.000     14.28571
SET     160.000     17.92208
SET     170.000     22.59740
SET     180.000     27.01299
SET     190.000     30.64935
SET     200.000     33.50649
SET     210.000     37.40260
SET     220.000     40.25974
SET     230.000     42.07792
SET     240.000     44.15584
SET     250.000     45.71429
SET     260.000     49.61039
SET     270.000     51.42857
SET     280.000     53.50649
SET     290.000     54.28571
SET     300.000     55.06494
SET     310.000     56.10390
SET     330.000     56.88312
SET     360.000     57.14286
SET     370.000     57.92208
SET     390.000     58.96104
SET     400.000     59.48052
SET     410.000     60.00000
SET     420.000     61.55844
SET     430.000     62.85714
SET     440.000     64.93506
SET     450.000     66.75325
SET     460.000     67.53247
SET     470.000     68.57143
SET     480.000     72.46753
SET     490.000     72.98701
SET     500.000     74.54545
SET     510.000     75.32468
SET     520.000     76.10390
SET     540.000     76.62338
SET     550.000     76.88312
SET     580.000     77.40260
SET     590.000     77.66234
SET     630.000     78.18182
SET     640.000     79.22078
SET     650.000     79.74026
SET     660.000     81.03896
SET     670.000     81.29870
SET     680.000     82.33766
SET     690.000     83.37662
SET     700.000     84.15584
SET     710.000     84.41558
SET     720.000     85.19481
SET     730.000     85.71429
SET     740.000     86.23377
SET     750.000     86.75325
SET     760.000     87.01299
SET     790.000     87.27273
SET     800.000     87.53247
SET     810.000     87.79221
SET     820.000     88.05195
SET     830.000     88.57143
SET     850.000     89.35065
SET     860.000     89.61039
SET     870.000     89.87013
SET     880.000     90.38961
SET     890.000     90.64935
SET     910.000     91.42857
SET     920.000     91.68831
SET     930.000     91.94805
SET     940.000     92.20779
SET     960.000     92.46753
SET     980.000     92.72727
SET     990.000     92.98701
SET    1000.000     93.24675
SET    1100.000     95.58442
SET    1200.000     96.88312
SET    1300.000     97.14286
SET    1400.000     97.92208
SET    1500.000     98.44156
SET    2000.000     98.70130
SET    2100.000     98.96104
SET    2300.000     99.48052
SET    2600.000     99.74026
SET    2800.000    100.00000
---
GET       2.000      0.02636
GET       2.600      0.10546
GET       2.700      0.15819
GET       2.800      0.18455
GET       2.900      0.26364
GET       3.000      0.39547
GET       3.100      0.55365
GET       3.200      0.71184
GET       3.300      0.92275
GET       3.400      1.18640
GET       3.500      1.58186
GET       3.600      2.26733
GET       3.700      2.76826
GET       3.800      3.71737
GET       3.900      4.29739
GET       4.000      5.51015
GET       4.100     10.51938
GET       4.200     34.32639
GET       4.300     72.50198
GET       4.400     94.33166
GET       4.500     98.76088
GET       4.600     99.44635
GET       4.700     99.55181
GET       4.800     99.60453
GET       4.900     99.65726
GET       5.000     99.68363
GET      22.000     99.89454
GET      23.000     99.92091
GET      48.000     99.94727
GET      96.000     99.97364
GET     290.000    100.00000
