[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:        9046 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       16058 ops,    7010 (avg:    8028) ops/sec, 228.68KB/sec (avg: 261.50KB/sec),  0.85 (avg:  0.74) msec latency[RUN #1 10%,   3 secs]  2 threads:       20791 ops,    4732 (avg:    6929) ops/sec, 155.09KB/sec (avg: 226.03KB/sec),  1.26 (avg:  0.86) msec latency[RUN #1 13%,   4 secs]  2 threads:       25338 ops,    4546 (avg:    6334) ops/sec, 148.84KB/sec (avg: 206.73KB/sec),  1.31 (avg:  0.94) msec latency[RUN #1 17%,   5 secs]  2 threads:       29841 ops,    4502 (avg:    5967) ops/sec, 147.51KB/sec (avg: 194.89KB/sec),  1.32 (avg:  1.00) msec latency[RUN #1 20%,   6 secs]  2 threads:       34334 ops,    4492 (avg:    5721) ops/sec, 147.86KB/sec (avg: 187.05KB/sec),  1.33 (avg:  1.04) msec latency[RUN #1 23%,   7 secs]  2 threads:       39028 ops,    4693 (avg:    5574) ops/sec, 154.79KB/sec (avg: 182.44KB/sec),  1.27 (avg:  1.07) msec latency[RUN #1 27%,   8 secs]  2 threads:       43792 ops,    4763 (avg:    5473) ops/sec, 157.56KB/sec (avg: 179.33KB/sec),  1.25 (avg:  1.09) msec latency[RUN #1 30%,   9 secs]  2 threads:       48479 ops,    4686 (avg:    5386) ops/sec, 155.04KB/sec (avg: 176.63KB/sec),  1.27 (avg:  1.11) msec latency[RUN #1 33%,  10 secs]  2 threads:       53006 ops,    4526 (avg:    5300) ops/sec, 150.13KB/sec (avg: 173.98KB/sec),  1.32 (avg:  1.13) msec latency[RUN #1 37%,  11 secs]  2 threads:       57533 ops,    4526 (avg:    5229) ops/sec, 150.97KB/sec (avg: 171.89KB/sec),  1.32 (avg:  1.14) msec latency[RUN #1 40%,  12 secs]  2 threads:       62115 ops,    4581 (avg:    5175) ops/sec, 152.98KB/sec (avg: 170.31KB/sec),  1.30 (avg:  1.15) msec latency[RUN #1 43%,  13 secs]  2 threads:       66701 ops,    4585 (avg:    5130) ops/sec, 153.32KB/sec (avg: 169.01KB/sec),  1.30 (avg:  1.16) msec latency[RUN #1 47%,  14 secs]  2 threads:       71267 ops,    4565 (avg:    5090) ops/sec, 152.78KB/sec (avg: 167.85KB/sec),  1.31 (avg:  1.17) msec latency[RUN #1 50%,  15 secs]  2 threads:       75802 ops,    4534 (avg:    5052) ops/sec, 151.94KB/sec (avg: 166.79KB/sec),  1.32 (avg:  1.18) msec latency[RUN #1 53%,  16 secs]  2 threads:       80425 ops,    4622 (avg:    5026) ops/sec, 155.35KB/sec (avg: 166.07KB/sec),  1.29 (avg:  1.19) msec latency[RUN #1 57%,  17 secs]  2 threads:       85011 ops,    4585 (avg:    5000) ops/sec, 154.59KB/sec (avg: 165.40KB/sec),  1.30 (avg:  1.19) msec latency[RUN #1 60%,  18 secs]  2 threads:       89763 ops,    4751 (avg:    4986) ops/sec, 160.39KB/sec (avg: 165.12KB/sec),  1.26 (avg:  1.20) msec latency[RUN #1 63%,  19 secs]  2 threads:       94459 ops,    4695 (avg:    4971) ops/sec, 159.16KB/sec (avg: 164.81KB/sec),  1.27 (avg:  1.20) msec latency[RUN #1 67%,  20 secs]  2 threads:       99090 ops,    4630 (avg:    4954) ops/sec, 155.67KB/sec (avg: 164.35KB/sec),  1.29 (avg:  1.20) msec latency[RUN #1 70%,  21 secs]  2 threads:      103678 ops,    4587 (avg:    4936) ops/sec, 154.75KB/sec (avg: 163.89KB/sec),  1.30 (avg:  1.21) msec latency[RUN #1 73%,  22 secs]  2 threads:      108300 ops,    4621 (avg:    4922) ops/sec, 155.77KB/sec (avg: 163.52KB/sec),  1.29 (avg:  1.21) msec latency[RUN #1 77%,  23 secs]  2 threads:      112968 ops,    4667 (avg:    4911) ops/sec, 157.91KB/sec (avg: 163.28KB/sec),  1.28 (avg:  1.21) msec latency[RUN #1 80%,  24 secs]  2 threads:      117627 ops,    4658 (avg:    4900) ops/sec, 158.74KB/sec (avg: 163.09KB/sec),  1.28 (avg:  1.22) msec latency[RUN #1 83%,  25 secs]  2 threads:      122219 ops,    4591 (avg:    4888) ops/sec, 155.85KB/sec (avg: 162.80KB/sec),  1.30 (avg:  1.22) msec latency[RUN #1 87%,  26 secs]  2 threads:      126644 ops,    4424 (avg:    4870) ops/sec, 150.56KB/sec (avg: 162.33KB/sec),  1.35 (avg:  1.22) msec latency[RUN #1 90%,  27 secs]  2 threads:      131228 ops,    4583 (avg:    4859) ops/sec, 155.61KB/sec (avg: 162.08KB/sec),  1.30 (avg:  1.23) msec latency[RUN #1 93%,  28 secs]  2 threads:      137673 ops,    6444 (avg:    4916) ops/sec, 220.01KB/sec (avg: 164.15KB/sec),  0.92 (avg:  1.21) msec latency[RUN #1 97%,  29 secs]  2 threads:      146075 ops,    8401 (avg:    5036) ops/sec, 286.96KB/sec (avg: 168.38KB/sec),  0.71 (avg:  1.18) msec latency[RUN #1 100%,  30 secs]  0 threads:      156649 ops,    8401 (avg:    5221) ops/sec, 286.96KB/sec (avg: 174.85KB/sec),  0.71 (avg:  1.14) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         474.79          ---          ---      1.14400        21.74
Gets        4746.76       541.26      4205.50      1.14200       153.11
Totals      5221.56       541.26      4205.50      1.14200       174.85


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.094      0.00140
GET       0.096      0.00211
GET       0.099      0.00281
GET       0.100      0.00421
GET       0.110      0.00772
GET       0.120      0.01404
GET       0.130      0.03020
GET       0.140      0.06460
GET       0.150      0.11025
GET       0.160      0.15308
GET       0.170      0.19311
GET       0.180      0.23595
GET       0.190      0.29072
GET       0.200      0.33777
GET       0.210      0.36726
GET       0.220      0.37709
GET       0.230      0.38973
GET       0.240      0.39746
GET       0.250      0.40308
GET       0.260      0.40729
GET       0.270      0.40869
GET       0.280      0.41010
GET       0.290      0.41150
GET       0.300      0.41431
GET       0.310      0.41712
GET       0.320      0.42133
GET       0.330      0.42555
GET       0.340      0.43116
GET       0.350      0.44029
GET       0.360      0.45644
GET       0.370      0.48383
GET       0.380      0.51403
GET       0.390      0.55124
GET       0.400      0.60391
GET       0.410      0.68888
GET       0.420      0.79843
GET       0.430      0.98803
GET       0.440      1.22397
GET       0.450      1.52663
GET       0.460      1.91426
GET       0.470      2.30540
GET       0.480      2.81029
GET       0.490      3.28570
GET       0.500      3.73021
GET       0.510      4.13890
GET       0.520      4.54268
GET       0.530      4.90783
GET       0.540      5.23858
GET       0.550      5.52228
GET       0.560      5.80668
GET       0.570      6.12970
GET       0.580      6.49486
GET       0.590      6.89583
GET       0.600      7.39932
GET       0.610      7.92037
GET       0.620      8.56922
GET       0.630      9.20684
GET       0.640      9.92732
GET       0.650     10.65974
GET       0.660     11.44904
GET       0.670     12.19690
GET       0.680     12.96303
GET       0.690     13.68070
GET       0.700     14.36256
GET       0.710     14.95523
GET       0.720     15.49454
GET       0.730     15.99944
GET       0.740     16.47765
GET       0.750     16.95376
GET       0.760     17.39475
GET       0.770     17.77606
GET       0.780     18.15807
GET       0.790     18.56606
GET       0.800     18.92349
GET       0.810     19.29848
GET       0.820     19.67768
GET       0.830     20.02388
GET       0.840     20.39184
GET       0.850     20.77947
GET       0.860     21.16428
GET       0.870     21.53646
GET       0.880     21.88968
GET       0.890     22.25273
GET       0.900     22.57856
GET       0.910     22.91422
GET       0.920     23.26533
GET       0.930     23.63400
GET       0.940     23.95983
GET       0.950     24.24353
GET       0.960     24.52863
GET       0.970     24.79056
GET       0.980     25.03774
GET       0.990     25.27790
GET       1.000     26.86774
GET       1.100     34.87448
GET       1.200     57.09771
GET       1.300     81.73660
GET       1.400     93.18001
GET       1.500     95.50999
GET       1.600     96.05913
GET       1.700     96.79155
GET       1.800     97.91229
GET       1.900     98.95509
GET       2.000     99.63484
GET       2.100     99.90028
GET       2.200     99.97121
GET       2.300     99.98806
GET       2.400     99.99157
GET       2.500     99.99298
GET       8.000     99.99368
GET       8.100     99.99789
GET       8.200     99.99860
GET       8.700     99.99930
GET       8.800    100.00000
