[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       14749 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       25853 ops,   11102 (avg:   12926) ops/sec, 402.82KB/sec (avg: 463.13KB/sec),  0.53 (avg:  0.46) msec latency[RUN #1 10%,   3 secs]  2 threads:       36661 ops,   10806 (avg:   12219) ops/sec, 398.27KB/sec (avg: 441.51KB/sec),  0.55 (avg:  0.49) msec latency[RUN #1 13%,   4 secs]  2 threads:       44863 ops,    8201 (avg:   11215) ops/sec, 307.10KB/sec (avg: 407.91KB/sec),  0.72 (avg:  0.53) msec latency[RUN #1 17%,   5 secs]  2 threads:       51335 ops,    6471 (avg:   10266) ops/sec, 243.99KB/sec (avg: 375.12KB/sec),  0.92 (avg:  0.58) msec latency[RUN #1 20%,   6 secs]  2 threads:       55388 ops,    4052 (avg:    9230) ops/sec, 156.19KB/sec (avg: 338.63KB/sec),  1.47 (avg:  0.64) msec latency[RUN #1 23%,   7 secs]  2 threads:       59547 ops,    4158 (avg:    8505) ops/sec, 162.74KB/sec (avg: 313.50KB/sec),  1.44 (avg:  0.70) msec latency[RUN #1 27%,   8 secs]  2 threads:       63923 ops,    4375 (avg:    7989) ops/sec, 169.94KB/sec (avg: 295.56KB/sec),  1.36 (avg:  0.74) msec latency[RUN #1 30%,   9 secs]  2 threads:       68035 ops,    4111 (avg:    7558) ops/sec, 160.54KB/sec (avg: 280.56KB/sec),  1.45 (avg:  0.79) msec latency[RUN #1 33%,  10 secs]  2 threads:       72365 ops,    4329 (avg:    7235) ops/sec, 169.21KB/sec (avg: 269.42KB/sec),  1.38 (avg:  0.82) msec latency[RUN #1 37%,  11 secs]  2 threads:       76817 ops,    4451 (avg:    6982) ops/sec, 175.00KB/sec (avg: 260.84KB/sec),  1.34 (avg:  0.85) msec latency[RUN #1 40%,  12 secs]  2 threads:       81091 ops,    4273 (avg:    6756) ops/sec, 171.22KB/sec (avg: 253.37KB/sec),  1.40 (avg:  0.88) msec latency[RUN #1 43%,  13 secs]  2 threads:       85487 ops,    4395 (avg:    6575) ops/sec, 175.69KB/sec (avg: 247.39KB/sec),  1.36 (avg:  0.91) msec latency[RUN #1 47%,  14 secs]  2 threads:       89808 ops,    4320 (avg:    6414) ops/sec, 175.75KB/sec (avg: 242.28KB/sec),  1.38 (avg:  0.93) msec latency[RUN #1 50%,  15 secs]  2 threads:       94091 ops,    4282 (avg:    6272) ops/sec, 176.23KB/sec (avg: 237.87KB/sec),  1.39 (avg:  0.95) msec latency[RUN #1 53%,  16 secs]  2 threads:       98271 ops,    4179 (avg:    6141) ops/sec, 166.80KB/sec (avg: 233.43KB/sec),  1.43 (avg:  0.97) msec latency[RUN #1 57%,  17 secs]  2 threads:      102586 ops,    4314 (avg:    6033) ops/sec, 172.19KB/sec (avg: 229.83KB/sec),  1.38 (avg:  0.99) msec latency[RUN #1 60%,  18 secs]  2 threads:      107130 ops,    4543 (avg:    5951) ops/sec, 182.59KB/sec (avg: 227.20KB/sec),  1.31 (avg:  1.00) msec latency[RUN #1 63%,  19 secs]  2 threads:      111668 ops,    4537 (avg:    5876) ops/sec, 184.53KB/sec (avg: 224.96KB/sec),  1.31 (avg:  1.01) msec latency[RUN #1 67%,  20 secs]  2 threads:      116105 ops,    4436 (avg:    5804) ops/sec, 181.70KB/sec (avg: 222.79KB/sec),  1.35 (avg:  1.03) msec latency[RUN #1 70%,  21 secs]  2 threads:      120471 ops,    4365 (avg:    5736) ops/sec, 183.21KB/sec (avg: 220.91KB/sec),  1.37 (avg:  1.04) msec latency[RUN #1 73%,  22 secs]  2 threads:      124853 ops,    4381 (avg:    5674) ops/sec, 180.79KB/sec (avg: 219.09KB/sec),  1.36 (avg:  1.05) msec latency[RUN #1 77%,  23 secs]  2 threads:      129220 ops,    4366 (avg:    5617) ops/sec, 181.86KB/sec (avg: 217.47KB/sec),  1.37 (avg:  1.06) msec latency[RUN #1 80%,  24 secs]  2 threads:      133762 ops,    4541 (avg:    5572) ops/sec, 187.66KB/sec (avg: 216.23KB/sec),  1.31 (avg:  1.07) msec latency[RUN #1 83%,  25 secs]  2 threads:      138216 ops,    4453 (avg:    5528) ops/sec, 187.25KB/sec (avg: 215.07KB/sec),  1.34 (avg:  1.08) msec latency[RUN #1 87%,  26 secs]  2 threads:      142779 ops,    4562 (avg:    5490) ops/sec, 193.65KB/sec (avg: 214.24KB/sec),  1.31 (avg:  1.09) msec latency[RUN #1 90%,  27 secs]  2 threads:      147284 ops,    4504 (avg:    5454) ops/sec, 189.78KB/sec (avg: 213.34KB/sec),  1.32 (avg:  1.09) msec latency[RUN #1 93%,  28 secs]  2 threads:      151665 ops,    4380 (avg:    5416) ops/sec, 182.86KB/sec (avg: 212.25KB/sec),  1.36 (avg:  1.10) msec latency[RUN #1 97%,  29 secs]  2 threads:      156209 ops,    4543 (avg:    5385) ops/sec, 193.38KB/sec (avg: 211.60KB/sec),  1.31 (avg:  1.11) msec latency[RUN #1 100%,  30 secs]  0 threads:      161550 ops,    4543 (avg:    5384) ops/sec, 193.38KB/sec (avg: 212.29KB/sec),  1.31 (avg:  1.11) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         489.62          ---          ---      1.11300        36.28
Gets        4895.28       618.42      4276.86      1.10600       176.01
Totals      5384.90       618.42      4276.86      1.10700       212.29


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.100      0.00136
GET       0.110      0.00409
GET       0.120      0.00953
GET       0.130      0.02656
GET       0.140      0.09805
GET       0.150      0.21721
GET       0.160      0.33024
GET       0.170      0.45349
GET       0.180      0.56720
GET       0.190      0.76467
GET       0.200      0.91787
GET       0.210      0.98597
GET       0.220      1.02818
GET       0.230      1.05474
GET       0.240      1.08878
GET       0.250      1.13509
GET       0.260      1.17935
GET       0.270      1.22769
GET       0.280      1.30191
GET       0.290      1.41086
GET       0.300      1.56338
GET       0.310      1.80511
GET       0.320      2.14352
GET       0.330      2.61472
GET       0.340      3.23095
GET       0.350      3.84309
GET       0.360      4.42051
GET       0.370      4.95911
GET       0.380      5.45754
GET       0.390      5.92805
GET       0.400      6.41831
GET       0.410      6.89496
GET       0.420      7.40224
GET       0.430      7.97285
GET       0.440      8.59861
GET       0.450      9.15628
GET       0.460      9.73846
GET       0.470     10.35469
GET       0.480     11.01586
GET       0.490     11.84045
GET       0.500     12.62963
GET       0.510     13.50937
GET       0.520     14.41567
GET       0.530     15.31040
GET       0.540     16.18878
GET       0.550     16.99430
GET       0.560     17.75352
GET       0.570     18.42831
GET       0.580     19.15553
GET       0.590     19.76359
GET       0.600     20.36824
GET       0.610     20.87961
GET       0.620     21.42638
GET       0.630     21.93094
GET       0.640     22.49474
GET       0.650     22.99521
GET       0.660     23.45211
GET       0.670     23.91173
GET       0.680     24.36385
GET       0.690     24.80985
GET       0.700     25.18844
GET       0.710     25.55818
GET       0.720     25.88774
GET       0.730     26.22888
GET       0.740     26.53053
GET       0.750     26.82605
GET       0.760     27.07935
GET       0.770     27.31903
GET       0.780     27.52262
GET       0.790     27.72486
GET       0.800     27.90598
GET       0.810     28.08574
GET       0.820     28.26142
GET       0.830     28.42824
GET       0.840     28.59575
GET       0.850     28.76598
GET       0.860     28.93348
GET       0.870     29.09690
GET       0.880     29.26032
GET       0.890     29.42646
GET       0.900     29.63210
GET       0.910     29.82480
GET       0.920     30.03180
GET       0.930     30.24697
GET       0.940     30.46486
GET       0.950     30.72701
GET       0.960     31.00823
GET       0.970     31.30307
GET       0.980     31.62378
GET       0.990     31.96628
GET       1.000     34.48499
GET       1.100     44.31061
GET       1.200     63.29182
GET       1.300     77.67753
GET       1.400     81.98569
GET       1.500     83.43331
GET       1.600     85.75524
GET       1.700     90.14442
GET       1.800     95.20567
GET       1.900     98.45364
GET       2.000     99.61937
GET       2.100     99.89854
GET       2.200     99.97549
GET       2.300     99.98911
GET       2.400     99.99319
GET       2.500     99.99455
GET       2.600     99.99523
GET       2.700     99.99660
GET       2.800     99.99728
GET       3.000     99.99796
GET       3.100     99.99864
GET       3.300    100.00000
