[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       20598 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       41169 ops,   20568 (avg:   20584) ops/sec, 753.07KB/sec (avg: 743.66KB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 10%,   3 secs]  2 threads:       61753 ops,   20581 (avg:   20583) ops/sec, 785.41KB/sec (avg: 757.57KB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 13%,   4 secs]  2 threads:       82197 ops,   20442 (avg:   20548) ops/sec, 800.25KB/sec (avg: 768.24KB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 17%,   5 secs]  2 threads:      102578 ops,   20379 (avg:   20514) ops/sec, 818.97KB/sec (avg: 778.39KB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 20%,   6 secs]  2 threads:      122952 ops,   20372 (avg:   20490) ops/sec, 830.31KB/sec (avg: 787.04KB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 23%,   7 secs]  2 threads:      143246 ops,   20291 (avg:   20462) ops/sec, 841.77KB/sec (avg: 794.86KB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 27%,   8 secs]  2 threads:      163610 ops,   20362 (avg:   20449) ops/sec, 861.22KB/sec (avg: 803.16KB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 30%,   9 secs]  2 threads:      183952 ops,   20339 (avg:   20437) ops/sec, 885.88KB/sec (avg: 812.35KB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 33%,  10 secs]  2 threads:      204230 ops,   20275 (avg:   20421) ops/sec, 906.84KB/sec (avg: 821.80KB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 37%,  11 secs]  2 threads:      224515 ops,   20282 (avg:   20408) ops/sec, 927.96KB/sec (avg: 831.45KB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 40%,  12 secs]  2 threads:      244773 ops,   20255 (avg:   20396) ops/sec, 935.77KB/sec (avg: 840.14KB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 43%,  13 secs]  2 threads:      265004 ops,   20229 (avg:   20383) ops/sec, 940.75KB/sec (avg: 847.88KB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 47%,  14 secs]  2 threads:      285193 ops,   20186 (avg:   20369) ops/sec, 965.19KB/sec (avg: 856.26KB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 50%,  15 secs]  2 threads:      305438 ops,   20242 (avg:   20360) ops/sec, 970.16KB/sec (avg: 863.85KB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 53%,  16 secs]  2 threads:      325538 ops,   20097 (avg:   20344) ops/sec, 976.81KB/sec (avg: 870.92KB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 57%,  17 secs]  2 threads:      345679 ops,   20139 (avg:   20332) ops/sec, 992.92KB/sec (avg: 878.09KB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 60%,  18 secs]  2 threads:      365841 ops,   20160 (avg:   20322) ops/sec, 1012.67KB/sec (avg: 885.57KB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 63%,  19 secs]  2 threads:      385977 ops,   20133 (avg:   20312) ops/sec, 1017.62KB/sec (avg: 892.52KB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 67%,  20 secs]  2 threads:      406098 ops,   20119 (avg:   20303) ops/sec, 1.01MB/sec (avg: 899.59KB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 70%,  21 secs]  2 threads:      426156 ops,   20055 (avg:   20291) ops/sec, 1.02MB/sec (avg: 906.32KB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 73%,  22 secs]  2 threads:      446253 ops,   20094 (avg:   20282) ops/sec, 1.03MB/sec (avg: 913.11KB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 77%,  23 secs]  2 threads:      466350 ops,   20094 (avg:   20274) ops/sec, 1.04MB/sec (avg: 919.84KB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 80%,  24 secs]  2 threads:      486351 ops,   19999 (avg:   20262) ops/sec, 1.04MB/sec (avg: 925.84KB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 83%,  25 secs]  2 threads:      506113 ops,   19759 (avg:   20242) ops/sec, 1.04MB/sec (avg: 931.50KB/sec),  0.30 (avg:  0.29) msec latency[RUN #1 87%,  26 secs]  2 threads:      525634 ops,   19518 (avg:   20214) ops/sec, 1.04MB/sec (avg: 936.50KB/sec),  0.30 (avg:  0.29) msec latency[RUN #1 90%,  27 secs]  2 threads:      544880 ops,   19244 (avg:   20178) ops/sec, 1.03MB/sec (avg: 940.77KB/sec),  0.31 (avg:  0.29) msec latency[RUN #1 93%,  28 secs]  2 threads:      564149 ops,   19267 (avg:   20146) ops/sec, 1.03MB/sec (avg: 944.98KB/sec),  0.31 (avg:  0.29) msec latency[RUN #1 97%,  29 secs]  2 threads:      583519 ops,   19368 (avg:   20119) ops/sec, 1.05MB/sec (avg: 949.60KB/sec),  0.31 (avg:  0.29) msec latency[RUN #1 100%,  30 secs]  0 threads:      603999 ops,   19368 (avg:   20133) ops/sec, 1.05MB/sec (avg: 956.41KB/sec),  0.31 (avg:  0.29) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1830.40          ---          ---      0.29300       135.65
Gets       18302.87      6583.96     11718.91      0.29200       820.75
Totals     20133.27      6583.96     11718.91      0.29200       956.41


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.083      0.00036
GET       0.085      0.00073
GET       0.086      0.00109
GET       0.087      0.00164
GET       0.088      0.00200
GET       0.089      0.00255
GET       0.090      0.00328
GET       0.091      0.00364
GET       0.092      0.00528
GET       0.093      0.00674
GET       0.094      0.01002
GET       0.095      0.01293
GET       0.096      0.01530
GET       0.097      0.01712
GET       0.098      0.01894
GET       0.099      0.02113
GET       0.100      0.03242
GET       0.110      0.05027
GET       0.120      0.06429
GET       0.130      0.08177
GET       0.140      0.15098
GET       0.150      0.22164
GET       0.160      0.30596
GET       0.170      0.47442
GET       0.180      0.84085
GET       0.190      1.60721
GET       0.200      2.61398
GET       0.210      3.62693
GET       0.220      4.76445
GET       0.230      6.36803
GET       0.240      9.22622
GET       0.250     13.96882
GET       0.260     20.74881
GET       0.270     29.48567
GET       0.280     40.56024
GET       0.290     53.45911
GET       0.300     65.40148
GET       0.310     75.07717
GET       0.320     82.61041
GET       0.330     88.36596
GET       0.340     92.53452
GET       0.350     95.20641
GET       0.360     96.82400
GET       0.370     97.77904
GET       0.380     98.37676
GET       0.390     98.72443
GET       0.400     98.95772
GET       0.410     99.11999
GET       0.420     99.24238
GET       0.430     99.34582
GET       0.440     99.43943
GET       0.450     99.51829
GET       0.460     99.58804
GET       0.470     99.64978
GET       0.480     99.70897
GET       0.490     99.75705
GET       0.500     99.79493
GET       0.510     99.82899
GET       0.520     99.85503
GET       0.530     99.87944
GET       0.540     99.89929
GET       0.550     99.91222
GET       0.560     99.92588
GET       0.570     99.93863
GET       0.580     99.95010
GET       0.590     99.95647
GET       0.600     99.96649
GET       0.610     99.97232
GET       0.620     99.97723
GET       0.630     99.98215
GET       0.640     99.98707
GET       0.650     99.98907
GET       0.660     99.99126
GET       0.670     99.99363
GET       0.680     99.99435
GET       0.690     99.99508
GET       0.700     99.99654
GET       0.710     99.99763
GET       0.720     99.99836
GET       0.730     99.99891
GET       0.740     99.99909
GET       0.760     99.99927
GET       0.780     99.99945
GET       0.790     99.99982
GET       0.850    100.00000
