[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       20645 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       40752 ops,   20104 (avg:   20375) ops/sec, 984.63KB/sec (avg: 963.23KB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 10%,   3 secs]  2 threads:       60831 ops,   20076 (avg:   20276) ops/sec, 1.06MB/sec (avg: 1004.33KB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 13%,   4 secs]  2 threads:       80870 ops,   20035 (avg:   20216) ops/sec, 1.12MB/sec (avg: 1.02MB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 17%,   5 secs]  2 threads:      100942 ops,   20070 (avg:   20186) ops/sec, 1.19MB/sec (avg: 1.05MB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 20%,   6 secs]  2 threads:      120925 ops,   19980 (avg:   20152) ops/sec, 1.23MB/sec (avg: 1.08MB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 23%,   7 secs]  2 threads:      140933 ops,   20005 (avg:   20131) ops/sec, 1.27MB/sec (avg: 1.11MB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 27%,   8 secs]  2 threads:      160902 ops,   19967 (avg:   20111) ops/sec, 1.31MB/sec (avg: 1.13MB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 30%,   9 secs]  2 threads:      180762 ops,   19857 (avg:   20082) ops/sec, 1.41MB/sec (avg: 1.16MB/sec),  0.30 (avg:  0.29) msec latency[RUN #1 33%,  10 secs]  2 threads:      200658 ops,   19894 (avg:   20064) ops/sec, 1.47MB/sec (avg: 1.20MB/sec),  0.30 (avg:  0.29) msec latency[RUN #1 37%,  11 secs]  2 threads:      220528 ops,   19868 (avg:   20046) ops/sec, 1.55MB/sec (avg: 1.23MB/sec),  0.30 (avg:  0.29) msec latency[RUN #1 40%,  12 secs]  2 threads:      240435 ops,   19905 (avg:   20034) ops/sec, 1.56MB/sec (avg: 1.26MB/sec),  0.30 (avg:  0.29) msec latency[RUN #1 43%,  13 secs]  2 threads:      260272 ops,   19834 (avg:   20019) ops/sec, 1.62MB/sec (avg: 1.28MB/sec),  0.30 (avg:  0.29) msec latency[RUN #1 47%,  14 secs]  2 threads:      280087 ops,   19812 (avg:   20004) ops/sec, 1.66MB/sec (avg: 1.31MB/sec),  0.30 (avg:  0.29) msec latency[RUN #1 50%,  15 secs]  2 threads:      299909 ops,   19819 (avg:   19992) ops/sec, 1.71MB/sec (avg: 1.34MB/sec),  0.30 (avg:  0.29) msec latency[RUN #1 53%,  16 secs]  2 threads:      319697 ops,   19785 (avg:   19979) ops/sec, 1.74MB/sec (avg: 1.36MB/sec),  0.30 (avg:  0.29) msec latency[RUN #1 57%,  17 secs]  2 threads:      339451 ops,   19751 (avg:   19965) ops/sec, 1.75MB/sec (avg: 1.39MB/sec),  0.30 (avg:  0.29) msec latency[RUN #1 60%,  18 secs]  2 threads:      359236 ops,   19782 (avg:   19955) ops/sec, 1.82MB/sec (avg: 1.41MB/sec),  0.30 (avg:  0.29) msec latency[RUN #1 63%,  19 secs]  2 threads:      378968 ops,   19730 (avg:   19943) ops/sec, 1.87MB/sec (avg: 1.43MB/sec),  0.30 (avg:  0.30) msec latency[RUN #1 67%,  20 secs]  2 threads:      398678 ops,   19708 (avg:   19932) ops/sec, 1.90MB/sec (avg: 1.46MB/sec),  0.30 (avg:  0.30) msec latency[RUN #1 70%,  21 secs]  2 threads:      418337 ops,   19656 (avg:   19918) ops/sec, 1.95MB/sec (avg: 1.48MB/sec),  0.30 (avg:  0.30) msec latency[RUN #1 73%,  22 secs]  2 threads:      437987 ops,   19648 (avg:   19906) ops/sec, 1.98MB/sec (avg: 1.50MB/sec),  0.30 (avg:  0.30) msec latency[RUN #1 77%,  23 secs]  2 threads:      457649 ops,   19660 (avg:   19895) ops/sec, 2.03MB/sec (avg: 1.53MB/sec),  0.30 (avg:  0.30) msec latency[RUN #1 80%,  24 secs]  2 threads:      477328 ops,   19677 (avg:   19886) ops/sec, 2.03MB/sec (avg: 1.55MB/sec),  0.30 (avg:  0.30) msec latency[RUN #1 83%,  25 secs]  2 threads:      496839 ops,   19509 (avg:   19871) ops/sec, 2.05MB/sec (avg: 1.57MB/sec),  0.30 (avg:  0.30) msec latency[RUN #1 87%,  26 secs]  2 threads:      516181 ops,   19340 (avg:   19851) ops/sec, 2.10MB/sec (avg: 1.59MB/sec),  0.30 (avg:  0.30) msec latency[RUN #1 90%,  27 secs]  2 threads:      535289 ops,   19106 (avg:   19823) ops/sec, 2.04MB/sec (avg: 1.60MB/sec),  0.31 (avg:  0.30) msec latency[RUN #1 93%,  28 secs]  2 threads:      554169 ops,   18877 (avg:   19789) ops/sec, 2.07MB/sec (avg: 1.62MB/sec),  0.31 (avg:  0.30) msec latency[RUN #1 97%,  29 secs]  2 threads:      572965 ops,   18793 (avg:   19755) ops/sec, 2.08MB/sec (avg: 1.64MB/sec),  0.31 (avg:  0.30) msec latency[RUN #1 100%,  30 secs]  0 threads:      591933 ops,   18793 (avg:   19731) ops/sec, 2.08MB/sec (avg: 1.65MB/sec),  0.31 (avg:  0.30) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1793.86          ---          ---      0.30000       302.87
Gets       17937.17      6271.31     11665.86      0.29800      1391.52
Totals     19731.03      6271.31     11665.86      0.29800      1694.39


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.068      0.00019
GET       0.077      0.00037
GET       0.089      0.00056
GET       0.093      0.00074
GET       0.094      0.00130
GET       0.096      0.00149
GET       0.097      0.00186
GET       0.098      0.00204
GET       0.100      0.00279
GET       0.110      0.00465
GET       0.120      0.00725
GET       0.130      0.01431
GET       0.140      0.03103
GET       0.150      0.05649
GET       0.160      0.10425
GET       0.170      0.20981
GET       0.180      0.48818
GET       0.190      1.14994
GET       0.200      2.04231
GET       0.210      2.96887
GET       0.220      3.99281
GET       0.230      5.35664
GET       0.240      7.63124
GET       0.250     11.21503
GET       0.260     16.41204
GET       0.270     23.59951
GET       0.280     33.65198
GET       0.290     46.57723
GET       0.300     58.98271
GET       0.310     69.36596
GET       0.320     77.84645
GET       0.330     84.72674
GET       0.340     90.05346
GET       0.350     93.63373
GET       0.360     95.82544
GET       0.370     97.15861
GET       0.380     97.97758
GET       0.390     98.49810
GET       0.400     98.82349
GET       0.410     99.03645
GET       0.420     99.20333
GET       0.430     99.32208
GET       0.440     99.42708
GET       0.450     99.51182
GET       0.460     99.57537
GET       0.470     99.63428
GET       0.480     99.68966
GET       0.490     99.73760
GET       0.500     99.77997
GET       0.510     99.81454
GET       0.520     99.84037
GET       0.530     99.86639
GET       0.540     99.88701
GET       0.550     99.90448
GET       0.560     99.91749
GET       0.570     99.92901
GET       0.580     99.94053
GET       0.590     99.95224
GET       0.600     99.96042
GET       0.610     99.96618
GET       0.620     99.97287
GET       0.630     99.97807
GET       0.640     99.98067
GET       0.650     99.98346
GET       0.660     99.98551
GET       0.670     99.98736
GET       0.680     99.99034
GET       0.690     99.99182
GET       0.700     99.99294
GET       0.710     99.99443
GET       0.720     99.99517
GET       0.730     99.99573
GET       0.740     99.99628
GET       0.750     99.99721
GET       0.770     99.99740
GET       0.780     99.99758
GET       0.790     99.99814
GET       0.800     99.99851
GET       0.860     99.99870
GET       0.880     99.99889
GET       1.000     99.99907
GET       1.600     99.99926
GET       1.700     99.99963
GET       2.700    100.00000
