[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       17951 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       34635 ops,   16682 (avg:   17317) ops/sec, 1.60MB/sec (avg: 1.57MB/sec),  0.36 (avg:  0.34) msec latency[RUN #1 10%,   3 secs]  2 threads:       50482 ops,   15845 (avg:   16826) ops/sec, 1.71MB/sec (avg: 1.62MB/sec),  0.37 (avg:  0.35) msec latency[RUN #1 13%,   4 secs]  2 threads:       65527 ops,   15043 (avg:   16380) ops/sec, 1.86MB/sec (avg: 1.68MB/sec),  0.39 (avg:  0.36) msec latency[RUN #1 17%,   5 secs]  2 threads:       79847 ops,   14316 (avg:   15967) ops/sec, 1.89MB/sec (avg: 1.72MB/sec),  0.41 (avg:  0.37) msec latency[RUN #1 20%,   6 secs]  2 threads:       93452 ops,   13603 (avg:   15573) ops/sec, 1.95MB/sec (avg: 1.76MB/sec),  0.43 (avg:  0.38) msec latency[RUN #1 23%,   7 secs]  2 threads:      105918 ops,   12464 (avg:   15129) ops/sec, 1.77MB/sec (avg: 1.76MB/sec),  0.47 (avg:  0.39) msec latency[RUN #1 27%,   8 secs]  2 threads:      118379 ops,   12459 (avg:   14795) ops/sec, 1.85MB/sec (avg: 1.77MB/sec),  0.48 (avg:  0.40) msec latency[RUN #1 30%,   9 secs]  2 threads:      130851 ops,   12470 (avg:   14537) ops/sec, 1.96MB/sec (avg: 1.79MB/sec),  0.47 (avg:  0.41) msec latency[RUN #1 33%,  10 secs]  2 threads:      143421 ops,   12568 (avg:   14340) ops/sec, 2.03MB/sec (avg: 1.82MB/sec),  0.47 (avg:  0.41) msec latency[RUN #1 37%,  11 secs]  2 threads:      156013 ops,   12590 (avg:   14181) ops/sec, 2.09MB/sec (avg: 1.84MB/sec),  0.47 (avg:  0.42) msec latency[RUN #1 40%,  12 secs]  2 threads:      168541 ops,   12526 (avg:   14043) ops/sec, 2.29MB/sec (avg: 1.88MB/sec),  0.47 (avg:  0.42) msec latency[RUN #1 43%,  13 secs]  2 threads:      181014 ops,   12471 (avg:   13922) ops/sec, 2.34MB/sec (avg: 1.91MB/sec),  0.47 (avg:  0.43) msec latency[RUN #1 47%,  14 secs]  2 threads:      193491 ops,   12475 (avg:   13819) ops/sec, 2.42MB/sec (avg: 1.95MB/sec),  0.47 (avg:  0.43) msec latency[RUN #1 50%,  15 secs]  2 threads:      205871 ops,   12378 (avg:   13723) ops/sec, 2.59MB/sec (avg: 1.99MB/sec),  0.48 (avg:  0.43) msec latency[RUN #1 53%,  16 secs]  2 threads:      218347 ops,   12474 (avg:   13645) ops/sec, 2.67MB/sec (avg: 2.04MB/sec),  0.47 (avg:  0.43) msec latency[RUN #1 57%,  17 secs]  2 threads:      230652 ops,   12303 (avg:   13566) ops/sec, 2.65MB/sec (avg: 2.07MB/sec),  0.48 (avg:  0.44) msec latency[RUN #1 60%,  18 secs]  2 threads:      242986 ops,   12332 (avg:   13497) ops/sec, 2.76MB/sec (avg: 2.11MB/sec),  0.48 (avg:  0.44) msec latency[RUN #1 63%,  19 secs]  2 threads:      255325 ops,   12335 (avg:   13436) ops/sec, 2.82MB/sec (avg: 2.15MB/sec),  0.48 (avg:  0.44) msec latency[RUN #1 67%,  20 secs]  2 threads:      267768 ops,   12441 (avg:   13387) ops/sec, 2.84MB/sec (avg: 2.18MB/sec),  0.48 (avg:  0.44) msec latency[RUN #1 70%,  21 secs]  2 threads:      280215 ops,   12445 (avg:   13342) ops/sec, 2.97MB/sec (avg: 2.22MB/sec),  0.48 (avg:  0.44) msec latency[RUN #1 73%,  22 secs]  2 threads:      292795 ops,   12578 (avg:   13307) ops/sec, 3.10MB/sec (avg: 2.26MB/sec),  0.47 (avg:  0.44) msec latency[RUN #1 77%,  23 secs]  2 threads:      305414 ops,   12617 (avg:   13277) ops/sec, 3.14MB/sec (avg: 2.30MB/sec),  0.47 (avg:  0.45) msec latency[RUN #1 80%,  24 secs]  2 threads:      318069 ops,   12653 (avg:   13251) ops/sec, 3.17MB/sec (avg: 2.33MB/sec),  0.47 (avg:  0.45) msec latency[RUN #1 83%,  25 secs]  2 threads:      330729 ops,   12658 (avg:   13227) ops/sec, 3.24MB/sec (avg: 2.37MB/sec),  0.47 (avg:  0.45) msec latency[RUN #1 87%,  26 secs]  2 threads:      342813 ops,   12082 (avg:   13183) ops/sec, 3.20MB/sec (avg: 2.40MB/sec),  0.49 (avg:  0.45) msec latency[RUN #1 90%,  27 secs]  2 threads:      354744 ops,   11929 (avg:   13137) ops/sec, 3.24MB/sec (avg: 2.43MB/sec),  0.50 (avg:  0.45) msec latency[RUN #1 93%,  28 secs]  2 threads:      366440 ops,   11695 (avg:   13085) ops/sec, 3.23MB/sec (avg: 2.46MB/sec),  0.51 (avg:  0.45) msec latency[RUN #1 97%,  29 secs]  2 threads:      378302 ops,   11860 (avg:   13043) ops/sec, 3.33MB/sec (avg: 2.49MB/sec),  0.50 (avg:  0.45) msec latency[RUN #1 100%,  30 secs]  0 threads:      389441 ops,   11860 (avg:   12981) ops/sec, 3.33MB/sec (avg: 2.51MB/sec),  0.50 (avg:  0.46) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1180.22          ---          ---      0.46700       641.85
Gets       11801.03      3081.84      8719.19      0.45400      1932.52
Totals     12981.25      3081.84      8719.19      0.45600      2574.36


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.170      0.00056
GET       0.180      0.00367
GET       0.190      0.01073
GET       0.200      0.03587
GET       0.210      0.08784
GET       0.220      0.22342
GET       0.230      0.48696
GET       0.240      0.95273
GET       0.250      1.59476
GET       0.260      2.31531
GET       0.270      3.14603
GET       0.280      4.21315
GET       0.290      5.58026
GET       0.300      6.96995
GET       0.310      8.37914
GET       0.320      9.93859
GET       0.330     11.79265
GET       0.340     14.01108
GET       0.350     16.45407
GET       0.360     19.03377
GET       0.370     21.65809
GET       0.380     24.39907
GET       0.390     27.31602
GET       0.400     30.29116
GET       0.410     33.24765
GET       0.420     36.49988
GET       0.430     40.06028
GET       0.440     43.91612
GET       0.450     47.87280
GET       0.460     51.85575
GET       0.470     55.96638
GET       0.480     60.28941
GET       0.490     64.72740
GET       0.500     69.09647
GET       0.510     73.31160
GET       0.520     77.22535
GET       0.530     80.87754
GET       0.540     84.18316
GET       0.550     87.10406
GET       0.560     89.51372
GET       0.570     91.50534
GET       0.580     93.07129
GET       0.590     94.36269
GET       0.600     95.37982
GET       0.610     96.16139
GET       0.620     96.78336
GET       0.630     97.28840
GET       0.640     97.69881
GET       0.650     98.02985
GET       0.660     98.31090
GET       0.670     98.54703
GET       0.680     98.74730
GET       0.690     98.92073
GET       0.700     99.07467
GET       0.710     99.20912
GET       0.720     99.33170
GET       0.730     99.42943
GET       0.740     99.50796
GET       0.750     99.58620
GET       0.760     99.64156
GET       0.770     99.68421
GET       0.780     99.72347
GET       0.790     99.75200
GET       0.800     99.77855
GET       0.810     99.79889
GET       0.820     99.81951
GET       0.830     99.83674
GET       0.840     99.85030
GET       0.850     99.86527
GET       0.860     99.87798
GET       0.870     99.88702
GET       0.880     99.89719
GET       0.890     99.90453
GET       0.900     99.90990
GET       0.910     99.91357
GET       0.920     99.92091
GET       0.930     99.92402
GET       0.940     99.92684
GET       0.950     99.93080
GET       0.960     99.93390
GET       0.970     99.93673
GET       0.980     99.93871
GET       0.990     99.94210
GET       1.000     99.95311
GET       1.100     99.96752
GET       1.200     99.97345
GET       1.300     99.97684
GET       1.400     99.98221
GET       1.500     99.98446
GET       1.600     99.98644
GET       1.700     99.98672
GET       1.800     99.98701
GET       1.900     99.98729
GET       2.000     99.98757
GET       2.100     99.98870
GET       3.300     99.98898
GET       3.400     99.98927
GET       3.900     99.99011
GET       4.200     99.99068
GET       4.300     99.99124
GET       4.400     99.99237
GET       4.500     99.99407
GET       4.600     99.99492
GET       4.700     99.99520
GET       4.800     99.99633
GET       5.400     99.99661
GET       5.500     99.99689
GET       5.900     99.99718
GET       6.000     99.99746
GET       6.100     99.99859
GET       6.200     99.99915
GET       6.300    100.00000
