[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   1 secs]  2 threads:       78368 ops,   78366 (avg:   78366) ops/sec, 4.42MB/sec (avg: 4.42MB/sec),  0.39 (avg:  0.39) msec latency[RUN #1 7%,   2 secs]  2 threads:      156048 ops,   77670 (avg:   78018) ops/sec, 4.40MB/sec (avg: 4.41MB/sec),  0.39 (avg:  0.39) msec latency[RUN #1 10%,   3 secs]  2 threads:      231808 ops,   75752 (avg:   77263) ops/sec, 4.28MB/sec (avg: 4.37MB/sec),  0.40 (avg:  0.39) msec latency[RUN #1 13%,   4 secs]  2 threads:      305664 ops,   73847 (avg:   76409) ops/sec, 4.35MB/sec (avg: 4.36MB/sec),  0.41 (avg:  0.40) msec latency[RUN #1 17%,   5 secs]  2 threads:      380640 ops,   74968 (avg:   76121) ops/sec, 4.61MB/sec (avg: 4.41MB/sec),  0.41 (avg:  0.40) msec latency[RUN #1 20%,   6 secs]  2 threads:      457184 ops,   76536 (avg:   76190) ops/sec, 4.87MB/sec (avg: 4.49MB/sec),  0.40 (avg:  0.40) msec latency[RUN #1 23%,   7 secs]  2 threads:      534336 ops,   77144 (avg:   76326) ops/sec, 5.02MB/sec (avg: 4.56MB/sec),  0.40 (avg:  0.40) msec latency[RUN #1 27%,   8 secs]  2 threads:      610448 ops,   76104 (avg:   76299) ops/sec, 5.01MB/sec (avg: 4.62MB/sec),  0.40 (avg:  0.40) msec latency[RUN #1 30%,   9 secs]  2 threads:      687600 ops,   77144 (avg:   76393) ops/sec, 5.13MB/sec (avg: 4.68MB/sec),  0.40 (avg:  0.40) msec latency[RUN #1 33%,  10 secs]  2 threads:      764880 ops,   77270 (avg:   76480) ops/sec, 5.17MB/sec (avg: 4.73MB/sec),  0.39 (avg:  0.40) msec latency[RUN #1 37%,  11 secs]  2 threads:      845616 ops,   80725 (avg:   76866) ops/sec, 5.44MB/sec (avg: 4.79MB/sec),  0.38 (avg:  0.40) msec latency[RUN #1 40%,  12 secs]  2 threads:      920496 ops,   74871 (avg:   76700) ops/sec, 5.06MB/sec (avg: 4.81MB/sec),  0.41 (avg:  0.40) msec latency[RUN #1 43%,  13 secs]  2 threads:     1001696 ops,   81189 (avg:   77045) ops/sec, 5.50MB/sec (avg: 4.87MB/sec),  0.37 (avg:  0.40) msec latency[RUN #1 47%,  14 secs]  2 threads:     1077248 ops,   75543 (avg:   76938) ops/sec, 5.12MB/sec (avg: 4.88MB/sec),  0.40 (avg:  0.40) msec latency[RUN #1 50%,  15 secs]  2 threads:     1154496 ops,   77239 (avg:   76958) ops/sec, 5.24MB/sec (avg: 4.91MB/sec),  0.39 (avg:  0.40) msec latency[RUN #1 53%,  16 secs]  2 threads:     1231040 ops,   76535 (avg:   76932) ops/sec, 5.20MB/sec (avg: 4.93MB/sec),  0.40 (avg:  0.40) msec latency[RUN #1 57%,  17 secs]  2 threads:     1307792 ops,   76742 (avg:   76920) ops/sec, 5.21MB/sec (avg: 4.94MB/sec),  0.40 (avg:  0.40) msec latency[RUN #1 60%,  18 secs]  2 threads:     1383920 ops,   76118 (avg:   76876) ops/sec, 5.17MB/sec (avg: 4.96MB/sec),  0.40 (avg:  0.40) msec latency[RUN #1 63%,  19 secs]  2 threads:     1460096 ops,   76167 (avg:   76838) ops/sec, 5.18MB/sec (avg: 4.97MB/sec),  0.40 (avg:  0.40) msec latency[RUN #1 67%,  20 secs]  2 threads:     1541648 ops,   81541 (avg:   77074) ops/sec, 5.55MB/sec (avg: 5.00MB/sec),  0.37 (avg:  0.40) msec latency[RUN #1 70%,  21 secs]  2 threads:     1617232 ops,   75572 (avg:   77002) ops/sec, 5.14MB/sec (avg: 5.00MB/sec),  0.40 (avg:  0.40) msec latency[RUN #1 73%,  22 secs]  2 threads:     1693824 ops,   76582 (avg:   76983) ops/sec, 5.21MB/sec (avg: 5.01MB/sec),  0.40 (avg:  0.40) msec latency[RUN #1 77%,  23 secs]  2 threads:     1772064 ops,   78229 (avg:   77037) ops/sec, 5.32MB/sec (avg: 5.03MB/sec),  0.39 (avg:  0.40) msec latency[RUN #1 80%,  24 secs]  2 threads:     1846384 ops,   74310 (avg:   76924) ops/sec, 5.06MB/sec (avg: 5.03MB/sec),  0.41 (avg:  0.40) msec latency[RUN #1 83%,  25 secs]  2 threads:     1920240 ops,   73847 (avg:   76800) ops/sec, 5.03MB/sec (avg: 5.03MB/sec),  0.41 (avg:  0.40) msec latency[RUN #1 87%,  26 secs]  2 threads:     1999056 ops,   78805 (avg:   76878) ops/sec, 5.36MB/sec (avg: 5.04MB/sec),  0.39 (avg:  0.40) msec latency[RUN #1 90%,  27 secs]  2 threads:     2076208 ops,   77143 (avg:   76887) ops/sec, 5.25MB/sec (avg: 5.05MB/sec),  0.40 (avg:  0.40) msec latency[RUN #1 93%,  28 secs]  2 threads:     2155568 ops,   79350 (avg:   76975) ops/sec, 5.40MB/sec (avg: 5.06MB/sec),  0.38 (avg:  0.40) msec latency[RUN #1 97%,  29 secs]  2 threads:     2231440 ops,   75862 (avg:   76937) ops/sec, 5.16MB/sec (avg: 5.06MB/sec),  0.40 (avg:  0.40) msec latency[RUN #1 100%,  30 secs]  0 threads:     2308768 ops,   75862 (avg:   76958) ops/sec, 5.16MB/sec (avg: 5.07MB/sec),  0.40 (avg:  0.40) msec latency

2         Threads
1         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        6996.27          ---          ---      0.39600       518.63
Gets       69962.36     65483.18      4479.18      0.39600      4674.08
Totals     76958.64     65483.18      4479.18      0.39600      5192.71


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.120      0.00962
GET       0.130      0.15756
GET       0.140      0.59870
GET       0.150      1.07696
GET       0.160      1.60309
GET       0.170      2.26611
GET       0.180      3.28051
GET       0.190      4.27685
GET       0.200      5.30607
GET       0.210      6.48846
GET       0.220      7.71145
GET       0.230      9.01843
GET       0.240     10.55106
GET       0.250     12.18045
GET       0.260     13.62589
GET       0.270     14.72924
GET       0.280     15.68375
GET       0.290     19.88066
GET       0.300     23.59331
GET       0.310     30.23052
GET       0.320     33.26719
GET       0.330     35.83113
GET       0.340     38.40950
GET       0.350     40.79535
GET       0.360     43.38392
GET       0.370     46.30524
GET       0.380     49.55236
GET       0.390     53.10816
GET       0.400     56.41130
GET       0.410     59.34563
GET       0.420     61.95536
GET       0.430     64.13524
GET       0.440     66.11620
GET       0.450     67.98829
GET       0.460     69.83871
GET       0.470     71.75692
GET       0.480     73.76461
GET       0.490     75.79017
GET       0.500     77.78004
GET       0.510     79.75324
GET       0.520     81.79800
GET       0.530     83.75466
GET       0.540     85.79547
GET       0.550     87.68176
GET       0.560     89.50973
GET       0.570     91.21741
GET       0.580     92.74818
GET       0.590     94.06874
GET       0.600     95.23007
GET       0.610     96.12369
GET       0.620     96.90925
GET       0.630     97.52049
GET       0.640     98.07321
GET       0.650     98.54122
GET       0.660     98.86544
GET       0.670     99.12772
GET       0.680     99.32221
GET       0.690     99.45909
GET       0.700     99.57006
GET       0.710     99.65701
GET       0.720     99.71604
GET       0.730     99.76802
GET       0.740     99.80814
GET       0.750     99.83787
GET       0.760     99.85959
GET       0.770     99.88408
GET       0.780     99.90166
GET       0.790     99.91610
GET       0.800     99.92853
GET       0.810     99.94330
GET       0.820     99.95188
GET       0.830     99.96150
GET       0.840     99.96841
GET       0.850     99.97346
GET       0.860     99.97713
GET       0.870     99.97918
GET       0.880     99.98323
GET       0.890     99.98466
GET       0.900     99.98604
GET       0.910     99.98895
GET       0.920     99.99028
GET       0.930     99.99181
GET       0.940     99.99457
GET       0.950     99.99647
GET       0.980     99.99657
GET       0.990     99.99929
GET       1.100    100.00000
