[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       15985 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:       31877 ops,   15890 (avg:   15938) ops/sec, 575.62KB/sec (avg: 572.59KB/sec),  0.75 (avg:  0.75) msec latency[RUN #1 10%,   3 secs]  2 threads:       44538 ops,   12659 (avg:   14845) ops/sec, 457.98KB/sec (avg: 534.38KB/sec),  0.94 (avg:  0.80) msec latency[RUN #1 13%,   4 secs]  2 threads:       59208 ops,   14668 (avg:   14801) ops/sec, 548.77KB/sec (avg: 537.98KB/sec),  0.81 (avg:  0.81) msec latency[RUN #1 17%,   5 secs]  2 threads:       71812 ops,   12602 (avg:   14361) ops/sec, 474.15KB/sec (avg: 525.21KB/sec),  0.95 (avg:  0.83) msec latency[RUN #1 20%,   6 secs]  2 threads:       86266 ops,   14452 (avg:   14376) ops/sec, 546.55KB/sec (avg: 528.77KB/sec),  0.83 (avg:  0.83) msec latency[RUN #1 23%,   7 secs]  2 threads:       98559 ops,   12291 (avg:   14078) ops/sec, 465.59KB/sec (avg: 519.74KB/sec),  0.97 (avg:  0.85) msec latency[RUN #1 27%,   8 secs]  2 threads:      110991 ops,   12430 (avg:   13872) ops/sec, 479.01KB/sec (avg: 514.65KB/sec),  0.96 (avg:  0.86) msec latency[RUN #1 30%,   9 secs]  2 threads:      123965 ops,   12972 (avg:   13772) ops/sec, 506.66KB/sec (avg: 513.76KB/sec),  0.92 (avg:  0.87) msec latency[RUN #1 33%,  10 secs]  2 threads:      136492 ops,   12525 (avg:   13648) ops/sec, 500.23KB/sec (avg: 512.41KB/sec),  0.95 (avg:  0.88) msec latency[RUN #1 37%,  11 secs]  2 threads:      149391 ops,   12897 (avg:   13579) ops/sec, 525.50KB/sec (avg: 513.60KB/sec),  0.93 (avg:  0.88) msec latency[RUN #1 40%,  12 secs]  2 threads:      162998 ops,   13605 (avg:   13582) ops/sec, 550.03KB/sec (avg: 516.64KB/sec),  0.88 (avg:  0.88) msec latency[RUN #1 43%,  13 secs]  2 threads:      179387 ops,   16387 (avg:   13797) ops/sec, 668.74KB/sec (avg: 528.34KB/sec),  0.73 (avg:  0.87) msec latency[RUN #1 47%,  14 secs]  2 threads:      197484 ops,   18095 (avg:   14104) ops/sec, 743.52KB/sec (avg: 543.71KB/sec),  0.66 (avg:  0.85) msec latency[RUN #1 50%,  15 secs]  2 threads:      214431 ops,   16945 (avg:   14294) ops/sec, 705.44KB/sec (avg: 554.49KB/sec),  0.70 (avg:  0.84) msec latency[RUN #1 53%,  16 secs]  2 threads:      231108 ops,   16675 (avg:   14442) ops/sec, 694.78KB/sec (avg: 563.26KB/sec),  0.72 (avg:  0.83) msec latency[RUN #1 57%,  17 secs]  2 threads:      247956 ops,   16846 (avg:   14584) ops/sec, 717.87KB/sec (avg: 572.35KB/sec),  0.71 (avg:  0.82) msec latency[RUN #1 60%,  18 secs]  2 threads:      265879 ops,   17921 (avg:   14769) ops/sec, 766.19KB/sec (avg: 583.12KB/sec),  0.67 (avg:  0.81) msec latency[RUN #1 63%,  19 secs]  2 threads:      282678 ops,   16797 (avg:   14876) ops/sec, 720.24KB/sec (avg: 590.34KB/sec),  0.71 (avg:  0.80) msec latency[RUN #1 67%,  20 secs]  2 threads:      300262 ops,   17582 (avg:   15011) ops/sec, 761.92KB/sec (avg: 598.92KB/sec),  0.68 (avg:  0.80) msec latency[RUN #1 70%,  21 secs]  2 threads:      318440 ops,   18176 (avg:   15162) ops/sec, 797.43KB/sec (avg: 608.37KB/sec),  0.66 (avg:  0.79) msec latency[RUN #1 73%,  22 secs]  2 threads:      337711 ops,   19269 (avg:   15349) ops/sec, 840.64KB/sec (avg: 618.93KB/sec),  0.62 (avg:  0.78) msec latency[RUN #1 77%,  23 secs]  2 threads:      356282 ops,   18569 (avg:   15489) ops/sec, 822.55KB/sec (avg: 627.78KB/sec),  0.64 (avg:  0.77) msec latency[RUN #1 80%,  24 secs]  2 threads:      375685 ops,   19401 (avg:   15652) ops/sec, 867.59KB/sec (avg: 637.77KB/sec),  0.61 (avg:  0.76) msec latency[RUN #1 83%,  25 secs]  2 threads:      394143 ops,   18456 (avg:   15764) ops/sec, 837.55KB/sec (avg: 645.76KB/sec),  0.65 (avg:  0.76) msec latency[RUN #1 87%,  26 secs]  2 threads:      413028 ops,   18883 (avg:   15884) ops/sec, 860.50KB/sec (avg: 654.02KB/sec),  0.63 (avg:  0.75) msec latency[RUN #1 90%,  27 secs]  2 threads:      428447 ops,   15417 (avg:   15866) ops/sec, 712.73KB/sec (avg: 656.20KB/sec),  0.77 (avg:  0.75) msec latency[RUN #1 93%,  28 secs]  2 threads:      445269 ops,   16820 (avg:   15900) ops/sec, 774.43KB/sec (avg: 660.42KB/sec),  0.71 (avg:  0.75) msec latency[RUN #1 97%,  29 secs]  2 threads:      460500 ops,   15229 (avg:   15877) ops/sec, 705.49KB/sec (avg: 661.97KB/sec),  0.78 (avg:  0.75) msec latency[RUN #1 100%,  30 secs]  0 threads:      477349 ops,   15229 (avg:   15911) ops/sec, 705.49KB/sec (avg: 666.13KB/sec),  0.78 (avg:  0.75) msec latency

2         Threads
6         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1446.70          ---          ---      0.75100       107.24
Gets       14464.89      2840.52     11624.37      0.75000       558.89
Totals     15911.59      2840.52     11624.37      0.75000       666.13


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.170      0.00023
GET       0.180      0.00115
GET       0.190      0.00392
GET       0.200      0.00576
GET       0.210      0.00714
GET       0.220      0.00876
GET       0.230      0.01221
GET       0.240      0.01383
GET       0.250      0.01659
GET       0.260      0.02235
GET       0.270      0.03295
GET       0.280      0.05162
GET       0.290      0.08273
GET       0.300      0.12006
GET       0.310      0.14103
GET       0.320      0.15716
GET       0.330      0.16569
GET       0.340      0.17053
GET       0.350      0.17468
GET       0.360      0.18136
GET       0.370      0.19219
GET       0.380      0.21132
GET       0.390      0.24726
GET       0.400      0.30142
GET       0.410      0.34082
GET       0.420      0.36802
GET       0.430      0.39037
GET       0.440      0.40397
GET       0.450      0.41572
GET       0.460      0.42747
GET       0.470      0.43669
GET       0.480      0.44844
GET       0.490      0.46158
GET       0.500      0.48324
GET       0.510      0.51688
GET       0.520      0.58118
GET       0.530      0.71852
GET       0.540      0.99712
GET       0.550      1.61217
GET       0.560      2.89228
GET       0.570      5.20362
GET       0.580      8.91581
GET       0.590     13.68689
GET       0.600     18.26140
GET       0.610     22.18768
GET       0.620     26.18885
GET       0.630     31.36228
GET       0.640     38.04995
GET       0.650     45.21602
GET       0.660     51.55157
GET       0.670     55.94518
GET       0.680     58.54711
GET       0.690     59.93276
GET       0.700     60.62178
GET       0.710     60.98127
GET       0.720     61.17784
GET       0.730     61.28730
GET       0.740     61.36196
GET       0.750     61.41473
GET       0.760     61.46750
GET       0.770     61.52765
GET       0.780     61.60254
GET       0.790     61.69403
GET       0.800     61.82008
GET       0.810     62.02771
GET       0.820     62.33327
GET       0.830     62.79508
GET       0.840     63.45069
GET       0.850     64.35379
GET       0.860     65.53712
GET       0.870     67.03038
GET       0.880     68.78612
GET       0.890     70.70133
GET       0.900     72.72853
GET       0.910     74.78938
GET       0.920     76.83824
GET       0.930     78.79999
GET       0.940     80.71151
GET       0.950     82.58985
GET       0.960     84.41334
GET       0.970     86.29121
GET       0.980     88.16840
GET       0.990     90.08038
GET       1.000     97.95805
GET       1.100     99.81910
GET       1.200     99.98318
GET       1.300    100.00000
