[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       13925 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       30997 ops,   17069 (avg:   15498) ops/sec, 616.59KB/sec (avg: 556.04KB/sec),  0.70 (avg:  0.77) msec latency[RUN #1 10%,   3 secs]  2 threads:       47668 ops,   16669 (avg:   15888) ops/sec, 601.63KB/sec (avg: 571.24KB/sec),  0.72 (avg:  0.75) msec latency[RUN #1 13%,   4 secs]  2 threads:       61571 ops,   13901 (avg:   15391) ops/sec, 521.55KB/sec (avg: 558.82KB/sec),  0.86 (avg:  0.78) msec latency[RUN #1 17%,   5 secs]  2 threads:       75300 ops,   13727 (avg:   15059) ops/sec, 515.04KB/sec (avg: 550.06KB/sec),  0.87 (avg:  0.79) msec latency[RUN #1 20%,   6 secs]  2 threads:       88963 ops,   13661 (avg:   14826) ops/sec, 519.12KB/sec (avg: 544.90KB/sec),  0.87 (avg:  0.81) msec latency[RUN #1 23%,   7 secs]  2 threads:      104440 ops,   15475 (avg:   14918) ops/sec, 588.54KB/sec (avg: 551.14KB/sec),  0.77 (avg:  0.80) msec latency[RUN #1 27%,   8 secs]  2 threads:      121701 ops,   17259 (avg:   15211) ops/sec, 670.75KB/sec (avg: 566.09KB/sec),  0.69 (avg:  0.78) msec latency[RUN #1 30%,   9 secs]  2 threads:      139100 ops,   17396 (avg:   15454) ops/sec, 691.63KB/sec (avg: 580.04KB/sec),  0.69 (avg:  0.77) msec latency[RUN #1 33%,  10 secs]  2 threads:      156050 ops,   16948 (avg:   15603) ops/sec, 684.05KB/sec (avg: 590.44KB/sec),  0.70 (avg:  0.77) msec latency[RUN #1 37%,  11 secs]  2 threads:      171624 ops,   15572 (avg:   15600) ops/sec, 625.59KB/sec (avg: 593.64KB/sec),  0.77 (avg:  0.77) msec latency[RUN #1 40%,  12 secs]  2 threads:      185010 ops,   13384 (avg:   15416) ops/sec, 543.32KB/sec (avg: 589.44KB/sec),  0.89 (avg:  0.77) msec latency[RUN #1 43%,  13 secs]  2 threads:      202179 ops,   17167 (avg:   15550) ops/sec, 704.75KB/sec (avg: 598.31KB/sec),  0.70 (avg:  0.77) msec latency[RUN #1 47%,  14 secs]  2 threads:      221374 ops,   19192 (avg:   15811) ops/sec, 796.57KB/sec (avg: 612.47KB/sec),  0.62 (avg:  0.76) msec latency[RUN #1 50%,  15 secs]  2 threads:      239835 ops,   18459 (avg:   15987) ops/sec, 776.62KB/sec (avg: 623.42KB/sec),  0.65 (avg:  0.75) msec latency[RUN #1 53%,  16 secs]  2 threads:      259598 ops,   19760 (avg:   16223) ops/sec, 843.59KB/sec (avg: 637.18KB/sec),  0.60 (avg:  0.74) msec latency[RUN #1 57%,  17 secs]  2 threads:      275972 ops,   16372 (avg:   16232) ops/sec, 698.59KB/sec (avg: 640.79KB/sec),  0.73 (avg:  0.74) msec latency[RUN #1 60%,  18 secs]  2 threads:      292570 ops,   16596 (avg:   16252) ops/sec, 717.61KB/sec (avg: 645.06KB/sec),  0.72 (avg:  0.73) msec latency[RUN #1 63%,  19 secs]  2 threads:      311401 ops,   18828 (avg:   16387) ops/sec, 821.66KB/sec (avg: 654.35KB/sec),  0.63 (avg:  0.73) msec latency[RUN #1 67%,  20 secs]  2 threads:      330679 ops,   19276 (avg:   16532) ops/sec, 847.00KB/sec (avg: 663.99KB/sec),  0.62 (avg:  0.72) msec latency[RUN #1 70%,  21 secs]  2 threads:      350299 ops,   19618 (avg:   16679) ops/sec, 865.13KB/sec (avg: 673.57KB/sec),  0.61 (avg:  0.72) msec latency[RUN #1 73%,  22 secs]  2 threads:      366712 ops,   16410 (avg:   16667) ops/sec, 733.74KB/sec (avg: 676.30KB/sec),  0.73 (avg:  0.72) msec latency[RUN #1 77%,  23 secs]  2 threads:      383507 ops,   16793 (avg:   16672) ops/sec, 758.00KB/sec (avg: 679.85KB/sec),  0.71 (avg:  0.72) msec latency[RUN #1 80%,  24 secs]  2 threads:      402317 ops,   18807 (avg:   16761) ops/sec, 854.62KB/sec (avg: 687.13KB/sec),  0.63 (avg:  0.71) msec latency[RUN #1 83%,  25 secs]  2 threads:      420519 ops,   18200 (avg:   16819) ops/sec, 837.86KB/sec (avg: 693.16KB/sec),  0.66 (avg:  0.71) msec latency[RUN #1 87%,  26 secs]  2 threads:      436796 ops,   16275 (avg:   16798) ops/sec, 746.80KB/sec (avg: 695.23KB/sec),  0.73 (avg:  0.71) msec latency[RUN #1 90%,  27 secs]  2 threads:      456628 ops,   19830 (avg:   16910) ops/sec, 921.50KB/sec (avg: 703.61KB/sec),  0.60 (avg:  0.71) msec latency[RUN #1 93%,  28 secs]  2 threads:      475922 ops,   19291 (avg:   16995) ops/sec, 898.61KB/sec (avg: 710.57KB/sec),  0.62 (avg:  0.70) msec latency[RUN #1 97%,  29 secs]  2 threads:      494751 ops,   18826 (avg:   17058) ops/sec, 885.25KB/sec (avg: 716.60KB/sec),  0.63 (avg:  0.70) msec latency[RUN #1 100%,  30 secs]  0 threads:      512506 ops,   18826 (avg:   17083) ops/sec, 885.25KB/sec (avg: 720.74KB/sec),  0.63 (avg:  0.70) msec latency

2         Threads
6         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1553.23          ---          ---      0.69900       115.13
Gets       15530.27      3195.53     12334.74      0.69800       605.61
Totals     17083.50      3195.53     12334.74      0.69800       720.74


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.079      0.00021
GET       0.089      0.00043
GET       0.092      0.00064
GET       0.093      0.00086
GET       0.094      0.00107
GET       0.095      0.00129
GET       0.096      0.00150
GET       0.097      0.00172
GET       0.098      0.00193
GET       0.099      0.00215
GET       0.100      0.00601
GET       0.110      0.01481
GET       0.120      0.02232
GET       0.130      0.03198
GET       0.140      0.05387
GET       0.150      0.07405
GET       0.160      0.09165
GET       0.170      0.10646
GET       0.180      0.12105
GET       0.190      0.14187
GET       0.200      0.16119
GET       0.210      0.17300
GET       0.220      0.17986
GET       0.230      0.18587
GET       0.240      0.19060
GET       0.250      0.19403
GET       0.260      0.19725
GET       0.270      0.20025
GET       0.280      0.20326
GET       0.290      0.20583
GET       0.300      0.21013
GET       0.310      0.21442
GET       0.320      0.21764
GET       0.330      0.21979
GET       0.340      0.22386
GET       0.350      0.22601
GET       0.360      0.22751
GET       0.370      0.22880
GET       0.380      0.22901
GET       0.390      0.23030
GET       0.400      0.23138
GET       0.410      0.23374
GET       0.420      0.23460
GET       0.430      0.23674
GET       0.440      0.23910
GET       0.450      0.23932
GET       0.460      0.24039
GET       0.470      0.24468
GET       0.480      0.24833
GET       0.490      0.25992
GET       0.500      0.28203
GET       0.510      0.32796
GET       0.520      0.40952
GET       0.530      0.58810
GET       0.540      0.97809
GET       0.550      1.88406
GET       0.560      3.97138
GET       0.570      8.42675
GET       0.580     16.91382
GET       0.590     29.14539
GET       0.600     42.00134
GET       0.610     52.08592
GET       0.620     58.34830
GET       0.630     61.72600
GET       0.640     63.35271
GET       0.650     64.10179
GET       0.660     64.47954
GET       0.670     64.68473
GET       0.680     64.81459
GET       0.690     64.90237
GET       0.700     64.95432
GET       0.710     64.99273
GET       0.720     65.01699
GET       0.730     65.03652
GET       0.740     65.06013
GET       0.750     65.09447
GET       0.760     65.14169
GET       0.770     65.21209
GET       0.780     65.32606
GET       0.790     65.49412
GET       0.800     65.74589
GET       0.810     66.15412
GET       0.820     66.82743
GET       0.830     67.87677
GET       0.840     69.51121
GET       0.850     71.75715
GET       0.860     74.64677
GET       0.870     78.05923
GET       0.880     81.75674
GET       0.890     85.51670
GET       0.900     88.95965
GET       0.910     91.89971
GET       0.920     94.30597
GET       0.930     96.10525
GET       0.940     97.41065
GET       0.950     98.23099
GET       0.960     98.76650
GET       0.970     99.12579
GET       0.980     99.34773
GET       0.990     99.49475
GET       1.000     99.78987
GET       1.100     99.98862
GET       1.200     99.99979
GET       1.300    100.00000
