ops/s, hits/s, miss/s, latency, KB/s,99% latency,usr, nice, sys, iowait, irq, soft, steal, guest, idle
13879.77, 7099.46142857, 5518.48571429, 0.139285714286, 757.12,0.33,0.0, 0.03, 10.75, 0.0, 83.85, 3.19, 0.0, 2.19, 0.0
17016.4571429, 6490.74285714, 8978.71, 0.230571428571, 843.935714286,0.295714285714,0.0, 0.01, 11.28, 0.0, 83.54, 2.96, 0.0, 2.21, 0.0
17134.6214286, 5451.41857143, 10125.4257143, 0.346285714286, 808.482857143,0.457142857143,0.0, 0.06, 12.26, 0.0, 83.3, 2.94, 0.0, 1.44, 0.0
17215.4542857, 4503.87285714, 11146.4157143, 0.461285714286, 775.217142857,0.628571428571,0.0, 0.03, 12.09, 0.0, 83.05, 3.05, 0.0, 1.77, 0.0
17314.8471429, 3675.51, 12065.0757143, 0.574714285714, 747.142857143,0.787142857143,0.0, 0.04, 12.03, 0.0, 83.28, 2.96, 0.0, 1.7, 0.0
17617.7757143, 3167.94571429, 12848.0257143, 0.679, 738.424285714,0.938571428571,0.0, 0.01, 12.35, 0.0, 83.22, 3.18, 0.0, 1.25, 0.0
16738.6371429, 2652.18142857, 12564.5285714, 0.818857142857, 687.958571429,1.12857142857,0.0, 0.02, 11.94, 0.0, 83.3, 3.23, 0.0, 1.52, 0.0
16965.1314286, 2324.21142857, 13098.4057143, 0.948142857143, 683.411428571,1.37142857143,0.0, 0.03, 11.61, 0.0, 83.44, 2.92, 0.0, 2.0, 0.0
17023.7028571, 1992.41571429, 13483.4014286, 1.09685714286, 672.835714286,1.5,0.0, 0.02, 10.94, 0.0, 83.76, 2.77, 0.0, 2.51, 0.0
15166.5314286, 1542.00142857, 12245.4542857, 1.28071428571, 590.558571429,1.72857142857,0.0, 0.04, 10.48, 0.0, 83.77, 2.96, 0.0, 2.76, 0.0
16500.2642857, 1681.93714286, 13317.9628571, 1.30057142857, 642.66,1.64285714286,0.0, 0.01, 11.97, 0.0, 83.3, 3.02, 0.0, 1.71, 0.0
16124.8585714, 1436.39571429, 13222.2328571, 1.50614285714, 620.141428571,1.82857142857,0.0, 0.05, 10.84, 0.0, 83.7, 2.76, 0.0, 2.65, 0.0
16304.99, 1389.13142857, 13433.16, 1.63614285714, 624.66,1.9,0.0, 0.02, 10.79, 0.0, 83.72, 2.73, 0.0, 2.74, 0.0
15847.2971429, 1177.39571429, 13228.9471429, 1.78071428571, 600.545714286,2.24285714286,0.0, 0.02, 10.91, 0.0, 83.72, 2.68, 0.0, 2.68, 0.0
18366.7928571, 1437.91, 15258.6328571, 1.70585714286, 698.827142857,2.12857142857,0.0, 0.02, 12.26, 0.0, 83.19, 2.84, 0.0, 1.7, 0.0
18443.4542857, 1361.16714286, 15405.0342857, 1.80614285714, 698.597142857,2.3,0.0, 0.01, 12.33, 0.0, 83.15, 3.11, 0.0, 1.4, 0.0
18222.26, 1248.90857143, 15316.12, 1.95857142857, 686.562857143,2.5,0.0, 0.01, 12.23, 0.0, 83.29, 2.93, 0.0, 1.54, 0.0
17544.7871429, 1130.42857143, 14818.7271429, 2.06028571429, 658.291428571,2.51428571429,0.0, 0.01, 12.12, 0.0, 83.26, 2.84, 0.0, 1.77, 0.0
17314.71, 1050.22714286, 14689.85, 2.20414285714, 647.168571429,2.7,0.0, 0.01, 12.17, 0.0, 83.3, 2.79, 0.0, 1.73, 0.0
16660.0414286, 936.847142857, 14208.1128571, 2.43014285714, 619.9,2.84285714286,0.0, 0.01, 11.47, 0.0, 83.52, 2.75, 0.0, 2.25, 0.0
