ops/s, hits/s, miss/s, latency, KB/s
13879.77, 7099.46142857, 5518.48571429, 0.139285714286, 757.12
17016.4571429, 6490.74285714, 8978.71, 0.230571428571, 843.935714286
17134.6214286, 5451.41857143, 10125.4257143, 0.346285714286, 808.482857143
17215.4542857, 4503.87285714, 11146.4157143, 0.461285714286, 775.217142857
17314.8471429, 3675.51, 12065.0757143, 0.574714285714, 747.142857143
17617.7757143, 3167.94571429, 12848.0257143, 0.679, 738.424285714
16738.6371429, 2652.18142857, 12564.5285714, 0.818857142857, 687.958571429
16965.1314286, 2324.21142857, 13098.4057143, 0.948142857143, 683.411428571
17023.7028571, 1992.41571429, 13483.4014286, 1.09685714286, 672.835714286
15166.5314286, 1542.00142857, 12245.4542857, 1.28071428571, 590.558571429
16500.2642857, 1681.93714286, 13317.9628571, 1.30057142857, 642.66
16124.8585714, 1436.39571429, 13222.2328571, 1.50614285714, 620.141428571
16304.99, 1389.13142857, 13433.16, 1.63614285714, 624.66
15847.2971429, 1177.39571429, 13228.9471429, 1.78071428571, 600.545714286
18366.7928571, 1437.91, 15258.6328571, 1.70585714286, 698.827142857
18443.4542857, 1361.16714286, 15405.0342857, 1.80614285714, 698.597142857
18222.26, 1248.90857143, 15316.12, 1.95857142857, 686.562857143
17544.7871429, 1130.42857143, 14818.7271429, 2.06028571429, 658.291428571
17314.71, 1050.22714286, 14689.85, 2.20414285714, 647.168571429
16660.0414286, 936.847142857, 14208.1128571, 2.43014285714, 619.9
