[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  3 threads:       19128 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  3 threads:       35446 ops,   16316 (avg:   17723) ops/sec, 590.97KB/sec (avg: 634.71KB/sec),  1.10 (avg:  1.01) msec latency[RUN #1 10%,   3 secs]  3 threads:       50541 ops,   15093 (avg:   16846) ops/sec, 551.34KB/sec (avg: 606.92KB/sec),  1.19 (avg:  1.06) msec latency[RUN #1 13%,   4 secs]  3 threads:       66610 ops,   16067 (avg:   16651) ops/sec, 597.15KB/sec (avg: 604.47KB/sec),  1.12 (avg:  1.08) msec latency[RUN #1 17%,   5 secs]  3 threads:       82675 ops,   16063 (avg:   16534) ops/sec, 603.67KB/sec (avg: 604.31KB/sec),  1.12 (avg:  1.08) msec latency[RUN #1 20%,   6 secs]  3 threads:       98368 ops,   15691 (avg:   16393) ops/sec, 595.45KB/sec (avg: 602.84KB/sec),  1.14 (avg:  1.09) msec latency[RUN #1 23%,   7 secs]  3 threads:      113858 ops,   15488 (avg:   16264) ops/sec, 597.90KB/sec (avg: 602.13KB/sec),  1.16 (avg:  1.10) msec latency[RUN #1 27%,   8 secs]  3 threads:      129294 ops,   15434 (avg:   16160) ops/sec, 605.27KB/sec (avg: 602.52KB/sec),  1.16 (avg:  1.11) msec latency[RUN #1 30%,   9 secs]  3 threads:      145037 ops,   15741 (avg:   16114) ops/sec, 627.16KB/sec (avg: 605.26KB/sec),  1.14 (avg:  1.11) msec latency[RUN #1 33%,  10 secs]  3 threads:      161322 ops,   16283 (avg:   16131) ops/sec, 656.76KB/sec (avg: 610.41KB/sec),  1.10 (avg:  1.11) msec latency[RUN #1 37%,  11 secs]  3 threads:      177048 ops,   15724 (avg:   16094) ops/sec, 638.25KB/sec (avg: 612.94KB/sec),  1.14 (avg:  1.11) msec latency[RUN #1 40%,  12 secs]  3 threads:      193013 ops,   15963 (avg:   16083) ops/sec, 661.22KB/sec (avg: 616.97KB/sec),  1.12 (avg:  1.12) msec latency[RUN #1 43%,  13 secs]  3 threads:      209145 ops,   16130 (avg:   16086) ops/sec, 677.81KB/sec (avg: 621.65KB/sec),  1.11 (avg:  1.12) msec latency[RUN #1 47%,  14 secs]  3 threads:      224993 ops,   15845 (avg:   16069) ops/sec, 667.02KB/sec (avg: 624.89KB/sec),  1.13 (avg:  1.12) msec latency[RUN #1 50%,  15 secs]  3 threads:      240773 ops,   15778 (avg:   16050) ops/sec, 671.03KB/sec (avg: 627.96KB/sec),  1.14 (avg:  1.12) msec latency[RUN #1 53%,  16 secs]  3 threads:      257252 ops,   16477 (avg:   16076) ops/sec, 707.55KB/sec (avg: 632.94KB/sec),  1.09 (avg:  1.12) msec latency[RUN #1 57%,  17 secs]  3 threads:      273715 ops,   16460 (avg:   16099) ops/sec, 717.56KB/sec (avg: 637.92KB/sec),  1.09 (avg:  1.11) msec latency[RUN #1 60%,  18 secs]  3 threads:      289636 ops,   15919 (avg:   16089) ops/sec, 692.30KB/sec (avg: 640.94KB/sec),  1.13 (avg:  1.11) msec latency[RUN #1 63%,  19 secs]  3 threads:      305993 ops,   16355 (avg:   16103) ops/sec, 714.84KB/sec (avg: 644.83KB/sec),  1.10 (avg:  1.11) msec latency[RUN #1 67%,  20 secs]  3 threads:      322634 ops,   16639 (avg:   16130) ops/sec, 746.04KB/sec (avg: 649.89KB/sec),  1.08 (avg:  1.11) msec latency[RUN #1 70%,  21 secs]  3 threads:      339305 ops,   16669 (avg:   16155) ops/sec, 756.79KB/sec (avg: 654.98KB/sec),  1.08 (avg:  1.11) msec latency[RUN #1 73%,  22 secs]  3 threads:      355870 ops,   16563 (avg:   16174) ops/sec, 755.68KB/sec (avg: 659.55KB/sec),  1.08 (avg:  1.11) msec latency[RUN #1 77%,  23 secs]  3 threads:      372039 ops,   16167 (avg:   16174) ops/sec, 748.92KB/sec (avg: 663.44KB/sec),  1.11 (avg:  1.11) msec latency[RUN #1 80%,  24 secs]  3 threads:      388797 ops,   16756 (avg:   16198) ops/sec, 784.56KB/sec (avg: 668.49KB/sec),  1.07 (avg:  1.11) msec latency[RUN #1 83%,  25 secs]  3 threads:      405439 ops,   16640 (avg:   16216) ops/sec, 783.71KB/sec (avg: 673.10KB/sec),  1.08 (avg:  1.11) msec latency[RUN #1 87%,  26 secs]  3 threads:      422541 ops,   17100 (avg:   16250) ops/sec, 813.89KB/sec (avg: 678.51KB/sec),  1.05 (avg:  1.10) msec latency[RUN #1 90%,  27 secs]  3 threads:      438995 ops,   16452 (avg:   16257) ops/sec, 789.47KB/sec (avg: 682.62KB/sec),  1.09 (avg:  1.10) msec latency[RUN #1 93%,  28 secs]  3 threads:      455372 ops,   16375 (avg:   16261) ops/sec, 792.03KB/sec (avg: 686.53KB/sec),  1.10 (avg:  1.10) msec latency[RUN #1 97%,  29 secs]  3 threads:      471997 ops,   16623 (avg:   16274) ops/sec, 807.47KB/sec (avg: 690.70KB/sec),  1.08 (avg:  1.10) msec latency[RUN #1 100%,  30 secs]  0 threads:      487856 ops,   16623 (avg:   16261) ops/sec, 807.47KB/sec (avg: 693.76KB/sec),  1.08 (avg:  1.10) msec latency

3         Threads
6         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1478.55          ---          ---      1.10400       109.49
Gets       14783.18      3281.54     11501.64      1.10200       584.27
Totals     16261.73      3281.54     11501.64      1.10200       693.76


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.600      0.00023
GET       0.610      0.00158
GET       0.620      0.00316
GET       0.630      0.00383
GET       0.640      0.00406
GET       0.650      0.00451
GET       0.660      0.00631
GET       0.670      0.00834
GET       0.680      0.01263
GET       0.690      0.01466
GET       0.700      0.01826
GET       0.710      0.02210
GET       0.720      0.02458
GET       0.730      0.02818
GET       0.740      0.02976
GET       0.750      0.03292
GET       0.760      0.03675
GET       0.770      0.04419
GET       0.780      0.05006
GET       0.790      0.05772
GET       0.800      0.06607
GET       0.810      0.07486
GET       0.820      0.08726
GET       0.830      0.10688
GET       0.840      0.14837
GET       0.850      0.21375
GET       0.860      0.33574
GET       0.870      0.55942
GET       0.880      0.91635
GET       0.890      1.36393
GET       0.900      1.80361
GET       0.910      2.18918
GET       0.920      2.53507
GET       0.930      2.84758
GET       0.940      3.14905
GET       0.950      3.40407
GET       0.960      3.64443
GET       0.970      3.87171
GET       0.980      4.20069
GET       0.990      4.74522
GET       1.000     27.02329
GET       1.100     90.67303
GET       1.200     92.77428
GET       1.300     93.36008
GET       1.400     93.51205
GET       1.500     95.23516
GET       1.600     97.98331
GET       1.700     99.79932
GET       1.800     99.97182
GET       1.900     99.99887
GET       2.000    100.00000
