[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  3 threads:       21625 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  3 threads:       38599 ops,   16972 (avg:   19299) ops/sec, 616.73KB/sec (avg: 690.58KB/sec),  1.06 (avg:  0.93) msec latency[RUN #1 10%,   3 secs]  3 threads:       55357 ops,   16755 (avg:   18451) ops/sec, 609.32KB/sec (avg: 663.49KB/sec),  1.07 (avg:  0.97) msec latency[RUN #1 13%,   4 secs]  3 threads:       72064 ops,   16705 (avg:   18014) ops/sec, 620.38KB/sec (avg: 652.71KB/sec),  1.07 (avg:  0.99) msec latency[RUN #1 17%,   5 secs]  3 threads:       88614 ops,   16548 (avg:   17721) ops/sec, 624.29KB/sec (avg: 647.03KB/sec),  1.08 (avg:  1.01) msec latency[RUN #1 20%,   6 secs]  3 threads:      105181 ops,   16565 (avg:   17528) ops/sec, 624.64KB/sec (avg: 643.30KB/sec),  1.08 (avg:  1.02) msec latency[RUN #1 23%,   7 secs]  3 threads:      121899 ops,   16716 (avg:   17412) ops/sec, 651.49KB/sec (avg: 644.47KB/sec),  1.07 (avg:  1.03) msec latency[RUN #1 27%,   8 secs]  3 threads:      138494 ops,   16593 (avg:   17310) ops/sec, 648.68KB/sec (avg: 645.00KB/sec),  1.08 (avg:  1.04) msec latency[RUN #1 30%,   9 secs]  3 threads:      155108 ops,   16612 (avg:   17232) ops/sec, 661.38KB/sec (avg: 646.82KB/sec),  1.08 (avg:  1.04) msec latency[RUN #1 33%,  10 secs]  3 threads:      171713 ops,   16603 (avg:   17169) ops/sec, 670.10KB/sec (avg: 649.14KB/sec),  1.08 (avg:  1.04) msec latency[RUN #1 37%,  11 secs]  3 threads:      188311 ops,   16596 (avg:   17117) ops/sec, 675.38KB/sec (avg: 651.53KB/sec),  1.08 (avg:  1.05) msec latency[RUN #1 40%,  12 secs]  3 threads:      204925 ops,   16612 (avg:   17075) ops/sec, 686.37KB/sec (avg: 654.43KB/sec),  1.08 (avg:  1.05) msec latency[RUN #1 43%,  13 secs]  3 threads:      221472 ops,   16545 (avg:   17034) ops/sec, 693.64KB/sec (avg: 657.45KB/sec),  1.08 (avg:  1.05) msec latency[RUN #1 47%,  14 secs]  3 threads:      237801 ops,   16327 (avg:   16984) ops/sec, 683.09KB/sec (avg: 659.28KB/sec),  1.10 (avg:  1.06) msec latency[RUN #1 50%,  15 secs]  3 threads:      254307 ops,   16504 (avg:   16952) ops/sec, 705.57KB/sec (avg: 662.37KB/sec),  1.09 (avg:  1.06) msec latency[RUN #1 53%,  16 secs]  3 threads:      270974 ops,   16665 (avg:   16934) ops/sec, 710.61KB/sec (avg: 665.38KB/sec),  1.08 (avg:  1.06) msec latency[RUN #1 57%,  17 secs]  3 threads:      287546 ops,   16570 (avg:   16912) ops/sec, 721.19KB/sec (avg: 668.67KB/sec),  1.08 (avg:  1.06) msec latency[RUN #1 60%,  18 secs]  3 threads:      304123 ops,   16575 (avg:   16894) ops/sec, 716.11KB/sec (avg: 671.30KB/sec),  1.08 (avg:  1.06) msec latency[RUN #1 63%,  19 secs]  3 threads:      320716 ops,   16591 (avg:   16878) ops/sec, 725.49KB/sec (avg: 674.15KB/sec),  1.08 (avg:  1.06) msec latency[RUN #1 67%,  20 secs]  3 threads:      337334 ops,   16616 (avg:   16865) ops/sec, 754.77KB/sec (avg: 678.18KB/sec),  1.08 (avg:  1.06) msec latency[RUN #1 70%,  21 secs]  3 threads:      354016 ops,   16680 (avg:   16856) ops/sec, 755.35KB/sec (avg: 681.86KB/sec),  1.07 (avg:  1.06) msec latency[RUN #1 73%,  22 secs]  3 threads:      370619 ops,   16601 (avg:   16844) ops/sec, 760.34KB/sec (avg: 685.43KB/sec),  1.08 (avg:  1.06) msec latency[RUN #1 77%,  23 secs]  3 threads:      387055 ops,   16434 (avg:   16826) ops/sec, 761.05KB/sec (avg: 688.71KB/sec),  1.09 (avg:  1.07) msec latency[RUN #1 80%,  24 secs]  3 threads:      403852 ops,   16795 (avg:   16825) ops/sec, 783.58KB/sec (avg: 692.67KB/sec),  1.07 (avg:  1.07) msec latency[RUN #1 83%,  25 secs]  3 threads:      420662 ops,   16808 (avg:   16824) ops/sec, 794.14KB/sec (avg: 696.73KB/sec),  1.07 (avg:  1.07) msec latency[RUN #1 87%,  26 secs]  3 threads:      437771 ops,   17107 (avg:   16835) ops/sec, 813.12KB/sec (avg: 701.20KB/sec),  1.05 (avg:  1.06) msec latency[RUN #1 90%,  27 secs]  3 threads:      454656 ops,   16883 (avg:   16837) ops/sec, 807.22KB/sec (avg: 705.13KB/sec),  1.06 (avg:  1.06) msec latency[RUN #1 93%,  28 secs]  3 threads:      471423 ops,   16765 (avg:   16834) ops/sec, 816.21KB/sec (avg: 709.10KB/sec),  1.07 (avg:  1.06) msec latency[RUN #1 97%,  29 secs]  3 threads:      488033 ops,   16608 (avg:   16827) ops/sec, 801.76KB/sec (avg: 712.29KB/sec),  1.08 (avg:  1.07) msec latency[RUN #1 100%,  30 secs]  0 threads:      504333 ops,   16608 (avg:   16810) ops/sec, 801.76KB/sec (avg: 715.55KB/sec),  1.08 (avg:  1.07) msec latency

3         Threads
6         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1528.54          ---          ---      1.06500       113.19
Gets       15282.26      3349.41     11932.86      1.06600       602.36
Totals     16810.80      3349.41     11932.86      1.06600       715.55


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.110      0.00109
GET       0.120      0.00327
GET       0.130      0.00763
GET       0.140      0.01876
GET       0.150      0.04340
GET       0.160      0.07220
GET       0.170      0.10317
GET       0.180      0.14766
GET       0.190      0.22378
GET       0.200      0.30078
GET       0.210      0.34746
GET       0.220      0.38432
GET       0.230      0.41398
GET       0.240      0.44408
GET       0.250      0.46153
GET       0.260      0.47091
GET       0.270      0.47811
GET       0.280      0.48443
GET       0.290      0.48945
GET       0.300      0.49250
GET       0.310      0.49512
GET       0.320      0.49730
GET       0.330      0.49926
GET       0.340      0.50101
GET       0.350      0.50297
GET       0.360      0.50450
GET       0.370      0.50646
GET       0.380      0.50842
GET       0.390      0.50930
GET       0.400      0.51039
GET       0.410      0.51170
GET       0.420      0.51235
GET       0.430      0.51366
GET       0.440      0.51475
GET       0.450      0.51606
GET       0.460      0.51758
GET       0.470      0.51846
GET       0.480      0.51955
GET       0.490      0.52020
GET       0.500      0.52086
GET       0.510      0.52129
GET       0.520      0.52195
GET       0.600      0.52216
GET       0.610      0.52260
GET       0.620      0.52304
GET       0.630      0.52369
GET       0.640      0.52478
GET       0.650      0.52565
GET       0.660      0.52718
GET       0.670      0.52936
GET       0.680      0.53242
GET       0.690      0.53634
GET       0.700      0.53918
GET       0.710      0.54485
GET       0.720      0.54899
GET       0.730      0.55205
GET       0.740      0.55510
GET       0.750      0.55837
GET       0.760      0.56295
GET       0.770      0.57080
GET       0.780      0.57822
GET       0.790      0.58738
GET       0.800      0.59938
GET       0.810      0.61159
GET       0.820      0.62533
GET       0.830      0.64649
GET       0.840      0.69273
GET       0.850      0.78041
GET       0.860      0.92633
GET       0.870      1.15818
GET       0.880      1.51567
GET       0.890      1.89541
GET       0.900      2.29696
GET       0.910      2.66971
GET       0.920      3.02350
GET       0.930      3.36964
GET       0.940      3.70161
GET       0.950      4.01482
GET       0.960      4.29684
GET       0.970      4.61725
GET       0.980      5.06461
GET       0.990      5.80379
GET       1.000     30.26440
GET       1.100     96.06413
GET       1.200     98.69328
GET       1.300     99.22024
GET       1.400     99.23202
GET       1.500     99.40869
GET       1.600     99.88135
GET       1.700     99.99128
GET       1.800     99.99891
GET       1.900    100.00000
