[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       17252 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       32856 ops,   15602 (avg:   16427) ops/sec, 662.69KB/sec (avg: 656.46KB/sec),  0.38 (avg:  0.36) msec latency[RUN #1 10%,   3 secs]  2 threads:       47880 ops,   15022 (avg:   15959) ops/sec, 690.96KB/sec (avg: 667.96KB/sec),  0.39 (avg:  0.37) msec latency[RUN #1 13%,   4 secs]  2 threads:       61675 ops,   13793 (avg:   15417) ops/sec, 689.45KB/sec (avg: 673.33KB/sec),  0.43 (avg:  0.38) msec latency[RUN #1 17%,   5 secs]  2 threads:       74379 ops,   12702 (avg:   14874) ops/sec, 656.08KB/sec (avg: 669.88KB/sec),  0.47 (avg:  0.40) msec latency[RUN #1 20%,   6 secs]  2 threads:       87113 ops,   12732 (avg:   14517) ops/sec, 686.29KB/sec (avg: 672.62KB/sec),  0.47 (avg:  0.41) msec latency[RUN #1 23%,   7 secs]  2 threads:       99850 ops,   12735 (avg:   14263) ops/sec, 716.48KB/sec (avg: 678.88KB/sec),  0.47 (avg:  0.42) msec latency[RUN #1 27%,   8 secs]  2 threads:      112626 ops,   12774 (avg:   14077) ops/sec, 729.06KB/sec (avg: 685.16KB/sec),  0.46 (avg:  0.42) msec latency[RUN #1 30%,   9 secs]  2 threads:      125265 ops,   12637 (avg:   13917) ops/sec, 731.41KB/sec (avg: 690.29KB/sec),  0.47 (avg:  0.43) msec latency[RUN #1 33%,  10 secs]  2 threads:      138021 ops,   12754 (avg:   13800) ops/sec, 764.25KB/sec (avg: 697.69KB/sec),  0.46 (avg:  0.43) msec latency[RUN #1 37%,  11 secs]  2 threads:      150770 ops,   12747 (avg:   13705) ops/sec, 769.80KB/sec (avg: 704.25KB/sec),  0.46 (avg:  0.43) msec latency[RUN #1 40%,  12 secs]  2 threads:      163653 ops,   12881 (avg:   13636) ops/sec, 793.73KB/sec (avg: 711.70KB/sec),  0.46 (avg:  0.43) msec latency[RUN #1 43%,  13 secs]  2 threads:      176390 ops,   12735 (avg:   13567) ops/sec, 798.20KB/sec (avg: 718.36KB/sec),  0.47 (avg:  0.44) msec latency[RUN #1 47%,  14 secs]  2 threads:      189086 ops,   12694 (avg:   13504) ops/sec, 806.13KB/sec (avg: 724.63KB/sec),  0.47 (avg:  0.44) msec latency[RUN #1 50%,  15 secs]  2 threads:      201721 ops,   12633 (avg:   13446) ops/sec, 815.65KB/sec (avg: 730.69KB/sec),  0.47 (avg:  0.44) msec latency[RUN #1 53%,  16 secs]  2 threads:      214465 ops,   12742 (avg:   13402) ops/sec, 824.53KB/sec (avg: 736.56KB/sec),  0.47 (avg:  0.44) msec latency[RUN #1 57%,  17 secs]  2 threads:      227099 ops,   12632 (avg:   13357) ops/sec, 823.95KB/sec (avg: 741.70KB/sec),  0.47 (avg:  0.44) msec latency[RUN #1 60%,  18 secs]  2 threads:      239621 ops,   12520 (avg:   13311) ops/sec, 827.73KB/sec (avg: 746.48KB/sec),  0.47 (avg:  0.45) msec latency[RUN #1 63%,  19 secs]  2 threads:      252147 ops,   12524 (avg:   13269) ops/sec, 834.11KB/sec (avg: 751.09KB/sec),  0.47 (avg:  0.45) msec latency[RUN #1 67%,  20 secs]  2 threads:      264750 ops,   12601 (avg:   13236) ops/sec, 844.58KB/sec (avg: 755.77KB/sec),  0.47 (avg:  0.45) msec latency[RUN #1 70%,  21 secs]  2 threads:      277438 ops,   12686 (avg:   13210) ops/sec, 850.13KB/sec (avg: 760.26KB/sec),  0.47 (avg:  0.45) msec latency[RUN #1 73%,  22 secs]  2 threads:      290078 ops,   12638 (avg:   13184) ops/sec, 852.89KB/sec (avg: 764.47KB/sec),  0.47 (avg:  0.45) msec latency[RUN #1 77%,  23 secs]  2 threads:      302794 ops,   12714 (avg:   13163) ops/sec, 859.92KB/sec (avg: 768.62KB/sec),  0.47 (avg:  0.45) msec latency[RUN #1 80%,  24 secs]  2 threads:      315518 ops,   12722 (avg:   13145) ops/sec, 864.09KB/sec (avg: 772.60KB/sec),  0.47 (avg:  0.45) msec latency[RUN #1 83%,  25 secs]  2 threads:      328275 ops,   12755 (avg:   13129) ops/sec, 866.88KB/sec (avg: 776.37KB/sec),  0.46 (avg:  0.45) msec latency[RUN #1 87%,  26 secs]  2 threads:      340951 ops,   12674 (avg:   13112) ops/sec, 862.99KB/sec (avg: 779.70KB/sec),  0.47 (avg:  0.45) msec latency[RUN #1 90%,  27 secs]  2 threads:      353680 ops,   12727 (avg:   13098) ops/sec, 865.80KB/sec (avg: 782.89KB/sec),  0.47 (avg:  0.45) msec latency[RUN #1 93%,  28 secs]  2 threads:      366544 ops,   12862 (avg:   13089) ops/sec, 879.59KB/sec (avg: 786.34KB/sec),  0.46 (avg:  0.45) msec latency[RUN #1 97%,  29 secs]  2 threads:      380290 ops,   13744 (avg:   13112) ops/sec, 941.58KB/sec (avg: 791.70KB/sec),  0.43 (avg:  0.45) msec latency[RUN #1 100%,  30 secs]  0 threads:      394176 ops,   13744 (avg:   13139) ops/sec, 941.58KB/sec (avg: 797.14KB/sec),  0.43 (avg:  0.45) msec latency

2         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1194.55          ---          ---      0.45300        87.99
Gets       11944.50      8995.74      2948.77      0.45000       709.15
Totals     13139.06      8995.74      2948.77      0.45000       797.14


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.071      0.00028
GET       0.078      0.00056
GET       0.079      0.00084
GET       0.080      0.00112
GET       0.083      0.00140
GET       0.084      0.00195
GET       0.085      0.00279
GET       0.086      0.00419
GET       0.087      0.00502
GET       0.088      0.00558
GET       0.089      0.00726
GET       0.090      0.00809
GET       0.091      0.01005
GET       0.092      0.01423
GET       0.093      0.01619
GET       0.094      0.01898
GET       0.095      0.02205
GET       0.096      0.02456
GET       0.097      0.02623
GET       0.098      0.02874
GET       0.099      0.03181
GET       0.100      0.04353
GET       0.110      0.06502
GET       0.120      0.08428
GET       0.130      0.11163
GET       0.140      0.15293
GET       0.150      0.19953
GET       0.160      0.23358
GET       0.170      0.25981
GET       0.180      0.28883
GET       0.190      0.32958
GET       0.200      0.37730
GET       0.210      0.41469
GET       0.220      0.46185
GET       0.230      0.53246
GET       0.240      0.65832
GET       0.250      0.88240
GET       0.260      1.23710
GET       0.270      1.76174
GET       0.280      2.49959
GET       0.290      3.56925
GET       0.300      4.87611
GET       0.310      6.37971
GET       0.320      8.28601
GET       0.330     10.89639
GET       0.340     14.38107
GET       0.350     18.41720
GET       0.360     22.68383
GET       0.370     27.27613
GET       0.380     32.20861
GET       0.390     37.19132
GET       0.400     41.57906
GET       0.410     45.16673
GET       0.420     48.14380
GET       0.430     50.67938
GET       0.440     52.78075
GET       0.450     54.56760
GET       0.460     56.16079
GET       0.470     57.77406
GET       0.480     59.57376
GET       0.490     61.64582
GET       0.500     64.05136
GET       0.510     66.74741
GET       0.520     69.87964
GET       0.530     73.34005
GET       0.540     77.00306
GET       0.550     80.65156
GET       0.560     84.11169
GET       0.570     87.32513
GET       0.580     90.16713
GET       0.590     92.55314
GET       0.600     94.46530
GET       0.610     95.93737
GET       0.620     97.03940
GET       0.630     97.85510
GET       0.640     98.44728
GET       0.650     98.83993
GET       0.660     99.10420
GET       0.670     99.29117
GET       0.680     99.43294
GET       0.690     99.54289
GET       0.700     99.61852
GET       0.710     99.69331
GET       0.720     99.73796
GET       0.730     99.78065
GET       0.740     99.82140
GET       0.750     99.85182
GET       0.760     99.87582
GET       0.770     99.89730
GET       0.780     99.91405
GET       0.790     99.93079
GET       0.800     99.94419
GET       0.810     99.95591
GET       0.820     99.96261
GET       0.830     99.96958
GET       0.840     99.97461
GET       0.850     99.97823
GET       0.860     99.98130
GET       0.870     99.98409
GET       0.880     99.98716
GET       0.890     99.98912
GET       0.900     99.99107
GET       0.910     99.99219
GET       0.920     99.99274
GET       0.930     99.99302
GET       0.940     99.99358
GET       0.950     99.99386
GET       0.970     99.99414
GET       0.980     99.99442
GET       1.000     99.99498
GET       1.200     99.99637
GET       1.500     99.99693
GET       1.700     99.99721
GET       1.800     99.99749
GET       1.900     99.99833
GET       2.000     99.99916
GET       2.100     99.99944
GET       2.200    100.00000
