[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       16160 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  2 threads:       23855 ops,    7694 (avg:   11926) ops/sec, 349.79KB/sec (avg: 494.20KB/sec),  0.51 (avg:  0.33) msec latency[RUN #1 10%,   3 secs]  2 threads:       31576 ops,    7719 (avg:   10524) ops/sec, 365.40KB/sec (avg: 451.26KB/sec),  0.51 (avg:  0.37) msec latency[RUN #1 13%,   4 secs]  2 threads:       38762 ops,    7185 (avg:    9689) ops/sec, 362.88KB/sec (avg: 429.17KB/sec),  0.55 (avg:  0.41) msec latency[RUN #1 17%,   5 secs]  2 threads:       49002 ops,   10239 (avg:    9799) ops/sec, 546.61KB/sec (avg: 452.66KB/sec),  0.38 (avg:  0.40) msec latency[RUN #1 20%,   6 secs]  2 threads:       57504 ops,    8501 (avg:    9583) ops/sec, 472.06KB/sec (avg: 455.89KB/sec),  0.46 (avg:  0.41) msec latency[RUN #1 23%,   7 secs]  2 threads:       66512 ops,    9007 (avg:    9500) ops/sec, 515.66KB/sec (avg: 464.43KB/sec),  0.44 (avg:  0.41) msec latency[RUN #1 27%,   8 secs]  2 threads:       74594 ops,    8081 (avg:    9323) ops/sec, 479.79KB/sec (avg: 466.35KB/sec),  0.49 (avg:  0.42) msec latency[RUN #1 30%,   9 secs]  2 threads:       83586 ops,    8991 (avg:    9286) ops/sec, 546.49KB/sec (avg: 475.25KB/sec),  0.44 (avg:  0.42) msec latency[RUN #1 33%,  10 secs]  2 threads:       91853 ops,    8266 (avg:    9184) ops/sec, 510.21KB/sec (avg: 478.75KB/sec),  0.48 (avg:  0.43) msec latency[RUN #1 37%,  11 secs]  2 threads:      102746 ops,   10892 (avg:    9339) ops/sec, 686.04KB/sec (avg: 497.59KB/sec),  0.36 (avg:  0.42) msec latency[RUN #1 40%,  12 secs]  2 threads:      108909 ops,    6162 (avg:    9074) ops/sec, 391.60KB/sec (avg: 488.76KB/sec),  0.64 (avg:  0.43) msec latency[RUN #1 43%,  13 secs]  2 threads:      117013 ops,    8103 (avg:    9000) ops/sec, 524.93KB/sec (avg: 491.54KB/sec),  0.49 (avg:  0.44) msec latency[RUN #1 47%,  14 secs]  2 threads:      124865 ops,    7851 (avg:    8918) ops/sec, 509.76KB/sec (avg: 492.84KB/sec),  0.50 (avg:  0.44) msec latency[RUN #1 50%,  15 secs]  2 threads:      130403 ops,    5537 (avg:    8692) ops/sec, 362.63KB/sec (avg: 484.16KB/sec),  0.71 (avg:  0.45) msec latency[RUN #1 53%,  16 secs]  2 threads:      134307 ops,    3903 (avg:    8393) ops/sec, 258.89KB/sec (avg: 470.08KB/sec),  1.01 (avg:  0.47) msec latency[RUN #1 57%,  17 secs]  2 threads:      139388 ops,    5080 (avg:    8198) ops/sec, 336.84KB/sec (avg: 462.25KB/sec),  0.78 (avg:  0.48) msec latency[RUN #1 60%,  18 secs]  2 threads:      146221 ops,    6832 (avg:    8122) ops/sec, 453.39KB/sec (avg: 461.75KB/sec),  0.58 (avg:  0.49) msec latency[RUN #1 63%,  19 secs]  2 threads:      157974 ops,   11751 (avg:    8313) ops/sec, 782.90KB/sec (avg: 478.66KB/sec),  0.33 (avg:  0.47) msec latency[RUN #1 67%,  20 secs]  2 threads:      165121 ops,    7146 (avg:    8255) ops/sec, 478.50KB/sec (avg: 478.65KB/sec),  0.55 (avg:  0.48) msec latency[RUN #1 70%,  21 secs]  2 threads:      176751 ops,   11628 (avg:    8415) ops/sec, 783.68KB/sec (avg: 493.17KB/sec),  0.34 (avg:  0.47) msec latency[RUN #1 73%,  22 secs]  2 threads:      184332 ops,    7580 (avg:    8377) ops/sec, 512.16KB/sec (avg: 494.04KB/sec),  0.52 (avg:  0.47) msec latency[RUN #1 77%,  23 secs]  2 threads:      196284 ops,   11950 (avg:    8533) ops/sec, 810.77KB/sec (avg: 507.81KB/sec),  0.33 (avg:  0.46) msec latency[RUN #1 80%,  24 secs]  2 threads:      206598 ops,   10312 (avg:    8607) ops/sec, 701.30KB/sec (avg: 515.87KB/sec),  0.38 (avg:  0.46) msec latency[RUN #1 83%,  25 secs]  2 threads:      217795 ops,   11195 (avg:    8710) ops/sec, 763.46KB/sec (avg: 525.77KB/sec),  0.35 (avg:  0.45) msec latency[RUN #1 87%,  26 secs]  2 threads:      229557 ops,   11760 (avg:    8828) ops/sec, 804.91KB/sec (avg: 536.51KB/sec),  0.33 (avg:  0.45) msec latency[RUN #1 90%,  27 secs]  2 threads:      242515 ops,   12956 (avg:    8981) ops/sec, 887.12KB/sec (avg: 549.49KB/sec),  0.30 (avg:  0.44) msec latency[RUN #1 93%,  28 secs]  2 threads:      256709 ops,   14192 (avg:    9167) ops/sec, 972.77KB/sec (avg: 564.61KB/sec),  0.28 (avg:  0.43) msec latency[RUN #1 97%,  29 secs]  2 threads:      271907 ops,   15196 (avg:    9375) ops/sec, 1.02MB/sec (avg: 581.22KB/sec),  0.26 (avg:  0.42) msec latency[RUN #1 100%,  30 secs]  0 threads:      288518 ops,   15196 (avg:    9617) ops/sec, 1.02MB/sec (avg: 600.09KB/sec),  0.26 (avg:  0.41) msec latency

2         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         874.37          ---          ---      0.40900        64.31
Gets        8742.90      7046.13      1696.77      0.40900       535.77
Totals      9617.26      7046.13      1696.77      0.40900       600.09


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000     98.61995
SET       4.000     99.15749
SET       5.000     99.18036
SET       6.000     99.18417
SET       7.000     99.18798
SET       8.000     99.61496
SET       9.000     99.63402
SET      12.000     99.89707
SET      13.000     99.90088
SET      16.000     99.99238
SET      24.000    100.00000
---
GET       0.071      0.00038
GET       0.082      0.00076
GET       0.085      0.00114
GET       0.087      0.00153
GET       0.088      0.00191
GET       0.089      0.00229
GET       0.091      0.00305
GET       0.094      0.00419
GET       0.095      0.00534
GET       0.096      0.00610
GET       0.097      0.00648
GET       0.098      0.00686
GET       0.099      0.00763
GET       0.100      0.01334
GET       0.110      0.04995
GET       0.120      0.13001
GET       0.130      0.28099
GET       0.140      0.57647
GET       0.150      1.09613
GET       0.160      1.90555
GET       0.170      3.16676
GET       0.180      5.13979
GET       0.190      7.96418
GET       0.200     10.81945
GET       0.210     13.29803
GET       0.220     15.77852
GET       0.230     18.97425
GET       0.240     23.60468
GET       0.250     28.91489
GET       0.260     34.54803
GET       0.270     40.61696
GET       0.280     47.45527
GET       0.290     54.72898
GET       0.300     61.46549
GET       0.310     67.39259
GET       0.320     72.50988
GET       0.330     77.06520
GET       0.340     81.05091
GET       0.350     84.33586
GET       0.360     86.90061
GET       0.370     88.98306
GET       0.380     90.72619
GET       0.390     92.10178
GET       0.400     93.10755
GET       0.410     93.84949
GET       0.420     94.37791
GET       0.430     94.76146
GET       0.440     95.05732
GET       0.450     95.27235
GET       0.460     95.42105
GET       0.470     95.52094
GET       0.480     95.61740
GET       0.490     95.67649
GET       0.500     95.72262
GET       0.510     95.76571
GET       0.520     95.80040
GET       0.530     95.83662
GET       0.540     95.87094
GET       0.550     95.89915
GET       0.560     95.92927
GET       0.570     95.95824
GET       0.580     95.99256
GET       0.590     96.03145
GET       0.600     96.08101
GET       0.610     96.13057
GET       0.620     96.18433
GET       0.630     96.24724
GET       0.640     96.31930
GET       0.650     96.39784
GET       0.660     96.47981
GET       0.670     96.56559
GET       0.680     96.65214
GET       0.690     96.75241
GET       0.700     96.84277
GET       0.710     96.92246
GET       0.720     97.01053
GET       0.730     97.10660
GET       0.740     97.19696
GET       0.750     97.27474
GET       0.760     97.34489
GET       0.770     97.42076
GET       0.780     97.48939
GET       0.790     97.54620
GET       0.800     97.61101
GET       0.810     97.66630
GET       0.820     97.72387
GET       0.830     97.77572
GET       0.840     97.82261
GET       0.850     97.86646
GET       0.860     97.90497
GET       0.870     97.93737
GET       0.880     97.97092
GET       0.890     98.00676
GET       0.900     98.03650
GET       0.910     98.06433
GET       0.920     98.08797
GET       0.930     98.10932
GET       0.940     98.13411
GET       0.950     98.15546
GET       0.960     98.17681
GET       0.970     98.19816
GET       0.980     98.22218
GET       0.990     98.24429
GET       1.000     98.34837
GET       1.100     98.50279
GET       1.200     98.58018
GET       1.300     98.61526
GET       1.400     98.62136
GET       1.500     98.62288
GET       2.000     98.62555
GET       2.100     98.62593
GET       2.400     98.62631
GET       2.600     98.62670
GET       3.400     98.62746
GET       4.000     98.62784
GET       4.100     98.63318
GET       4.200     98.66368
GET       4.300     98.77653
GET       4.400     98.91950
GET       4.500     98.98966
GET       4.600     99.00872
GET       4.700     99.03083
GET       4.800     99.06019
GET       4.900     99.07544
GET       5.000     99.08955
GET       5.100     99.09870
GET       5.200     99.10632
GET       5.300     99.10975
GET       5.400     99.11090
GET       5.500     99.11204
GET       6.000     99.11319
GET       6.100     99.11357
GET       6.400     99.11471
GET       7.900     99.11547
GET       8.000     99.11738
GET       8.100     99.12043
GET       8.200     99.16542
GET       8.300     99.32288
GET       8.400     99.49254
GET       8.500     99.54897
GET       8.600     99.56612
GET       8.700     99.57680
GET       8.800     99.58786
GET       8.900     99.59701
GET       9.000     99.60425
GET       9.100     99.61493
GET       9.200     99.61912
GET       9.300     99.61988
GET       9.400     99.62026
GET      12.000     99.90430
GET      13.000     99.92413
GET      14.000     99.92451
GET      16.000     99.99504
GET      17.000     99.99924
GET      24.000    100.00000
