[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       12201 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       23313 ops,   11110 (avg:   11656) ops/sec, 544.35KB/sec (avg: 524.61KB/sec),  0.26 (avg:  0.25) msec latency[RUN #1 10%,   3 secs]  1 threads:       34454 ops,   11139 (avg:   11484) ops/sec, 607.03KB/sec (avg: 552.08KB/sec),  0.26 (avg:  0.26) msec latency[RUN #1 13%,   4 secs]  1 threads:       44111 ops,    9656 (avg:   11027) ops/sec, 561.52KB/sec (avg: 554.44KB/sec),  0.30 (avg:  0.27) msec latency[RUN #1 17%,   5 secs]  1 threads:       53206 ops,    9094 (avg:   10640) ops/sec, 553.59KB/sec (avg: 554.27KB/sec),  0.33 (avg:  0.28) msec latency[RUN #1 20%,   6 secs]  1 threads:       57897 ops,    4690 (avg:    9648) ops/sec, 294.87KB/sec (avg: 511.04KB/sec),  0.63 (avg:  0.31) msec latency[RUN #1 23%,   7 secs]  1 threads:       70787 ops,   12888 (avg:   10111) ops/sec, 822.66KB/sec (avg: 555.56KB/sec),  0.23 (avg:  0.29) msec latency[RUN #1 27%,   8 secs]  1 threads:       81195 ops,   10406 (avg:   10148) ops/sec, 681.21KB/sec (avg: 571.26KB/sec),  0.28 (avg:  0.29) msec latency[RUN #1 30%,   9 secs]  1 threads:       92482 ops,   11285 (avg:   10274) ops/sec, 745.83KB/sec (avg: 590.66KB/sec),  0.26 (avg:  0.29) msec latency[RUN #1 33%,  10 secs]  1 threads:      103232 ops,   10749 (avg:   10322) ops/sec, 723.69KB/sec (avg: 603.96KB/sec),  0.27 (avg:  0.28) msec latency[RUN #1 37%,  11 secs]  1 threads:      114270 ops,   11037 (avg:   10387) ops/sec, 748.27KB/sec (avg: 617.08KB/sec),  0.27 (avg:  0.28) msec latency[RUN #1 40%,  12 secs]  1 threads:      130002 ops,   15730 (avg:   10832) ops/sec, 1.05MB/sec (avg: 654.98KB/sec),  0.19 (avg:  0.27) msec latency[RUN #1 43%,  13 secs]  1 threads:      140578 ops,   10574 (avg:   10812) ops/sec, 722.55KB/sec (avg: 660.18KB/sec),  0.28 (avg:  0.27) msec latency[RUN #1 47%,  14 secs]  1 threads:      149817 ops,    9238 (avg:   10700) ops/sec, 631.73KB/sec (avg: 658.14KB/sec),  0.32 (avg:  0.27) msec latency[RUN #1 50%,  15 secs]  1 threads:      158357 ops,    8539 (avg:   10556) ops/sec, 583.64KB/sec (avg: 653.18KB/sec),  0.34 (avg:  0.28) msec latency[RUN #1 53%,  16 secs]  1 threads:      165278 ops,    6920 (avg:   10328) ops/sec, 473.86KB/sec (avg: 641.97KB/sec),  0.43 (avg:  0.29) msec latency[RUN #1 57%,  17 secs]  1 threads:      173526 ops,    8246 (avg:   10206) ops/sec, 565.15KB/sec (avg: 637.45KB/sec),  0.36 (avg:  0.29) msec latency[RUN #1 60%,  18 secs]  1 threads:      181660 ops,    8133 (avg:   10091) ops/sec, 558.18KB/sec (avg: 633.05KB/sec),  0.36 (avg:  0.29) msec latency[RUN #1 63%,  19 secs]  1 threads:      192760 ops,   11098 (avg:   10144) ops/sec, 763.66KB/sec (avg: 639.92KB/sec),  0.26 (avg:  0.29) msec latency[RUN #1 67%,  20 secs]  1 threads:      205074 ops,   12312 (avg:   10252) ops/sec, 847.65KB/sec (avg: 650.31KB/sec),  0.24 (avg:  0.29) msec latency[RUN #1 70%,  21 secs]  1 threads:      213737 ops,    8662 (avg:   10177) ops/sec, 596.32KB/sec (avg: 647.74KB/sec),  0.34 (avg:  0.29) msec latency[RUN #1 73%,  22 secs]  1 threads:      227391 ops,   13652 (avg:   10334) ops/sec, 940.81KB/sec (avg: 661.06KB/sec),  0.21 (avg:  0.28) msec latency[RUN #1 77%,  23 secs]  1 threads:      236757 ops,    9365 (avg:   10292) ops/sec, 645.61KB/sec (avg: 660.39KB/sec),  0.31 (avg:  0.29) msec latency[RUN #1 80%,  24 secs]  1 threads:      242747 ops,    5989 (avg:   10113) ops/sec, 413.26KB/sec (avg: 650.09KB/sec),  0.50 (avg:  0.29) msec latency[RUN #1 83%,  25 secs]  1 threads:      252824 ops,   10076 (avg:   10112) ops/sec, 695.39KB/sec (avg: 651.90KB/sec),  0.29 (avg:  0.29) msec latency[RUN #1 87%,  26 secs]  1 threads:      262099 ops,    9274 (avg:   10079) ops/sec, 640.06KB/sec (avg: 651.45KB/sec),  0.32 (avg:  0.29) msec latency[RUN #1 90%,  27 secs]  1 threads:      271307 ops,    9207 (avg:   10047) ops/sec, 635.48KB/sec (avg: 650.86KB/sec),  0.32 (avg:  0.29) msec latency[RUN #1 93%,  28 secs]  1 threads:      282449 ops,   11140 (avg:   10086) ops/sec, 769.02KB/sec (avg: 655.08KB/sec),  0.26 (avg:  0.29) msec latency[RUN #1 97%,  29 secs]  1 threads:      294601 ops,   12150 (avg:   10157) ops/sec, 838.65KB/sec (avg: 661.41KB/sec),  0.24 (avg:  0.29) msec latency[RUN #1 100%,  30 secs]  0 threads:      308539 ops,   12150 (avg:   10284) ops/sec, 838.65KB/sec (avg: 671.48KB/sec),  0.24 (avg:  0.29) msec latency

1         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         935.00          ---          ---      0.28500        68.68
Gets        9349.61      8343.55      1006.06      0.28600       602.80
Totals     10284.61      8343.55      1006.06      0.28600       671.48


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.079      0.00036
GET       0.080      0.00178
GET       0.081      0.00214
GET       0.082      0.00250
GET       0.083      0.00463
GET       0.084      0.00570
GET       0.085      0.00677
GET       0.086      0.00820
GET       0.087      0.00927
GET       0.088      0.00963
GET       0.089      0.01426
GET       0.090      0.01890
GET       0.091      0.02496
GET       0.092      0.03030
GET       0.093      0.03708
GET       0.094      0.04457
GET       0.095      0.05170
GET       0.096      0.05740
GET       0.097      0.06988
GET       0.098      0.08164
GET       0.099      0.09091
GET       0.100      0.16721
GET       0.110      0.41178
GET       0.120      0.95940
GET       0.130      2.39225
GET       0.140      5.65619
GET       0.150      9.64886
GET       0.160     12.84970
GET       0.170     15.68760
GET       0.180     19.58223
GET       0.190     25.82240
GET       0.200     32.65832
GET       0.210     38.58119
GET       0.220     44.53151
GET       0.230     52.24590
GET       0.240     62.52331
GET       0.250     71.03416
GET       0.260     76.90961
GET       0.270     81.32975
GET       0.280     85.27678
GET       0.290     88.80313
GET       0.300     91.39681
GET       0.310     93.12914
GET       0.320     94.40121
GET       0.330     95.43048
GET       0.340     96.22837
GET       0.350     96.76921
GET       0.360     97.11682
GET       0.370     97.34642
GET       0.380     97.49901
GET       0.390     97.60204
GET       0.400     97.68690
GET       0.410     97.73966
GET       0.420     97.78280
GET       0.430     97.82095
GET       0.440     97.85803
GET       0.450     97.88512
GET       0.460     97.90723
GET       0.470     97.92398
GET       0.480     97.93967
GET       0.490     97.95643
GET       0.500     97.97425
GET       0.510     97.98816
GET       0.520     97.99957
GET       0.530     98.01775
GET       0.540     98.03058
GET       0.550     98.04627
GET       0.560     98.06338
GET       0.570     98.08121
GET       0.580     98.10153
GET       0.590     98.12542
GET       0.600     98.15109
GET       0.610     98.17533
GET       0.620     98.20349
GET       0.630     98.24236
GET       0.640     98.27016
GET       0.650     98.30154
GET       0.660     98.33790
GET       0.670     98.36678
GET       0.680     98.39922
GET       0.690     98.43095
GET       0.700     98.46447
GET       0.710     98.49513
GET       0.720     98.52793
GET       0.730     98.55645
GET       0.740     98.58355
GET       0.750     98.60850
GET       0.760     98.63346
GET       0.770     98.65913
GET       0.780     98.69014
GET       0.790     98.71261
GET       0.800     98.73507
GET       0.810     98.75610
GET       0.820     98.77999
GET       0.830     98.79425
GET       0.840     98.81421
GET       0.850     98.83026
GET       0.860     98.84559
GET       0.870     98.86448
GET       0.880     98.88480
GET       0.890     98.90299
GET       0.900     98.91796
GET       0.910     98.93365
GET       0.920     98.95183
GET       0.930     98.96502
GET       0.940     98.97928
GET       0.950     98.98962
GET       0.960     99.00602
GET       0.970     99.01779
GET       0.980     99.02991
GET       0.990     99.04132
GET       1.000     99.09979
GET       1.100     99.16182
GET       1.200     99.18713
GET       1.300     99.19854
GET       1.400     99.20567
GET       1.500     99.21173
GET       1.600     99.22243
GET       1.700     99.23063
GET       1.800     99.23919
GET       1.900     99.24667
GET       2.000     99.25202
GET       2.100     99.25594
GET       2.200     99.26022
GET       2.300     99.26379
GET       2.400     99.26664
GET       2.500     99.26878
GET       2.600     99.27234
GET       2.700     99.27626
GET       2.800     99.28304
GET       2.900     99.28839
GET       3.000     99.28981
GET       3.200     99.29623
GET       3.300     99.30229
GET       3.400     99.30479
GET       3.500     99.30692
GET       3.600     99.31013
GET       3.700     99.31299
GET       3.800     99.31691
GET       3.900     99.32154
GET       4.000     99.32760
GET       4.100     99.33794
GET       4.200     99.39534
GET       4.300     99.51620
GET       4.400     99.55292
GET       4.500     99.56576
GET       4.600     99.57253
GET       4.700     99.58109
GET       4.800     99.58893
GET       4.900     99.59499
GET       5.000     99.59927
GET       5.100     99.60212
GET       5.200     99.60391
GET       5.300     99.60569
GET       5.400     99.60605
GET       5.500     99.60676
GET       5.600     99.60854
GET       5.700     99.60997
GET       5.800     99.61068
GET       5.900     99.61175
GET       6.000     99.61282
GET       6.100     99.61531
GET       6.200     99.61638
GET       6.300     99.61888
GET       6.400     99.61924
GET       6.500     99.62245
GET       6.600     99.62494
GET       6.700     99.62672
GET       6.800     99.62708
GET       7.000     99.62779
GET       7.100     99.62815
GET       7.200     99.62922
GET       7.300     99.63029
GET       7.400     99.63171
GET       7.500     99.63207
GET       7.600     99.63243
GET       7.700     99.63278
GET       7.800     99.63457
GET       7.900     99.63742
GET       8.000     99.64134
GET       8.100     99.64811
GET       8.200     99.69803
GET       8.300     99.79964
GET       8.400     99.83422
GET       8.500     99.84064
GET       8.600     99.84349
GET       8.700     99.85026
GET       8.800     99.86024
GET       8.900     99.86559
GET       9.000     99.87379
GET       9.100     99.87736
GET       9.200     99.87950
GET       9.300     99.88128
GET       9.400     99.88164
GET       9.500     99.88342
GET       9.600     99.88413
GET       9.700     99.88591
GET      10.000     99.88805
GET      11.000     99.89340
GET      12.000     99.96435
GET      13.000     99.96934
GET      16.000     99.99822
GET      17.000     99.99893
GET      24.000    100.00000
