[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       18848 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       23785 ops,    4936 (avg:   11892) ops/sec, 246.60KB/sec (avg: 527.37KB/sec),  0.60 (avg:  0.25) msec latency[RUN #1 10%,   3 secs]  1 threads:       33059 ops,    9272 (avg:   11019) ops/sec, 495.06KB/sec (avg: 516.60KB/sec),  0.32 (avg:  0.27) msec latency[RUN #1 13%,   4 secs]  1 threads:       36780 ops,    3720 (avg:    9194) ops/sec, 211.37KB/sec (avg: 440.29KB/sec),  0.80 (avg:  0.32) msec latency[RUN #1 17%,   5 secs]  1 threads:       43159 ops,    6378 (avg:    8631) ops/sec, 366.92KB/sec (avg: 425.61KB/sec),  0.47 (avg:  0.34) msec latency[RUN #1 20%,   6 secs]  1 threads:       54708 ops,   11547 (avg:    9117) ops/sec, 698.18KB/sec (avg: 471.04KB/sec),  0.25 (avg:  0.32) msec latency[RUN #1 23%,   7 secs]  1 threads:       64561 ops,    9852 (avg:    9222) ops/sec, 619.23KB/sec (avg: 492.21KB/sec),  0.30 (avg:  0.32) msec latency[RUN #1 27%,   8 secs]  1 threads:       75264 ops,   10702 (avg:    9407) ops/sec, 687.54KB/sec (avg: 516.63KB/sec),  0.28 (avg:  0.31) msec latency[RUN #1 30%,   9 secs]  1 threads:       85663 ops,   10398 (avg:    9517) ops/sec, 681.42KB/sec (avg: 534.94KB/sec),  0.28 (avg:  0.31) msec latency[RUN #1 33%,  10 secs]  1 threads:       95610 ops,    9946 (avg:    9560) ops/sec, 659.31KB/sec (avg: 547.38KB/sec),  0.30 (avg:  0.31) msec latency[RUN #1 37%,  11 secs]  1 threads:      106030 ops,   10419 (avg:    9638) ops/sec, 699.24KB/sec (avg: 561.18KB/sec),  0.28 (avg:  0.31) msec latency[RUN #1 40%,  12 secs]  1 threads:      121101 ops,   15069 (avg:   10090) ops/sec, 1020.71KB/sec (avg: 599.48KB/sec),  0.19 (avg:  0.29) msec latency[RUN #1 43%,  13 secs]  1 threads:      130049 ops,    8947 (avg:   10002) ops/sec, 611.31KB/sec (avg: 600.39KB/sec),  0.33 (avg:  0.29) msec latency[RUN #1 47%,  14 secs]  1 threads:      143225 ops,   13174 (avg:   10229) ops/sec, 900.12KB/sec (avg: 621.80KB/sec),  0.22 (avg:  0.29) msec latency[RUN #1 50%,  15 secs]  1 threads:      149784 ops,    6558 (avg:    9984) ops/sec, 448.04KB/sec (avg: 610.21KB/sec),  0.45 (avg:  0.30) msec latency[RUN #1 53%,  16 secs]  1 threads:      159577 ops,    9792 (avg:    9972) ops/sec, 668.97KB/sec (avg: 613.89KB/sec),  0.30 (avg:  0.30) msec latency[RUN #1 57%,  17 secs]  1 threads:      165998 ops,    6420 (avg:    9763) ops/sec, 440.21KB/sec (avg: 603.67KB/sec),  0.46 (avg:  0.30) msec latency[RUN #1 60%,  18 secs]  1 threads:      172697 ops,    6698 (avg:    9593) ops/sec, 458.29KB/sec (avg: 595.59KB/sec),  0.44 (avg:  0.31) msec latency[RUN #1 63%,  19 secs]  1 threads:      180262 ops,    7564 (avg:    9486) ops/sec, 519.03KB/sec (avg: 591.56KB/sec),  0.39 (avg:  0.31) msec latency[RUN #1 67%,  20 secs]  1 threads:      189496 ops,    9233 (avg:    9473) ops/sec, 634.31KB/sec (avg: 593.70KB/sec),  0.32 (avg:  0.31) msec latency[RUN #1 70%,  21 secs]  1 threads:      199330 ops,    9832 (avg:    9491) ops/sec, 676.94KB/sec (avg: 597.67KB/sec),  0.30 (avg:  0.31) msec latency[RUN #1 73%,  22 secs]  1 threads:      209945 ops,   10612 (avg:    9542) ops/sec, 730.28KB/sec (avg: 603.69KB/sec),  0.28 (avg:  0.31) msec latency[RUN #1 77%,  23 secs]  1 threads:      220684 ops,   10737 (avg:    9594) ops/sec, 740.05KB/sec (avg: 609.62KB/sec),  0.27 (avg:  0.31) msec latency[RUN #1 80%,  24 secs]  1 threads:      231971 ops,   11285 (avg:    9664) ops/sec, 776.84KB/sec (avg: 616.59KB/sec),  0.26 (avg:  0.31) msec latency[RUN #1 83%,  25 secs]  1 threads:      243360 ops,   11387 (avg:    9733) ops/sec, 785.25KB/sec (avg: 623.34KB/sec),  0.26 (avg:  0.30) msec latency[RUN #1 87%,  26 secs]  1 threads:      252733 ops,    9372 (avg:    9719) ops/sec, 646.79KB/sec (avg: 624.24KB/sec),  0.31 (avg:  0.30) msec latency[RUN #1 90%,  27 secs]  1 threads:      265797 ops,   13062 (avg:    9843) ops/sec, 901.55KB/sec (avg: 634.51KB/sec),  0.22 (avg:  0.30) msec latency[RUN #1 93%,  28 secs]  1 threads:      279701 ops,   13902 (avg:    9988) ops/sec, 959.62KB/sec (avg: 646.12KB/sec),  0.21 (avg:  0.30) msec latency[RUN #1 97%,  29 secs]  1 threads:      294419 ops,   14716 (avg:   10151) ops/sec, 1015.73KB/sec (avg: 658.87KB/sec),  0.20 (avg:  0.29) msec latency[RUN #1 100%,  30 secs]  0 threads:      309929 ops,   14716 (avg:   10330) ops/sec, 1015.73KB/sec (avg: 672.64KB/sec),  0.20 (avg:  0.29) msec latency

1         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         939.23          ---          ---      0.28300        68.99
Gets        9391.73      8332.23      1059.50      0.28500       603.65
Totals     10330.96      8332.23      1059.50      0.28500       672.64


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.071      0.00035
GET       0.072      0.00071
GET       0.076      0.00106
GET       0.077      0.00177
GET       0.078      0.00213
GET       0.079      0.00319
GET       0.080      0.00497
GET       0.081      0.00710
GET       0.082      0.01029
GET       0.083      0.01171
GET       0.084      0.01455
GET       0.085      0.01881
GET       0.086      0.02236
GET       0.087      0.02591
GET       0.088      0.03620
GET       0.089      0.04295
GET       0.090      0.05608
GET       0.091      0.06815
GET       0.092      0.08412
GET       0.093      0.10257
GET       0.094      0.13132
GET       0.095      0.15971
GET       0.096      0.18704
GET       0.097      0.20869
GET       0.098      0.24135
GET       0.099      0.27116
GET       0.100      0.48340
GET       0.110      1.13788
GET       0.120      2.22323
GET       0.130      4.16430
GET       0.140      8.44502
GET       0.150     13.09875
GET       0.160     16.95995
GET       0.170     20.83357
GET       0.180     25.85359
GET       0.190     33.71795
GET       0.200     42.15977
GET       0.210     49.99361
GET       0.220     57.41397
GET       0.230     64.78641
GET       0.240     72.42256
GET       0.250     78.49669
GET       0.260     82.99604
GET       0.270     86.19673
GET       0.280     88.55838
GET       0.290     90.34080
GET       0.300     91.68098
GET       0.310     92.65240
GET       0.320     93.37148
GET       0.330     93.91273
GET       0.340     94.30492
GET       0.350     94.59170
GET       0.360     94.77626
GET       0.370     94.90651
GET       0.380     95.00660
GET       0.390     95.07865
GET       0.400     95.13331
GET       0.410     95.18264
GET       0.420     95.22310
GET       0.430     95.25824
GET       0.440     95.29125
GET       0.450     95.32213
GET       0.460     95.35975
GET       0.470     95.39205
GET       0.480     95.43428
GET       0.490     95.47155
GET       0.500     95.51485
GET       0.510     95.56134
GET       0.520     95.61458
GET       0.530     95.68166
GET       0.540     95.73987
GET       0.550     95.81156
GET       0.560     95.88716
GET       0.570     95.96205
GET       0.580     96.05114
GET       0.590     96.15513
GET       0.600     96.25486
GET       0.610     96.35105
GET       0.620     96.45149
GET       0.630     96.56897
GET       0.640     96.68183
GET       0.650     96.79257
GET       0.660     96.92637
GET       0.670     97.03285
GET       0.680     97.14323
GET       0.690     97.26107
GET       0.700     97.36577
GET       0.710     97.47863
GET       0.720     97.57695
GET       0.730     97.67313
GET       0.740     97.75192
GET       0.750     97.83746
GET       0.760     97.92087
GET       0.770     98.00250
GET       0.780     98.08449
GET       0.790     98.15653
GET       0.800     98.21900
GET       0.810     98.27969
GET       0.820     98.32583
GET       0.830     98.37801
GET       0.840     98.42486
GET       0.850     98.47703
GET       0.860     98.52317
GET       0.870     98.56399
GET       0.880     98.60658
GET       0.890     98.64597
GET       0.900     98.68892
GET       0.910     98.72193
GET       0.920     98.75458
GET       0.930     98.79397
GET       0.940     98.83053
GET       0.950     98.85538
GET       0.960     98.88022
GET       0.970     98.90578
GET       0.980     98.92352
GET       0.990     98.94340
GET       1.000     99.05129
GET       1.100     99.18084
GET       1.200     99.22591
GET       1.300     99.23976
GET       1.400     99.24260
GET       1.500     99.24402
GET       1.600     99.24721
GET       1.700     99.25253
GET       1.800     99.25750
GET       1.900     99.26638
GET       2.000     99.26922
GET       2.100     99.27028
GET       2.200     99.27312
GET       2.300     99.27702
GET       2.400     99.27773
GET       2.500     99.28093
GET       2.700     99.28128
GET       2.800     99.28412
GET       2.900     99.28448
GET       3.000     99.28590
GET       3.100     99.28732
GET       3.200     99.28909
GET       3.300     99.29087
GET       3.400     99.29122
GET       3.500     99.29264
GET       3.600     99.29300
GET       3.700     99.29441
GET       3.800     99.29583
GET       3.900     99.29690
GET       4.000     99.30577
GET       4.100     99.31252
GET       4.200     99.36540
GET       4.300     99.50098
GET       4.400     99.53576
GET       4.500     99.54180
GET       4.600     99.55067
GET       4.700     99.56167
GET       4.800     99.57445
GET       4.900     99.58368
GET       5.000     99.58794
GET       5.100     99.59219
GET       5.200     99.59539
GET       5.300     99.59787
GET       5.400     99.59929
GET       5.500     99.60036
GET       5.600     99.60178
GET       5.700     99.60320
GET       5.800     99.60462
GET       5.900     99.60497
GET       6.200     99.60568
GET       6.300     99.60639
GET       6.400     99.60746
GET       6.600     99.60959
GET       6.700     99.60994
GET       6.800     99.61172
GET       6.900     99.61243
GET       7.200     99.61278
GET       7.300     99.61491
GET       7.400     99.61739
GET       7.500     99.61881
GET       7.800     99.61988
GET       7.900     99.62023
GET       8.100     99.62662
GET       8.200     99.68022
GET       8.300     99.78953
GET       8.400     99.82609
GET       8.500     99.83567
GET       8.600     99.84170
GET       8.700     99.84951
GET       8.800     99.85626
GET       8.900     99.86194
GET       9.000     99.86726
GET       9.100     99.87081
GET       9.200     99.87187
GET       9.300     99.87258
GET       9.400     99.87400
GET       9.600     99.87507
GET       9.800     99.87613
GET       9.900     99.87755
GET      10.000     99.87826
GET      11.000     99.87862
GET      12.000     99.95847
GET      13.000     99.96486
GET      14.000     99.96593
GET      15.000     99.96735
GET      16.000     99.99361
GET      17.000     99.99468
GET      18.000     99.99574
GET      20.000     99.99681
GET      24.000    100.00000
