[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:        6417 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       11713 ops,    5295 (avg:    5856) ops/sec, 222.91KB/sec (avg: 230.99KB/sec),  0.56 (avg:  0.51) msec latency[RUN #1 10%,   3 secs]  1 threads:       17682 ops,    5968 (avg:    5893) ops/sec, 273.49KB/sec (avg: 245.16KB/sec),  0.49 (avg:  0.50) msec latency[RUN #1 13%,   4 secs]  1 threads:       23185 ops,    5502 (avg:    5795) ops/sec, 268.42KB/sec (avg: 250.98KB/sec),  0.55 (avg:  0.51) msec latency[RUN #1 17%,   5 secs]  1 threads:       28604 ops,    5418 (avg:    5720) ops/sec, 281.22KB/sec (avg: 257.03KB/sec),  0.55 (avg:  0.52) msec latency[RUN #1 20%,   6 secs]  1 threads:       33971 ops,    5366 (avg:    5661) ops/sec, 292.26KB/sec (avg: 262.90KB/sec),  0.55 (avg:  0.52) msec latency[RUN #1 23%,   7 secs]  1 threads:       39393 ops,    5421 (avg:    5627) ops/sec, 304.44KB/sec (avg: 268.83KB/sec),  0.55 (avg:  0.53) msec latency[RUN #1 27%,   8 secs]  1 threads:       44703 ops,    5309 (avg:    5587) ops/sec, 307.40KB/sec (avg: 273.65KB/sec),  0.56 (avg:  0.53) msec latency[RUN #1 30%,   9 secs]  1 threads:       50066 ops,    5362 (avg:    5562) ops/sec, 320.27KB/sec (avg: 278.83KB/sec),  0.55 (avg:  0.53) msec latency[RUN #1 33%,  10 secs]  1 threads:       55402 ops,    5335 (avg:    5539) ops/sec, 327.01KB/sec (avg: 283.65KB/sec),  0.56 (avg:  0.54) msec latency[RUN #1 37%,  11 secs]  1 threads:       60707 ops,    5304 (avg:    5518) ops/sec, 331.76KB/sec (avg: 288.02KB/sec),  0.56 (avg:  0.54) msec latency[RUN #1 40%,  12 secs]  1 threads:       66104 ops,    5396 (avg:    5508) ops/sec, 340.06KB/sec (avg: 292.36KB/sec),  0.55 (avg:  0.54) msec latency[RUN #1 43%,  13 secs]  1 threads:       71743 ops,    5638 (avg:    5518) ops/sec, 359.43KB/sec (avg: 297.52KB/sec),  0.53 (avg:  0.54) msec latency[RUN #1 47%,  14 secs]  1 threads:       78143 ops,    6399 (avg:    5581) ops/sec, 414.76KB/sec (avg: 305.89KB/sec),  0.46 (avg:  0.53) msec latency[RUN #1 50%,  15 secs]  1 threads:       84747 ops,    6603 (avg:    5649) ops/sec, 433.30KB/sec (avg: 314.39KB/sec),  0.45 (avg:  0.53) msec latency[RUN #1 53%,  16 secs]  1 threads:       91395 ops,    6647 (avg:    5711) ops/sec, 436.74KB/sec (avg: 322.03KB/sec),  0.45 (avg:  0.52) msec latency[RUN #1 57%,  17 secs]  1 threads:       98000 ops,    6604 (avg:    5764) ops/sec, 441.34KB/sec (avg: 329.05KB/sec),  0.45 (avg:  0.52) msec latency[RUN #1 60%,  18 secs]  1 threads:      104478 ops,    6477 (avg:    5803) ops/sec, 433.47KB/sec (avg: 334.85KB/sec),  0.46 (avg:  0.51) msec latency[RUN #1 63%,  19 secs]  1 threads:      110996 ops,    6517 (avg:    5841) ops/sec, 439.99KB/sec (avg: 340.39KB/sec),  0.46 (avg:  0.51) msec latency[RUN #1 67%,  20 secs]  1 threads:      117558 ops,    6561 (avg:    5877) ops/sec, 444.55KB/sec (avg: 345.59KB/sec),  0.45 (avg:  0.51) msec latency[RUN #1 70%,  21 secs]  1 threads:      125167 ops,    7608 (avg:    5959) ops/sec, 516.60KB/sec (avg: 353.74KB/sec),  0.39 (avg:  0.50) msec latency[RUN #1 73%,  22 secs]  1 threads:      136605 ops,   11436 (avg:    6208) ops/sec, 781.33KB/sec (avg: 373.17KB/sec),  0.26 (avg:  0.48) msec latency[RUN #1 77%,  23 secs]  1 threads:      147460 ops,   10853 (avg:    6410) ops/sec, 741.10KB/sec (avg: 389.17KB/sec),  0.27 (avg:  0.46) msec latency[RUN #1 80%,  24 secs]  1 threads:      159291 ops,   11829 (avg:    6636) ops/sec, 808.08KB/sec (avg: 406.63KB/sec),  0.25 (avg:  0.45) msec latency[RUN #1 83%,  25 secs]  1 threads:      171179 ops,   11886 (avg:    6846) ops/sec, 814.03KB/sec (avg: 422.92KB/sec),  0.25 (avg:  0.43) msec latency[RUN #1 87%,  26 secs]  1 threads:      184189 ops,   13008 (avg:    7083) ops/sec, 892.17KB/sec (avg: 440.97KB/sec),  0.23 (avg:  0.42) msec latency[RUN #1 90%,  27 secs]  1 threads:      197579 ops,   13388 (avg:    7317) ops/sec, 921.39KB/sec (avg: 458.76KB/sec),  0.22 (avg:  0.40) msec latency[RUN #1 93%,  28 secs]  1 threads:      211482 ops,   13901 (avg:    7552) ops/sec, 956.67KB/sec (avg: 476.55KB/sec),  0.21 (avg:  0.39) msec latency[RUN #1 97%,  29 secs]  1 threads:      225086 ops,   13602 (avg:    7760) ops/sec, 937.25KB/sec (avg: 492.43KB/sec),  0.22 (avg:  0.38) msec latency[RUN #1 100%,  30 secs]  0 threads:      239319 ops,   13602 (avg:    7977) ops/sec, 937.25KB/sec (avg: 508.75KB/sec),  0.22 (avg:  0.37) msec latency

1         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         725.26          ---          ---      0.36900        53.28
Gets        7252.00      6154.54      1097.46      0.37100       455.47
Totals      7977.27      6154.54      1097.46      0.37100       508.75


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.067      0.00046
GET       0.071      0.00092
GET       0.072      0.00138
GET       0.080      0.00184
GET       0.081      0.00230
GET       0.082      0.00414
GET       0.083      0.00460
GET       0.084      0.00552
GET       0.085      0.00643
GET       0.086      0.00827
GET       0.087      0.01149
GET       0.088      0.01425
GET       0.089      0.01793
GET       0.090      0.02206
GET       0.091      0.03034
GET       0.092      0.03401
GET       0.093      0.04367
GET       0.094      0.05194
GET       0.095      0.05975
GET       0.096      0.06895
GET       0.097      0.07768
GET       0.098      0.08687
GET       0.099      0.09607
GET       0.100      0.15352
GET       0.110      0.29831
GET       0.120      0.50928
GET       0.130      1.06959
GET       0.140      3.07040
GET       0.150      5.49823
GET       0.160      7.22050
GET       0.170      9.06366
GET       0.180     12.61072
GET       0.190     21.86008
GET       0.200     31.38154
GET       0.210     38.23709
GET       0.220     44.05063
GET       0.230     51.11578
GET       0.240     60.94245
GET       0.250     68.65569
GET       0.260     73.83033
GET       0.270     77.69361
GET       0.280     81.40338
GET       0.290     85.34158
GET       0.300     88.57654
GET       0.310     90.93128
GET       0.320     92.76892
GET       0.330     94.28574
GET       0.340     95.48586
GET       0.350     96.34355
GET       0.360     96.87904
GET       0.370     97.24537
GET       0.380     97.50047
GET       0.390     97.66962
GET       0.400     97.77855
GET       0.410     97.85026
GET       0.420     97.91139
GET       0.430     97.95827
GET       0.440     98.00332
GET       0.450     98.03779
GET       0.460     98.07410
GET       0.470     98.09479
GET       0.480     98.11455
GET       0.490     98.13661
GET       0.500     98.15316
GET       0.510     98.16327
GET       0.520     98.17063
GET       0.530     98.18120
GET       0.540     98.19085
GET       0.550     98.19407
GET       0.560     98.20142
GET       0.570     98.20510
GET       0.580     98.21154
GET       0.590     98.21705
GET       0.600     98.22073
GET       0.610     98.22578
GET       0.620     98.22762
GET       0.630     98.23222
GET       0.640     98.23498
GET       0.650     98.23728
GET       0.660     98.23820
GET       0.680     98.23957
GET       0.690     98.24095
GET       0.700     98.24233
GET       0.710     98.24279
GET       0.720     98.24463
GET       0.730     98.24555
GET       0.740     98.24601
GET       0.750     98.24785
GET       0.760     98.24831
GET       0.770     98.24923
GET       0.780     98.25152
GET       0.790     98.25198
GET       0.800     98.25382
GET       0.820     98.25658
GET       0.830     98.25796
GET       0.840     98.26026
GET       0.850     98.26118
GET       0.860     98.26256
GET       0.880     98.26348
GET       0.890     98.26439
GET       0.900     98.26531
GET       0.920     98.26669
GET       0.930     98.26715
GET       0.940     98.26853
GET       0.950     98.26899
GET       0.960     98.27129
GET       0.970     98.27221
GET       0.980     98.27267
GET       0.990     98.27359
GET       1.000     98.27589
GET       1.100     98.28140
GET       1.200     98.28370
GET       1.300     98.28646
GET       1.400     98.29565
GET       1.500     98.30117
GET       1.600     98.31312
GET       1.700     98.32323
GET       1.800     98.32783
GET       1.900     98.33334
GET       2.000     98.33932
GET       2.100     98.34759
GET       2.200     98.35173
GET       2.300     98.35402
GET       2.400     98.35632
GET       2.500     98.36046
GET       2.600     98.36368
GET       2.700     98.36873
GET       2.800     98.37839
GET       2.900     98.38252
GET       3.000     98.38482
GET       3.100     98.38574
GET       3.200     98.38804
GET       3.300     98.38942
GET       3.400     98.39172
GET       3.500     98.39677
GET       3.600     98.40183
GET       3.700     98.40550
GET       3.800     98.40642
GET       3.900     98.41102
GET       4.000     98.41470
GET       4.100     98.42389
GET       4.200     98.52961
GET       4.300     98.75115
GET       4.400     98.85779
GET       4.500     98.87342
GET       4.600     98.87664
GET       4.700     98.87894
GET       4.800     98.87985
GET       4.900     98.88031
GET       5.000     98.88123
GET       5.100     98.88169
GET       5.200     98.88629
GET       5.300     98.88905
GET       5.400     98.89135
GET       5.500     98.89181
GET       5.600     98.89318
GET       5.700     98.89410
GET       5.800     98.89640
GET       5.900     98.89824
GET       6.000     98.90238
GET       6.100     98.90330
GET       6.200     98.90559
GET       6.300     98.91019
GET       6.400     98.91203
GET       6.500     98.91479
GET       6.600     98.91571
GET       6.700     98.91663
GET       6.800     98.91846
GET       6.900     98.91892
GET       7.000     98.91984
GET       7.300     98.92122
GET       7.500     98.92352
GET       7.600     98.92444
GET       7.900     98.92812
GET       8.000     98.93271
GET       8.100     98.94420
GET       8.200     99.04900
GET       8.300     99.27928
GET       8.400     99.39098
GET       8.500     99.40385
GET       8.600     99.40706
GET       9.100     99.40844
GET       9.400     99.40936
GET       9.500     99.40982
GET       9.600     99.41074
GET       9.800     99.41212
GET       9.900     99.41258
GET      10.000     99.41855
GET      11.000     99.42407
GET      12.000     99.95128
GET      13.000     99.96139
GET      14.000     99.96277
GET      15.000     99.96415
GET      16.000     99.99724
GET      24.000    100.00000
