[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   1 secs]  1 threads:        9656 ops,    9655 (avg:    9655) ops/sec, 460.29KB/sec (avg: 460.29KB/sec),  0.10 (avg:  0.10) msec latency[RUN #1 7%,   2 secs]  1 threads:       18694 ops,    9037 (avg:    9346) ops/sec, 545.39KB/sec (avg: 502.84KB/sec),  0.11 (avg:  0.10) msec latency[RUN #1 10%,   3 secs]  1 threads:       26209 ops,    7514 (avg:    8735) ops/sec, 486.77KB/sec (avg: 497.48KB/sec),  0.13 (avg:  0.11) msec latency[RUN #1 13%,   4 secs]  1 threads:       33800 ops,    7589 (avg:    8449) ops/sec, 507.90KB/sec (avg: 500.09KB/sec),  0.13 (avg:  0.11) msec latency[RUN #1 17%,   5 secs]  1 threads:       41485 ops,    7684 (avg:    8296) ops/sec, 521.63KB/sec (avg: 504.40KB/sec),  0.13 (avg:  0.12) msec latency[RUN #1 20%,   6 secs]  1 threads:       48622 ops,    7136 (avg:    8102) ops/sec, 488.72KB/sec (avg: 501.78KB/sec),  0.13 (avg:  0.12) msec latency[RUN #1 23%,   7 secs]  1 threads:       55038 ops,    6414 (avg:    7861) ops/sec, 440.54KB/sec (avg: 493.04KB/sec),  0.15 (avg:  0.12) msec latency[RUN #1 27%,   8 secs]  1 threads:       60974 ops,    5935 (avg:    7620) ops/sec, 407.81KB/sec (avg: 482.38KB/sec),  0.16 (avg:  0.13) msec latency[RUN #1 30%,   9 secs]  1 threads:       66485 ops,    5510 (avg:    7386) ops/sec, 378.95KB/sec (avg: 470.89KB/sec),  0.17 (avg:  0.13) msec latency[RUN #1 33%,  10 secs]  1 threads:       71853 ops,    5367 (avg:    7184) ops/sec, 369.31KB/sec (avg: 460.73KB/sec),  0.18 (avg:  0.13) msec latency[RUN #1 37%,  11 secs]  1 threads:       77191 ops,    5337 (avg:    7016) ops/sec, 367.24KB/sec (avg: 452.23KB/sec),  0.18 (avg:  0.14) msec latency[RUN #1 40%,  12 secs]  1 threads:       82576 ops,    5384 (avg:    6880) ops/sec, 370.47KB/sec (avg: 445.42KB/sec),  0.18 (avg:  0.14) msec latency[RUN #1 43%,  13 secs]  1 threads:       87929 ops,    5352 (avg:    6763) ops/sec, 368.27KB/sec (avg: 439.49KB/sec),  0.18 (avg:  0.14) msec latency[RUN #1 47%,  14 secs]  1 threads:       93229 ops,    5299 (avg:    6658) ops/sec, 364.63KB/sec (avg: 434.14KB/sec),  0.18 (avg:  0.14) msec latency[RUN #1 50%,  15 secs]  1 threads:       98578 ops,    5348 (avg:    6571) ops/sec, 368.00KB/sec (avg: 429.73KB/sec),  0.18 (avg:  0.15) msec latency[RUN #1 53%,  16 secs]  1 threads:      103927 ops,    5348 (avg:    6494) ops/sec, 367.98KB/sec (avg: 425.87KB/sec),  0.18 (avg:  0.15) msec latency[RUN #1 57%,  17 secs]  1 threads:      109286 ops,    5358 (avg:    6427) ops/sec, 368.69KB/sec (avg: 422.51KB/sec),  0.18 (avg:  0.15) msec latency[RUN #1 60%,  18 secs]  1 threads:      114693 ops,    5406 (avg:    6371) ops/sec, 371.99KB/sec (avg: 419.70KB/sec),  0.18 (avg:  0.15) msec latency[RUN #1 63%,  19 secs]  1 threads:      119970 ops,    5276 (avg:    6313) ops/sec, 363.05KB/sec (avg: 416.72KB/sec),  0.18 (avg:  0.15) msec latency[RUN #1 67%,  20 secs]  1 threads:      125368 ops,    5397 (avg:    6267) ops/sec, 371.36KB/sec (avg: 414.45KB/sec),  0.18 (avg:  0.15) msec latency[RUN #1 70%,  21 secs]  1 threads:      130695 ops,    5326 (avg:    6222) ops/sec, 366.48KB/sec (avg: 412.17KB/sec),  0.18 (avg:  0.15) msec latency[RUN #1 73%,  22 secs]  1 threads:      136026 ops,    5330 (avg:    6182) ops/sec, 366.76KB/sec (avg: 410.10KB/sec),  0.18 (avg:  0.16) msec latency[RUN #1 77%,  23 secs]  1 threads:      141317 ops,    5290 (avg:    6143) ops/sec, 364.01KB/sec (avg: 408.10KB/sec),  0.18 (avg:  0.16) msec latency[RUN #1 80%,  24 secs]  1 threads:      146705 ops,    5387 (avg:    6112) ops/sec, 370.69KB/sec (avg: 406.54KB/sec),  0.18 (avg:  0.16) msec latency[RUN #1 83%,  25 secs]  1 threads:      152089 ops,    5383 (avg:    6082) ops/sec, 370.42KB/sec (avg: 405.09KB/sec),  0.18 (avg:  0.16) msec latency[RUN #1 87%,  26 secs]  1 threads:      157456 ops,    5366 (avg:    6055) ops/sec, 369.24KB/sec (avg: 403.71KB/sec),  0.18 (avg:  0.16) msec latency[RUN #1 90%,  27 secs]  1 threads:      162845 ops,    5388 (avg:    6030) ops/sec, 370.75KB/sec (avg: 402.49KB/sec),  0.18 (avg:  0.16) msec latency[RUN #1 93%,  28 secs]  1 threads:      168168 ops,    5322 (avg:    6005) ops/sec, 366.21KB/sec (avg: 401.20KB/sec),  0.18 (avg:  0.16) msec latency[RUN #1 97%,  29 secs]  1 threads:      173489 ops,    5320 (avg:    5981) ops/sec, 366.08KB/sec (avg: 399.99KB/sec),  0.18 (avg:  0.16) msec latency[RUN #1 100%,  30 secs]  0 threads:      179057 ops,    5320 (avg:    5968) ops/sec, 366.08KB/sec (avg: 399.46KB/sec),  0.18 (avg:  0.16) msec latency

1         Threads
1         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         542.60          ---          ---      0.16100        39.74
Gets        5425.96      5131.89       294.07      0.16100       359.72
Totals      5968.56      5131.89       294.07      0.16100       399.46


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.059      0.00123
GET       0.060      0.00246
GET       0.061      0.00430
GET       0.062      0.00614
GET       0.063      0.01352
GET       0.064      0.02212
GET       0.065      0.03133
GET       0.066      0.04915
GET       0.067      0.07311
GET       0.068      0.10198
GET       0.069      0.13638
GET       0.070      0.17140
GET       0.071      0.23959
GET       0.072      0.32129
GET       0.073      0.40976
GET       0.074      0.49269
GET       0.075      0.60020
GET       0.076      0.71324
GET       0.077      0.85330
GET       0.078      1.02040
GET       0.079      1.21699
GET       0.080      1.42893
GET       0.081      1.63903
GET       0.082      1.89705
GET       0.083      2.21404
GET       0.084      2.54455
GET       0.085      2.89841
GET       0.086      3.33581
GET       0.087      3.87212
GET       0.088      4.44775
GET       0.089      5.10078
GET       0.090      5.84351
GET       0.091      6.70480
GET       0.092      7.72827
GET       0.093      8.97536
GET       0.094     10.57016
GET       0.095     12.22885
GET       0.096     13.61355
GET       0.097     14.73040
GET       0.098     15.74527
GET       0.099     16.71346
GET       0.100     20.97752
GET       0.110     28.38020
GET       0.120     35.40383
GET       0.130     43.01783
GET       0.140     51.94159
GET       0.150     59.71716
GET       0.160     65.41507
GET       0.170     70.26275
GET       0.180     74.93964
GET       0.190     79.21108
GET       0.200     82.53829
GET       0.210     85.06318
GET       0.220     87.09784
GET       0.230     88.83824
GET       0.240     90.33843
GET       0.250     91.64143
GET       0.260     92.65446
GET       0.270     93.54831
GET       0.280     94.29656
GET       0.290     94.98707
GET       0.300     95.54488
GET       0.310     96.00501
GET       0.320     96.40248
GET       0.330     96.76371
GET       0.340     97.08808
GET       0.350     97.36760
GET       0.360     97.59858
GET       0.370     97.80131
GET       0.380     97.97394
GET       0.390     98.15762
GET       0.400     98.28909
GET       0.410     98.39721
GET       0.420     98.49059
GET       0.430     98.58827
GET       0.440     98.66629
GET       0.450     98.75230
GET       0.460     98.81742
GET       0.470     98.88069
GET       0.480     98.94458
GET       0.490     99.00786
GET       0.500     99.05700
GET       0.510     99.09694
GET       0.520     99.14362
GET       0.530     99.19031
GET       0.540     99.24560
GET       0.550     99.28861
GET       0.560     99.33222
GET       0.570     99.36233
GET       0.580     99.39427
GET       0.590     99.41762
GET       0.600     99.45140
GET       0.610     99.47475
GET       0.620     99.50362
GET       0.630     99.52942
GET       0.640     99.55215
GET       0.650     99.57120
GET       0.660     99.59086
GET       0.670     99.61543
GET       0.680     99.63386
GET       0.690     99.65905
GET       0.700     99.67686
GET       0.710     99.69222
GET       0.720     99.70942
GET       0.730     99.72539
GET       0.740     99.74382
GET       0.750     99.76287
GET       0.760     99.77761
GET       0.770     99.78990
GET       0.780     99.79666
GET       0.790     99.81017
GET       0.800     99.82492
GET       0.810     99.83966
GET       0.820     99.84519
GET       0.830     99.85379
GET       0.840     99.86300
GET       0.850     99.87345
GET       0.860     99.88328
GET       0.870     99.89311
GET       0.880     99.89986
GET       0.890     99.90969
GET       0.900     99.91522
GET       0.910     99.92259
GET       0.920     99.92997
GET       0.930     99.93611
GET       0.940     99.94348
GET       0.950     99.94717
GET       0.960     99.95208
GET       0.970     99.95577
GET       0.980     99.95884
GET       0.990     99.96007
GET       1.000     99.97236
GET       1.100     99.98648
GET       1.200     99.99509
GET       1.300     99.99816
GET       1.400     99.99877
GET       1.700     99.99939
GET       2.600    100.00000
