[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   1 secs]  1 threads:        7770 ops,    7769 (avg:    7769) ops/sec, 354.88KB/sec (avg: 354.88KB/sec),  0.12 (avg:  0.12) msec latency[RUN #1 7%,   2 secs]  1 threads:       15137 ops,    7366 (avg:    7568) ops/sec, 434.97KB/sec (avg: 394.93KB/sec),  0.13 (avg:  0.13) msec latency[RUN #1 10%,   3 secs]  1 threads:       22132 ops,    6994 (avg:    7376) ops/sec, 446.65KB/sec (avg: 412.17KB/sec),  0.14 (avg:  0.13) msec latency[RUN #1 13%,   4 secs]  1 threads:       28714 ops,    6581 (avg:    7177) ops/sec, 437.86KB/sec (avg: 418.59KB/sec),  0.15 (avg:  0.13) msec latency[RUN #1 17%,   5 secs]  1 threads:       34760 ops,    6045 (avg:    6951) ops/sec, 408.49KB/sec (avg: 416.57KB/sec),  0.16 (avg:  0.14) msec latency[RUN #1 20%,   6 secs]  1 threads:       40446 ops,    5685 (avg:    6740) ops/sec, 387.41KB/sec (avg: 411.71KB/sec),  0.17 (avg:  0.14) msec latency[RUN #1 23%,   7 secs]  1 threads:       45893 ops,    5446 (avg:    6555) ops/sec, 372.99KB/sec (avg: 406.18KB/sec),  0.18 (avg:  0.15) msec latency[RUN #1 27%,   8 secs]  1 threads:       51107 ops,    5213 (avg:    6387) ops/sec, 358.22KB/sec (avg: 400.18KB/sec),  0.18 (avg:  0.15) msec latency[RUN #1 30%,   9 secs]  1 threads:       56345 ops,    5237 (avg:    6259) ops/sec, 359.83KB/sec (avg: 395.70KB/sec),  0.18 (avg:  0.15) msec latency[RUN #1 33%,  10 secs]  1 threads:       61527 ops,    5181 (avg:    6152) ops/sec, 356.40KB/sec (avg: 391.77KB/sec),  0.19 (avg:  0.16) msec latency[RUN #1 37%,  11 secs]  1 threads:       66714 ops,    5186 (avg:    6064) ops/sec, 356.85KB/sec (avg: 388.59KB/sec),  0.19 (avg:  0.16) msec latency[RUN #1 40%,  12 secs]  1 threads:       71874 ops,    5159 (avg:    5988) ops/sec, 355.00KB/sec (avg: 385.80KB/sec),  0.19 (avg:  0.16) msec latency[RUN #1 43%,  13 secs]  1 threads:       77059 ops,    5184 (avg:    5927) ops/sec, 356.72KB/sec (avg: 383.56KB/sec),  0.19 (avg:  0.16) msec latency[RUN #1 47%,  14 secs]  1 threads:       82208 ops,    5148 (avg:    5871) ops/sec, 354.24KB/sec (avg: 381.46KB/sec),  0.19 (avg:  0.16) msec latency[RUN #1 50%,  15 secs]  1 threads:       87462 ops,    5253 (avg:    5830) ops/sec, 361.46KB/sec (avg: 380.13KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 53%,  16 secs]  1 threads:       92539 ops,    5076 (avg:    5783) ops/sec, 349.29KB/sec (avg: 378.20KB/sec),  0.19 (avg:  0.17) msec latency[RUN #1 57%,  17 secs]  1 threads:       97803 ops,    5263 (avg:    5752) ops/sec, 362.15KB/sec (avg: 377.26KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 60%,  18 secs]  1 threads:      103035 ops,    5231 (avg:    5723) ops/sec, 359.95KB/sec (avg: 376.30KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 63%,  19 secs]  1 threads:      108241 ops,    5205 (avg:    5696) ops/sec, 358.17KB/sec (avg: 375.34KB/sec),  0.19 (avg:  0.17) msec latency[RUN #1 67%,  20 secs]  1 threads:      113475 ops,    5233 (avg:    5673) ops/sec, 360.08KB/sec (avg: 374.58KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 70%,  21 secs]  1 threads:      118726 ops,    5250 (avg:    5653) ops/sec, 361.26KB/sec (avg: 373.95KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 73%,  22 secs]  1 threads:      123899 ops,    5172 (avg:    5631) ops/sec, 355.89KB/sec (avg: 373.12KB/sec),  0.19 (avg:  0.17) msec latency[RUN #1 77%,  23 secs]  1 threads:      129117 ops,    5217 (avg:    5613) ops/sec, 358.99KB/sec (avg: 372.51KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 80%,  24 secs]  1 threads:      134385 ops,    5267 (avg:    5598) ops/sec, 362.42KB/sec (avg: 372.09KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 83%,  25 secs]  1 threads:      139706 ops,    5320 (avg:    5587) ops/sec, 366.08KB/sec (avg: 371.85KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 87%,  26 secs]  1 threads:      144933 ops,    5226 (avg:    5573) ops/sec, 359.61KB/sec (avg: 371.38KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 90%,  27 secs]  1 threads:      150146 ops,    5212 (avg:    5560) ops/sec, 358.65KB/sec (avg: 370.91KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 93%,  28 secs]  1 threads:      155585 ops,    5438 (avg:    5556) ops/sec, 374.20KB/sec (avg: 371.03KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 97%,  29 secs]  1 threads:      161488 ops,    5902 (avg:    5568) ops/sec, 406.11KB/sec (avg: 372.24KB/sec),  0.16 (avg:  0.17) msec latency[RUN #1 100%,  30 secs]  0 threads:      168100 ops,    5902 (avg:    5603) ops/sec, 406.11KB/sec (avg: 375.02KB/sec),  0.16 (avg:  0.17) msec latency

1         Threads
1         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         509.40          ---          ---      0.17400        37.31
Gets        5093.92      4817.99       275.93      0.17100       337.71
Totals      5603.32      4817.99       275.93      0.17200       375.02


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.061      0.00065
GET       0.063      0.00196
GET       0.064      0.00262
GET       0.065      0.00589
GET       0.066      0.01047
GET       0.067      0.01701
GET       0.068      0.02487
GET       0.069      0.03599
GET       0.070      0.05366
GET       0.071      0.06151
GET       0.072      0.07722
GET       0.073      0.10077
GET       0.074      0.12171
GET       0.075      0.14985
GET       0.076      0.18322
GET       0.077      0.21333
GET       0.078      0.24408
GET       0.079      0.30363
GET       0.080      0.37234
GET       0.081      0.46133
GET       0.082      0.56996
GET       0.083      0.70345
GET       0.084      0.83694
GET       0.085      1.03980
GET       0.086      1.27734
GET       0.087      1.54759
GET       0.088      1.90292
GET       0.089      2.31255
GET       0.090      2.71892
GET       0.091      3.19792
GET       0.092      3.83070
GET       0.093      4.66306
GET       0.094      5.67734
GET       0.095      6.61702
GET       0.096      7.45789
GET       0.097      8.16134
GET       0.098      8.83927
GET       0.099      9.54403
GET       0.100     12.90817
GET       0.110     17.68771
GET       0.120     22.10276
GET       0.130     28.85917
GET       0.140     43.18536
GET       0.150     53.53623
GET       0.160     59.30257
GET       0.170     63.75689
GET       0.180     68.85773
GET       0.190     75.63900
GET       0.200     80.56381
GET       0.210     83.56411
GET       0.220     85.67970
GET       0.230     87.73247
GET       0.240     89.81337
GET       0.250     91.44931
GET       0.260     92.56239
GET       0.270     93.41112
GET       0.280     94.13354
GET       0.290     94.89654
GET       0.300     95.44491
GET       0.310     95.87745
GET       0.320     96.21969
GET       0.330     96.52724
GET       0.340     96.83676
GET       0.350     97.12599
GET       0.360     97.35110
GET       0.370     97.54610
GET       0.380     97.71035
GET       0.390     97.87002
GET       0.400     98.01463
GET       0.410     98.12653
GET       0.420     98.24170
GET       0.430     98.35163
GET       0.440     98.45044
GET       0.450     98.53290
GET       0.460     98.61404
GET       0.470     98.68406
GET       0.480     98.75473
GET       0.490     98.81820
GET       0.500     98.87775
GET       0.510     98.93141
GET       0.520     98.98572
GET       0.530     99.03807
GET       0.540     99.08453
GET       0.550     99.12903
GET       0.560     99.16240
GET       0.570     99.20101
GET       0.580     99.24551
GET       0.590     99.27103
GET       0.600     99.29786
GET       0.610     99.32861
GET       0.620     99.36002
GET       0.630     99.39209
GET       0.640     99.42611
GET       0.650     99.46080
GET       0.660     99.49024
GET       0.670     99.51315
GET       0.680     99.54128
GET       0.690     99.56746
GET       0.700     99.59363
GET       0.710     99.61719
GET       0.720     99.63421
GET       0.730     99.65580
GET       0.740     99.67412
GET       0.750     99.69833
GET       0.760     99.71666
GET       0.770     99.73171
GET       0.780     99.74938
GET       0.790     99.76901
GET       0.800     99.78013
GET       0.810     99.79191
GET       0.820     99.80303
GET       0.830     99.82070
GET       0.840     99.82986
GET       0.850     99.84230
GET       0.860     99.85277
GET       0.870     99.86127
GET       0.880     99.87109
GET       0.890     99.87632
GET       0.900     99.88941
GET       0.910     99.89530
GET       0.920     99.90054
GET       0.930     99.90642
GET       0.940     99.91035
GET       0.950     99.91624
GET       0.960     99.92409
GET       0.970     99.92933
GET       0.980     99.93391
GET       0.990     99.93914
GET       1.000     99.95485
GET       1.100     99.97383
GET       1.200     99.98495
GET       1.300     99.99280
GET       1.400     99.99542
GET       1.500     99.99607
GET       1.700     99.99673
GET       1.800     99.99738
GET       1.900     99.99869
GET       2.300     99.99935
GET       3.000    100.00000
