[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       13817 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  1 threads:       26814 ops,   12995 (avg:   13407) ops/sec, 657.97KB/sec (avg: 617.96KB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 10%,   3 secs]  1 threads:       38962 ops,   12146 (avg:   12987) ops/sec, 685.17KB/sec (avg: 640.37KB/sec),  0.16 (avg:  0.15) msec latency[RUN #1 13%,   4 secs]  1 threads:       50836 ops,   11872 (avg:   12708) ops/sec, 711.79KB/sec (avg: 658.22KB/sec),  0.16 (avg:  0.15) msec latency[RUN #1 17%,   5 secs]  1 threads:       63471 ops,   12633 (avg:   12693) ops/sec, 796.67KB/sec (avg: 685.92KB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 20%,   6 secs]  1 threads:       75937 ops,   12464 (avg:   12655) ops/sec, 813.36KB/sec (avg: 707.16KB/sec),  0.16 (avg:  0.15) msec latency[RUN #1 23%,   7 secs]  1 threads:       87780 ops,   11841 (avg:   12539) ops/sec, 791.72KB/sec (avg: 719.24KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 27%,   8 secs]  1 threads:      100221 ops,   12439 (avg:   12526) ops/sec, 841.77KB/sec (avg: 734.55KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 30%,   9 secs]  1 threads:      113388 ops,   13165 (avg:   12597) ops/sec, 897.31KB/sec (avg: 752.64KB/sec),  0.15 (avg:  0.15) msec latency[RUN #1 33%,  10 secs]  1 threads:      120168 ops,    6779 (avg:   12015) ops/sec, 463.08KB/sec (avg: 723.68KB/sec),  0.29 (avg:  0.16) msec latency[RUN #1 37%,  11 secs]  1 threads:      126506 ops,    6337 (avg:   11499) ops/sec, 435.21KB/sec (avg: 697.46KB/sec),  0.31 (avg:  0.17) msec latency[RUN #1 40%,  12 secs]  1 threads:      132957 ops,    6450 (avg:   11078) ops/sec, 443.86KB/sec (avg: 676.32KB/sec),  0.30 (avg:  0.18) msec latency[RUN #1 43%,  13 secs]  1 threads:      139305 ops,    6347 (avg:   10714) ops/sec, 437.30KB/sec (avg: 657.94KB/sec),  0.31 (avg:  0.18) msec latency[RUN #1 47%,  14 secs]  1 threads:      148153 ops,    8847 (avg:   10581) ops/sec, 609.22KB/sec (avg: 654.46KB/sec),  0.22 (avg:  0.18) msec latency[RUN #1 50%,  15 secs]  1 threads:      160622 ops,   12467 (avg:   10707) ops/sec, 860.14KB/sec (avg: 668.17KB/sec),  0.16 (avg:  0.18) msec latency[RUN #1 53%,  16 secs]  1 threads:      173551 ops,   12927 (avg:   10846) ops/sec, 892.29KB/sec (avg: 682.18KB/sec),  0.15 (avg:  0.18) msec latency[RUN #1 57%,  17 secs]  1 threads:      186007 ops,   12454 (avg:   10940) ops/sec, 860.85KB/sec (avg: 692.69KB/sec),  0.16 (avg:  0.18) msec latency[RUN #1 60%,  18 secs]  1 threads:      198337 ops,   12328 (avg:   11017) ops/sec, 853.35KB/sec (avg: 701.61KB/sec),  0.16 (avg:  0.18) msec latency[RUN #1 63%,  19 secs]  1 threads:      210899 ops,   12560 (avg:   11098) ops/sec, 869.40KB/sec (avg: 710.44KB/sec),  0.15 (avg:  0.18) msec latency[RUN #1 67%,  20 secs]  1 threads:      223271 ops,   12370 (avg:   11162) ops/sec, 856.24KB/sec (avg: 717.73KB/sec),  0.16 (avg:  0.17) msec latency[RUN #1 70%,  21 secs]  1 threads:      235923 ops,   12650 (avg:   11233) ops/sec, 875.71KB/sec (avg: 725.26KB/sec),  0.15 (avg:  0.17) msec latency[RUN #1 73%,  22 secs]  1 threads:      247099 ops,   11174 (avg:   11230) ops/sec, 773.52KB/sec (avg: 727.45KB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 77%,  23 secs]  1 threads:      253401 ops,    6301 (avg:   11016) ops/sec, 436.16KB/sec (avg: 714.79KB/sec),  0.31 (avg:  0.18) msec latency[RUN #1 80%,  24 secs]  1 threads:      259751 ops,    6349 (avg:   10821) ops/sec, 439.53KB/sec (avg: 703.32KB/sec),  0.31 (avg:  0.18) msec latency[RUN #1 83%,  25 secs]  1 threads:      266143 ops,    6391 (avg:   10644) ops/sec, 442.41KB/sec (avg: 692.88KB/sec),  0.31 (avg:  0.18) msec latency[RUN #1 87%,  26 secs]  1 threads:      272508 ops,    6364 (avg:   10480) ops/sec, 440.58KB/sec (avg: 683.18KB/sec),  0.31 (avg:  0.19) msec latency[RUN #1 90%,  27 secs]  1 threads:      278953 ops,    6444 (avg:   10330) ops/sec, 446.07KB/sec (avg: 674.40KB/sec),  0.30 (avg:  0.19) msec latency[RUN #1 93%,  28 secs]  1 threads:      289645 ops,   10691 (avg:   10343) ops/sec, 740.01KB/sec (avg: 676.74KB/sec),  0.18 (avg:  0.19) msec latency[RUN #1 97%,  29 secs]  1 threads:      301867 ops,   12220 (avg:   10408) ops/sec, 845.92KB/sec (avg: 682.57KB/sec),  0.16 (avg:  0.19) msec latency[RUN #1 100%,  30 secs]  0 threads:      314286 ops,   12220 (avg:   10476) ops/sec, 845.92KB/sec (avg: 688.53KB/sec),  0.16 (avg:  0.19) msec latency

1         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         952.40          ---          ---      0.18700        70.16
Gets        9523.79      8562.46       961.33      0.18500       618.38
Totals     10476.19      8562.46       961.33      0.18500       688.53


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.061      0.00035
GET       0.063      0.00070
GET       0.064      0.00175
GET       0.065      0.00245
GET       0.066      0.00315
GET       0.067      0.00490
GET       0.068      0.00560
GET       0.069      0.00735
GET       0.070      0.00875
GET       0.071      0.01190
GET       0.072      0.01715
GET       0.073      0.02135
GET       0.074      0.02520
GET       0.075      0.03395
GET       0.076      0.04410
GET       0.077      0.05530
GET       0.078      0.06790
GET       0.079      0.08260
GET       0.080      0.10290
GET       0.081      0.12110
GET       0.082      0.15330
GET       0.083      0.18165
GET       0.084      0.22050
GET       0.085      0.27370
GET       0.086      0.34265
GET       0.087      0.41895
GET       0.088      0.51310
GET       0.089      0.62720
GET       0.090      0.76195
GET       0.091      0.92190
GET       0.092      1.10250
GET       0.093      1.31845
GET       0.094      1.56660
GET       0.095      1.84730
GET       0.096      2.14270
GET       0.097      2.44930
GET       0.098      2.71845
GET       0.099      3.02085
GET       0.100      4.62490
GET       0.110      8.21276
GET       0.120     12.55766
GET       0.130     19.71552
GET       0.140     34.18033
GET       0.150     47.92555
GET       0.160     56.44596
GET       0.170     62.32876
GET       0.180     67.34952
GET       0.190     72.37482
GET       0.200     75.88568
GET       0.210     77.78478
GET       0.220     78.99613
GET       0.230     79.99258
GET       0.240     81.05028
GET       0.250     82.06703
GET       0.260     83.06558
GET       0.270     84.09108
GET       0.280     85.39414
GET       0.290     87.12979
GET       0.300     88.87314
GET       0.310     90.50974
GET       0.320     91.95349
GET       0.330     93.40494
GET       0.340     94.88229
GET       0.350     96.03170
GET       0.360     96.88535
GET       0.370     97.51045
GET       0.380     98.04525
GET       0.390     98.49675
GET       0.400     98.80825
GET       0.410     99.01020
GET       0.420     99.15090
GET       0.430     99.26955
GET       0.440     99.36230
GET       0.450     99.43405
GET       0.460     99.49985
GET       0.470     99.55445
GET       0.480     99.61220
GET       0.490     99.66400
GET       0.500     99.71265
GET       0.510     99.74800
GET       0.520     99.78055
GET       0.530     99.80960
GET       0.540     99.83130
GET       0.550     99.85475
GET       0.560     99.87645
GET       0.570     99.89360
GET       0.580     99.90865
GET       0.590     99.92160
GET       0.600     99.93210
GET       0.610     99.94295
GET       0.620     99.94855
GET       0.630     99.95240
GET       0.640     99.95800
GET       0.650     99.95940
GET       0.660     99.96080
GET       0.670     99.96325
GET       0.680     99.96570
GET       0.690     99.96815
GET       0.700     99.97025
GET       0.710     99.97200
GET       0.720     99.97270
GET       0.730     99.97340
GET       0.740     99.97410
GET       0.750     99.97480
GET       0.760     99.97515
GET       0.770     99.97655
GET       0.780     99.97690
GET       0.800     99.97760
GET       0.810     99.97795
GET       0.820     99.97830
GET       0.830     99.97865
GET       0.840     99.97970
GET       0.850     99.98040
GET       0.860     99.98075
GET       0.880     99.98110
GET       0.890     99.98145
GET       0.910     99.98180
GET       0.930     99.98250
GET       0.950     99.98285
GET       0.960     99.98320
GET       0.980     99.98355
GET       1.000     99.98495
GET       1.100     99.98950
GET       1.300     99.98985
GET       1.500     99.99020
GET       1.600     99.99055
GET       1.700     99.99090
GET       1.800     99.99195
GET       1.900     99.99265
GET       2.000     99.99405
GET       2.200     99.99440
GET       2.300     99.99475
GET       2.400     99.99580
GET       2.500     99.99650
GET       2.600     99.99720
GET       3.300     99.99790
GET       3.400     99.99825
GET       3.800     99.99860
GET       3.900     99.99930
GET       5.600    100.00000
