[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       13640 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       24599 ops,   10957 (avg:   12299) ops/sec, 557.96KB/sec (avg: 564.15KB/sec),  0.18 (avg:  0.16) msec latency[RUN #1 10%,   3 secs]  1 threads:       35083 ops,   10482 (avg:   11693) ops/sec, 591.67KB/sec (avg: 573.32KB/sec),  0.19 (avg:  0.17) msec latency[RUN #1 13%,   4 secs]  1 threads:       45407 ops,   10323 (avg:   11351) ops/sec, 625.24KB/sec (avg: 586.30KB/sec),  0.19 (avg:  0.17) msec latency[RUN #1 17%,   5 secs]  1 threads:       56202 ops,   10794 (avg:   11239) ops/sec, 680.83KB/sec (avg: 605.21KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 20%,   6 secs]  1 threads:       65687 ops,    9483 (avg:   10947) ops/sec, 615.52KB/sec (avg: 606.93KB/sec),  0.21 (avg:  0.18) msec latency[RUN #1 23%,   7 secs]  1 threads:       75816 ops,   10127 (avg:   10830) ops/sec, 670.88KB/sec (avg: 616.06KB/sec),  0.19 (avg:  0.18) msec latency[RUN #1 27%,   8 secs]  1 threads:       87174 ops,   11357 (avg:   10895) ops/sec, 759.86KB/sec (avg: 634.04KB/sec),  0.17 (avg:  0.18) msec latency[RUN #1 30%,   9 secs]  1 threads:       96673 ops,    9498 (avg:   10740) ops/sec, 641.27KB/sec (avg: 634.84KB/sec),  0.21 (avg:  0.18) msec latency[RUN #1 33%,  10 secs]  1 threads:      106525 ops,    9850 (avg:   10651) ops/sec, 669.53KB/sec (avg: 638.31KB/sec),  0.20 (avg:  0.18) msec latency[RUN #1 37%,  11 secs]  1 threads:      117351 ops,   10825 (avg:   10667) ops/sec, 739.60KB/sec (avg: 647.52KB/sec),  0.18 (avg:  0.18) msec latency[RUN #1 40%,  12 secs]  1 threads:      124150 ops,    6798 (avg:   10344) ops/sec, 465.19KB/sec (avg: 632.33KB/sec),  0.29 (avg:  0.19) msec latency[RUN #1 43%,  13 secs]  1 threads:      130895 ops,    6744 (avg:   10067) ops/sec, 462.51KB/sec (avg: 619.26KB/sec),  0.29 (avg:  0.19) msec latency[RUN #1 47%,  14 secs]  1 threads:      140792 ops,    9895 (avg:   10055) ops/sec, 681.37KB/sec (avg: 623.70KB/sec),  0.20 (avg:  0.19) msec latency[RUN #1 50%,  15 secs]  1 threads:      150546 ops,    9753 (avg:   10035) ops/sec, 672.55KB/sec (avg: 626.96KB/sec),  0.20 (avg:  0.19) msec latency[RUN #1 53%,  16 secs]  1 threads:      161155 ops,   10607 (avg:   10071) ops/sec, 731.87KB/sec (avg: 633.51KB/sec),  0.18 (avg:  0.19) msec latency[RUN #1 57%,  17 secs]  1 threads:      171939 ops,   10782 (avg:   10113) ops/sec, 744.19KB/sec (avg: 640.02KB/sec),  0.18 (avg:  0.19) msec latency[RUN #1 60%,  18 secs]  1 threads:      182879 ops,   10938 (avg:   10159) ops/sec, 754.98KB/sec (avg: 646.41KB/sec),  0.18 (avg:  0.19) msec latency[RUN #1 63%,  19 secs]  1 threads:      193256 ops,   10375 (avg:   10170) ops/sec, 716.42KB/sec (avg: 650.09KB/sec),  0.19 (avg:  0.19) msec latency[RUN #1 67%,  20 secs]  1 threads:      204249 ops,   10991 (avg:   10211) ops/sec, 759.14KB/sec (avg: 655.55KB/sec),  0.18 (avg:  0.19) msec latency[RUN #1 70%,  21 secs]  1 threads:      214716 ops,   10465 (avg:   10223) ops/sec, 722.58KB/sec (avg: 658.74KB/sec),  0.19 (avg:  0.19) msec latency[RUN #1 73%,  22 secs]  1 threads:      225544 ops,   10825 (avg:   10251) ops/sec, 747.71KB/sec (avg: 662.78KB/sec),  0.18 (avg:  0.19) msec latency[RUN #1 77%,  23 secs]  1 threads:      235882 ops,   10337 (avg:   10254) ops/sec, 713.86KB/sec (avg: 665.00KB/sec),  0.19 (avg:  0.19) msec latency[RUN #1 80%,  24 secs]  1 threads:      244027 ops,    8144 (avg:   10166) ops/sec, 562.78KB/sec (avg: 660.75KB/sec),  0.24 (avg:  0.19) msec latency[RUN #1 83%,  25 secs]  1 threads:      255005 ops,   10976 (avg:   10199) ops/sec, 758.70KB/sec (avg: 664.66KB/sec),  0.18 (avg:  0.19) msec latency[RUN #1 87%,  26 secs]  1 threads:      265983 ops,   10976 (avg:   10229) ops/sec, 758.72KB/sec (avg: 668.28KB/sec),  0.18 (avg:  0.19) msec latency[RUN #1 90%,  27 secs]  1 threads:      277793 ops,   11808 (avg:   10287) ops/sec, 816.17KB/sec (avg: 673.76KB/sec),  0.16 (avg:  0.19) msec latency[RUN #1 93%,  28 secs]  1 threads:      289563 ops,   11768 (avg:   10340) ops/sec, 813.41KB/sec (avg: 678.75KB/sec),  0.17 (avg:  0.19) msec latency[RUN #1 97%,  29 secs]  1 threads:      301821 ops,   12256 (avg:   10406) ops/sec, 847.16KB/sec (avg: 684.55KB/sec),  0.16 (avg:  0.19) msec latency[RUN #1 100%,  30 secs]  0 threads:      314361 ops,   12256 (avg:   10478) ops/sec, 847.16KB/sec (avg: 690.69KB/sec),  0.16 (avg:  0.19) msec latency

1         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         952.63          ---          ---      0.18700        70.07
Gets        9526.05      8644.28       881.76      0.18500       620.62
Totals     10478.68      8644.28       881.76      0.18500       690.69


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.059      0.00070
GET       0.060      0.00105
GET       0.061      0.00210
GET       0.062      0.00420
GET       0.063      0.00665
GET       0.064      0.00840
GET       0.065      0.01190
GET       0.066      0.01715
GET       0.067      0.02484
GET       0.068      0.02904
GET       0.069      0.03499
GET       0.070      0.04129
GET       0.071      0.05039
GET       0.072      0.06508
GET       0.073      0.07593
GET       0.074      0.08888
GET       0.075      0.10253
GET       0.076      0.12247
GET       0.077      0.14627
GET       0.078      0.17426
GET       0.079      0.20260
GET       0.080      0.23654
GET       0.081      0.27608
GET       0.082      0.31388
GET       0.083      0.36531
GET       0.084      0.42375
GET       0.085      0.48464
GET       0.086      0.54692
GET       0.087      0.61970
GET       0.088      0.71243
GET       0.089      0.80691
GET       0.090      0.94163
GET       0.091      1.11729
GET       0.092      1.30309
GET       0.093      1.53614
GET       0.094      1.77338
GET       0.095      2.00887
GET       0.096      2.25871
GET       0.097      2.52990
GET       0.098      2.80249
GET       0.099      3.12301
GET       0.100      4.96392
GET       0.110      8.38366
GET       0.120     12.66840
GET       0.130     19.42180
GET       0.140     32.48140
GET       0.150     45.69217
GET       0.160     53.89178
GET       0.170     60.05487
GET       0.180     66.25330
GET       0.190     74.01761
GET       0.200     79.73805
GET       0.210     83.10006
GET       0.220     85.39166
GET       0.230     87.34735
GET       0.240     89.24425
GET       0.250     90.59668
GET       0.260     91.42038
GET       0.270     92.12372
GET       0.280     92.95337
GET       0.290     93.96218
GET       0.300     94.82438
GET       0.310     95.50811
GET       0.320     96.08828
GET       0.330     96.67999
GET       0.340     97.27974
GET       0.350     97.73674
GET       0.360     98.05481
GET       0.370     98.29555
GET       0.380     98.50445
GET       0.390     98.68851
GET       0.400     98.82743
GET       0.410     98.92855
GET       0.420     98.99854
GET       0.430     99.06397
GET       0.440     99.12101
GET       0.450     99.17140
GET       0.460     99.21689
GET       0.470     99.25748
GET       0.480     99.28862
GET       0.490     99.31976
GET       0.500     99.34496
GET       0.510     99.37155
GET       0.520     99.39359
GET       0.530     99.41179
GET       0.540     99.42929
GET       0.550     99.44993
GET       0.560     99.46603
GET       0.570     99.48002
GET       0.580     99.49472
GET       0.590     99.51082
GET       0.600     99.51991
GET       0.610     99.53181
GET       0.620     99.53986
GET       0.630     99.54616
GET       0.640     99.55491
GET       0.650     99.56225
GET       0.660     99.56785
GET       0.670     99.57205
GET       0.680     99.57555
GET       0.690     99.58185
GET       0.700     99.58850
GET       0.710     99.59305
GET       0.720     99.59725
GET       0.730     99.60214
GET       0.740     99.60529
GET       0.750     99.60914
GET       0.760     99.61229
GET       0.770     99.61614
GET       0.780     99.61859
GET       0.790     99.61929
GET       0.800     99.62174
GET       0.810     99.62314
GET       0.820     99.62594
GET       0.830     99.62909
GET       0.840     99.63119
GET       0.850     99.63294
GET       0.860     99.63574
GET       0.870     99.63749
GET       0.880     99.64064
GET       0.890     99.64448
GET       0.900     99.64658
GET       0.910     99.64763
GET       0.920     99.65078
GET       0.930     99.65253
GET       0.940     99.65708
GET       0.950     99.65953
GET       0.960     99.66128
GET       0.970     99.66268
GET       0.980     99.66478
GET       0.990     99.66688
GET       1.000     99.67563
GET       1.100     99.69207
GET       1.200     99.70852
GET       1.300     99.72077
GET       1.400     99.73546
GET       1.500     99.75051
GET       1.600     99.76381
GET       1.700     99.77605
GET       1.800     99.78410
GET       1.900     99.79495
GET       2.000     99.80440
GET       2.100     99.81769
GET       2.200     99.83239
GET       2.300     99.84044
GET       2.400     99.84709
GET       2.500     99.85164
GET       2.600     99.85513
GET       2.700     99.86248
GET       2.800     99.86703
GET       2.900     99.87123
GET       3.000     99.87438
GET       3.100     99.87998
GET       3.200     99.88383
GET       3.300     99.88943
GET       3.400     99.89328
GET       3.500     99.89817
GET       3.600     99.90342
GET       3.700     99.90622
GET       3.800     99.90972
GET       3.900     99.91602
GET       4.000     99.91917
GET       4.100     99.92547
GET       4.200     99.93562
GET       4.300     99.94646
GET       4.400     99.94926
GET       4.500     99.95101
GET       4.600     99.95276
GET       4.700     99.95346
GET       4.800     99.95381
GET       4.900     99.95486
GET       5.000     99.95696
GET       5.100     99.95766
GET       5.200     99.95836
GET       5.400     99.95976
GET       5.500     99.96046
GET       5.600     99.96116
GET       5.700     99.96361
GET       5.800     99.96466
GET       6.000     99.96606
GET       6.100     99.96676
GET       6.200     99.96711
GET       6.300     99.96746
GET       6.400     99.96781
GET       6.500     99.96886
GET       6.600     99.96991
GET       6.700     99.97026
GET       6.800     99.97131
GET       6.900     99.97341
GET       7.000     99.97516
GET       7.200     99.97621
GET       7.300     99.97656
GET       7.400     99.97726
GET       7.600     99.97866
GET       7.800     99.98005
GET       7.900     99.98250
GET       8.000     99.98320
GET       8.100     99.98355
GET       8.200     99.98530
GET       8.300     99.98810
GET       8.400     99.98950
GET       8.500     99.99020
GET       8.600     99.99195
GET       8.700     99.99265
GET       9.700     99.99300
GET       9.800     99.99335
GET       9.900     99.99370
GET      10.000     99.99405
GET      11.000     99.99440
GET      12.000     99.99930
GET      16.000    100.00000
