[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       11173 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       23557 ops,   12382 (avg:   11778) ops/sec, 657.57KB/sec (avg: 567.92KB/sec),  0.16 (avg:  0.17) msec latency[RUN #1 10%,   3 secs]  1 threads:       35819 ops,   12260 (avg:   11938) ops/sec, 736.18KB/sec (avg: 624.01KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 13%,   4 secs]  1 threads:       48339 ops,   12518 (avg:   12083) ops/sec, 802.71KB/sec (avg: 668.69KB/sec),  0.15 (avg:  0.16) msec latency[RUN #1 17%,   5 secs]  1 threads:       59354 ops,   11013 (avg:   11869) ops/sec, 728.57KB/sec (avg: 680.66KB/sec),  0.18 (avg:  0.16) msec latency[RUN #1 20%,   6 secs]  1 threads:       69223 ops,    9867 (avg:   11536) ops/sec, 665.64KB/sec (avg: 678.16KB/sec),  0.20 (avg:  0.17) msec latency[RUN #1 23%,   7 secs]  1 threads:       77786 ops,    8562 (avg:   11111) ops/sec, 583.27KB/sec (avg: 664.60KB/sec),  0.23 (avg:  0.17) msec latency[RUN #1 27%,   8 secs]  1 threads:       86981 ops,    9194 (avg:   10871) ops/sec, 627.76KB/sec (avg: 660.00KB/sec),  0.21 (avg:  0.18) msec latency[RUN #1 30%,   9 secs]  1 threads:       95286 ops,    8303 (avg:   10586) ops/sec, 568.02KB/sec (avg: 649.78KB/sec),  0.24 (avg:  0.18) msec latency[RUN #1 33%,  10 secs]  1 threads:      104282 ops,    8995 (avg:   10427) ops/sec, 614.61KB/sec (avg: 646.26KB/sec),  0.22 (avg:  0.19) msec latency[RUN #1 37%,  11 secs]  1 threads:      113494 ops,    9211 (avg:   10316) ops/sec, 631.55KB/sec (avg: 644.92KB/sec),  0.21 (avg:  0.19) msec latency[RUN #1 40%,  12 secs]  1 threads:      122879 ops,    9384 (avg:   10238) ops/sec, 644.80KB/sec (avg: 644.91KB/sec),  0.21 (avg:  0.19) msec latency[RUN #1 43%,  13 secs]  1 threads:      131846 ops,    8966 (avg:   10141) ops/sec, 617.40KB/sec (avg: 642.80KB/sec),  0.22 (avg:  0.19) msec latency[RUN #1 47%,  14 secs]  1 threads:      140132 ops,    8285 (avg:   10008) ops/sec, 570.49KB/sec (avg: 637.63KB/sec),  0.24 (avg:  0.19) msec latency[RUN #1 50%,  15 secs]  1 threads:      149002 ops,    8869 (avg:    9932) ops/sec, 611.56KB/sec (avg: 635.89KB/sec),  0.22 (avg:  0.20) msec latency[RUN #1 53%,  16 secs]  1 threads:      157880 ops,    8877 (avg:    9866) ops/sec, 612.12KB/sec (avg: 634.41KB/sec),  0.22 (avg:  0.20) msec latency[RUN #1 57%,  17 secs]  1 threads:      166669 ops,    8788 (avg:    9803) ops/sec, 606.50KB/sec (avg: 632.77KB/sec),  0.22 (avg:  0.20) msec latency[RUN #1 60%,  18 secs]  1 threads:      175491 ops,    8821 (avg:    9748) ops/sec, 608.85KB/sec (avg: 631.44KB/sec),  0.22 (avg:  0.20) msec latency[RUN #1 63%,  19 secs]  1 threads:      184139 ops,    8647 (avg:    9690) ops/sec, 596.87KB/sec (avg: 629.62KB/sec),  0.23 (avg:  0.20) msec latency[RUN #1 67%,  20 secs]  1 threads:      193480 ops,    9340 (avg:    9673) ops/sec, 644.69KB/sec (avg: 630.37KB/sec),  0.21 (avg:  0.20) msec latency[RUN #1 70%,  21 secs]  1 threads:      202420 ops,    8939 (avg:    9638) ops/sec, 616.85KB/sec (avg: 629.73KB/sec),  0.22 (avg:  0.20) msec latency[RUN #1 73%,  22 secs]  1 threads:      211793 ops,    9372 (avg:    9626) ops/sec, 646.94KB/sec (avg: 630.51KB/sec),  0.21 (avg:  0.20) msec latency[RUN #1 77%,  23 secs]  1 threads:      220765 ops,    8971 (avg:    9597) ops/sec, 619.16KB/sec (avg: 630.02KB/sec),  0.22 (avg:  0.20) msec latency[RUN #1 80%,  24 secs]  1 threads:      229331 ops,    8565 (avg:    9554) ops/sec, 591.15KB/sec (avg: 628.40KB/sec),  0.23 (avg:  0.20) msec latency[RUN #1 83%,  25 secs]  1 threads:      237991 ops,    8658 (avg:    9518) ops/sec, 597.61KB/sec (avg: 627.17KB/sec),  0.23 (avg:  0.20) msec latency[RUN #1 87%,  26 secs]  1 threads:      247150 ops,    9158 (avg:    9504) ops/sec, 632.09KB/sec (avg: 627.35KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 90%,  27 secs]  1 threads:      256290 ops,    9139 (avg:    9491) ops/sec, 630.77KB/sec (avg: 627.48KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 93%,  28 secs]  1 threads:      265502 ops,    9211 (avg:    9481) ops/sec, 635.70KB/sec (avg: 627.77KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 97%,  29 secs]  1 threads:      276080 ops,   10576 (avg:    9519) ops/sec, 729.99KB/sec (avg: 631.30KB/sec),  0.18 (avg:  0.20) msec latency[RUN #1 100%,  30 secs]  0 threads:      288870 ops,   10576 (avg:    9628) ops/sec, 729.99KB/sec (avg: 639.74KB/sec),  0.18 (avg:  0.20) msec latency

1         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         875.36          ---          ---      0.20400        64.30
Gets        8753.61      8101.98       651.63      0.20200       575.44
Totals      9628.97      8101.98       651.63      0.20200       639.74


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.065      0.00038
GET       0.067      0.00114
GET       0.068      0.00190
GET       0.069      0.00343
GET       0.070      0.00495
GET       0.071      0.00762
GET       0.072      0.01066
GET       0.073      0.01257
GET       0.074      0.01599
GET       0.075      0.01980
GET       0.076      0.02475
GET       0.077      0.03008
GET       0.078      0.04151
GET       0.079      0.05293
GET       0.080      0.06702
GET       0.081      0.09025
GET       0.082      0.11690
GET       0.083      0.14089
GET       0.084      0.17517
GET       0.085      0.21705
GET       0.086      0.27912
GET       0.087      0.35833
GET       0.088      0.44629
GET       0.089      0.54263
GET       0.090      0.66296
GET       0.091      0.80766
GET       0.092      1.01215
GET       0.093      1.29051
GET       0.094      1.54336
GET       0.095      1.81982
GET       0.096      2.10084
GET       0.097      2.36207
GET       0.098      2.63776
GET       0.099      2.90927
GET       0.100      4.32468
GET       0.110      6.97463
GET       0.120      9.86448
GET       0.130     15.24586
GET       0.140     29.06793
GET       0.150     41.42128
GET       0.160     48.64875
GET       0.170     53.83441
GET       0.180     59.59735
GET       0.190     67.29434
GET       0.200     73.27662
GET       0.210     76.92539
GET       0.220     79.49156
GET       0.230     81.91608
GET       0.240     84.34288
GET       0.250     86.15051
GET       0.260     87.38733
GET       0.270     88.48478
GET       0.280     89.82213
GET       0.290     91.58597
GET       0.300     93.01661
GET       0.310     93.99830
GET       0.320     94.76217
GET       0.330     95.45217
GET       0.340     96.08810
GET       0.350     96.58618
GET       0.360     96.95593
GET       0.370     97.21716
GET       0.380     97.48942
GET       0.390     97.74189
GET       0.400     97.93571
GET       0.410     98.06823
GET       0.420     98.17561
GET       0.430     98.27424
GET       0.440     98.37553
GET       0.450     98.44522
GET       0.460     98.50538
GET       0.470     98.54955
GET       0.480     98.58916
GET       0.490     98.62571
GET       0.500     98.66037
GET       0.510     98.69311
GET       0.520     98.72472
GET       0.530     98.75404
GET       0.540     98.78641
GET       0.550     98.81687
GET       0.560     98.84048
GET       0.570     98.86371
GET       0.580     98.89341
GET       0.590     98.91474
GET       0.600     98.93568
GET       0.610     98.95891
GET       0.620     98.97681
GET       0.630     98.99699
GET       0.640     99.01641
GET       0.650     99.02897
GET       0.660     99.04116
GET       0.670     99.05411
GET       0.680     99.07086
GET       0.690     99.08381
GET       0.700     99.09638
GET       0.710     99.10780
GET       0.720     99.12075
GET       0.730     99.13179
GET       0.740     99.14207
GET       0.750     99.15007
GET       0.760     99.15997
GET       0.770     99.16720
GET       0.780     99.18129
GET       0.790     99.19614
GET       0.800     99.21061
GET       0.810     99.22204
GET       0.820     99.23041
GET       0.830     99.23651
GET       0.840     99.24641
GET       0.850     99.25364
GET       0.860     99.26240
GET       0.870     99.26849
GET       0.880     99.27839
GET       0.890     99.28830
GET       0.900     99.29972
GET       0.910     99.30734
GET       0.920     99.31647
GET       0.930     99.32409
GET       0.940     99.33018
GET       0.950     99.33513
GET       0.960     99.34085
GET       0.970     99.34960
GET       0.980     99.35570
GET       0.990     99.36141
GET       1.000     99.38464
GET       1.100     99.43147
GET       1.200     99.48440
GET       1.300     99.52172
GET       1.400     99.55066
GET       1.500     99.57541
GET       1.600     99.60397
GET       1.700     99.62339
GET       1.800     99.63977
GET       1.900     99.66452
GET       2.000     99.68965
GET       2.100     99.70565
GET       2.200     99.72430
GET       2.300     99.73954
GET       2.400     99.75172
GET       2.500     99.76162
GET       2.600     99.77343
GET       2.700     99.78257
GET       2.800     99.79323
GET       2.900     99.80389
GET       3.000     99.80960
GET       3.100     99.81950
GET       3.200     99.82674
GET       3.300     99.83588
GET       3.400     99.84387
GET       3.500     99.84997
GET       3.600     99.86139
GET       3.700     99.87320
GET       3.800     99.88233
GET       3.900     99.89338
GET       4.000     99.90747
GET       4.100     99.91242
GET       4.200     99.91546
GET       4.300     99.92079
GET       4.400     99.93260
GET       4.500     99.93603
GET       4.600     99.93869
GET       4.700     99.94022
GET       4.800     99.94440
GET       4.900     99.94631
GET       5.000     99.94974
GET       5.100     99.95240
GET       5.200     99.95659
GET       5.300     99.95811
GET       5.400     99.96002
GET       5.500     99.96268
GET       5.600     99.96497
GET       5.700     99.96725
GET       5.800     99.96916
GET       5.900     99.97182
GET       6.000     99.97487
GET       6.100     99.97677
GET       6.400     99.97906
GET       6.500     99.97982
GET       6.900     99.98096
GET       7.100     99.98210
GET       7.300     99.98286
GET       7.400     99.98325
GET       7.500     99.98401
GET       7.700     99.98515
GET       7.800     99.98591
GET       7.900     99.98667
GET       8.000     99.98743
GET       8.100     99.98781
GET       8.200     99.98972
GET       8.300     99.99200
GET       8.400     99.99276
GET       8.800     99.99391
GET       9.100     99.99467
GET       9.700     99.99505
GET      10.000     99.99695
GET      12.000    100.00000
