[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       13058 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       22652 ops,    9592 (avg:   11325) ops/sec, 508.44KB/sec (avg: 536.92KB/sec),  0.20 (avg:  0.17) msec latency[RUN #1 10%,   3 secs]  1 threads:       27546 ops,    4893 (avg:    9181) ops/sec, 279.80KB/sec (avg: 451.21KB/sec),  0.40 (avg:  0.21) msec latency[RUN #1 13%,   4 secs]  1 threads:       32227 ops,    4680 (avg:    8056) ops/sec, 279.21KB/sec (avg: 408.21KB/sec),  0.42 (avg:  0.24) msec latency[RUN #1 17%,   5 secs]  1 threads:       36936 ops,    4708 (avg:    7386) ops/sec, 289.87KB/sec (avg: 384.54KB/sec),  0.42 (avg:  0.27) msec latency[RUN #1 20%,   6 secs]  1 threads:       41636 ops,    4699 (avg:    6938) ops/sec, 296.74KB/sec (avg: 369.91KB/sec),  0.42 (avg:  0.28) msec latency[RUN #1 23%,   7 secs]  1 threads:       46262 ops,    4625 (avg:    6608) ops/sec, 296.29KB/sec (avg: 359.39KB/sec),  0.43 (avg:  0.30) msec latency[RUN #1 27%,   8 secs]  1 threads:       50997 ops,    4734 (avg:    6374) ops/sec, 307.96KB/sec (avg: 352.96KB/sec),  0.42 (avg:  0.31) msec latency[RUN #1 30%,   9 secs]  1 threads:       55823 ops,    4825 (avg:    6202) ops/sec, 317.91KB/sec (avg: 349.07KB/sec),  0.41 (avg:  0.32) msec latency[RUN #1 33%,  10 secs]  1 threads:       60626 ops,    4802 (avg:    6062) ops/sec, 317.14KB/sec (avg: 345.87KB/sec),  0.41 (avg:  0.32) msec latency[RUN #1 37%,  11 secs]  1 threads:       65427 ops,    4800 (avg:    5947) ops/sec, 322.49KB/sec (avg: 343.75KB/sec),  0.41 (avg:  0.33) msec latency[RUN #1 40%,  12 secs]  1 threads:       70282 ops,    4854 (avg:    5856) ops/sec, 327.66KB/sec (avg: 342.41KB/sec),  0.41 (avg:  0.34) msec latency[RUN #1 43%,  13 secs]  1 threads:       75041 ops,    4758 (avg:    5771) ops/sec, 322.71KB/sec (avg: 340.89KB/sec),  0.41 (avg:  0.34) msec latency[RUN #1 47%,  14 secs]  1 threads:       82019 ops,    6977 (avg:    5857) ops/sec, 474.43KB/sec (avg: 350.43KB/sec),  0.28 (avg:  0.34) msec latency[RUN #1 50%,  15 secs]  1 threads:       91296 ops,    9276 (avg:    6085) ops/sec, 634.47KB/sec (avg: 369.37KB/sec),  0.21 (avg:  0.32) msec latency[RUN #1 53%,  16 secs]  1 threads:       99887 ops,    8590 (avg:    6242) ops/sec, 587.15KB/sec (avg: 382.98KB/sec),  0.23 (avg:  0.31) msec latency[RUN #1 57%,  17 secs]  1 threads:      108388 ops,    8500 (avg:    6375) ops/sec, 581.12KB/sec (avg: 394.63KB/sec),  0.23 (avg:  0.31) msec latency[RUN #1 60%,  18 secs]  1 threads:      117326 ops,    8937 (avg:    6517) ops/sec, 612.99KB/sec (avg: 406.76KB/sec),  0.22 (avg:  0.30) msec latency[RUN #1 63%,  19 secs]  1 threads:      124840 ops,    7513 (avg:    6569) ops/sec, 516.33KB/sec (avg: 412.53KB/sec),  0.26 (avg:  0.30) msec latency[RUN #1 67%,  20 secs]  1 threads:      133855 ops,    9014 (avg:    6692) ops/sec, 620.63KB/sec (avg: 422.94KB/sec),  0.22 (avg:  0.29) msec latency[RUN #1 70%,  21 secs]  1 threads:      142062 ops,    8206 (avg:    6764) ops/sec, 564.84KB/sec (avg: 429.69KB/sec),  0.24 (avg:  0.29) msec latency[RUN #1 73%,  22 secs]  1 threads:      150427 ops,    8364 (avg:    6836) ops/sec, 576.49KB/sec (avg: 436.37KB/sec),  0.23 (avg:  0.29) msec latency[RUN #1 77%,  23 secs]  1 threads:      159245 ops,    8817 (avg:    6923) ops/sec, 607.78KB/sec (avg: 443.82KB/sec),  0.22 (avg:  0.28) msec latency[RUN #1 80%,  24 secs]  1 threads:      167566 ops,    8320 (avg:    6981) ops/sec, 574.19KB/sec (avg: 449.25KB/sec),  0.23 (avg:  0.28) msec latency[RUN #1 83%,  25 secs]  1 threads:      176626 ops,    9059 (avg:    7064) ops/sec, 625.25KB/sec (avg: 456.29KB/sec),  0.22 (avg:  0.28) msec latency[RUN #1 87%,  26 secs]  1 threads:      188188 ops,   11560 (avg:    7237) ops/sec, 797.98KB/sec (avg: 469.43KB/sec),  0.17 (avg:  0.27) msec latency[RUN #1 90%,  27 secs]  1 threads:      201000 ops,   12810 (avg:    7443) ops/sec, 884.10KB/sec (avg: 484.79KB/sec),  0.15 (avg:  0.26) msec latency[RUN #1 93%,  28 secs]  1 threads:      213812 ops,   12810 (avg:    7635) ops/sec, 884.24KB/sec (avg: 499.06KB/sec),  0.15 (avg:  0.26) msec latency[RUN #1 97%,  29 secs]  1 threads:      223308 ops,    9495 (avg:    7699) ops/sec, 655.34KB/sec (avg: 504.45KB/sec),  0.21 (avg:  0.25) msec latency[RUN #1 100%,  30 secs]  0 threads:      234816 ops,    9495 (avg:    7827) ops/sec, 655.34KB/sec (avg: 514.15KB/sec),  0.21 (avg:  0.25) msec latency

1         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         711.60          ---          ---      0.25200        52.27
Gets        7115.58      6431.62       683.96      0.25000       461.88
Totals      7827.18      6431.62       683.96      0.25000       514.15


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.069      0.00094
GET       0.072      0.00187
GET       0.073      0.00281
GET       0.074      0.00468
GET       0.075      0.00750
GET       0.076      0.01124
GET       0.077      0.01359
GET       0.078      0.01686
GET       0.079      0.02155
GET       0.080      0.03139
GET       0.081      0.04310
GET       0.082      0.05621
GET       0.083      0.07214
GET       0.084      0.10025
GET       0.085      0.12836
GET       0.086      0.16068
GET       0.087      0.20237
GET       0.088      0.24781
GET       0.089      0.30122
GET       0.090      0.37523
GET       0.091      0.47127
GET       0.092      0.59025
GET       0.093      0.78372
GET       0.094      1.02404
GET       0.095      1.29059
GET       0.096      1.55621
GET       0.097      1.75670
GET       0.098      1.94081
GET       0.099      2.13053
GET       0.100      3.20282
GET       0.110      5.90206
GET       0.120      8.49963
GET       0.130     12.67544
GET       0.140     22.86104
GET       0.150     33.01432
GET       0.160     39.57923
GET       0.170     44.54251
GET       0.180     49.15444
GET       0.190     53.98046
GET       0.200     58.03399
GET       0.210     61.03631
GET       0.220     63.39264
GET       0.230     65.22758
GET       0.240     66.88590
GET       0.250     68.25004
GET       0.260     69.36028
GET       0.270     70.52158
GET       0.280     71.76111
GET       0.290     73.13789
GET       0.300     74.61634
GET       0.310     75.98469
GET       0.320     77.33384
GET       0.330     78.64973
GET       0.340     79.99934
GET       0.350     81.26183
GET       0.360     82.48309
GET       0.370     83.60269
GET       0.380     84.72980
GET       0.390     85.85690
GET       0.400     86.94418
GET       0.410     87.93402
GET       0.420     88.93698
GET       0.430     89.89076
GET       0.440     90.80752
GET       0.450     91.64465
GET       0.460     92.43446
GET       0.470     93.14792
GET       0.480     93.83186
GET       0.490     94.41556
GET       0.500     94.94444
GET       0.510     95.44381
GET       0.520     95.88744
GET       0.530     96.29500
GET       0.540     96.65992
GET       0.550     97.01641
GET       0.560     97.31904
GET       0.570     97.58184
GET       0.580     97.81232
GET       0.590     98.01891
GET       0.600     98.20207
GET       0.610     98.35010
GET       0.620     98.48736
GET       0.630     98.62040
GET       0.640     98.73377
GET       0.650     98.82793
GET       0.660     98.90382
GET       0.670     98.96659
GET       0.680     99.02983
GET       0.690     99.07059
GET       0.700     99.11603
GET       0.710     99.15538
GET       0.720     99.19754
GET       0.730     99.23408
GET       0.740     99.26359
GET       0.750     99.28795
GET       0.760     99.30341
GET       0.770     99.32402
GET       0.780     99.34604
GET       0.790     99.35869
GET       0.800     99.37087
GET       0.810     99.38820
GET       0.820     99.39710
GET       0.830     99.40975
GET       0.840     99.42193
GET       0.850     99.42942
GET       0.860     99.43692
GET       0.870     99.44348
GET       0.880     99.44910
GET       0.890     99.45285
GET       0.900     99.45753
GET       0.910     99.46315
GET       0.920     99.46690
GET       0.930     99.47205
GET       0.940     99.47674
GET       0.950     99.48048
GET       0.960     99.48283
GET       0.970     99.48751
GET       0.980     99.49360
GET       0.990     99.49875
GET       1.000     99.52780
GET       1.100     99.56387
GET       1.200     99.59198
GET       1.300     99.61446
GET       1.400     99.63882
GET       1.500     99.66271
GET       1.600     99.68098
GET       1.700     99.68848
GET       1.800     99.70534
GET       1.900     99.71799
GET       2.000     99.73298
GET       2.100     99.74657
GET       2.200     99.75219
GET       2.300     99.75921
GET       2.400     99.77139
GET       2.500     99.78123
GET       2.600     99.79060
GET       2.700     99.79856
GET       2.800     99.80606
GET       2.900     99.81683
GET       3.000     99.82292
GET       3.100     99.83042
GET       3.200     99.83979
GET       3.300     99.84119
GET       3.400     99.84494
GET       3.500     99.85009
GET       3.600     99.85665
GET       3.700     99.86462
GET       3.800     99.86930
GET       3.900     99.87867
GET       4.000     99.88851
GET       4.100     99.89694
GET       4.200     99.90444
GET       4.300     99.90959
GET       4.400     99.91708
GET       4.500     99.92598
GET       4.600     99.93161
GET       4.700     99.93442
GET       4.800     99.93676
GET       4.900     99.93816
GET       5.000     99.94051
GET       5.100     99.94379
GET       5.200     99.94660
GET       5.300     99.94753
GET       5.400     99.94894
GET       5.500     99.95175
GET       5.600     99.95222
GET       5.700     99.95409
GET       5.800     99.95643
GET       5.900     99.95831
GET       6.000     99.95924
GET       6.100     99.96018
GET       6.200     99.96159
GET       6.300     99.96393
GET       6.400     99.96580
GET       6.600     99.96674
GET       6.700     99.96721
GET       6.800     99.96815
GET       6.900     99.96908
GET       7.000     99.97002
GET       7.100     99.97142
GET       7.200     99.97236
GET       7.300     99.97330
GET       7.600     99.97470
GET       7.700     99.97751
GET       7.800     99.97845
GET       7.900     99.98032
GET       8.100     99.98126
GET       8.200     99.98267
GET       8.300     99.98407
GET       8.400     99.98782
GET       8.500     99.98876
GET       8.600     99.98969
GET       8.700     99.99016
GET      10.000     99.99110
GET      11.000     99.99204
GET      12.000     99.99813
GET      13.000    100.00000
