[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:        5833 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       11439 ops,    5605 (avg:    5719) ops/sec, 304.90KB/sec (avg: 280.51KB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 10%,   3 secs]  1 threads:       16898 ops,    5458 (avg:    5632) ops/sec, 332.62KB/sec (avg: 297.88KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 13%,   4 secs]  1 threads:       22420 ops,    5521 (avg:    5604) ops/sec, 355.67KB/sec (avg: 312.33KB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 17%,   5 secs]  1 threads:       27925 ops,    5504 (avg:    5584) ops/sec, 363.10KB/sec (avg: 322.48KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 20%,   6 secs]  1 threads:       33482 ops,    5556 (avg:    5579) ops/sec, 371.74KB/sec (avg: 330.69KB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 23%,   7 secs]  1 threads:       38986 ops,    5503 (avg:    5568) ops/sec, 374.09KB/sec (avg: 336.89KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 27%,   8 secs]  1 threads:       44500 ops,    5513 (avg:    5562) ops/sec, 375.92KB/sec (avg: 341.77KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 30%,   9 secs]  1 threads:       50047 ops,    5546 (avg:    5560) ops/sec, 379.96KB/sec (avg: 346.01KB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 33%,  10 secs]  1 threads:       55605 ops,    5557 (avg:    5560) ops/sec, 381.46KB/sec (avg: 349.56KB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 37%,  11 secs]  1 threads:       61189 ops,    5583 (avg:    5562) ops/sec, 383.87KB/sec (avg: 352.68KB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 40%,  12 secs]  1 threads:       66733 ops,    5543 (avg:    5560) ops/sec, 381.50KB/sec (avg: 355.08KB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 43%,  13 secs]  1 threads:       72295 ops,    5561 (avg:    5560) ops/sec, 382.81KB/sec (avg: 357.21KB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 47%,  14 secs]  1 threads:       77825 ops,    5529 (avg:    5558) ops/sec, 380.67KB/sec (avg: 358.89KB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 50%,  15 secs]  1 threads:       83391 ops,    5565 (avg:    5558) ops/sec, 383.43KB/sec (avg: 360.53KB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 53%,  16 secs]  1 threads:       88943 ops,    5551 (avg:    5558) ops/sec, 382.42KB/sec (avg: 361.89KB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 57%,  17 secs]  1 threads:       94456 ops,    5512 (avg:    5555) ops/sec, 379.66KB/sec (avg: 362.94KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 60%,  18 secs]  1 threads:       99955 ops,    5498 (avg:    5552) ops/sec, 378.63KB/sec (avg: 363.81KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 63%,  19 secs]  1 threads:      105517 ops,    5561 (avg:    5553) ops/sec, 383.00KB/sec (avg: 364.82KB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 67%,  20 secs]  1 threads:      111014 ops,    5496 (avg:    5550) ops/sec, 378.71KB/sec (avg: 365.52KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 70%,  21 secs]  1 threads:      116575 ops,    5560 (avg:    5550) ops/sec, 383.18KB/sec (avg: 366.36KB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 73%,  22 secs]  1 threads:      122150 ops,    5574 (avg:    5551) ops/sec, 384.21KB/sec (avg: 367.17KB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 77%,  23 secs]  1 threads:      127847 ops,    5696 (avg:    5558) ops/sec, 392.54KB/sec (avg: 368.27KB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 80%,  24 secs]  1 threads:      133898 ops,    6050 (avg:    5578) ops/sec, 416.95KB/sec (avg: 370.30KB/sec),  0.16 (avg:  0.17) msec latency[RUN #1 83%,  25 secs]  1 threads:      140523 ops,    6624 (avg:    5620) ops/sec, 456.49KB/sec (avg: 373.75KB/sec),  0.15 (avg:  0.17) msec latency[RUN #1 87%,  26 secs]  1 threads:      147871 ops,    7347 (avg:    5686) ops/sec, 506.26KB/sec (avg: 378.84KB/sec),  0.13 (avg:  0.17) msec latency[RUN #1 90%,  27 secs]  1 threads:      155439 ops,    7567 (avg:    5756) ops/sec, 521.49KB/sec (avg: 384.13KB/sec),  0.13 (avg:  0.17) msec latency[RUN #1 93%,  28 secs]  1 threads:      163229 ops,    7789 (avg:    5829) ops/sec, 536.72KB/sec (avg: 389.58KB/sec),  0.12 (avg:  0.17) msec latency[RUN #1 97%,  29 secs]  1 threads:      171304 ops,    8074 (avg:    5906) ops/sec, 556.41KB/sec (avg: 395.33KB/sec),  0.12 (avg:  0.16) msec latency[RUN #1 100%,  30 secs]  0 threads:      181096 ops,    8074 (avg:    6036) ops/sec, 556.41KB/sec (avg: 404.68KB/sec),  0.12 (avg:  0.16) msec latency

1         Threads
1         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         548.80          ---          ---      0.16100        40.26
Gets        5487.72      5191.02       296.70      0.15900       364.43
Totals      6036.52      5191.02       296.70      0.15900       404.68


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.063      0.00243
GET       0.064      0.00425
GET       0.065      0.01033
GET       0.066      0.02369
GET       0.067      0.04009
GET       0.068      0.06439
GET       0.069      0.09597
GET       0.070      0.14031
GET       0.071      0.19316
GET       0.072      0.26301
GET       0.073      0.32497
GET       0.074      0.39968
GET       0.075      0.49626
GET       0.076      0.60134
GET       0.077      0.71675
GET       0.078      0.84795
GET       0.079      0.98219
GET       0.080      1.14012
GET       0.081      1.33571
GET       0.082      1.54709
GET       0.083      1.80888
GET       0.084      2.12474
GET       0.085      2.47886
GET       0.086      2.86457
GET       0.087      3.30677
GET       0.088      3.78359
GET       0.089      4.27134
GET       0.090      4.86175
GET       0.091      5.63013
GET       0.092      6.86805
GET       0.093      8.76683
GET       0.094     10.93591
GET       0.095     12.42711
GET       0.096     13.46093
GET       0.097     14.29734
GET       0.098     15.05965
GET       0.099     15.80069
GET       0.100     19.20465
GET       0.110     25.40393
GET       0.120     32.01200
GET       0.130     39.76141
GET       0.140     52.03363
GET       0.150     60.93408
GET       0.160     66.70088
GET       0.170     71.28808
GET       0.180     75.22717
GET       0.190     79.40801
GET       0.200     82.77735
GET       0.210     85.37101
GET       0.220     87.55588
GET       0.230     89.50933
GET       0.240     91.30181
GET       0.250     92.83432
GET       0.260     93.98780
GET       0.270     95.00462
GET       0.280     95.81066
GET       0.290     96.42536
GET       0.300     96.89550
GET       0.310     97.24233
GET       0.320     97.54179
GET       0.330     97.75378
GET       0.340     97.94451
GET       0.350     98.10608
GET       0.360     98.22999
GET       0.370     98.33750
GET       0.380     98.44319
GET       0.390     98.54220
GET       0.400     98.62542
GET       0.410     98.70803
GET       0.420     98.79003
GET       0.430     98.85927
GET       0.440     98.92123
GET       0.450     98.98136
GET       0.460     99.03360
GET       0.470     99.08098
GET       0.480     99.12532
GET       0.490     99.16055
GET       0.500     99.19457
GET       0.510     99.23223
GET       0.520     99.26078
GET       0.530     99.29540
GET       0.540     99.33731
GET       0.550     99.36464
GET       0.560     99.39319
GET       0.570     99.42113
GET       0.580     99.44786
GET       0.590     99.46851
GET       0.600     99.48916
GET       0.610     99.50921
GET       0.620     99.53047
GET       0.630     99.55355
GET       0.640     99.57785
GET       0.650     99.59911
GET       0.660     99.61854
GET       0.670     99.63616
GET       0.680     99.65438
GET       0.690     99.67564
GET       0.700     99.68900
GET       0.710     99.70237
GET       0.720     99.71451
GET       0.730     99.73395
GET       0.740     99.74489
GET       0.750     99.75946
GET       0.760     99.77343
GET       0.770     99.78012
GET       0.780     99.79348
GET       0.790     99.80441
GET       0.800     99.81838
GET       0.810     99.83175
GET       0.820     99.84025
GET       0.830     99.85422
GET       0.840     99.86212
GET       0.850     99.87062
GET       0.860     99.88034
GET       0.870     99.88763
GET       0.880     99.89856
GET       0.890     99.90828
GET       0.900     99.91314
GET       0.910     99.91921
GET       0.920     99.92529
GET       0.930     99.93197
GET       0.940     99.93561
GET       0.950     99.94047
GET       0.960     99.94533
GET       0.970     99.95080
GET       0.980     99.95505
GET       0.990     99.95687
GET       1.000     99.97388
GET       1.100     99.99150
GET       1.200     99.99575
GET       1.300     99.99879
GET       1.400     99.99939
GET       1.600    100.00000
