[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       11772 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       23456 ops,   11682 (avg:   11727) ops/sec, 651.01KB/sec (avg: 584.48KB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 10%,   3 secs]  1 threads:       35871 ops,   12413 (avg:   11956) ops/sec, 764.72KB/sec (avg: 644.57KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 13%,   4 secs]  1 threads:       48096 ops,   12222 (avg:   12022) ops/sec, 794.35KB/sec (avg: 682.02KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 17%,   5 secs]  1 threads:       58143 ops,   10046 (avg:   11627) ops/sec, 667.67KB/sec (avg: 679.15KB/sec),  0.19 (avg:  0.17) msec latency[RUN #1 20%,   6 secs]  1 threads:       66005 ops,    7861 (avg:   10999) ops/sec, 529.78KB/sec (avg: 654.25KB/sec),  0.25 (avg:  0.18) msec latency[RUN #1 23%,   7 secs]  1 threads:       73976 ops,    7970 (avg:   10566) ops/sec, 541.61KB/sec (avg: 638.16KB/sec),  0.25 (avg:  0.18) msec latency[RUN #1 27%,   8 secs]  1 threads:       81584 ops,    7607 (avg:   10197) ops/sec, 518.49KB/sec (avg: 623.20KB/sec),  0.26 (avg:  0.19) msec latency[RUN #1 30%,   9 secs]  1 threads:       88069 ops,    6484 (avg:    9784) ops/sec, 443.91KB/sec (avg: 603.28KB/sec),  0.30 (avg:  0.20) msec latency[RUN #1 33%,  10 secs]  1 threads:       93649 ops,    5579 (avg:    9363) ops/sec, 382.48KB/sec (avg: 581.20KB/sec),  0.35 (avg:  0.21) msec latency[RUN #1 37%,  11 secs]  1 threads:      100285 ops,    6635 (avg:    9115) ops/sec, 455.97KB/sec (avg: 569.82KB/sec),  0.30 (avg:  0.21) msec latency[RUN #1 40%,  12 secs]  1 threads:      106727 ops,    6441 (avg:    8893) ops/sec, 442.36KB/sec (avg: 559.19KB/sec),  0.30 (avg:  0.22) msec latency[RUN #1 43%,  13 secs]  1 threads:      113300 ops,    6572 (avg:    8714) ops/sec, 451.68KB/sec (avg: 550.92KB/sec),  0.30 (avg:  0.22) msec latency[RUN #1 47%,  14 secs]  1 threads:      119412 ops,    6111 (avg:    8528) ops/sec, 420.15KB/sec (avg: 541.58KB/sec),  0.32 (avg:  0.23) msec latency[RUN #1 50%,  15 secs]  1 threads:      126006 ops,    6593 (avg:    8399) ops/sec, 453.58KB/sec (avg: 535.72KB/sec),  0.30 (avg:  0.23) msec latency[RUN #1 53%,  16 secs]  1 threads:      133032 ops,    7025 (avg:    8313) ops/sec, 483.37KB/sec (avg: 532.45KB/sec),  0.28 (avg:  0.24) msec latency[RUN #1 57%,  17 secs]  1 threads:      139941 ops,    6908 (avg:    8231) ops/sec, 475.33KB/sec (avg: 529.08KB/sec),  0.28 (avg:  0.24) msec latency[RUN #1 60%,  18 secs]  1 threads:      146954 ops,    7012 (avg:    8163) ops/sec, 482.47KB/sec (avg: 526.50KB/sec),  0.28 (avg:  0.24) msec latency[RUN #1 63%,  19 secs]  1 threads:      154046 ops,    7091 (avg:    8106) ops/sec, 487.92KB/sec (avg: 524.46KB/sec),  0.28 (avg:  0.24) msec latency[RUN #1 67%,  20 secs]  1 threads:      160403 ops,    6356 (avg:    8019) ops/sec, 437.35KB/sec (avg: 520.11KB/sec),  0.31 (avg:  0.24) msec latency[RUN #1 70%,  21 secs]  1 threads:      166970 ops,    6566 (avg:    7950) ops/sec, 451.79KB/sec (avg: 516.86KB/sec),  0.30 (avg:  0.25) msec latency[RUN #1 73%,  22 secs]  1 threads:      174008 ops,    7037 (avg:    7908) ops/sec, 484.19KB/sec (avg: 515.37KB/sec),  0.28 (avg:  0.25) msec latency[RUN #1 77%,  23 secs]  1 threads:      181067 ops,    7058 (avg:    7871) ops/sec, 485.66KB/sec (avg: 514.08KB/sec),  0.28 (avg:  0.25) msec latency[RUN #1 80%,  24 secs]  1 threads:      188027 ops,    6959 (avg:    7833) ops/sec, 478.83KB/sec (avg: 512.61KB/sec),  0.28 (avg:  0.25) msec latency[RUN #1 83%,  25 secs]  1 threads:      195302 ops,    7274 (avg:    7811) ops/sec, 500.51KB/sec (avg: 512.13KB/sec),  0.27 (avg:  0.25) msec latency[RUN #1 87%,  26 secs]  1 threads:      201943 ops,    6640 (avg:    7766) ops/sec, 456.90KB/sec (avg: 510.00KB/sec),  0.30 (avg:  0.25) msec latency[RUN #1 90%,  27 secs]  1 threads:      208645 ops,    6701 (avg:    7726) ops/sec, 461.09KB/sec (avg: 508.19KB/sec),  0.29 (avg:  0.25) msec latency[RUN #1 93%,  28 secs]  1 threads:      214409 ops,    5763 (avg:    7656) ops/sec, 396.55KB/sec (avg: 504.20KB/sec),  0.34 (avg:  0.26) msec latency[RUN #1 97%,  29 secs]  1 threads:      222225 ops,    7815 (avg:    7662) ops/sec, 537.72KB/sec (avg: 505.36KB/sec),  0.25 (avg:  0.26) msec latency[RUN #1 100%,  30 secs]  0 threads:      230792 ops,    7815 (avg:    7693) ops/sec, 537.72KB/sec (avg: 508.21KB/sec),  0.25 (avg:  0.25) msec latency

1         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         699.40          ---          ---      0.26100        51.23
Gets        6993.65      6439.42       554.23      0.25400       456.98
Totals      7693.05      6439.42       554.23      0.25400       508.21


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.071      0.00048
GET       0.073      0.00143
GET       0.074      0.00191
GET       0.075      0.00334
GET       0.076      0.00381
GET       0.077      0.00524
GET       0.078      0.00953
GET       0.079      0.01144
GET       0.080      0.01668
GET       0.081      0.02049
GET       0.082      0.02717
GET       0.083      0.04051
GET       0.084      0.05862
GET       0.085      0.08198
GET       0.086      0.10962
GET       0.087      0.15586
GET       0.088      0.20733
GET       0.089      0.25785
GET       0.090      0.33030
GET       0.091      0.40275
GET       0.092      0.51475
GET       0.093      0.66346
GET       0.094      0.85363
GET       0.095      1.08765
GET       0.096      1.27925
GET       0.097      1.44130
GET       0.098      1.58572
GET       0.099      1.72060
GET       0.100      2.43268
GET       0.110      3.99886
GET       0.120      5.43158
GET       0.130      8.85087
GET       0.140     20.32506
GET       0.150     29.23550
GET       0.160     34.29770
GET       0.170     38.54392
GET       0.180     44.50503
GET       0.190     53.45265
GET       0.200     60.35794
GET       0.210     64.66374
GET       0.220     68.07540
GET       0.230     71.52471
GET       0.240     75.01978
GET       0.250     77.35523
GET       0.260     78.66117
GET       0.270     79.64492
GET       0.280     80.86221
GET       0.290     82.56184
GET       0.300     84.17092
GET       0.310     85.57171
GET       0.320     86.95343
GET       0.330     88.57824
GET       0.340     90.22497
GET       0.350     91.54997
GET       0.360     92.49797
GET       0.370     93.27391
GET       0.380     94.04175
GET       0.390     94.76097
GET       0.400     95.29336
GET       0.410     95.67895
GET       0.420     95.99066
GET       0.430     96.24946
GET       0.440     96.49588
GET       0.450     96.67270
GET       0.460     96.81712
GET       0.470     96.92293
GET       0.480     97.03541
GET       0.490     97.13217
GET       0.500     97.20938
GET       0.510     97.27086
GET       0.520     97.34474
GET       0.530     97.39812
GET       0.540     97.44435
GET       0.550     97.49154
GET       0.560     97.53015
GET       0.570     97.56542
GET       0.580     97.60498
GET       0.590     97.64740
GET       0.600     97.68457
GET       0.610     97.72365
GET       0.620     97.74701
GET       0.630     97.77275
GET       0.640     97.80945
GET       0.650     97.84186
GET       0.660     97.86521
GET       0.670     97.88857
GET       0.680     97.91621
GET       0.690     97.94052
GET       0.700     97.96483
GET       0.710     97.99152
GET       0.720     98.01153
GET       0.730     98.03012
GET       0.740     98.04919
GET       0.750     98.06921
GET       0.760     98.08779
GET       0.770     98.10305
GET       0.780     98.11401
GET       0.790     98.12831
GET       0.800     98.14594
GET       0.810     98.16405
GET       0.820     98.18073
GET       0.830     98.19646
GET       0.840     98.21029
GET       0.850     98.21839
GET       0.860     98.22744
GET       0.870     98.24127
GET       0.880     98.25413
GET       0.890     98.26700
GET       0.900     98.27844
GET       0.910     98.28893
GET       0.920     98.30084
GET       0.930     98.31324
GET       0.940     98.32563
GET       0.950     98.34374
GET       0.960     98.35518
GET       0.970     98.36900
GET       0.980     98.38235
GET       0.990     98.39188
GET       1.000     98.45956
GET       1.100     98.56346
GET       1.200     98.64973
GET       1.300     98.73934
GET       1.400     98.82036
GET       1.500     98.89471
GET       1.600     98.95286
GET       1.700     98.99814
GET       1.800     99.05152
GET       1.900     99.09585
GET       2.000     99.15066
GET       2.100     99.20023
GET       2.200     99.24360
GET       2.300     99.27887
GET       2.400     99.31891
GET       2.500     99.35084
GET       2.600     99.38135
GET       2.700     99.41042
GET       2.800     99.43520
GET       2.900     99.46761
GET       3.000     99.48573
GET       3.100     99.50670
GET       3.200     99.52338
GET       3.300     99.54197
GET       3.400     99.56055
GET       3.500     99.58296
GET       3.600     99.60202
GET       3.700     99.61870
GET       3.800     99.63777
GET       3.900     99.65588
GET       4.000     99.68638
GET       4.100     99.70116
GET       4.200     99.72356
GET       4.300     99.75168
GET       4.400     99.78409
GET       4.500     99.80887
GET       4.600     99.81650
GET       4.700     99.82794
GET       4.800     99.84033
GET       4.900     99.84367
GET       5.000     99.84891
GET       5.100     99.85129
GET       5.200     99.85797
GET       5.300     99.86321
GET       5.400     99.86893
GET       5.500     99.87322
GET       5.600     99.87703
GET       5.700     99.88132
GET       5.800     99.88513
GET       5.900     99.88990
GET       6.000     99.89419
GET       6.100     99.89896
GET       6.200     99.90229
GET       6.300     99.90611
GET       6.400     99.90944
GET       6.500     99.91373
GET       6.600     99.91707
GET       6.800     99.92326
GET       6.900     99.92803
GET       7.000     99.93423
GET       7.100     99.93613
GET       7.200     99.93709
GET       7.300     99.93804
GET       7.400     99.93852
GET       7.500     99.93899
GET       7.600     99.93947
GET       7.700     99.93995
GET       7.800     99.94471
GET       7.900     99.94567
GET       8.000     99.94709
GET       8.100     99.94900
GET       8.200     99.95567
GET       8.300     99.96187
GET       8.400     99.96902
GET       8.500     99.97188
GET       8.900     99.97331
GET       9.000     99.97474
GET       9.100     99.97569
GET       9.300     99.97617
GET       9.400     99.97665
GET       9.500     99.97808
GET       9.600     99.97903
GET       9.700     99.97998
GET       9.900     99.98046
GET      10.000     99.98379
GET      11.000     99.98618
GET      12.000     99.99571
GET      13.000     99.99666
GET      16.000     99.99714
GET      17.000     99.99857
GET      21.000     99.99905
GET      22.000     99.99952
GET      23.000    100.00000
