[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:        7752 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       13506 ops,    5753 (avg:    6752) ops/sec, 291.29KB/sec (avg: 312.63KB/sec),  0.34 (avg:  0.29) msec latency[RUN #1 10%,   3 secs]  1 threads:       19644 ops,    6137 (avg:    6547) ops/sec, 341.67KB/sec (avg: 322.31KB/sec),  0.32 (avg:  0.30) msec latency[RUN #1 13%,   4 secs]  1 threads:       26854 ops,    7209 (avg:    6713) ops/sec, 429.61KB/sec (avg: 349.13KB/sec),  0.27 (avg:  0.29) msec latency[RUN #1 17%,   5 secs]  1 threads:       33195 ops,    6340 (avg:    6638) ops/sec, 391.04KB/sec (avg: 357.52KB/sec),  0.31 (avg:  0.30) msec latency[RUN #1 20%,   6 secs]  1 threads:       38518 ops,    5322 (avg:    6419) ops/sec, 336.31KB/sec (avg: 353.98KB/sec),  0.37 (avg:  0.31) msec latency[RUN #1 23%,   7 secs]  1 threads:       44070 ops,    5551 (avg:    6295) ops/sec, 357.67KB/sec (avg: 354.51KB/sec),  0.35 (avg:  0.31) msec latency[RUN #1 27%,   8 secs]  1 threads:       49570 ops,    5499 (avg:    6195) ops/sec, 362.25KB/sec (avg: 355.48KB/sec),  0.36 (avg:  0.32) msec latency[RUN #1 30%,   9 secs]  1 threads:       54676 ops,    5105 (avg:    6074) ops/sec, 338.74KB/sec (avg: 353.62KB/sec),  0.38 (avg:  0.32) msec latency[RUN #1 33%,  10 secs]  1 threads:       60118 ops,    5441 (avg:    6011) ops/sec, 364.13KB/sec (avg: 354.67KB/sec),  0.36 (avg:  0.33) msec latency[RUN #1 37%,  11 secs]  1 threads:       65511 ops,    5391 (avg:    5954) ops/sec, 362.33KB/sec (avg: 355.37KB/sec),  0.36 (avg:  0.33) msec latency[RUN #1 40%,  12 secs]  1 threads:       70846 ops,    5334 (avg:    5903) ops/sec, 361.70KB/sec (avg: 355.89KB/sec),  0.37 (avg:  0.33) msec latency[RUN #1 43%,  13 secs]  1 threads:       77109 ops,    6262 (avg:    5930) ops/sec, 425.67KB/sec (avg: 361.26KB/sec),  0.31 (avg:  0.33) msec latency[RUN #1 47%,  14 secs]  1 threads:       85239 ops,    8129 (avg:    6087) ops/sec, 554.33KB/sec (avg: 375.05KB/sec),  0.24 (avg:  0.32) msec latency[RUN #1 50%,  15 secs]  1 threads:       92291 ops,    7051 (avg:    6152) ops/sec, 482.72KB/sec (avg: 382.23KB/sec),  0.28 (avg:  0.32) msec latency[RUN #1 53%,  16 secs]  1 threads:       99844 ops,    7552 (avg:    6239) ops/sec, 518.87KB/sec (avg: 390.77KB/sec),  0.26 (avg:  0.31) msec latency[RUN #1 57%,  17 secs]  1 threads:      106464 ops,    6619 (avg:    6261) ops/sec, 454.38KB/sec (avg: 394.51KB/sec),  0.30 (avg:  0.31) msec latency[RUN #1 60%,  18 secs]  1 threads:      113223 ops,    6758 (avg:    6289) ops/sec, 464.48KB/sec (avg: 398.40KB/sec),  0.29 (avg:  0.31) msec latency[RUN #1 63%,  19 secs]  1 threads:      119282 ops,    6058 (avg:    6277) ops/sec, 416.40KB/sec (avg: 399.35KB/sec),  0.32 (avg:  0.31) msec latency[RUN #1 67%,  20 secs]  1 threads:      125939 ops,    6656 (avg:    6296) ops/sec, 457.76KB/sec (avg: 402.27KB/sec),  0.30 (avg:  0.31) msec latency[RUN #1 70%,  21 secs]  1 threads:      132420 ops,    6480 (avg:    6305) ops/sec, 445.87KB/sec (avg: 404.34KB/sec),  0.30 (avg:  0.31) msec latency[RUN #1 73%,  22 secs]  1 threads:      139136 ops,    6715 (avg:    6323) ops/sec, 462.05KB/sec (avg: 406.97KB/sec),  0.29 (avg:  0.31) msec latency[RUN #1 77%,  23 secs]  1 threads:      147650 ops,    8513 (avg:    6418) ops/sec, 585.74KB/sec (avg: 414.74KB/sec),  0.23 (avg:  0.31) msec latency[RUN #1 80%,  24 secs]  1 threads:      158079 ops,   10427 (avg:    6585) ops/sec, 717.48KB/sec (avg: 427.35KB/sec),  0.19 (avg:  0.30) msec latency[RUN #1 83%,  25 secs]  1 threads:      169072 ops,   10992 (avg:    6762) ops/sec, 756.30KB/sec (avg: 440.51KB/sec),  0.18 (avg:  0.29) msec latency[RUN #1 87%,  26 secs]  1 threads:      181992 ops,   12918 (avg:    6999) ops/sec, 888.86KB/sec (avg: 457.75KB/sec),  0.15 (avg:  0.28) msec latency[RUN #1 90%,  27 secs]  1 threads:      194308 ops,   12314 (avg:    7195) ops/sec, 847.31KB/sec (avg: 472.18KB/sec),  0.16 (avg:  0.27) msec latency[RUN #1 93%,  28 secs]  1 threads:      206259 ops,   11949 (avg:    7365) ops/sec, 822.21KB/sec (avg: 484.68KB/sec),  0.16 (avg:  0.27) msec latency[RUN #1 97%,  29 secs]  1 threads:      218491 ops,   12230 (avg:    7533) ops/sec, 841.50KB/sec (avg: 496.99KB/sec),  0.16 (avg:  0.26) msec latency[RUN #1 100%,  30 secs]  0 threads:      231613 ops,   12230 (avg:    7720) ops/sec, 841.50KB/sec (avg: 510.56KB/sec),  0.16 (avg:  0.25) msec latency

1         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         701.90          ---          ---      0.25700        51.41
Gets        7018.53      6476.73       541.80      0.25300       459.16
Totals      7720.43      6476.73       541.80      0.25300       510.56


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.061      0.00047
GET       0.062      0.00190
GET       0.063      0.00237
GET       0.064      0.00427
GET       0.065      0.00570
GET       0.066      0.00902
GET       0.067      0.01045
GET       0.068      0.01377
GET       0.069      0.01662
GET       0.070      0.01852
GET       0.071      0.02185
GET       0.072      0.02565
GET       0.073      0.03135
GET       0.074      0.03799
GET       0.075      0.04274
GET       0.076      0.04844
GET       0.077      0.05224
GET       0.078      0.05747
GET       0.079      0.06364
GET       0.080      0.07314
GET       0.081      0.08264
GET       0.082      0.09356
GET       0.083      0.11256
GET       0.084      0.13393
GET       0.085      0.16575
GET       0.086      0.20375
GET       0.087      0.24412
GET       0.088      0.29541
GET       0.089      0.36237
GET       0.090      0.43836
GET       0.091      0.53667
GET       0.092      0.65493
GET       0.093      0.80026
GET       0.094      1.00543
GET       0.095      1.27330
GET       0.096      1.52976
GET       0.097      1.75060
GET       0.098      1.94675
GET       0.099      2.12912
GET       0.100      3.13503
GET       0.110      5.15112
GET       0.120      7.53576
GET       0.130     11.54657
GET       0.140     21.18534
GET       0.150     31.26294
GET       0.160     37.45179
GET       0.170     41.97791
GET       0.180     46.27273
GET       0.190     51.22200
GET       0.200     55.47455
GET       0.210     58.40821
GET       0.220     60.65037
GET       0.230     62.70588
GET       0.240     64.81316
GET       0.250     66.53289
GET       0.260     67.94867
GET       0.270     69.41289
GET       0.280     71.21811
GET       0.290     73.48164
GET       0.300     75.79979
GET       0.310     77.89662
GET       0.320     79.82817
GET       0.330     81.77872
GET       0.340     83.76489
GET       0.350     85.54921
GET       0.360     87.04335
GET       0.370     88.35607
GET       0.380     89.63126
GET       0.390     90.86181
GET       0.400     91.95511
GET       0.410     92.85368
GET       0.420     93.62402
GET       0.430     94.33072
GET       0.440     94.96239
GET       0.450     95.52756
GET       0.460     95.97732
GET       0.470     96.38338
GET       0.480     96.74148
GET       0.490     97.04402
GET       0.500     97.29383
GET       0.510     97.49853
GET       0.520     97.68185
GET       0.530     97.82813
GET       0.540     97.96634
GET       0.550     98.08222
GET       0.560     98.18148
GET       0.570     98.26792
GET       0.580     98.34771
GET       0.590     98.42417
GET       0.600     98.49494
GET       0.610     98.54670
GET       0.620     98.58327
GET       0.630     98.62602
GET       0.640     98.65594
GET       0.650     98.69061
GET       0.660     98.71103
GET       0.670     98.73145
GET       0.680     98.74903
GET       0.690     98.76850
GET       0.700     98.78702
GET       0.710     98.80602
GET       0.720     98.82502
GET       0.730     98.83404
GET       0.740     98.85161
GET       0.750     98.86633
GET       0.760     98.88581
GET       0.770     98.89673
GET       0.780     98.90575
GET       0.790     98.91620
GET       0.800     98.92665
GET       0.810     98.93615
GET       0.820     98.94707
GET       0.830     98.96037
GET       0.840     98.96560
GET       0.850     98.97367
GET       0.860     98.98174
GET       0.870     98.99362
GET       0.880     99.00027
GET       0.890     99.01024
GET       0.900     99.01689
GET       0.910     99.02639
GET       0.920     99.03304
GET       0.930     99.04064
GET       0.940     99.04728
GET       0.950     99.05298
GET       0.960     99.05916
GET       0.970     99.06438
GET       0.980     99.07246
GET       0.990     99.07863
GET       1.000     99.12137
GET       1.100     99.16649
GET       1.200     99.21921
GET       1.300     99.27620
GET       1.400     99.31277
GET       1.500     99.34792
GET       1.600     99.38734
GET       1.700     99.41583
GET       1.800     99.44575
GET       1.900     99.47187
GET       2.000     99.50180
GET       2.100     99.52602
GET       2.200     99.54074
GET       2.300     99.55831
GET       2.400     99.57778
GET       2.500     99.59536
GET       2.600     99.60628
GET       2.700     99.62195
GET       2.800     99.63905
GET       2.900     99.65472
GET       3.000     99.67230
GET       3.100     99.68132
GET       3.200     99.68749
GET       3.300     99.70269
GET       3.400     99.71314
GET       3.500     99.72406
GET       3.600     99.73214
GET       3.700     99.73926
GET       3.800     99.74829
GET       3.900     99.75731
GET       4.000     99.77441
GET       4.100     99.78153
GET       4.200     99.79625
GET       4.300     99.82190
GET       4.400     99.86084
GET       4.500     99.89314
GET       4.600     99.90501
GET       4.700     99.91071
GET       4.800     99.91546
GET       4.900     99.91926
GET       5.000     99.92401
GET       5.100     99.92639
GET       5.200     99.93113
GET       5.300     99.93541
GET       5.400     99.93683
GET       5.500     99.93873
GET       5.600     99.94158
GET       5.700     99.94348
GET       5.800     99.94538
GET       5.900     99.94918
GET       6.000     99.95251
GET       6.100     99.95346
GET       6.300     99.95441
GET       6.400     99.95631
GET       6.500     99.95678
GET       6.600     99.95821
GET       6.700     99.96058
GET       6.900     99.96296
GET       7.000     99.96391
GET       7.100     99.96533
GET       7.400     99.96628
GET       7.600     99.96723
GET       7.800     99.96818
GET       7.900     99.96865
GET       8.000     99.97008
GET       8.100     99.97198
GET       8.200     99.97673
GET       8.300     99.97863
GET       8.400     99.98433
GET       8.500     99.98860
GET       8.600     99.98955
GET       8.800     99.99050
GET       9.200     99.99145
GET       9.600     99.99193
GET       9.700     99.99240
GET      10.000     99.99335
GET      11.000     99.99383
GET      12.000     99.99573
GET      13.000     99.99715
GET      15.000     99.99810
GET      16.000     99.99858
GET      20.000    100.00000
