[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  2 threads:       17076 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  2 threads:       34065 ops,   16986 (avg:   17032) ops/sec, 632.20KB/sec (avg: 624.26KB/sec),  0.47 (avg:  0.47) msec latency[RUN #1 10%,   3 secs]  2 threads:       50584 ops,   16517 (avg:   16860) ops/sec, 637.53KB/sec (avg: 628.69KB/sec),  0.48 (avg:  0.47) msec latency[RUN #1 13%,   4 secs]  2 threads:       67230 ops,   16644 (avg:   16806) ops/sec, 664.59KB/sec (avg: 637.66KB/sec),  0.48 (avg:  0.47) msec latency[RUN #1 17%,   5 secs]  2 threads:       84283 ops,   17051 (avg:   16855) ops/sec, 700.06KB/sec (avg: 650.14KB/sec),  0.46 (avg:  0.47) msec latency[RUN #1 20%,   6 secs]  2 threads:      101697 ops,   17411 (avg:   16948) ops/sec, 735.94KB/sec (avg: 664.44KB/sec),  0.46 (avg:  0.47) msec latency[RUN #1 23%,   7 secs]  2 threads:      117598 ops,   15899 (avg:   16798) ops/sec, 687.67KB/sec (avg: 667.76KB/sec),  0.50 (avg:  0.47) msec latency[RUN #1 27%,   8 secs]  2 threads:      134467 ops,   16866 (avg:   16806) ops/sec, 743.11KB/sec (avg: 677.18KB/sec),  0.47 (avg:  0.47) msec latency[RUN #1 30%,   9 secs]  2 threads:      151398 ops,   16928 (avg:   16820) ops/sec, 766.72KB/sec (avg: 687.13KB/sec),  0.47 (avg:  0.47) msec latency[RUN #1 33%,  10 secs]  2 threads:      168136 ops,   16735 (avg:   16812) ops/sec, 777.79KB/sec (avg: 696.20KB/sec),  0.47 (avg:  0.47) msec latency[RUN #1 37%,  11 secs]  2 threads:      184996 ops,   16857 (avg:   16816) ops/sec, 803.52KB/sec (avg: 705.95KB/sec),  0.47 (avg:  0.47) msec latency[RUN #1 40%,  12 secs]  2 threads:      202442 ops,   17444 (avg:   16868) ops/sec, 848.98KB/sec (avg: 717.87KB/sec),  0.45 (avg:  0.47) msec latency[RUN #1 43%,  13 secs]  2 threads:      219590 ops,   17145 (avg:   16889) ops/sec, 848.08KB/sec (avg: 727.89KB/sec),  0.46 (avg:  0.47) msec latency[RUN #1 47%,  14 secs]  2 threads:      236238 ops,   16646 (avg:   16872) ops/sec, 841.42KB/sec (avg: 736.00KB/sec),  0.48 (avg:  0.47) msec latency[RUN #1 50%,  15 secs]  2 threads:      252657 ops,   16417 (avg:   16842) ops/sec, 844.42KB/sec (avg: 743.23KB/sec),  0.48 (avg:  0.47) msec latency[RUN #1 53%,  16 secs]  2 threads:      268961 ops,   16302 (avg:   16808) ops/sec, 836.01KB/sec (avg: 749.03KB/sec),  0.49 (avg:  0.47) msec latency[RUN #1 57%,  17 secs]  2 threads:      286808 ops,   17844 (avg:   16869) ops/sec, 928.69KB/sec (avg: 759.59KB/sec),  0.44 (avg:  0.47) msec latency[RUN #1 60%,  18 secs]  2 threads:      304003 ops,   17192 (avg:   16887) ops/sec, 911.97KB/sec (avg: 768.06KB/sec),  0.46 (avg:  0.47) msec latency[RUN #1 63%,  19 secs]  2 threads:      320637 ops,   16632 (avg:   16873) ops/sec, 895.59KB/sec (avg: 774.77KB/sec),  0.48 (avg:  0.47) msec latency[RUN #1 67%,  20 secs]  2 threads:      338640 ops,   18001 (avg:   16930) ops/sec, 982.54KB/sec (avg: 785.16KB/sec),  0.44 (avg:  0.47) msec latency[RUN #1 70%,  21 secs]  2 threads:      355405 ops,   16763 (avg:   16922) ops/sec, 924.43KB/sec (avg: 791.79KB/sec),  0.47 (avg:  0.47) msec latency[RUN #1 73%,  22 secs]  2 threads:      372282 ops,   16875 (avg:   16920) ops/sec, 941.93KB/sec (avg: 798.62KB/sec),  0.47 (avg:  0.47) msec latency[RUN #1 77%,  23 secs]  2 threads:      388765 ops,   16481 (avg:   16901) ops/sec, 927.98KB/sec (avg: 804.24KB/sec),  0.48 (avg:  0.47) msec latency[RUN #1 80%,  24 secs]  2 threads:      405239 ops,   16472 (avg:   16883) ops/sec, 934.35KB/sec (avg: 809.66KB/sec),  0.48 (avg:  0.47) msec latency[RUN #1 83%,  25 secs]  2 threads:      422069 ops,   16828 (avg:   16881) ops/sec, 964.60KB/sec (avg: 815.86KB/sec),  0.47 (avg:  0.47) msec latency[RUN #1 87%,  26 secs]  2 threads:      438912 ops,   16841 (avg:   16879) ops/sec, 970.28KB/sec (avg: 821.80KB/sec),  0.47 (avg:  0.47) msec latency[RUN #1 90%,  27 secs]  2 threads:      455783 ops,   16869 (avg:   16879) ops/sec, 982.42KB/sec (avg: 827.75KB/sec),  0.47 (avg:  0.47) msec latency[RUN #1 93%,  28 secs]  2 threads:      471534 ops,   15749 (avg:   16838) ops/sec, 922.83KB/sec (avg: 831.14KB/sec),  0.50 (avg:  0.47) msec latency[RUN #1 97%,  29 secs]  2 threads:      487643 ops,   16107 (avg:   16813) ops/sec, 949.07KB/sec (avg: 835.21KB/sec),  0.49 (avg:  0.47) msec latency[RUN #1 100%,  30 secs]  0 threads:      504635 ops,   16107 (avg:   16821) ops/sec, 949.07KB/sec (avg: 840.81KB/sec),  0.49 (avg:  0.47) msec latency

2         Threads
4         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1529.33          ---          ---      0.47200       113.24
Gets       15291.82      6628.09      8663.73      0.47100       727.57
Totals     16821.15      6628.09      8663.73      0.47100       840.81


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000    100.00000
---
GET       0.087      0.00065
GET       0.088      0.00174
GET       0.089      0.00196
GET       0.090      0.00218
GET       0.091      0.00262
GET       0.092      0.00349
GET       0.093      0.00414
GET       0.094      0.00501
GET       0.095      0.00698
GET       0.096      0.00807
GET       0.097      0.00872
GET       0.098      0.00981
GET       0.099      0.01112
GET       0.100      0.01678
GET       0.110      0.02834
GET       0.120      0.03749
GET       0.130      0.04752
GET       0.140      0.07542
GET       0.150      0.09984
GET       0.160      0.11466
GET       0.170      0.12556
GET       0.180      0.13820
GET       0.190      0.15259
GET       0.200      0.16501
GET       0.210      0.17221
GET       0.220      0.17962
GET       0.230      0.18812
GET       0.240      0.20250
GET       0.250      0.21667
GET       0.260      0.23433
GET       0.270      0.24719
GET       0.280      0.25678
GET       0.290      0.26594
GET       0.300      0.28229
GET       0.310      0.33002
GET       0.320      0.44337
GET       0.330      0.73874
GET       0.340      1.39137
GET       0.350      2.69665
GET       0.360      5.01204
GET       0.370      8.77702
GET       0.380     14.84126
GET       0.390     23.73489
GET       0.400     34.24660
GET       0.410     44.39755
GET       0.420     52.43256
GET       0.430     57.98367
GET       0.440     61.23552
GET       0.450     62.95801
GET       0.460     63.89380
GET       0.470     64.34088
GET       0.480     64.60115
GET       0.490     64.82676
GET       0.500     65.07133
GET       0.510     65.44365
GET       0.520     66.00691
GET       0.530     66.85660
GET       0.540     68.08362
GET       0.550     69.76905
GET       0.560     71.91202
GET       0.570     74.66273
GET       0.580     77.79621
GET       0.590     81.26320
GET       0.600     84.74763
GET       0.610     88.11479
GET       0.620     91.14364
GET       0.630     93.70688
GET       0.640     95.69182
GET       0.650     97.15534
GET       0.660     98.16067
GET       0.670     98.83598
GET       0.680     99.25581
GET       0.690     99.50060
GET       0.700     99.63205
GET       0.710     99.70943
GET       0.720     99.75521
GET       0.730     99.78594
GET       0.740     99.81123
GET       0.750     99.83412
GET       0.760     99.85679
GET       0.770     99.87640
GET       0.780     99.89929
GET       0.790     99.91717
GET       0.800     99.93155
GET       0.810     99.94507
GET       0.820     99.95728
GET       0.830     99.96861
GET       0.840     99.97711
GET       0.850     99.98387
GET       0.860     99.98823
GET       0.870     99.99193
GET       0.880     99.99302
GET       0.890     99.99455
GET       0.900     99.99651
GET       0.910     99.99717
GET       0.920     99.99738
GET       0.930     99.99804
GET       0.940     99.99826
GET       1.200     99.99847
GET       1.400     99.99913
GET       4.100     99.99935
GET       4.400     99.99956
GET       4.500    100.00000
