[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       15195 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       29264 ops,   14067 (avg:   14631) ops/sec, 647.03KB/sec (avg: 624.51KB/sec),  0.21 (avg:  0.20) msec latency[RUN #1 10%,   3 secs]  1 threads:       42852 ops,   13586 (avg:   14283) ops/sec, 695.88KB/sec (avg: 648.30KB/sec),  0.22 (avg:  0.21) msec latency[RUN #1 13%,   4 secs]  1 threads:       56467 ops,   13613 (avg:   14115) ops/sec, 740.51KB/sec (avg: 671.36KB/sec),  0.22 (avg:  0.21) msec latency[RUN #1 17%,   5 secs]  1 threads:       70019 ops,   13550 (avg:   14002) ops/sec, 779.50KB/sec (avg: 692.98KB/sec),  0.22 (avg:  0.21) msec latency[RUN #1 20%,   6 secs]  1 threads:       83413 ops,   13392 (avg:   13901) ops/sec, 806.03KB/sec (avg: 711.83KB/sec),  0.22 (avg:  0.21) msec latency[RUN #1 23%,   7 secs]  1 threads:       96917 ops,   13502 (avg:   13844) ops/sec, 833.03KB/sec (avg: 729.14KB/sec),  0.22 (avg:  0.21) msec latency[RUN #1 27%,   8 secs]  1 threads:      110265 ops,   13346 (avg:   13781) ops/sec, 851.90KB/sec (avg: 744.49KB/sec),  0.22 (avg:  0.21) msec latency[RUN #1 30%,   9 secs]  1 threads:      123617 ops,   13350 (avg:   13734) ops/sec, 865.93KB/sec (avg: 757.98KB/sec),  0.22 (avg:  0.21) msec latency[RUN #1 33%,  10 secs]  1 threads:      136995 ops,   13376 (avg:   13698) ops/sec, 881.88KB/sec (avg: 770.37KB/sec),  0.22 (avg:  0.21) msec latency[RUN #1 37%,  11 secs]  1 threads:      150374 ops,   13377 (avg:   13669) ops/sec, 888.08KB/sec (avg: 781.07KB/sec),  0.22 (avg:  0.21) msec latency[RUN #1 40%,  12 secs]  1 threads:      163653 ops,   13277 (avg:   13636) ops/sec, 889.37KB/sec (avg: 790.10KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 43%,  13 secs]  1 threads:      176995 ops,   13340 (avg:   13613) ops/sec, 900.97KB/sec (avg: 798.62KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 47%,  14 secs]  1 threads:      190386 ops,   13389 (avg:   13597) ops/sec, 909.09KB/sec (avg: 806.52KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 50%,  15 secs]  1 threads:      203767 ops,   13379 (avg:   13583) ops/sec, 912.56KB/sec (avg: 813.58KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 53%,  16 secs]  1 threads:      217186 ops,   13417 (avg:   13572) ops/sec, 921.35KB/sec (avg: 820.32KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 57%,  17 secs]  1 threads:      230610 ops,   13422 (avg:   13564) ops/sec, 922.59KB/sec (avg: 826.34KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 60%,  18 secs]  1 threads:      243924 ops,   13312 (avg:   13550) ops/sec, 915.42KB/sec (avg: 831.29KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 63%,  19 secs]  1 threads:      257313 ops,   13387 (avg:   13541) ops/sec, 923.33KB/sec (avg: 836.13KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 67%,  20 secs]  1 threads:      270716 ops,   13401 (avg:   13534) ops/sec, 926.36KB/sec (avg: 840.64KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 70%,  21 secs]  1 threads:      284160 ops,   13442 (avg:   13530) ops/sec, 929.57KB/sec (avg: 844.88KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 73%,  22 secs]  1 threads:      297624 ops,   13462 (avg:   13527) ops/sec, 930.85KB/sec (avg: 848.78KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 77%,  23 secs]  1 threads:      311002 ops,   13376 (avg:   13520) ops/sec, 925.02KB/sec (avg: 852.10KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 80%,  24 secs]  1 threads:      324274 ops,   13270 (avg:   13510) ops/sec, 917.07KB/sec (avg: 854.81KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 83%,  25 secs]  1 threads:      337598 ops,   13322 (avg:   13502) ops/sec, 921.63KB/sec (avg: 857.48KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 87%,  26 secs]  1 threads:      351178 ops,   13578 (avg:   13505) ops/sec, 939.21KB/sec (avg: 860.62KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 90%,  27 secs]  1 threads:      364787 ops,   13607 (avg:   13509) ops/sec, 941.43KB/sec (avg: 863.62KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 93%,  28 secs]  1 threads:      379487 ops,   14698 (avg:   13551) ops/sec, 1016.35KB/sec (avg: 869.07KB/sec),  0.20 (avg:  0.22) msec latency[RUN #1 97%,  29 secs]  1 threads:      394656 ops,   15167 (avg:   13607) ops/sec, 1.02MB/sec (avg: 875.29KB/sec),  0.19 (avg:  0.22) msec latency[RUN #1 100%,  30 secs]  0 threads:      410248 ops,   15167 (avg:   13674) ops/sec, 1.02MB/sec (avg: 882.17KB/sec),  0.19 (avg:  0.21) msec latency

1         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1243.23          ---          ---      0.21500        91.70
Gets       12431.64     10705.88      1725.76      0.21400       790.47
Totals     13674.86     10705.88      1725.76      0.21400       882.17


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.081      0.00027
GET       0.083      0.00054
GET       0.086      0.00134
GET       0.087      0.00161
GET       0.088      0.00188
GET       0.089      0.00268
GET       0.092      0.00402
GET       0.093      0.00483
GET       0.094      0.00536
GET       0.095      0.00563
GET       0.096      0.00644
GET       0.097      0.00724
GET       0.098      0.00912
GET       0.099      0.01073
GET       0.100      0.01850
GET       0.110      0.03620
GET       0.120      0.08044
GET       0.130      0.19466
GET       0.140      0.73388
GET       0.150      1.94610
GET       0.160      3.63613
GET       0.170      6.26034
GET       0.180     11.96592
GET       0.190     26.95287
GET       0.200     42.61069
GET       0.210     53.90949
GET       0.220     62.91926
GET       0.230     72.93532
GET       0.240     84.57358
GET       0.250     92.28585
GET       0.260     95.89222
GET       0.270     97.64178
GET       0.280     98.60437
GET       0.290     99.16262
GET       0.300     99.43371
GET       0.310     99.55061
GET       0.320     99.61469
GET       0.330     99.66108
GET       0.340     99.69433
GET       0.350     99.72570
GET       0.360     99.75251
GET       0.370     99.78335
GET       0.380     99.81633
GET       0.390     99.84716
GET       0.400     99.87156
GET       0.410     99.89999
GET       0.420     99.92385
GET       0.430     99.94476
GET       0.440     99.96246
GET       0.450     99.97399
GET       0.460     99.98016
GET       0.470     99.98901
GET       0.480     99.99276
GET       0.490     99.99705
GET       0.500     99.99812
GET       0.510     99.99866
GET       0.530     99.99920
GET       0.610     99.99946
GET       0.620     99.99973
GET       0.640    100.00000
