[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       15066 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       29584 ops,   14516 (avg:   14791) ops/sec, 707.72KB/sec (avg: 663.27KB/sec),  0.20 (avg:  0.20) msec latency[RUN #1 10%,   3 secs]  1 threads:       43732 ops,   14146 (avg:   14576) ops/sec, 770.69KB/sec (avg: 699.08KB/sec),  0.21 (avg:  0.20) msec latency[RUN #1 13%,   4 secs]  1 threads:       56850 ops,   13116 (avg:   14211) ops/sec, 761.42KB/sec (avg: 714.66KB/sec),  0.22 (avg:  0.21) msec latency[RUN #1 17%,   5 secs]  1 threads:       68691 ops,   11839 (avg:   13737) ops/sec, 719.84KB/sec (avg: 715.70KB/sec),  0.25 (avg:  0.21) msec latency[RUN #1 20%,   6 secs]  1 threads:       81189 ops,   12496 (avg:   13530) ops/sec, 783.04KB/sec (avg: 726.92KB/sec),  0.24 (avg:  0.22) msec latency[RUN #1 23%,   7 secs]  1 threads:       92840 ops,   11649 (avg:   13261) ops/sec, 749.01KB/sec (avg: 730.08KB/sec),  0.25 (avg:  0.22) msec latency[RUN #1 27%,   8 secs]  1 threads:      102967 ops,   10126 (avg:   12869) ops/sec, 663.25KB/sec (avg: 721.72KB/sec),  0.29 (avg:  0.23) msec latency[RUN #1 30%,   9 secs]  1 threads:      115223 ops,   12254 (avg:   12801) ops/sec, 811.74KB/sec (avg: 731.72KB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 33%,  10 secs]  1 threads:      126992 ops,   11767 (avg:   12698) ops/sec, 785.71KB/sec (avg: 737.12KB/sec),  0.25 (avg:  0.23) msec latency[RUN #1 37%,  11 secs]  1 threads:      144962 ops,   17968 (avg:   13177) ops/sec, 1.18MB/sec (avg: 780.16KB/sec),  0.16 (avg:  0.22) msec latency[RUN #1 40%,  12 secs]  1 threads:      159500 ops,   14536 (avg:   13290) ops/sec, 986.39KB/sec (avg: 797.35KB/sec),  0.20 (avg:  0.22) msec latency[RUN #1 43%,  13 secs]  1 threads:      170814 ops,   11312 (avg:   13138) ops/sec, 772.18KB/sec (avg: 795.41KB/sec),  0.26 (avg:  0.22) msec latency[RUN #1 47%,  14 secs]  1 threads:      182071 ops,   11255 (avg:   13003) ops/sec, 769.38KB/sec (avg: 793.55KB/sec),  0.26 (avg:  0.23) msec latency[RUN #1 50%,  15 secs]  1 threads:      190756 ops,    8684 (avg:   12715) ops/sec, 593.77KB/sec (avg: 780.23KB/sec),  0.34 (avg:  0.23) msec latency[RUN #1 53%,  16 secs]  1 threads:      199671 ops,    8914 (avg:   12478) ops/sec, 612.29KB/sec (avg: 769.74KB/sec),  0.33 (avg:  0.24) msec latency[RUN #1 57%,  17 secs]  1 threads:      205391 ops,    5719 (avg:   12080) ops/sec, 393.73KB/sec (avg: 747.62KB/sec),  0.52 (avg:  0.24) msec latency[RUN #1 60%,  18 secs]  1 threads:      219308 ops,   13915 (avg:   12182) ops/sec, 958.91KB/sec (avg: 759.36KB/sec),  0.21 (avg:  0.24) msec latency[RUN #1 63%,  19 secs]  1 threads:      231945 ops,   12635 (avg:   12206) ops/sec, 871.50KB/sec (avg: 765.26KB/sec),  0.23 (avg:  0.24) msec latency[RUN #1 67%,  20 secs]  1 threads:      242862 ops,   10916 (avg:   12142) ops/sec, 753.37KB/sec (avg: 764.67KB/sec),  0.27 (avg:  0.24) msec latency[RUN #1 70%,  21 secs]  1 threads:      253002 ops,   10139 (avg:   12046) ops/sec, 699.56KB/sec (avg: 761.57KB/sec),  0.29 (avg:  0.24) msec latency[RUN #1 73%,  22 secs]  1 threads:      262521 ops,    9518 (avg:   11931) ops/sec, 656.82KB/sec (avg: 756.80KB/sec),  0.31 (avg:  0.25) msec latency[RUN #1 77%,  23 secs]  1 threads:      273266 ops,   10744 (avg:   11880) ops/sec, 741.53KB/sec (avg: 756.14KB/sec),  0.27 (avg:  0.25) msec latency[RUN #1 80%,  24 secs]  1 threads:      283522 ops,   10254 (avg:   11812) ops/sec, 707.95KB/sec (avg: 754.13KB/sec),  0.29 (avg:  0.25) msec latency[RUN #1 83%,  25 secs]  1 threads:      291353 ops,    7830 (avg:   11653) ops/sec, 540.66KB/sec (avg: 745.59KB/sec),  0.38 (avg:  0.25) msec latency[RUN #1 87%,  26 secs]  1 threads:      301709 ops,   10355 (avg:   11603) ops/sec, 715.05KB/sec (avg: 744.42KB/sec),  0.28 (avg:  0.25) msec latency[RUN #1 90%,  27 secs]  1 threads:      314591 ops,   12880 (avg:   11650) ops/sec, 889.56KB/sec (avg: 749.79KB/sec),  0.23 (avg:  0.25) msec latency[RUN #1 93%,  28 secs]  1 threads:      328976 ops,   14383 (avg:   11748) ops/sec, 993.31KB/sec (avg: 758.49KB/sec),  0.20 (avg:  0.25) msec latency[RUN #1 97%,  29 secs]  1 threads:      343592 ops,   14614 (avg:   11846) ops/sec, 1009.22KB/sec (avg: 767.14KB/sec),  0.20 (avg:  0.25) msec latency[RUN #1 100%,  30 secs]  0 threads:      359062 ops,   14614 (avg:   11968) ops/sec, 1009.22KB/sec (avg: 777.25KB/sec),  0.20 (avg:  0.25) msec latency

1         Threads
3         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets        1088.13          ---          ---      0.24500        80.04
Gets       10880.58      9567.42      1313.16      0.24500       697.21
Totals     11968.72      9567.42      1313.16      0.24500       777.25


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.067      0.00031
GET       0.076      0.00092
GET       0.077      0.00123
GET       0.078      0.00184
GET       0.079      0.00276
GET       0.080      0.00306
GET       0.081      0.00368
GET       0.082      0.00460
GET       0.083      0.00551
GET       0.084      0.00705
GET       0.085      0.00858
GET       0.086      0.01103
GET       0.087      0.01440
GET       0.088      0.01899
GET       0.089      0.02757
GET       0.090      0.03278
GET       0.091      0.04258
GET       0.092      0.05422
GET       0.093      0.06280
GET       0.094      0.07353
GET       0.095      0.08547
GET       0.096      0.10232
GET       0.097      0.12162
GET       0.098      0.13510
GET       0.099      0.15532
GET       0.100      0.26684
GET       0.110      0.60720
GET       0.120      1.11085
GET       0.130      2.24436
GET       0.140      5.66850
GET       0.150     10.04755
GET       0.160     13.54337
GET       0.170     17.03674
GET       0.180     21.86276
GET       0.190     31.53809
GET       0.200     41.35893
GET       0.210     48.65571
GET       0.220     54.80611
GET       0.230     61.45249
GET       0.240     69.73114
GET       0.250     76.41061
GET       0.260     81.11532
GET       0.270     84.58143
GET       0.280     87.69676
GET       0.290     90.66504
GET       0.300     92.87846
GET       0.310     94.40227
GET       0.320     95.45368
GET       0.330     96.25143
GET       0.340     96.83290
GET       0.350     97.24219
GET       0.360     97.51362
GET       0.370     97.70662
GET       0.380     97.86317
GET       0.390     98.02125
GET       0.400     98.13858
GET       0.410     98.24397
GET       0.420     98.33526
GET       0.430     98.43544
GET       0.440     98.53194
GET       0.450     98.61680
GET       0.460     98.69431
GET       0.470     98.75620
GET       0.480     98.81869
GET       0.490     98.88578
GET       0.500     98.93848
GET       0.510     98.98566
GET       0.520     99.03100
GET       0.530     99.09043
GET       0.540     99.13822
GET       0.550     99.19459
GET       0.560     99.24422
GET       0.570     99.28650
GET       0.580     99.32786
GET       0.590     99.37779
GET       0.600     99.41057
GET       0.610     99.45193
GET       0.620     99.48808
GET       0.630     99.51412
GET       0.640     99.54292
GET       0.650     99.56069
GET       0.660     99.57907
GET       0.670     99.59469
GET       0.680     99.60848
GET       0.690     99.61920
GET       0.700     99.62808
GET       0.710     99.63360
GET       0.720     99.63911
GET       0.730     99.64555
GET       0.740     99.65075
GET       0.750     99.65382
GET       0.760     99.65658
GET       0.770     99.65964
GET       0.780     99.66178
GET       0.790     99.66240
GET       0.800     99.66301
GET       0.810     99.66423
GET       0.820     99.66485
GET       0.830     99.66515
GET       0.850     99.66546
GET       0.880     99.66607
GET       0.900     99.66638
GET       0.920     99.66669
GET       0.930     99.66699
GET       0.980     99.66730
GET       1.000     99.66791
GET       1.100     99.67005
GET       1.200     99.67434
GET       1.300     99.67679
GET       1.400     99.67925
GET       1.500     99.68200
GET       1.600     99.68415
GET       1.700     99.68721
GET       1.800     99.69058
GET       1.900     99.69150
GET       2.000     99.69181
GET       2.300     99.69211
GET       2.400     99.69303
GET       2.500     99.69395
GET       2.600     99.69487
GET       2.800     99.69701
GET       2.900     99.69763
GET       3.000     99.69855
GET       3.100     99.69916
GET       3.200     99.70008
GET       3.300     99.70100
GET       3.400     99.70467
GET       3.500     99.70559
GET       3.600     99.70651
GET       3.800     99.70804
GET       3.900     99.71019
GET       4.000     99.71203
GET       4.100     99.71325
GET       4.200     99.74113
GET       4.300     99.79229
GET       4.400     99.81435
GET       4.500     99.81833
GET       4.600     99.82722
GET       4.700     99.83120
GET       4.800     99.83426
GET       5.000     99.83457
GET       5.100     99.83518
GET       5.500     99.83610
GET       5.900     99.83671
GET       6.100     99.83763
GET       6.200     99.83794
GET       6.300     99.83916
GET       6.400     99.84008
GET       6.700     99.84070
GET       6.800     99.84223
GET       7.900     99.84253
GET       8.100     99.84376
GET       8.200     99.86398
GET       8.300     99.92127
GET       8.400     99.94057
GET       8.500     99.94332
GET       8.600     99.94914
GET       8.700     99.95037
GET       8.800     99.95160
GET      12.000     99.98744
GET      13.000     99.98775
GET      16.000     99.99908
GET      20.000    100.00000
