[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       13661 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       26120 ops,   12457 (avg:   13059) ops/sec, 673.73KB/sec (avg: 632.95KB/sec),  0.16 (avg:  0.15) msec latency[RUN #1 10%,   3 secs]  1 threads:       38173 ops,   12051 (avg:   12723) ops/sec, 727.89KB/sec (avg: 664.60KB/sec),  0.16 (avg:  0.15) msec latency[RUN #1 13%,   4 secs]  1 threads:       49927 ops,   11752 (avg:   12480) ops/sec, 748.98KB/sec (avg: 685.70KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 17%,   5 secs]  1 threads:       59526 ops,    9597 (avg:   11904) ops/sec, 630.08KB/sec (avg: 674.57KB/sec),  0.20 (avg:  0.16) msec latency[RUN #1 20%,   6 secs]  1 threads:       66991 ops,    7464 (avg:   11164) ops/sec, 498.35KB/sec (avg: 645.20KB/sec),  0.26 (avg:  0.18) msec latency[RUN #1 23%,   7 secs]  1 threads:       73478 ops,    6486 (avg:   10495) ops/sec, 437.06KB/sec (avg: 615.47KB/sec),  0.30 (avg:  0.19) msec latency[RUN #1 27%,   8 secs]  1 threads:       82879 ops,    9400 (avg:   10358) ops/sec, 637.95KB/sec (avg: 618.28KB/sec),  0.21 (avg:  0.19) msec latency[RUN #1 30%,   9 secs]  1 threads:       91099 ops,    8219 (avg:   10121) ops/sec, 561.20KB/sec (avg: 611.93KB/sec),  0.24 (avg:  0.19) msec latency[RUN #1 33%,  10 secs]  1 threads:       96822 ops,    5722 (avg:    9681) ops/sec, 391.05KB/sec (avg: 589.85KB/sec),  0.34 (avg:  0.20) msec latency[RUN #1 37%,  11 secs]  1 threads:      104603 ops,    7780 (avg:    9508) ops/sec, 531.27KB/sec (avg: 584.52KB/sec),  0.25 (avg:  0.21) msec latency[RUN #1 40%,  12 secs]  1 threads:      113380 ops,    8776 (avg:    9447) ops/sec, 601.12KB/sec (avg: 585.90KB/sec),  0.22 (avg:  0.21) msec latency[RUN #1 43%,  13 secs]  1 threads:      121599 ops,    8218 (avg:    9352) ops/sec, 563.74KB/sec (avg: 584.20KB/sec),  0.24 (avg:  0.21) msec latency[RUN #1 47%,  14 secs]  1 threads:      130135 ops,    8535 (avg:    9294) ops/sec, 586.80KB/sec (avg: 584.38KB/sec),  0.23 (avg:  0.21) msec latency[RUN #1 50%,  15 secs]  1 threads:      138860 ops,    8724 (avg:    9256) ops/sec, 600.29KB/sec (avg: 585.45KB/sec),  0.22 (avg:  0.21) msec latency[RUN #1 53%,  16 secs]  1 threads:      147151 ops,    8290 (avg:    9196) ops/sec, 571.03KB/sec (avg: 584.54KB/sec),  0.23 (avg:  0.21) msec latency[RUN #1 57%,  17 secs]  1 threads:      155405 ops,    8253 (avg:    9140) ops/sec, 568.56KB/sec (avg: 583.60KB/sec),  0.24 (avg:  0.21) msec latency[RUN #1 60%,  18 secs]  1 threads:      163881 ops,    8475 (avg:    9103) ops/sec, 584.41KB/sec (avg: 583.65KB/sec),  0.23 (avg:  0.21) msec latency[RUN #1 63%,  19 secs]  1 threads:      172903 ops,    9021 (avg:    9099) ops/sec, 622.51KB/sec (avg: 585.69KB/sec),  0.22 (avg:  0.21) msec latency[RUN #1 67%,  20 secs]  1 threads:      180874 ops,    7970 (avg:    9042) ops/sec, 550.10KB/sec (avg: 583.92KB/sec),  0.25 (avg:  0.22) msec latency[RUN #1 70%,  21 secs]  1 threads:      189895 ops,    9020 (avg:    9041) ops/sec, 622.61KB/sec (avg: 585.76KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 73%,  22 secs]  1 threads:      197825 ops,    7929 (avg:    8991) ops/sec, 547.23KB/sec (avg: 584.01KB/sec),  0.25 (avg:  0.22) msec latency[RUN #1 77%,  23 secs]  1 threads:      205767 ops,    7941 (avg:    8945) ops/sec, 548.07KB/sec (avg: 582.44KB/sec),  0.25 (avg:  0.22) msec latency[RUN #1 80%,  24 secs]  1 threads:      214321 ops,    8553 (avg:    8929) ops/sec, 590.38KB/sec (avg: 582.77KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 83%,  25 secs]  1 threads:      222661 ops,    8338 (avg:    8905) ops/sec, 575.53KB/sec (avg: 582.48KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 87%,  26 secs]  1 threads:      230880 ops,    8218 (avg:    8879) ops/sec, 567.17KB/sec (avg: 581.90KB/sec),  0.24 (avg:  0.22) msec latency[RUN #1 90%,  27 secs]  1 threads:      239377 ops,    8496 (avg:    8864) ops/sec, 586.41KB/sec (avg: 582.06KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 93%,  28 secs]  1 threads:      248124 ops,    8746 (avg:    8860) ops/sec, 603.66KB/sec (avg: 582.83KB/sec),  0.22 (avg:  0.22) msec latency[RUN #1 97%,  29 secs]  1 threads:      256414 ops,    8289 (avg:    8841) ops/sec, 572.11KB/sec (avg: 582.46KB/sec),  0.24 (avg:  0.22) msec latency[RUN #1 100%,  30 secs]  0 threads:      265403 ops,    8289 (avg:    8846) ops/sec, 572.11KB/sec (avg: 583.78KB/sec),  0.24 (avg:  0.22) msec latency

1         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         804.30          ---          ---      0.22200        59.08
Gets        8042.44      7339.08       703.36      0.22000       524.70
Totals      8846.74      7339.08       703.36      0.22000       583.78


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.065      0.00083
GET       0.066      0.00207
GET       0.067      0.00290
GET       0.068      0.00414
GET       0.069      0.00580
GET       0.070      0.00622
GET       0.071      0.00912
GET       0.072      0.01119
GET       0.073      0.01616
GET       0.074      0.02280
GET       0.075      0.02653
GET       0.076      0.03150
GET       0.077      0.04103
GET       0.078      0.05388
GET       0.079      0.06507
GET       0.080      0.07999
GET       0.081      0.09491
GET       0.082      0.11812
GET       0.083      0.14009
GET       0.084      0.17200
GET       0.085      0.20682
GET       0.086      0.24578
GET       0.087      0.30090
GET       0.088      0.35561
GET       0.089      0.42193
GET       0.090      0.49860
GET       0.091      0.59020
GET       0.092      0.69879
GET       0.093      0.83639
GET       0.094      1.01379
GET       0.095      1.17626
GET       0.096      1.34536
GET       0.097      1.49788
GET       0.098      1.65994
GET       0.099      1.82614
GET       0.100      2.77734
GET       0.110      4.85879
GET       0.120      7.62701
GET       0.130     12.60559
GET       0.140     23.19272
GET       0.150     33.77115
GET       0.160     40.54436
GET       0.170     45.86279
GET       0.180     51.65870
GET       0.190     59.20696
GET       0.200     65.50602
GET       0.210     69.80653
GET       0.220     72.97139
GET       0.230     75.81298
GET       0.240     78.67362
GET       0.250     80.86740
GET       0.260     82.44776
GET       0.270     83.80431
GET       0.280     85.23836
GET       0.290     86.91612
GET       0.300     88.51928
GET       0.310     89.86339
GET       0.320     91.02763
GET       0.330     92.20761
GET       0.340     93.40418
GET       0.350     94.40097
GET       0.360     95.14204
GET       0.370     95.75835
GET       0.380     96.30545
GET       0.390     96.74851
GET       0.400     97.11573
GET       0.410     97.38928
GET       0.420     97.58780
GET       0.430     97.76520
GET       0.440     97.92104
GET       0.450     98.05035
GET       0.460     98.15562
GET       0.470     98.23727
GET       0.480     98.32058
GET       0.490     98.38234
GET       0.500     98.44326
GET       0.510     98.49963
GET       0.520     98.54232
GET       0.530     98.58170
GET       0.540     98.61651
GET       0.550     98.64967
GET       0.560     98.68241
GET       0.570     98.71225
GET       0.580     98.73919
GET       0.590     98.76489
GET       0.600     98.78603
GET       0.610     98.81504
GET       0.620     98.83742
GET       0.630     98.85441
GET       0.640     98.86892
GET       0.650     98.88591
GET       0.660     98.90125
GET       0.670     98.90912
GET       0.680     98.92487
GET       0.690     98.94187
GET       0.700     98.95430
GET       0.710     98.96508
GET       0.720     98.98041
GET       0.730     98.99409
GET       0.740     99.00528
GET       0.750     99.01606
GET       0.760     99.02683
GET       0.770     99.03761
GET       0.780     99.04673
GET       0.790     99.05750
GET       0.800     99.06579
GET       0.810     99.07367
GET       0.820     99.08196
GET       0.830     99.09025
GET       0.840     99.09812
GET       0.850     99.10682
GET       0.860     99.11511
GET       0.870     99.12423
GET       0.880     99.13128
GET       0.890     99.13874
GET       0.900     99.14620
GET       0.910     99.15159
GET       0.920     99.15698
GET       0.930     99.16361
GET       0.940     99.17024
GET       0.950     99.17687
GET       0.960     99.18019
GET       0.970     99.18640
GET       0.980     99.18930
GET       0.990     99.19635
GET       1.000     99.22080
GET       1.100     99.27054
GET       1.200     99.32318
GET       1.300     99.36462
GET       1.400     99.39902
GET       1.500     99.43177
GET       1.600     99.45871
GET       1.700     99.48813
GET       1.800     99.51880
GET       1.900     99.54367
GET       2.000     99.57766
GET       2.100     99.59631
GET       2.200     99.62408
GET       2.300     99.64439
GET       2.400     99.65392
GET       2.500     99.67257
GET       2.600     99.69247
GET       2.700     99.70573
GET       2.800     99.72272
GET       2.900     99.73060
GET       3.000     99.74345
GET       3.100     99.75339
GET       3.200     99.76666
GET       3.300     99.77826
GET       3.400     99.78945
GET       3.500     99.79567
GET       3.600     99.80479
GET       3.700     99.81390
GET       3.800     99.82592
GET       3.900     99.84209
GET       4.000     99.85950
GET       4.100     99.86654
GET       4.200     99.87898
GET       4.300     99.89473
GET       4.400     99.91089
GET       4.500     99.92001
GET       4.600     99.92788
GET       4.700     99.93037
GET       4.800     99.93617
GET       4.900     99.93824
GET       5.000     99.94032
GET       5.100     99.94446
GET       5.200     99.94570
GET       5.300     99.94695
GET       5.400     99.94778
GET       5.500     99.95192
GET       5.600     99.95358
GET       5.700     99.95399
GET       5.800     99.95565
GET       5.900     99.95980
GET       6.000     99.96353
GET       6.100     99.96601
GET       6.200     99.96892
GET       6.300     99.97306
GET       6.400     99.97513
GET       6.500     99.97803
GET       6.600     99.97845
GET       7.000     99.97928
GET       7.400     99.97969
GET       7.600     99.98176
GET       7.700     99.98301
GET       8.200     99.98549
GET       8.300     99.98881
GET       8.400     99.99337
GET       8.500     99.99378
GET       8.600     99.99461
GET       9.400     99.99503
GET       9.500     99.99544
GET       9.800     99.99627
GET      10.000     99.99710
GET      12.000    100.00000
