[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       13709 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   1 secs]  1 threads:       26134 ops,   12423 (avg:   13067) ops/sec, 683.83KB/sec (avg: 638.08KB/sec),  0.16 (avg:  0.15) msec latency[RUN #1 10%,   3 secs]  1 threads:       37848 ops,   11712 (avg:   12615) ops/sec, 717.93KB/sec (avg: 664.70KB/sec),  0.17 (avg:  0.15) msec latency[RUN #1 13%,   4 secs]  1 threads:       49771 ops,   11921 (avg:   12442) ops/sec, 771.69KB/sec (avg: 691.45KB/sec),  0.16 (avg:  0.16) msec latency[RUN #1 17%,   5 secs]  1 threads:       62509 ops,   12736 (avg:   12501) ops/sec, 843.36KB/sec (avg: 721.83KB/sec),  0.15 (avg:  0.16) msec latency[RUN #1 20%,   6 secs]  1 threads:       75069 ops,   12558 (avg:   12510) ops/sec, 847.36KB/sec (avg: 742.76KB/sec),  0.15 (avg:  0.16) msec latency[RUN #1 23%,   7 secs]  1 threads:       86434 ops,   11363 (avg:   12346) ops/sec, 773.86KB/sec (avg: 747.20KB/sec),  0.17 (avg:  0.16) msec latency[RUN #1 27%,   8 secs]  1 threads:       96357 ops,    9922 (avg:   12043) ops/sec, 677.64KB/sec (avg: 738.50KB/sec),  0.20 (avg:  0.16) msec latency[RUN #1 30%,   9 secs]  1 threads:      105607 ops,    9249 (avg:   11733) ops/sec, 633.35KB/sec (avg: 726.82KB/sec),  0.21 (avg:  0.17) msec latency[RUN #1 33%,  10 secs]  1 threads:      112778 ops,    7170 (avg:   11276) ops/sec, 492.08KB/sec (avg: 703.35KB/sec),  0.27 (avg:  0.17) msec latency[RUN #1 37%,  11 secs]  1 threads:      120608 ops,    7829 (avg:   10963) ops/sec, 538.12KB/sec (avg: 688.33KB/sec),  0.25 (avg:  0.18) msec latency[RUN #1 40%,  12 secs]  1 threads:      129161 ops,    8552 (avg:   10762) ops/sec, 588.07KB/sec (avg: 679.97KB/sec),  0.23 (avg:  0.18) msec latency[RUN #1 43%,  13 secs]  1 threads:      137170 ops,    8008 (avg:   10550) ops/sec, 550.96KB/sec (avg: 670.05KB/sec),  0.24 (avg:  0.18) msec latency[RUN #1 47%,  14 secs]  1 threads:      145252 ops,    8081 (avg:   10374) ops/sec, 556.21KB/sec (avg: 661.92KB/sec),  0.24 (avg:  0.19) msec latency[RUN #1 50%,  15 secs]  1 threads:      153281 ops,    8028 (avg:   10217) ops/sec, 552.79KB/sec (avg: 654.64KB/sec),  0.24 (avg:  0.19) msec latency[RUN #1 53%,  16 secs]  1 threads:      161972 ops,    8690 (avg:   10122) ops/sec, 598.53KB/sec (avg: 651.13KB/sec),  0.22 (avg:  0.19) msec latency[RUN #1 57%,  17 secs]  1 threads:      170433 ops,    8460 (avg:   10024) ops/sec, 582.77KB/sec (avg: 647.11KB/sec),  0.23 (avg:  0.19) msec latency[RUN #1 60%,  18 secs]  1 threads:      178827 ops,    8393 (avg:    9933) ops/sec, 578.13KB/sec (avg: 643.28KB/sec),  0.23 (avg:  0.20) msec latency[RUN #1 63%,  19 secs]  1 threads:      186745 ops,    7917 (avg:    9827) ops/sec, 545.32KB/sec (avg: 638.12KB/sec),  0.25 (avg:  0.20) msec latency[RUN #1 67%,  20 secs]  1 threads:      195430 ops,    8684 (avg:    9770) ops/sec, 598.06KB/sec (avg: 636.12KB/sec),  0.22 (avg:  0.20) msec latency[RUN #1 70%,  21 secs]  1 threads:      203350 ops,    7919 (avg:    9682) ops/sec, 545.26KB/sec (avg: 631.79KB/sec),  0.25 (avg:  0.20) msec latency[RUN #1 73%,  22 secs]  1 threads:      211292 ops,    7941 (avg:    9603) ops/sec, 547.02KB/sec (avg: 627.94KB/sec),  0.25 (avg:  0.20) msec latency[RUN #1 77%,  23 secs]  1 threads:      219861 ops,    8568 (avg:    9558) ops/sec, 590.15KB/sec (avg: 626.30KB/sec),  0.23 (avg:  0.20) msec latency[RUN #1 80%,  24 secs]  1 threads:      228146 ops,    8284 (avg:    9505) ops/sec, 570.65KB/sec (avg: 623.98KB/sec),  0.24 (avg:  0.20) msec latency[RUN #1 83%,  25 secs]  1 threads:      236154 ops,    8007 (avg:    9445) ops/sec, 551.83KB/sec (avg: 621.09KB/sec),  0.24 (avg:  0.21) msec latency[RUN #1 87%,  26 secs]  1 threads:      244367 ops,    8212 (avg:    9397) ops/sec, 565.98KB/sec (avg: 618.97KB/sec),  0.24 (avg:  0.21) msec latency[RUN #1 90%,  27 secs]  1 threads:      252070 ops,    7702 (avg:    9335) ops/sec, 530.77KB/sec (avg: 615.71KB/sec),  0.25 (avg:  0.21) msec latency[RUN #1 93%,  28 secs]  1 threads:      260708 ops,    8636 (avg:    9310) ops/sec, 595.18KB/sec (avg: 614.97KB/sec),  0.23 (avg:  0.21) msec latency[RUN #1 97%,  29 secs]  1 threads:      269971 ops,    9262 (avg:    9308) ops/sec, 638.28KB/sec (avg: 615.78KB/sec),  0.21 (avg:  0.21) msec latency[RUN #1 100%,  30 secs]  0 threads:      278223 ops,    9262 (avg:    9274) ops/sec, 638.28KB/sec (avg: 614.26KB/sec),  0.21 (avg:  0.21) msec latency

1         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         843.13          ---          ---      0.21200        61.85
Gets        8430.95      7779.18       651.77      0.20900       552.41
Totals      9274.08      7779.18       651.77      0.21000       614.26


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.067      0.00040
GET       0.069      0.00079
GET       0.070      0.00119
GET       0.071      0.00198
GET       0.074      0.00237
GET       0.075      0.00316
GET       0.076      0.00395
GET       0.077      0.00474
GET       0.078      0.00712
GET       0.079      0.00909
GET       0.080      0.01463
GET       0.081      0.02135
GET       0.082      0.03282
GET       0.083      0.04744
GET       0.084      0.06682
GET       0.085      0.09331
GET       0.086      0.12454
GET       0.087      0.16961
GET       0.088      0.22299
GET       0.089      0.27794
GET       0.090      0.35148
GET       0.091      0.47128
GET       0.092      0.61401
GET       0.093      0.83344
GET       0.094      1.06749
GET       0.095      1.25846
GET       0.096      1.45100
GET       0.097      1.64789
GET       0.098      1.83648
GET       0.099      2.03180
GET       0.100      3.11629
GET       0.110      5.23190
GET       0.120      7.96706
GET       0.130     13.31085
GET       0.140     26.77352
GET       0.150     39.44664
GET       0.160     47.15157
GET       0.170     52.81878
GET       0.180     58.77816
GET       0.190     66.34668
GET       0.200     72.44246
GET       0.210     76.47798
GET       0.220     79.30842
GET       0.230     81.69368
GET       0.240     83.76540
GET       0.250     85.26741
GET       0.260     86.32027
GET       0.270     87.18534
GET       0.280     88.18325
GET       0.290     89.33811
GET       0.300     90.49338
GET       0.310     91.55613
GET       0.320     92.56194
GET       0.330     93.51122
GET       0.340     94.46762
GET       0.350     95.30659
GET       0.360     95.98267
GET       0.370     96.52590
GET       0.380     96.96120
GET       0.390     97.29727
GET       0.400     97.55307
GET       0.410     97.72980
GET       0.420     97.88281
GET       0.430     97.99786
GET       0.440     98.10144
GET       0.450     98.17933
GET       0.460     98.24061
GET       0.470     98.28648
GET       0.480     98.34183
GET       0.490     98.38611
GET       0.500     98.42209
GET       0.510     98.46360
GET       0.520     98.49642
GET       0.530     98.53239
GET       0.540     98.56363
GET       0.550     98.59605
GET       0.560     98.62333
GET       0.570     98.65891
GET       0.580     98.68382
GET       0.590     98.70319
GET       0.600     98.73126
GET       0.610     98.75854
GET       0.620     98.77713
GET       0.630     98.79769
GET       0.640     98.81508
GET       0.650     98.83564
GET       0.660     98.85304
GET       0.670     98.86964
GET       0.680     98.88190
GET       0.690     98.89574
GET       0.700     98.91116
GET       0.710     98.92381
GET       0.720     98.93686
GET       0.730     98.95228
GET       0.740     98.96295
GET       0.750     98.97086
GET       0.760     98.98430
GET       0.770     98.99616
GET       0.780     99.00367
GET       0.790     99.01237
GET       0.800     99.02344
GET       0.810     99.03135
GET       0.820     99.03886
GET       0.830     99.04677
GET       0.840     99.05744
GET       0.850     99.06851
GET       0.860     99.07642
GET       0.870     99.08393
GET       0.880     99.09303
GET       0.890     99.10370
GET       0.900     99.11596
GET       0.910     99.12426
GET       0.920     99.12900
GET       0.930     99.13612
GET       0.940     99.14245
GET       0.950     99.14996
GET       0.960     99.15787
GET       0.970     99.16498
GET       0.980     99.17289
GET       0.990     99.17843
GET       1.000     99.20966
GET       1.100     99.26699
GET       1.200     99.32511
GET       1.300     99.37295
GET       1.400     99.41406
GET       1.500     99.45044
GET       1.600     99.48365
GET       1.700     99.51647
GET       1.800     99.54137
GET       1.900     99.57182
GET       2.000     99.59396
GET       2.100     99.61768
GET       2.200     99.64022
GET       2.300     99.66394
GET       2.400     99.68291
GET       2.500     99.70268
GET       2.600     99.71731
GET       2.700     99.73234
GET       2.800     99.74855
GET       2.900     99.76238
GET       3.000     99.77345
GET       3.100     99.78176
GET       3.200     99.79401
GET       3.300     99.80508
GET       3.400     99.82011
GET       3.500     99.83078
GET       3.600     99.84620
GET       3.700     99.85925
GET       3.800     99.86755
GET       3.900     99.87388
GET       4.000     99.88890
GET       4.100     99.89444
GET       4.200     99.90274
GET       4.300     99.90630
GET       4.400     99.91223
GET       4.500     99.91618
GET       4.600     99.92172
GET       4.700     99.92765
GET       4.800     99.93516
GET       4.900     99.93872
GET       5.000     99.93990
GET       5.100     99.94386
GET       5.200     99.94742
GET       5.300     99.95177
GET       5.400     99.95493
GET       5.500     99.96086
GET       5.600     99.96244
GET       5.700     99.96521
GET       5.800     99.96798
GET       5.900     99.97035
GET       6.000     99.97232
GET       6.100     99.97470
GET       6.200     99.97509
GET       6.300     99.97628
GET       6.400     99.97667
GET       6.500     99.97786
GET       6.600     99.97905
GET       6.700     99.97944
GET       6.800     99.98142
GET       6.900     99.98221
GET       7.100     99.98339
GET       7.200     99.98419
GET       7.300     99.98537
GET       7.400     99.98577
GET       7.500     99.98695
GET       7.700     99.98735
GET       7.800     99.98814
GET       7.900     99.98933
GET       8.100     99.98972
GET       8.200     99.99170
GET       8.300     99.99209
GET       8.400     99.99288
GET       8.500     99.99367
GET       8.600     99.99446
GET       8.800     99.99486
GET       8.900     99.99526
GET      10.000     99.99605
GET      12.000     99.99723
GET      13.000     99.99921
GET      16.000    100.00000
