[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       13317 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       23889 ops,   10570 (avg:   11943) ops/sec, 593.27KB/sec (avg: 598.87KB/sec),  0.18 (avg:  0.16) msec latency[RUN #1 10%,   3 secs]  1 threads:       32884 ops,    8993 (avg:   10960) ops/sec, 551.59KB/sec (avg: 583.11KB/sec),  0.22 (avg:  0.18) msec latency[RUN #1 13%,   4 secs]  1 threads:       41401 ops,    8515 (avg:   10349) ops/sec, 546.17KB/sec (avg: 573.87KB/sec),  0.23 (avg:  0.19) msec latency[RUN #1 17%,   5 secs]  1 threads:       49352 ops,    7949 (avg:    9869) ops/sec, 521.87KB/sec (avg: 563.47KB/sec),  0.25 (avg:  0.20) msec latency[RUN #1 20%,   6 secs]  1 threads:       57190 ops,    7837 (avg:    9530) ops/sec, 519.87KB/sec (avg: 556.21KB/sec),  0.25 (avg:  0.20) msec latency[RUN #1 23%,   7 secs]  1 threads:       64947 ops,    7756 (avg:    9277) ops/sec, 518.11KB/sec (avg: 550.76KB/sec),  0.25 (avg:  0.21) msec latency[RUN #1 27%,   8 secs]  1 threads:       72467 ops,    7519 (avg:    9057) ops/sec, 509.33KB/sec (avg: 545.58KB/sec),  0.26 (avg:  0.22) msec latency[RUN #1 30%,   9 secs]  1 threads:       80066 ops,    7598 (avg:    8895) ops/sec, 517.35KB/sec (avg: 542.45KB/sec),  0.26 (avg:  0.22) msec latency[RUN #1 33%,  10 secs]  1 threads:       88409 ops,    8342 (avg:    8840) ops/sec, 568.75KB/sec (avg: 545.08KB/sec),  0.23 (avg:  0.22) msec latency[RUN #1 37%,  11 secs]  1 threads:       95872 ops,    7462 (avg:    8714) ops/sec, 510.83KB/sec (avg: 541.96KB/sec),  0.26 (avg:  0.22) msec latency[RUN #1 40%,  12 secs]  1 threads:      103882 ops,    8009 (avg:    8656) ops/sec, 548.89KB/sec (avg: 542.54KB/sec),  0.24 (avg:  0.23) msec latency[RUN #1 43%,  13 secs]  1 threads:      111294 ops,    7411 (avg:    8560) ops/sec, 509.12KB/sec (avg: 539.97KB/sec),  0.26 (avg:  0.23) msec latency[RUN #1 47%,  14 secs]  1 threads:      118899 ops,    7604 (avg:    8491) ops/sec, 522.78KB/sec (avg: 538.74KB/sec),  0.26 (avg:  0.23) msec latency[RUN #1 50%,  15 secs]  1 threads:      126519 ops,    7619 (avg:    8433) ops/sec, 524.19KB/sec (avg: 537.77KB/sec),  0.26 (avg:  0.23) msec latency[RUN #1 53%,  16 secs]  1 threads:      131522 ops,    5002 (avg:    8219) ops/sec, 344.11KB/sec (avg: 525.67KB/sec),  0.39 (avg:  0.24) msec latency[RUN #1 57%,  17 secs]  1 threads:      136099 ops,    4576 (avg:    8005) ops/sec, 314.95KB/sec (avg: 513.27KB/sec),  0.43 (avg:  0.24) msec latency[RUN #1 60%,  18 secs]  1 threads:      140572 ops,    4472 (avg:    7808) ops/sec, 307.79KB/sec (avg: 501.86KB/sec),  0.44 (avg:  0.25) msec latency[RUN #1 63%,  19 secs]  1 threads:      145067 ops,    4494 (avg:    7634) ops/sec, 309.60KB/sec (avg: 491.74KB/sec),  0.44 (avg:  0.26) msec latency[RUN #1 67%,  20 secs]  1 threads:      149665 ops,    4597 (avg:    7482) ops/sec, 316.56KB/sec (avg: 482.98KB/sec),  0.43 (avg:  0.26) msec latency[RUN #1 70%,  21 secs]  1 threads:      154134 ops,    4468 (avg:    7339) ops/sec, 307.56KB/sec (avg: 474.63KB/sec),  0.44 (avg:  0.27) msec latency[RUN #1 73%,  22 secs]  1 threads:      158571 ops,    4436 (avg:    7207) ops/sec, 305.62KB/sec (avg: 466.95KB/sec),  0.44 (avg:  0.27) msec latency[RUN #1 77%,  23 secs]  1 threads:      163024 ops,    4452 (avg:    7087) ops/sec, 306.75KB/sec (avg: 459.98KB/sec),  0.44 (avg:  0.28) msec latency[RUN #1 80%,  24 secs]  1 threads:      167519 ops,    4494 (avg:    6979) ops/sec, 309.58KB/sec (avg: 453.71KB/sec),  0.44 (avg:  0.28) msec latency[RUN #1 83%,  25 secs]  1 threads:      172096 ops,    4576 (avg:    6883) ops/sec, 315.19KB/sec (avg: 448.17KB/sec),  0.43 (avg:  0.28) msec latency[RUN #1 87%,  26 secs]  1 threads:      176673 ops,    4576 (avg:    6794) ops/sec, 315.35KB/sec (avg: 443.06KB/sec),  0.43 (avg:  0.29) msec latency[RUN #1 90%,  27 secs]  1 threads:      181235 ops,    4561 (avg:    6711) ops/sec, 314.22KB/sec (avg: 438.29KB/sec),  0.43 (avg:  0.29) msec latency[RUN #1 93%,  28 secs]  1 threads:      186613 ops,    5377 (avg:    6664) ops/sec, 370.36KB/sec (avg: 435.87KB/sec),  0.37 (avg:  0.29) msec latency[RUN #1 97%,  29 secs]  1 threads:      197918 ops,   11303 (avg:    6824) ops/sec, 778.35KB/sec (avg: 447.67KB/sec),  0.17 (avg:  0.29) msec latency[RUN #1 100%,  30 secs]  0 threads:      209947 ops,   11303 (avg:    6998) ops/sec, 778.35KB/sec (avg: 460.41KB/sec),  0.17 (avg:  0.28) msec latency

1         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         636.23          ---          ---      0.28200        46.67
Gets        6361.98      5788.55       573.43      0.27900       413.74
Totals      6998.22      5788.55       573.43      0.27900       460.41


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.066      0.00105
GET       0.067      0.00157
GET       0.068      0.00262
GET       0.069      0.00576
GET       0.070      0.00734
GET       0.071      0.00995
GET       0.072      0.01362
GET       0.073      0.01886
GET       0.074      0.02358
GET       0.075      0.02829
GET       0.076      0.03091
GET       0.077      0.03772
GET       0.078      0.04558
GET       0.079      0.05973
GET       0.080      0.07335
GET       0.081      0.08907
GET       0.082      0.10636
GET       0.083      0.12994
GET       0.084      0.15247
GET       0.085      0.19229
GET       0.086      0.22634
GET       0.087      0.28136
GET       0.088      0.34633
GET       0.089      0.41968
GET       0.090      0.50823
GET       0.091      0.61459
GET       0.092      0.73614
GET       0.093      0.88599
GET       0.094      1.06780
GET       0.095      1.21922
GET       0.096      1.39998
GET       0.097      1.57340
GET       0.098      1.75521
GET       0.099      1.94960
GET       0.100      2.91418
GET       0.110      4.93817
GET       0.120      7.33574
GET       0.130     11.17311
GET       0.140     19.12973
GET       0.150     27.01299
GET       0.160     32.28964
GET       0.170     36.32401
GET       0.180     40.22687
GET       0.190     44.50068
GET       0.200     48.35010
GET       0.210     51.54721
GET       0.220     54.05585
GET       0.230     56.11653
GET       0.240     57.89427
GET       0.250     59.33669
GET       0.260     60.54438
GET       0.270     61.72325
GET       0.280     63.16620
GET       0.290     64.79461
GET       0.300     66.52258
GET       0.310     68.23378
GET       0.320     70.06130
GET       0.330     71.90454
GET       0.340     73.70691
GET       0.350     75.48098
GET       0.360     77.11673
GET       0.370     78.59740
GET       0.380     80.03144
GET       0.390     81.39055
GET       0.400     82.65011
GET       0.410     83.87247
GET       0.420     85.03668
GET       0.430     86.15739
GET       0.440     87.25401
GET       0.450     88.28565
GET       0.460     89.22980
GET       0.470     90.13727
GET       0.480     90.99811
GET       0.490     91.76779
GET       0.500     92.48612
GET       0.510     93.17667
GET       0.520     93.81169
GET       0.530     94.39694
GET       0.540     94.90307
GET       0.550     95.37148
GET       0.560     95.79797
GET       0.570     96.18045
GET       0.580     96.51891
GET       0.590     96.81494
GET       0.600     97.07849
GET       0.610     97.30378
GET       0.620     97.52070
GET       0.630     97.71351
GET       0.640     97.88903
GET       0.650     98.04097
GET       0.660     98.18034
GET       0.670     98.29037
GET       0.680     98.38049
GET       0.690     98.47689
GET       0.700     98.55234
GET       0.710     98.61784
GET       0.720     98.67861
GET       0.730     98.72262
GET       0.740     98.76978
GET       0.750     98.80593
GET       0.760     98.84104
GET       0.770     98.86933
GET       0.780     98.90024
GET       0.790     98.92749
GET       0.800     98.95316
GET       0.810     98.97726
GET       0.820     98.99874
GET       0.830     99.01813
GET       0.840     99.03647
GET       0.850     99.04695
GET       0.860     99.06319
GET       0.870     99.07367
GET       0.880     99.08310
GET       0.890     99.09305
GET       0.900     99.10458
GET       0.910     99.11663
GET       0.920     99.12449
GET       0.930     99.13287
GET       0.940     99.14178
GET       0.950     99.15226
GET       0.960     99.15750
GET       0.970     99.16640
GET       0.980     99.17217
GET       0.990     99.18631
GET       1.000     99.23033
GET       1.100     99.28272
GET       1.200     99.33669
GET       1.300     99.38017
GET       1.400     99.42733
GET       1.500     99.47396
GET       1.600     99.51116
GET       1.700     99.54888
GET       1.800     99.58399
GET       1.900     99.61333
GET       2.000     99.63638
GET       2.100     99.66258
GET       2.200     99.68354
GET       2.300     99.70816
GET       2.400     99.72179
GET       2.500     99.73384
GET       2.600     99.74641
GET       2.700     99.75427
GET       2.800     99.76423
GET       2.900     99.77732
GET       3.000     99.78937
GET       3.100     99.80143
GET       3.200     99.81243
GET       3.300     99.82395
GET       3.400     99.83758
GET       3.500     99.84596
GET       3.600     99.85539
GET       3.700     99.86115
GET       3.800     99.87163
GET       3.900     99.88578
GET       4.000     99.89678
GET       4.100     99.90097
GET       4.200     99.90779
GET       4.300     99.91303
GET       4.400     99.92088
GET       4.500     99.92927
GET       4.600     99.93713
GET       4.700     99.94027
GET       4.900     99.94289
GET       5.000     99.94446
GET       5.100     99.94656
GET       5.200     99.94761
GET       5.300     99.95127
GET       5.400     99.95285
GET       5.500     99.95389
GET       5.600     99.95494
GET       5.700     99.95808
GET       5.800     99.96123
GET       5.900     99.96437
GET       6.100     99.96594
GET       6.200     99.96647
GET       6.300     99.96804
GET       6.400     99.97014
GET       6.600     99.97328
GET       6.800     99.97380
GET       6.900     99.97433
GET       7.000     99.97537
GET       7.200     99.97590
GET       7.300     99.97747
GET       7.500     99.97799
GET       7.600     99.98114
GET       7.800     99.98166
GET       8.100     99.98219
GET       8.200     99.98323
GET       8.300     99.98690
GET       8.400     99.98952
GET       8.500     99.99109
GET       8.600     99.99214
GET       8.700     99.99319
GET       8.800     99.99528
GET       8.900     99.99633
GET      12.000    100.00000
