[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 3%,   0 secs]  1 threads:       11670 ops,       0 (avg:       0) ops/sec, 0.00KB/sec (avg: 0.00KB/sec),  0.00 (avg:  0.00) msec latency[RUN #1 7%,   2 secs]  1 threads:       23408 ops,   11736 (avg:   11703) ops/sec, 652.66KB/sec (avg: 579.76KB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 10%,   3 secs]  1 threads:       34104 ops,   10694 (avg:   11367) ops/sec, 654.24KB/sec (avg: 604.58KB/sec),  0.18 (avg:  0.17) msec latency[RUN #1 13%,   4 secs]  1 threads:       45499 ops,   11393 (avg:   11373) ops/sec, 732.07KB/sec (avg: 636.46KB/sec),  0.17 (avg:  0.17) msec latency[RUN #1 17%,   5 secs]  1 threads:       54857 ops,    9356 (avg:   10970) ops/sec, 619.28KB/sec (avg: 633.02KB/sec),  0.21 (avg:  0.18) msec latency[RUN #1 20%,   6 secs]  1 threads:       62378 ops,    7520 (avg:   10395) ops/sec, 504.17KB/sec (avg: 611.55KB/sec),  0.26 (avg:  0.19) msec latency[RUN #1 23%,   7 secs]  1 threads:       70271 ops,    7892 (avg:   10037) ops/sec, 533.89KB/sec (avg: 600.45KB/sec),  0.25 (avg:  0.19) msec latency[RUN #1 27%,   8 secs]  1 threads:       77049 ops,    6777 (avg:    9630) ops/sec, 460.79KB/sec (avg: 582.99KB/sec),  0.29 (avg:  0.20) msec latency[RUN #1 30%,   9 secs]  1 threads:       84649 ops,    7598 (avg:    9404) ops/sec, 518.23KB/sec (avg: 575.80KB/sec),  0.26 (avg:  0.21) msec latency[RUN #1 33%,  10 secs]  1 threads:       92110 ops,    7460 (avg:    9210) ops/sec, 510.86KB/sec (avg: 569.30KB/sec),  0.26 (avg:  0.21) msec latency[RUN #1 37%,  11 secs]  1 threads:       98421 ops,    6310 (avg:    8946) ops/sec, 433.35KB/sec (avg: 556.94KB/sec),  0.31 (avg:  0.22) msec latency[RUN #1 40%,  12 secs]  1 threads:      105462 ops,    7040 (avg:    8787) ops/sec, 483.38KB/sec (avg: 550.81KB/sec),  0.28 (avg:  0.22) msec latency[RUN #1 43%,  13 secs]  1 threads:      112971 ops,    7508 (avg:    8689) ops/sec, 516.08KB/sec (avg: 548.14KB/sec),  0.26 (avg:  0.22) msec latency[RUN #1 47%,  14 secs]  1 threads:      119273 ops,    6301 (avg:    8518) ops/sec, 433.03KB/sec (avg: 539.92KB/sec),  0.31 (avg:  0.23) msec latency[RUN #1 50%,  15 secs]  1 threads:      126892 ops,    7618 (avg:    8458) ops/sec, 524.02KB/sec (avg: 538.86KB/sec),  0.26 (avg:  0.23) msec latency[RUN #1 53%,  16 secs]  1 threads:      133337 ops,    6444 (avg:    8332) ops/sec, 443.40KB/sec (avg: 532.89KB/sec),  0.31 (avg:  0.23) msec latency[RUN #1 57%,  17 secs]  1 threads:      140382 ops,    7044 (avg:    8256) ops/sec, 484.69KB/sec (avg: 530.06KB/sec),  0.28 (avg:  0.24) msec latency[RUN #1 60%,  18 secs]  1 threads:      147217 ops,    6834 (avg:    8177) ops/sec, 470.23KB/sec (avg: 526.73KB/sec),  0.29 (avg:  0.24) msec latency[RUN #1 63%,  19 secs]  1 threads:      154126 ops,    6908 (avg:    8111) ops/sec, 475.31KB/sec (avg: 524.03KB/sec),  0.28 (avg:  0.24) msec latency[RUN #1 67%,  20 secs]  1 threads:      160680 ops,    6553 (avg:    8033) ops/sec, 450.90KB/sec (avg: 520.37KB/sec),  0.30 (avg:  0.24) msec latency[RUN #1 70%,  21 secs]  1 threads:      167120 ops,    6439 (avg:    7957) ops/sec, 443.06KB/sec (avg: 516.69KB/sec),  0.30 (avg:  0.25) msec latency[RUN #1 73%,  22 secs]  1 threads:      173909 ops,    6788 (avg:    7904) ops/sec, 467.07KB/sec (avg: 514.43KB/sec),  0.29 (avg:  0.25) msec latency[RUN #1 77%,  23 secs]  1 threads:      181116 ops,    7206 (avg:    7873) ops/sec, 495.83KB/sec (avg: 513.62KB/sec),  0.27 (avg:  0.25) msec latency[RUN #1 80%,  24 secs]  1 threads:      188324 ops,    7207 (avg:    7846) ops/sec, 495.90KB/sec (avg: 512.89KB/sec),  0.27 (avg:  0.25) msec latency[RUN #1 83%,  25 secs]  1 threads:      195058 ops,    6733 (avg:    7801) ops/sec, 463.27KB/sec (avg: 510.90KB/sec),  0.29 (avg:  0.25) msec latency[RUN #1 87%,  26 secs]  1 threads:      202098 ops,    7039 (avg:    7772) ops/sec, 484.35KB/sec (avg: 509.88KB/sec),  0.28 (avg:  0.25) msec latency[RUN #1 90%,  27 secs]  1 threads:      208828 ops,    6729 (avg:    7733) ops/sec, 463.02KB/sec (avg: 508.15KB/sec),  0.29 (avg:  0.25) msec latency[RUN #1 93%,  28 secs]  1 threads:      217620 ops,    8791 (avg:    7771) ops/sec, 604.87KB/sec (avg: 511.60KB/sec),  0.22 (avg:  0.25) msec latency[RUN #1 97%,  29 secs]  1 threads:      226475 ops,    8854 (avg:    7808) ops/sec, 609.21KB/sec (avg: 514.97KB/sec),  0.22 (avg:  0.25) msec latency[RUN #1 100%,  30 secs]  0 threads:      236557 ops,    8854 (avg:    7885) ops/sec, 609.21KB/sec (avg: 520.97KB/sec),  0.22 (avg:  0.25) msec latency

1         Threads
2         Connections per thread
30        Seconds
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         716.86          ---          ---      0.25000        52.50
Gets        7168.32      6602.02       566.30      0.24700       468.46
Totals      7885.18      6602.02       566.30      0.24700       520.97


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET        -nan    100.00000
---
GET       0.061      0.00047
GET       0.063      0.00093
GET       0.064      0.00140
GET       0.065      0.00186
GET       0.067      0.00233
GET       0.068      0.00279
GET       0.069      0.00372
GET       0.070      0.00465
GET       0.071      0.00558
GET       0.072      0.00884
GET       0.073      0.01163
GET       0.074      0.01488
GET       0.075      0.01860
GET       0.076      0.02372
GET       0.077      0.02930
GET       0.078      0.03860
GET       0.079      0.04929
GET       0.080      0.06231
GET       0.081      0.07673
GET       0.082      0.09347
GET       0.083      0.11439
GET       0.084      0.13671
GET       0.085      0.17112
GET       0.086      0.21204
GET       0.087      0.25854
GET       0.088      0.32039
GET       0.089      0.39433
GET       0.090      0.46733
GET       0.091      0.54638
GET       0.092      0.64543
GET       0.093      0.76400
GET       0.094      0.88537
GET       0.095      1.03045
GET       0.096      1.19553
GET       0.097      1.34387
GET       0.098      1.48709
GET       0.099      1.64566
GET       0.100      2.40036
GET       0.110      3.89489
GET       0.120      5.64657
GET       0.130      9.40149
GET       0.140     18.29613
GET       0.150     27.92361
GET       0.160     34.66294
GET       0.170     40.35415
GET       0.180     47.37481
GET       0.190     56.72003
GET       0.200     64.56887
GET       0.210     69.58582
GET       0.220     73.04453
GET       0.230     76.25168
GET       0.240     79.07845
GET       0.250     80.90639
GET       0.260     81.93684
GET       0.270     82.66272
GET       0.280     83.36627
GET       0.290     84.32046
GET       0.300     85.30953
GET       0.310     86.27349
GET       0.320     87.30115
GET       0.330     88.56318
GET       0.340     90.08049
GET       0.350     91.39553
GET       0.360     92.45063
GET       0.370     93.36064
GET       0.380     94.21207
GET       0.390     94.98445
GET       0.400     95.54757
GET       0.410     95.94189
GET       0.420     96.22555
GET       0.430     96.47014
GET       0.440     96.67288
GET       0.450     96.81285
GET       0.460     96.92306
GET       0.470     97.01094
GET       0.480     97.08302
GET       0.490     97.15742
GET       0.500     97.22066
GET       0.510     97.27134
GET       0.520     97.31506
GET       0.530     97.35644
GET       0.540     97.39922
GET       0.550     97.44526
GET       0.560     97.48292
GET       0.570     97.52524
GET       0.580     97.56383
GET       0.590     97.60475
GET       0.600     97.64102
GET       0.610     97.66753
GET       0.620     97.69822
GET       0.630     97.72240
GET       0.640     97.75728
GET       0.650     97.78192
GET       0.660     97.80889
GET       0.670     97.83493
GET       0.680     97.85865
GET       0.690     97.88515
GET       0.700     97.90375
GET       0.710     97.92142
GET       0.720     97.94421
GET       0.730     97.96141
GET       0.740     97.98466
GET       0.750     98.00094
GET       0.760     98.01582
GET       0.770     98.02884
GET       0.780     98.04186
GET       0.790     98.05953
GET       0.800     98.07720
GET       0.810     98.09255
GET       0.820     98.10975
GET       0.830     98.12463
GET       0.840     98.13858
GET       0.850     98.15532
GET       0.860     98.16648
GET       0.870     98.17811
GET       0.880     98.19485
GET       0.890     98.20973
GET       0.900     98.22786
GET       0.910     98.24135
GET       0.920     98.25995
GET       0.930     98.27622
GET       0.940     98.28785
GET       0.950     98.29529
GET       0.960     98.30691
GET       0.970     98.32040
GET       0.980     98.33946
GET       0.990     98.35248
GET       1.000     98.41340
GET       1.100     98.52221
GET       1.200     98.62405
GET       1.300     98.70868
GET       1.400     98.78447
GET       1.500     98.86074
GET       1.600     98.92305
GET       1.700     98.97978
GET       1.800     99.03279
GET       1.900     99.09510
GET       2.000     99.15136
GET       2.100     99.20065
GET       2.200     99.24995
GET       2.300     99.28994
GET       2.400     99.34016
GET       2.500     99.38573
GET       2.600     99.42339
GET       2.700     99.45548
GET       2.800     99.48431
GET       2.900     99.51407
GET       3.000     99.53778
GET       3.100     99.56615
GET       3.200     99.59033
GET       3.300     99.61219
GET       3.400     99.64055
GET       3.500     99.66706
GET       3.600     99.68659
GET       3.700     99.70333
GET       3.800     99.71821
GET       3.900     99.73262
GET       4.000     99.76006
GET       4.100     99.77168
GET       4.200     99.78563
GET       4.300     99.80423
GET       4.400     99.81353
GET       4.500     99.82097
GET       4.600     99.82888
GET       4.700     99.83725
GET       4.800     99.84562
GET       4.900     99.85120
GET       5.000     99.86236
GET       5.100     99.87305
GET       5.200     99.88096
GET       5.300     99.88654
GET       5.400     99.89444
GET       5.500     99.90095
GET       5.600     99.90467
GET       5.700     99.90839
GET       5.800     99.91304
GET       5.900     99.91769
GET       6.000     99.92188
GET       6.100     99.92606
GET       6.200     99.92792
GET       6.300     99.93071
GET       6.400     99.93397
GET       6.500     99.93583
GET       6.600     99.93955
GET       6.700     99.94234
GET       6.800     99.94420
GET       6.900     99.94745
GET       7.000     99.94885
GET       7.100     99.94978
GET       7.200     99.95071
GET       7.300     99.95164
GET       7.400     99.95443
GET       7.500     99.95768
GET       7.900     99.96094
GET       8.000     99.96233
GET       8.100     99.96373
GET       8.200     99.96652
GET       8.300     99.96977
GET       8.400     99.97349
GET       8.500     99.97535
GET       8.700     99.97582
GET       9.000     99.97768
GET       9.100     99.97861
GET       9.200     99.97907
GET       9.600     99.97954
GET       9.700     99.98093
GET       9.800     99.98186
GET       9.900     99.98233
GET      10.000     99.98512
GET      11.000     99.98698
GET      12.000     99.99209
GET      13.000     99.99535
GET      14.000     99.99628
GET      16.000     99.99814
GET      17.000     99.99907
GET      19.000    100.00000
